,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 닛케이225,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] 에이피알,[KR] KODEX 조선TOP10,[KR] KODEX AI전력핵심설비,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 샌디스크,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 제타,[US] 이즈코프,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드
[IDX] KOSPI,1.0,0.03641688475360254,0.957944431028869,0.7747723750730733,0.7726073325375871,0.725649669052245,0.8714977760943629,0.9654735776675243,0.9380250099068114,0.9395764306621424,0.8814100190563183,0.8903217793583993,0.6243270484473321,0.5337700498474394,0.5102831822545304,0.9946855501705295,0.6396027668582613,0.9969076773651507,0.2587877829824973,0.9387665670042991,0.9034150410828459,0.7717059494519936,0.9740153903438058,0.9383693758519204,0.7152903615643158,0.8938642485844408,0.8732059740917033,0.8573338976504405,0.8572890315421576,0.9120798233263955,0.8948531058487031,0.8647076505997691,0.8528599996913842,0.8343557772421077,0.8619801639245999,0.8377801479816145,0.7040880012053632,0.7486805044028766,0.8394474215324514,0.5312958430934982,0.7419620932903849,0.8417797172309494,0.9681870722629959,0.8574143125232279,0.8209674645614818,0.8136374328161501,0.774469898595736,0.8915721072152276,0.8036751243167072,0.8441674513184816,0.8422502778830642,0.7143636561907235,0.5149909200140376,0.9227876377701943,0.8331544859641985,-0.529441979629824,-0.3430198077886847
[IDX] KOSDAQ,0.03641688475360254,1.0,0.6461056042380183,0.3537519660572457,-0.016980303918379767,-0.0004960467796756416,0.3011353912706731,0.7994818277501488,0.5626041297148993,0.6590407591281345,0.4636818003918421,0.4606125911925676,0.8261903771331714,0.7523701340598972,0.8363149239571515,0.9614511966616295,0.1746702709248751,0.9571907831043258,0.6447004229927988,0.709688577485059,0.5560101791515137,0.9295929796626451,0.7493772083987225,0.5905949776173348,0.8128278007619425,0.5658567775882647,0.1567300016189854,0.19091917358143506,0.19105788557000916,0.10713103436174345,0.754290401252021,0.7659061550603973,0.22952606517340685,0.31125183096239484,0.7709946817873512,0.7366198527174274,0.19603909711911732,0.2635661293833566,0.5831420763487014,0.40531872235825167,0.2534071994825542,0.2053436018539603,0.746558662407943,0.6481936156203145,0.08513941876680567,0.17648840365213314,0.21589718027128968,0.7194067649433872,0.7574325046994909,0.14634970374169795,0.19112721680906655,0.20360400381852545,-0.3288704188973462,0.5874994282849801,0.41978484498819585,-0.5618755527011635,-0.450252947455254
[US] 한국 추종 ETF,0.957944431028869,0.6461056042380183,1.0,0.7179980053454579,0.8259391677113893,0.6955005983866122,0.7715790280999846,0.8919600203067248,0.7822424865115821,0.8259088104557045,0.7189274323516449,0.7216720685283412,0.6626763779641971,0.5623961627384148,0.6369786064656819,0.9949150935619155,0.5083849725415955,0.9954747155626448,0.24874515263359007,0.832842844935738,0.7586111266100621,0.7772553644415864,0.848250236776534,0.7792060641727524,0.7724688144607667,0.7388471049549447,0.7263749810210466,0.7010693753992262,0.7009323671951246,0.8077737842067017,0.8086256593145507,0.7219255496423229,0.7036023984823834,0.6799067748922093,0.6466527350060888,0.6726616317036244,0.5140513004593427,0.6425081580830053,0.5883784129324311,0.5245365219779515,0.5995482476290874,0.7195113338226664,0.9282985143841921,0.733170487958113,0.7510970349193931,0.6491136895859748,0.6027601575353666,0.7024974155680233,0.5979604330112952,0.6531210154491084,0.7537298177091338,0.5321375337556179,0.44818448748726725,0.7702304175215512,0.7289152205664915,-0.37328125614720503,-0.23455794004306163
[IDX] 닛케이225,0.7747723750730733,0.3537519660572457,0.7179980053454579,1.0,0.1552167701589396,0.5142619389639277,0.9635122775865201,0.8894417324523982,0.892463463633761,0.843974108369639,0.7947376790786961,0.8481117426752282,0.5211269155587798,0.4470559256757443,0.38033386256289525,0.9854427639007409,0.6869421317319918,0.9928060362522546,0.23359346877754533,0.8419869374793744,0.8259932905093992,0.6218501305483141,0.9341683816131615,0.9051076246918014,0.5841724631864514,0.9101472238303868,0.8191881864704819,0.7244634175820438,0.8949543642621217,0.6315934113436613,0.9316367164637129,0.9740102886524725,0.7689598915247507,0.9662786238618031,0.9362351137140805,0.9649356254301162,0.8650562204696172,0.7410284274595378,0.9179291312502246,0.23089432303730262,0.7936940212044639,0.7119030944876195,0.5097313563411813,0.857271641176433,0.6055110493737531,0.7948183046638692,0.7768477210000654,0.9614684271793902,0.8803163838710095,0.7016829315715852,0.4876709501829897,0.9065934512893218,0.05699680851227218,0.8313420779142656,0.6317313445441831,-0.6169821988260763,-0.4115204838651013
[IDX] 항셍,0.7726073325375871,-0.016980303918379767,0.8259391677113893,0.1552167701589396,1.0,0.7814289727489128,0.43610796285604647,0.17287863001392537,0.12186314421159274,0.09765211161210631,0.07269882052597076,0.10794597879189265,0.12403320763173196,-0.007735503985199532,0.2833772363491756,0.9870237622763208,0.3334022891660678,0.9954909230814412,-0.45094541850476794,0.0669031649008365,0.0794728768339982,0.056361155937071646,0.10697926503820561,0.11474633028650175,0.4403885663621181,0.15631730682573025,0.6545888844632146,0.614498316092525,0.5484995422958068,0.7513099525250395,0.5850823767674423,0.42243533027642927,0.5608653126282869,0.3672501063847217,0.007842697773231254,0.2841745768549181,0.17288092593913912,0.37863550565577364,-0.0326630411177163,0.7348018687792484,0.32018623238882965,0.6464773934209247,0.7085117208168945,0.3324907891484327,0.5774966299838875,0.4469411687984834,0.4409748479245621,0.22348999203464964,-0.05768255396046052,0.5743350336922888,0.7739397547238265,0.4432692758874253,0.5064204971371935,0.3202262716341996,0.18729046768004579,-0.14516126521413023,-0.19335887109006863
[IDX] 상하이종합,0.725649669052245,-0.0004960467796756416,0.6955005983866122,0.5142619389639277,0.7814289727489128,1.0,0.5465523534668388,0.7047147246241675,0.6930666727694548,0.7758383484195276,0.7185514686337194,0.6432864001477512,0.6209645524345098,0.5120149330703239,0.5261317275987887,0.9861520190159719,0.734447235439097,0.9933907946994153,0.3708389984057191,0.7995906278513832,0.6312024204839519,0.8506527931772725,0.7436601934600247,0.7165610175268057,0.516559341879574,0.6708225314632049,0.5749085979125164,0.5425878726720912,0.5423978228230083,0.6204750244667792,0.5564407813988327,0.5086058633204048,0.5231775642260886,0.48201715159485375,0.6793757693429503,0.4438948553377162,0.3654148107573551,0.38494464533482353,0.5684048045143955,0.2879216932239684,0.39259734152268744,0.5414495325622756,0.6572594233039412,0.4141572712591959,0.5077280920624386,0.5017937487111463,0.4612327186208314,0.41013379595104954,0.6546100656820344,0.4865140843597157,0.5848105192304899,0.6490200455549705,0.39511373661876636,0.4145063340671636,0.2572123378991682,0.14291042537168477,0.18582364133185292
[IDX] 대만가권,0.8714977760943629,0.3011353912706731,0.7715790280999846,0.9635122775865201,0.43610796285604647,0.5465523534668388,1.0,0.8998595561786342,0.8922617806270889,0.8681001387885998,0.8085817777897033,0.8441524211893678,0.5979363278032698,0.529813711641746,0.41806730383439533,0.9930456142594916,0.6050655887675817,0.9949341597655826,0.27838027276462296,0.8717585997604189,0.828456797438476,0.695738763974485,0.9413406326618682,0.9083222614888069,0.5524629340039366,0.9039826987509878,0.9427435303500886,0.970339799798399,0.9703654512036115,0.9038564510740741,0.9189366179680155,0.9715074282501243,0.9760662221193395,0.9769409188484713,0.9770512529483328,0.9837536878117307,0.9087171656012595,0.8942956934497899,0.9551309077109392,0.4851777453322147,0.9327072721075806,0.8761526914453486,0.9116561750222841,0.8979599847755927,0.7972375272464193,0.9606986982795057,0.9489182560067538,0.9865759569370779,0.937264079248027,0.9688666941048389,0.8740720472449716,0.9281612198810089,0.2591835988670028,0.9218776812788069,0.7691890800312822,-0.5246333690448606,-0.2991308306661224
[KR] 삼성전자,0.9654735776675243,0.7994818277501488,0.8919600203067248,0.8894417324523982,0.17287863001392537,0.7047147246241675,0.8998595561786342,1.0,0.8858788675360421,0.8765498656201793,0.790661109595182,0.8161949560107293,0.6906152608117452,0.6278871649148522,0.561146352108562,0.995596543678941,0.4829229492752579,0.995199572502366,0.3349505420076569,0.8870175841520399,0.8375439668191457,0.7729036159828436,0.9674021687639875,0.8741919947045212,0.6637057040873163,0.8370580301986874,0.8480291888728823,0.848372754577692,0.8484784717921909,0.8960169969057935,0.8971140675076138,0.8555538434190241,0.8666680207945955,0.8524892045055842,0.857238474681126,0.895764001930408,0.7475289625196143,0.9200937664263895,0.7831105658610087,0.3615011638470089,0.8988144317538252,0.7409179343304946,0.9179367866779731,0.8783056327758972,0.727869222363161,0.8066731943730655,0.78710463188042,0.8852396586442098,0.7903674167956104,0.8277667890084714,0.8074463168637878,0.6202042753521075,0.5667915070720482,0.8956241314015024,0.8746121708560802,-0.49947738223931754,0.5153652854430356
[KR] SK하이닉스,0.9380250099068114,0.5626041297148993,0.7822424865115821,0.892463463633761,0.12186314421159274,0.6930666727694548,0.8922617806270889,0.8858788675360421,1.0,0.9160080280119308,0.9576813776601698,0.9862880114774383,0.3798812503252297,0.28938802088130455,0.20741903773247572,0.9878726296210695,0.36909479770208187,0.9954364582645235,0.03616693023682759,0.8846729523004826,0.9535173989345151,0.5648791494730784,0.9500360158485754,0.9898167827626959,0.560947051402313,0.9446397627826579,0.7564651237296098,0.7993869102440309,0.799636235647034,0.7460378308565538,0.7471619710138638,0.7951512535331383,0.8039449397878713,0.7962116421395333,0.8140623308696653,0.8563652562498397,0.8894314491750255,0.9919654406854475,0.9083115143716094,0.08919503242029446,0.8015838447564742,0.5266981337211871,0.8071051643293808,0.9813702577990654,0.9211849860971091,0.7161782118825936,0.6962789087464852,0.9246489084780136,0.7001974703690724,0.8919381493151797,0.7202446103267436,0.829993071097305,0.7975133693026836,0.9720343951280811,0.9819469368926362,-0.21152248523578684,0.6364296542291228
[KR] 현대차,0.9395764306621424,0.6590407591281345,0.8259088104557045,0.843974108369639,0.09765211161210631,0.7758383484195276,0.8681001387885998,0.8765498656201793,0.9160080280119308,1.0,0.9024268016882856,0.8843292935899714,0.5375667652415185,0.46159267920022345,0.4040392127876457,0.9348994031121616,0.708334662325674,0.9189611477902632,0.293501309137614,0.9829387753642292,0.9197847358950597,0.7637563071893272,0.9201993628280402,0.9298643358352668,0.5778101936819184,0.8486403589599743,0.7085243251110982,0.7617428988267917,0.761996488171396,0.7597775236133111,0.7605103082654432,0.7645552140634495,0.78563848781713,0.7743054559815845,0.807211205625617,0.8325260281368101,0.8087790667254569,0.9351167734048683,0.8197309419591828,0.08334428565385578,0.8012585732018418,0.6119232408219184,0.9361680986238268,0.9221801779635763,0.8557654682411784,0.7154344742134409,0.672453828205591,0.8595292120422923,0.760685434209625,0.8363327508091083,0.6460990030530666,0.7385420560952255,0.6885745229719837,0.9147121591035886,0.938772115584712,-0.30387314032109153,0.5800343850851128
[KR] 두산에너빌리티,0.8814100190563183,0.4636818003918421,0.7189274323516449,0.7947376790786961,0.07269882052597076,0.7185514686337194,0.8085817777897033,0.790661109595182,0.9576813776601698,0.9024268016882856,1.0,0.9706621782914494,0.2927081753346293,0.21157577351184337,0.10479581721607606,0.9881482639469571,0.8037494597538349,0.997416210012982,0.11794299720429018,0.8705250795879949,0.9538367563927224,0.5849246722872233,0.8763686889237816,0.9508792957934683,0.43188031389654363,0.8953190457461458,0.622464044809249,0.6853064080024682,0.6855910425195962,0.6175396283755988,0.6184274724310479,0.6783988524194676,0.6851980518307399,0.6804232993617192,0.7116593345257392,0.7587096208290164,0.8271556863980408,0.9439375492373104,0.8429573936581205,-0.0399555928069382,0.7030259408586892,0.4194749415599441,0.7823960369561911,0.9551359072628003,0.9484976078984039,0.6031103283743724,0.5734443990470547,0.8471943697808815,0.6111960379650173,0.7987961057579925,0.5927425999781165,0.7905282884975642,0.8326538536317908,0.9107698117726929,0.9630623589955101,-0.11575526767990561,0.6302846799413651
[KR] 현대로템,0.8903217793583993,0.4606125911925676,0.7216720685283412,0.8481117426752282,0.10794597879189265,0.6432864001477512,0.8441524211893678,0.8161949560107293,0.9862880114774383,0.8843292935899714,0.9706621782914494,1.0,0.25833695237624316,0.17875934252936154,0.09434732506229924,0.9829281846799017,0.7166261026476907,0.9938532385423552,-0.03291532595794155,0.840443527273616,0.9542449092876397,0.48052843052996486,0.8923724709204486,0.9738730291456625,0.5060264968488409,0.9359121081872311,0.6930517635231946,0.7418261635312423,0.7420801935501832,0.6677252455207145,0.6687919367816995,0.7346174546550683,0.7407198678425295,0.7348757796922376,0.7479421350718689,0.8004402424675081,0.8794478826555623,0.9657230886645193,0.8976529264860234,-0.0037079566777281064,0.7301898594882689,0.4288738696361876,0.5841494342430814,0.9603140966725435,0.9281449590460152,0.649105473011667,0.6294709404792727,0.8893250248327316,0.631341980645151,0.8643990354516469,0.6603475804268678,0.8529977642910825,0.8388373322102438,0.948505234747369,0.9725379837679354,-0.13639932893680448,0.6396077841309691
[KR] 네이버,0.6243270484473321,0.8261903771331714,0.6626763779641971,0.5211269155587798,0.12403320763173196,0.6209645524345098,0.5979363278032698,0.6906152608117452,0.3798812503252297,0.5375667652415185,0.2927081753346293,0.25833695237624316,1.0,0.9449004994382935,0.8956507589696463,0.94272954619267,0.06785748813940103,0.9401042084187273,0.6996008485291784,0.6341457325421854,0.3334245589962516,0.8674736409078788,0.6187279638945865,0.3953116918437908,0.517535404214136,0.3583211475250488,0.6178778880364834,0.6124116281938836,0.6123208640455299,0.7617733047749284,0.7618029910795169,0.6336850496631478,0.6577041839546542,0.6343501066700159,0.698051846502059,0.6186775474388848,0.3316820279849458,0.45781057300488187,0.3508346615494362,0.4243502501179917,0.6722124780627114,0.8672992615792716,0.5130416060267844,0.4264676589131958,0.21038596067585447,0.6652046367716492,0.6193283666156266,0.5193622781210441,0.7707141302718409,0.4633272726162506,0.5564500768175252,-0.1286333510141131,0.027616969901540354,0.44844449530760366,0.3843023878258873,-0.6563800815591156,0.18687194377228408
[KR] 카카오,0.5337700498474394,0.7523701340598972,0.5623961627384148,0.4470559256757443,-0.007735503985199532,0.5120149330703239,0.529813711641746,0.6278871649148522,0.28938802088130455,0.46159267920022345,0.21157577351184337,0.17875934252936154,0.9449004994382935,1.0,0.8769711973183543,0.9816888731655025,-0.5444858480109563,0.9795561579807454,0.8344080296266381,0.5555240965615398,0.2795581195475367,0.8011640875304439,0.5247362348847167,0.2974812745823476,0.39741445056557406,0.25240076502606373,0.5697648396544379,0.5547075705574074,0.5545360082499508,0.6901685504191355,0.6896748789738747,0.5742462853834709,0.5919570556055789,0.5762129585554211,0.6047832234513594,0.5643247364625784,0.23715747613505153,0.37470502116277377,0.2653903900150035,0.3514034580058199,0.6392882009453348,0.8498174177148183,-0.0006318544271132175,0.3428586103872458,0.09829069409991192,0.6368563360953352,0.5912836925746752,0.44213623703949656,0.7100566303187144,0.38555423837028224,0.5589414104694032,-0.4959505279086926,-0.07955089058261437,0.3757061033648823,0.303754309941207,-0.6882099272233664,0.19176342025268353
[KR] LG전자,0.5102831822545304,0.8363149239571515,0.6369786064656819,0.38033386256289525,0.2833772363491756,0.5261317275987887,0.41806730383439533,0.561146352108562,0.20741903773247572,0.4040392127876457,0.10479581721607606,0.09434732506229924,0.8956507589696463,0.8769711973183543,1.0,0.8670921463434795,0.44999907364330505,0.8429641032062064,0.7275856701508691,0.4907055577913578,0.1887403830203308,0.791914422440694,0.45195208594349595,0.24063124531559732,0.6217194564502968,0.24290410743714244,0.4836417670473697,0.44529812712121614,0.44513778432398077,0.6404276569606405,0.6403588353376855,0.4702178306365805,0.49256935010525915,0.46531662241546895,0.49983288722520197,0.44152626687340946,0.14849796710576763,0.27726553532164383,0.17166975710461221,0.4074066481416837,0.4801929316756801,0.714053131313022,0.7236767044492917,0.21908773489479286,0.035736302131135614,0.4971141822035974,0.4505581657424914,0.3260768200497456,0.5997762112108999,0.30859445706971433,0.38835453068678794,-0.44908517179402535,-0.06882270147459939,0.26997595304756733,0.2104203490182938,-0.6517393015061814,0.03438953269527955
[KR] 에이피알,0.9946855501705295,0.9614511966616295,0.9949150935619155,0.9854427639007409,0.9870237622763208,0.9861520190159719,0.9930456142594916,0.995596543678941,0.9878726296210695,0.9348994031121616,0.9881482639469571,0.9829281846799017,0.94272954619267,0.9816888731655025,0.8670921463434795,1.0,0.3385702858053597,0.9907261143200384,0.8330751558874206,0.9700589121504002,0.9884668181689445,0.9725626085104829,0.98529928439322,0.9858477436985627,0.9710540533353055,0.9955338972601403,0.9588495756042194,0.9731270601288534,0.9732893617026988,0.974129728934976,0.9742644450570259,0.9727767569120389,0.976118007864154,0.9770171713198286,0.956203348373914,0.991241883814287,0.9671054984758095,0.9939449297630717,0.9521917751374446,0.9733712896636707,0.9944230726192788,-0.09926935690553526,0.8171250060452097,0.9816304012518161,0.9914632087014676,0.8192930262649601,0.7614856333195928,0.986594294653816,0.7709317030553978,0.9750839193456375,0.975843084468319,0.6870519841168412,0.9815815053313949,0.9922779660262319,0.9784497808619911,-0.7260111548904251,0.8350379883774656
[KR] KODEX 조선TOP10,0.6396027668582613,0.1746702709248751,0.5083849725415955,0.6869421317319918,0.3334022891660678,0.734447235439097,0.6050655887675817,0.4829229492752579,0.36909479770208187,0.708334662325674,0.8037494597538349,0.7166261026476907,0.06785748813940103,-0.5444858480109563,0.44999907364330505,0.3385702858053597,1.0,0.6208849101636833,0.41746805234852147,0.7355674608488959,0.7138407801292002,-0.016635582239856804,0.2659243792445855,0.37370865211328613,0.08491317464304553,0.28300755332882094,0.2841620835898854,0.19980466360301788,0.2242840807356007,0.8569422655612632,0.8609460773121309,0.38052046795179173,0.16167978702286798,0.21752779880392517,0.1410928370763378,0.6542448664875753,-0.32451155746053856,0.4781598034035802,-0.2009126275421547,0.7155857530000278,0.40349654562813403,-0.6903509824088152,0.6551235240189922,0.3744263090679005,0.5270854851061215,-0.6907045649520739,-0.35994959130934334,0.7575460849210918,-0.11116376336005969,0.8683666697388858,0.6784747221877788,-0.13473480632894871,0.6150758195112774,0.49063079224273365,0.579513040907635,0.5114183861790168,0.5029564071093586
[KR] KODEX AI전력핵심설비,0.9969076773651507,0.9571907831043258,0.9954747155626448,0.9928060362522546,0.9954909230814412,0.9933907946994153,0.9949341597655826,0.995199572502366,0.9954364582645235,0.9189611477902632,0.997416210012982,0.9938532385423552,0.9401042084187273,0.9795561579807454,0.8429641032062064,0.9907261143200384,0.6208849101636833,1.0,0.8078615962732141,0.9630234497966448,0.9886963162123662,0.961024374476221,0.9915936968478177,0.9860792745267143,0.9783335254682434,0.9961065220562473,0.9792831530269978,0.9877304709210639,0.9879608139037389,0.9834355845101174,0.9837110001144703,0.98792685300261,0.9868431919586584,0.987993162726905,0.9701865645396104,0.9946748124801148,0.9699123529565636,0.9908045889546484,0.9716322958951572,0.9793878836397318,0.9831193560590518,-0.03473302220830669,0.8977212516575366,0.9833711120320139,0.990425332406045,0.8087980667163781,0.7821337360224989,0.9949770612029849,0.7881988372567047,0.9900547658914357,0.9750034981878622,0.714800639032812,0.9904910171855865,0.9897772075434693,0.9719603204559029,-0.7321123148861445,0.8330116541470788
[KR] KODEX 2차전지산업,0.2587877829824973,0.6447004229927988,0.24874515263359007,0.23359346877754533,-0.45094541850476794,0.3708389984057191,0.27838027276462296,0.3349505420076569,0.03616693023682759,0.293501309137614,0.11794299720429018,-0.03291532595794155,0.6996008485291784,0.8344080296266381,0.7275856701508691,0.8330751558874206,0.41746805234852147,0.8078615962732141,1.0,0.3861089200114089,0.146482580512822,0.6597499749058905,0.27247226842083166,0.08562269958940895,0.08356492004543488,0.03129037727813369,0.35158108863550575,0.3319749305065557,0.3316773474377112,0.4481565943193518,0.4448249983154021,0.3465026364144604,0.34651498206041037,0.3621392972561301,0.31861169974425535,0.3625154191992877,0.04807761768406602,0.11596766609186265,0.059920416487429434,-0.08508560194029535,0.4921512102899133,0.7084424294637192,0.8817368871829899,0.12563994641445225,-0.008172531882814643,0.49045461609356744,0.45836611655271486,0.20236009746337294,0.4927375100536411,0.09495603541882348,0.31793072014476714,-0.8372568348854255,-0.0880962285405157,0.12392149594164957,0.09285702699931196,-0.7410463639563278,0.2441151079822726
[KR] KODEX 자동차,0.9387665670042991,0.709688577485059,0.832842844935738,0.8419869374793744,0.0669031649008365,0.7995906278513832,0.8717585997604189,0.8870175841520399,0.8846729523004826,0.9829387753642292,0.8705250795879949,0.840443527273616,0.6341457325421854,0.5555240965615398,0.4907055577913578,0.9700589121504002,0.7355674608488959,0.9630234497966448,0.3861089200114089,1.0,0.8763367122192691,0.8464266141016524,0.9221802765571346,0.8948189107163923,0.5962310875616601,0.8043285936844327,0.7184987007646244,0.7745173060784001,0.7747395485360976,0.7898862247368668,0.790433823829259,0.7802797364919043,0.8076804103376586,0.7948805046787164,0.8366685420505339,0.8431450918638524,0.7878749403071672,0.9060431395515315,0.80129085864013,0.11026512660461615,0.8245723904053316,0.6889299356667169,0.9059665847697824,0.888117723332456,0.8017185359571014,0.7480586133816963,0.7009414762148107,0.853936111691667,0.810509514009162,0.8217498707721049,0.636271543402661,0.742564803857655,0.6154321821651567,0.8895911393302638,0.9000870158110905,-0.392060415139977,0.5324440263951449
[KR] TIGER 200 건설,0.9034150410828459,0.5560101791515137,0.7586111266100621,0.8259932905093992,0.0794728768339982,0.6312024204839519,0.828456797438476,0.8375439668191457,0.9535173989345151,0.9197847358950597,0.9538367563927224,0.9542449092876397,0.3334245589962516,0.2795581195475367,0.1887403830203308,0.9884668181689445,0.7138407801292002,0.9886963162123662,0.146482580512822,0.8763367122192691,1.0,0.5498644780159574,0.9008937687105687,0.9519198089994173,0.4770545697308281,0.899974761338535,0.6744148257816815,0.7189140304238604,0.7191945322112202,0.6616184069100214,0.6624816267092053,0.7132981661511997,0.7200777397260144,0.7188198702070312,0.7359258632193596,0.7959461315983015,0.8151217192787407,0.9577206051112338,0.833505593119031,0.0752221744686708,0.7673212067295498,0.4536749464620465,0.9293520134437173,0.9644517152523495,0.9188120828089026,0.6402763707702172,0.6280441272216869,0.8617116493828516,0.6283953090176978,0.8083702335295836,0.6493463131600279,0.7080082332142242,0.8117904256496931,0.9152260724310143,0.9587417726023242,-0.13872483638399066,0.6539563745439776
