,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 닛케이225,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 제타,[US] 이즈코프,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드
[IDX] KOSPI,1.0,0.019859035536147002,0.9651404917622324,0.7767610212751761,0.7514063925914495,0.7521194994436703,0.8555189512249112,0.9789559297532004,0.967022765112606,0.9712115093030117,0.9041407992553555,0.9074169248755188,0.4950997989707881,0.43260511045005323,0.5580046937668399,0.2873728912158407,0.9532503563660755,0.9338697088174042,0.7913040333757029,0.9864524063498809,0.9582984923520725,0.7184408121406368,0.9265120928462994,0.8631965451127595,0.8516901842618397,0.8517294675775336,0.8942806889966116,0.8728835489226668,0.8505252138220745,0.846954232092813,0.825894250350527,0.8010642957880244,0.8572787632608805,0.7455325207871439,0.796649125997068,0.8450888738729868,0.47118617673179186,0.7470432506123367,0.7875977252728593,0.8977124041219913,0.855693023485204,0.8180660028322352,0.7547163293710395,0.9053297274560466,0.7700216336508928,0.8451492211692616,0.8373719578883613,0.31734229452739615,0.5314194306177981,0.9310249766901274,0.8509128753984891,-0.4704975393522484,-0.26425741456448926
[IDX] KOSDAQ,0.019859035536147002,1.0,0.6658797927805704,0.3454414299217679,-0.0032425797139690373,0.021046725038533016,0.287526806415801,0.8753355567696285,0.7536274574265288,0.8209357339478788,0.6341925189998097,0.6628024775862041,0.6809173550388687,0.6464388870067133,0.809360787934153,0.5259246483348639,0.8519086600743313,0.719128554059884,0.9119220449608153,0.849108647043861,0.7459591338781961,0.8298709931670982,0.755342273050292,0.11858864851948785,0.16022860052359236,0.16010165193520712,0.07952806952425699,0.7696039132002108,0.8268786179141363,0.21161177120976113,0.27494547242337636,0.8141834687499908,0.8166338890666284,0.19519021394679023,0.26578107545027485,0.715335733129055,0.47483077330645623,0.23018800703079567,0.15834263615496613,0.7509695741701358,0.09657904627177906,0.14211414684405974,0.17551869347641025,0.8296625411746521,0.8047439059864621,0.12493733634693831,0.13940945158576049,0.1258378652945261,-0.2831787424778914,0.6884466346220303,0.521193800335785,-0.5443294819644088,-0.38029431376246464
[US] 한국 추종 ETF,0.9651404917622324,0.6658797927805704,1.0,0.7658895342735482,0.7810040399081529,0.719660977918822,0.7809477213781886,0.9380848886590808,0.8820801980341499,0.9021253568711859,0.8094866253219116,0.7898636412815545,0.5455578485184225,0.4629939892577399,0.6454466109420373,0.27796575475296526,0.8958669594434389,0.8498530035918203,0.7854698764532771,0.9143722923469285,0.8666924934406068,0.743431759862529,0.8232594818082389,0.7483232098037633,0.7343749971025229,0.7343211078672549,0.8173054610091532,0.818128738260014,0.7497095919660354,0.7385881097976394,0.7162696599690032,0.6713075331919759,0.7384234252108421,0.6128606926664617,0.7425526336912791,0.689862106471113,0.5397161022197455,0.6401663994494962,0.6777591291387541,0.8170720976823178,0.8143736321461543,0.6884562747217557,0.6197067349858768,0.7807478477373999,0.6511280749777084,0.7021581866840366,0.7597854554595951,0.21838404447947948,0.47691069059914976,0.8215991852838125,0.8028144397169293,-0.3224901048744909,-0.14786280010093514
[IDX] 닛케이225,0.7767610212751761,0.3454414299217679,0.7658895342735482,1.0,0.15033505950297077,0.5486660069418109,0.9628622810671373,0.8823247123761526,0.8682440998833677,0.888916552209728,0.7822077019104293,0.8622116937598061,0.48372757574449005,0.45113942747393554,0.4638011214727384,0.31439128475935413,0.8823123227754261,0.8273415807308827,0.69342745800661,0.9167366754285033,0.8724000051704994,0.629064121306916,0.9039990406489795,0.8149359838983725,0.7311865281290975,0.8797071241379059,0.6323596545762035,0.9189045757421052,0.9665544731749895,0.7729576193558008,0.960286023069762,0.9424784965610792,0.9702389736611462,0.8826836878770161,0.7550246761428528,0.9293759568201388,0.24428791871112812,0.8022032136001476,0.6812329115723895,0.856076245393621,0.6332033860948009,0.8009434662374028,0.7657370641428307,0.9621410908274759,0.8875286403117557,0.7180543554292025,0.5329916417946735,0.5506563996083912,0.09998889080944319,0.8345322852598386,0.6155227743377009,-0.5662348873177777,-0.3570041115862707
[IDX] 항셍,0.7514063925914495,-0.0032425797139690373,0.7810040399081529,0.15033505950297077,1.0,0.783273365467224,0.48667482000304024,0.17454663621920977,0.1303537429126918,0.04978946235447662,0.0443911014542817,0.07561657168990314,0.2145307373484423,0.027350812276448422,0.258849014995438,-0.46931259992110363,0.02476245046293231,0.031976202695913114,0.0925447917486511,0.12965114404972597,0.09352987495047946,0.4425890457211025,0.08851480405980153,0.6763092697504128,0.6354500673801491,0.5967067645503626,0.7750387173510359,0.648067616168327,0.48131757422247434,0.5927308526285358,0.42683224573673934,0.07858252268831152,0.3354605511227091,0.21535540003214979,0.38609923354817743,0.010932933721510668,0.7432683331398401,0.3412201854896383,0.6655676028326999,0.34859910554533147,0.5475384869954247,0.47706901137542046,0.4752755349852022,0.3027031176488634,0.0284838558589741,0.5641871298302172,0.7598083180322939,0.44030936648336544,0.46917522710907006,0.3513033900754691,0.20157135769552742,-0.21663147178321454,-0.2345758379950105
[IDX] 상하이종합,0.7521194994436703,0.021046725038533016,0.719660977918822,0.5486660069418109,0.783273365467224,1.0,0.615414486801224,0.7578708206567782,0.7365422918521524,0.7741140916830478,0.7559024077793559,0.69925405485239,0.6521742162333388,0.5426019316326578,0.631920167869979,0.42737724059379834,0.7914786918899512,0.6935243416729834,0.9174697425519937,0.7761974674701567,0.7418273165131315,0.5516826242030859,0.7276169348781419,0.6539003609294213,0.622785771202355,0.6228452017063265,0.696053145515314,0.6630470510177151,0.6059633544239,0.6080393949437811,0.5806496618630334,0.7009948075942062,0.5400202159147659,0.4356636661774639,0.4457651723052463,0.6354169100021712,0.32142941757443483,0.451560110488608,0.6152455877696462,0.4871019117544995,0.5307328523353777,0.5871468391455482,0.5442281028295686,0.5253111497792212,0.7382525290353041,0.5552755264758201,0.6493528142277094,0.4140481217280271,0.3591593780032277,0.5119178070348512,0.316930924251919,-0.022542544717409938,0.07780040478041013
[IDX] 대만가권,0.8555189512249112,0.287526806415801,0.7809477213781886,0.9628622810671373,0.48667482000304024,0.615414486801224,1.0,0.8511227483241457,0.8564436526133848,0.8626304926317319,0.7904549179901365,0.8669857060172032,0.5534412757504693,0.4981527362262761,0.47814276392458077,0.30319046406733924,0.8605244469990809,0.8024287371074188,0.7923038217831327,0.9022983278106032,0.8677688298304641,0.6196175499082155,0.9042070387125465,0.9352202582171781,0.9615016916312986,0.961447129683144,0.8933290177044516,0.9141664678732802,0.9674195844264278,0.9668768923603734,0.9723309297947939,0.9673764029713644,0.9836424298962497,0.9077963377993937,0.8665880996989268,0.9576277708098646,0.409729222033462,0.9114517709062211,0.8517322330409998,0.8747886110463766,0.758351487607592,0.9599825182812474,0.9257711667762129,0.98614481253482,0.9434846069868507,0.9520850287241241,0.898097887285126,0.658816916129753,0.24354780015300356,0.9177992319479601,0.7191741107109502,-0.514599213096873,-0.2625427872808509
[KR] 삼성전자,0.9789559297532004,0.8753355567696285,0.9380848886590808,0.8823247123761526,0.17454663621920977,0.7578708206567782,0.8511227483241457,1.0,0.9368702316000946,0.9407576210437189,0.840434354064564,0.8545348085143922,0.5473267983977911,0.5072482991199806,0.5899646582604027,0.3086502950409192,0.9258900388394972,0.8860673704322608,0.7482957123500457,0.9789921258575873,0.91856945605778,0.6677691040102245,0.8930678306748077,0.7788024651753481,0.784477772549237,0.7845083920189796,0.8223467188518268,0.8234119152059107,0.7893138693912901,0.7974251380546278,0.7805567251495502,0.7830513437161705,0.8740643746152258,0.764742484075266,0.9572709982149434,0.7929259671204485,0.2958198686368609,0.8204491782972095,0.543525889527355,0.9273847544258806,0.837605645353163,0.7461239481845264,0.6625101232816628,0.8895069506497683,0.7520062936504888,0.7939019986362277,0.7836596753515325,0.2094130512592594,0.7094866458414179,0.9031069702564827,0.9319132650705184,-0.3292953276996788,0.5732572242467319
[KR] SK하이닉스,0.967022765112606,0.7536274574265288,0.8820801980341499,0.8682440998833677,0.1303537429126918,0.7365422918521524,0.8564436526133848,0.9368702316000946,1.0,0.9563061795968361,0.9590845201011551,0.9717747237239094,0.31086178430477285,0.2482768663337598,0.33995422529649877,0.12869895426663913,0.9041124949546351,0.9643599571264347,0.6633809067235868,0.9777021466408484,0.9896996908783353,0.6282915171784195,0.957738254675249,0.7154908119514267,0.7457577843183826,0.7458608070496022,0.6997587401940746,0.7008660234418426,0.7412525724654443,0.7421902242677175,0.7345311419259318,0.7473609597174095,0.8364086913147736,0.8505812447801968,0.9905332649910897,0.8703441525508352,0.1086519455382625,0.723974408550998,0.39015646415486505,0.9860107980265035,0.9473709145471279,0.6902935627723706,0.5668521036755337,0.8960759730117578,0.6762331522339754,0.8495673924204666,0.7492925678508106,0.4150797001080379,0.832275131599106,0.958220593970379,0.9896146362911499,-0.12768199428796698,0.6358910370390666
[KR] 현대차,0.9712115093030117,0.8209357339478788,0.9021253568711859,0.888916552209728,0.04978946235447662,0.7741140916830478,0.8626304926317319,0.9407576210437189,0.9563061795968361,1.0,0.9197234828839794,0.9079677230173505,0.43177960890711137,0.39224814852814716,0.49550992356063317,0.3634021634908403,0.9831508426528407,0.9537080547586976,0.7860181287331007,0.9700403225635938,0.954122128489715,0.6384465088976199,0.9084885699840335,0.7186286854071984,0.7551217392289953,0.7551407714685957,0.7374815344133139,0.7379747159818565,0.7548787086346446,0.7664796861494101,0.7592320958099193,0.7698073201428988,0.8582596209247211,0.8275791911293883,0.9589621292709778,0.8442103384334173,0.08994630520576555,0.7822949929712396,0.48468006319616475,0.9483571819777704,0.8954055653647769,0.721480125014011,0.6166853985166856,0.8839786421425321,0.7248561972531274,0.8215015996236681,0.7058860889894697,0.31858910754148884,0.7804017227795167,0.9234485885354632,0.9631428845938425,-0.20580426701014273,0.642269955856883
