,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 IT,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[KR] 신한지주,[KR] 하나금융지주,[KR] KB금융,[KR] 우리금융지주,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 아마존,[US] 제타,[US] M7 ETF,[US] 모멘텀 ETF,[US] 반도체 ETF,[US] 소프트웨어 ETF,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 일라이릴리,[US] 존슨 앤드 존슨,[US] 애브비,[US] 제이피모건,[US] 뱅크 오브 아메리카,[US] 모건스탠리,[US] 골드만삭스,[US] 이즈코프,[US] 이머징 마켓,[US] 선진국 마켓,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드,[IDX] 닛케이225,[KR] 코스피200롱150숏선물
[IDX] KOSPI,1.0,0.01223114805565663,0.9694577985181857,0.709084125615754,0.7019487327227227,0.8827285470229838,0.9769446979627007,0.9516062022518018,0.9056746738249429,0.8378581281639175,0.7598989791995324,0.3504603196090724,0.29102523125155566,0.724220529100274,0.18562324160308255,0.8859869509917496,0.9771155648899639,0.89889543595291,0.3597811128379375,0.9853692641009676,0.910128839271521,0.5060639255729069,0.8646020824337248,0.8039719600965051,0.8709016160848819,0.8607782329882061,0.8099288079400335,0.8434178073593206,0.8364946948695463,0.8364913113948833,0.8795899721608876,0.8575018835499542,0.83052527687389,0.8363337869289734,0.8179831159781329,0.8471632880567321,0.8697885626812739,0.7253271940667314,0.7582129919221594,0.8272282723823088,0.6033624766267348,0.7874552321643161,0.8192087743020934,0.8786923052193361,0.8305324860636873,0.8044388338942685,0.7252688180536995,0.8856787622282006,0.7932363501174906,0.3918047381705682,0.6827345633557288,0.7901224267650366,0.8408641014790453,0.7414661166524769,0.7017773170364963,0.828697723556849,0.8093241810681262,0.7063474717870797,0.8679861805726777,0.6882939516155313,0.8188037138776597,0.1873106905545284,0.6508953939009141,0.8746773909241725,0.5715210398198417,0.7932857386373194,0.8122227343407612,0.8495474695048678,0.7609177743010058,-0.41823087356683714,-0.21236926208791534,0.7823874058725776,0.8878494852479842
[IDX] KOSDAQ,0.01223114805565663,1.0,0.4780550951009589,-0.0466164805435901,0.014296421118722398,0.2687505030057573,0.6316163902674224,0.42254679044578014,0.5649878367254287,0.44548796702493454,0.40244575654754244,0.6938455032740283,0.7051433445630656,0.750049847054653,0.5914834350315067,0.6349278892328085,0.5727516937795679,0.4843337488642939,0.8140016468499713,0.5975454230636738,0.5471992572812118,0.7684314234330044,0.5088831046427046,0.2703118968796807,0.5116842804418967,0.5092669289975545,0.37588741072915405,0.12819261739904844,0.16634151764146182,0.16629125634589328,0.07767590401863568,0.6538285775039557,0.7699172386633832,0.1948338670284778,0.28492634072900247,0.7468014717211936,0.694422719704307,0.18326870234144968,0.1961343259913332,0.5713422216958651,0.36174200120379124,0.20658948379723086,0.0857611023813027,0.49694856712868474,0.07229386593269985,0.15004017344839668,0.18121030565100044,0.7347814444192681,0.19843810848585186,-0.10269154180783922,0.28324429449503963,0.7194647429805058,0.5787882428418291,0.7532658015166134,0.748311622301262,0.10013046008221421,0.15392552177308522,0.15809003106108183,0.029695368347482803,0.6569006990181808,0.18695367723047174,0.16206363883162442,0.26267981543736973,0.18575005689827068,-0.3080511328308166,0.6726037142657287,0.7280266189328617,0.5612722394546766,0.345080459981982,-0.5115036168216196,-0.3882208967962379,0.3465395043886711,0.3123748374075321
[US] 한국 추종 ETF,0.9694577985181857,0.4780550951009589,1.0,0.7265024508172823,0.6580765088894207,0.8167448436696559,0.9358406980362005,0.9055473428154431,0.8624365286957373,0.7602656859345963,0.65043098573557,0.37545336574576255,0.29667884685387186,0.7582988847049343,0.15627076103485543,0.8407082340897789,0.9380573512211341,0.8497327721630131,0.3855445188581201,0.9338167493277351,0.8281851633654639,0.49714068681616,0.7783644320176747,0.7553064496139328,0.7931310315855595,0.7682562016967648,0.7160714736451941,0.7266172509175596,0.714881928190133,0.7148324218506815,0.797057619493305,0.7974575719756476,0.7277322807801209,0.7169501667578223,0.7020492420059239,0.7353385767601596,0.7564896251213062,0.5950370080334975,0.718629435511969,0.6920060670610874,0.5933968201771433,0.6978385511338525,0.7024520302890174,0.8220457335068785,0.8095706396168041,0.6717268731918837,0.5815488805033302,0.7635723153728613,0.6824220846354202,0.3231631935599263,0.642784314929192,0.6660004179135719,0.7183030652260425,0.6330077794645613,0.5612356127902288,0.6801623455637975,0.7374361207657272,0.5642746550661437,0.7709914268628679,0.5266383314060914,0.7046900907980479,0.1729556027758982,0.5223928479171523,0.7736348075539621,0.5392275738802517,0.8650667126557224,0.8366972206203919,0.7293941063616755,0.7073293276255957,-0.2894808787937055,-0.11128632779400635,0.7491359405711647,0.9021867138885269
[IDX] 항셍,0.709084125615754,-0.0466164805435901,0.7265024508172823,1.0,0.782038291027405,0.4303030080562336,0.04131921825563059,0.05561846737744179,-0.058532527612250175,0.039896177487875065,0.06147726854279966,0.084894294397424,0.004376726766946082,0.07944744782487134,-0.5410670597900846,-0.07870350176192593,0.03129298038335882,0.033785000489393785,0.10335017742114122,0.029363220181645264,0.07753959281306522,0.34834248370257315,0.07173865119456006,0.16515441700897873,0.05745777765498758,0.037640087769206194,0.12880033859493134,0.6554189411237494,0.6145704255211161,0.5674473189996478,0.7531697425770307,0.6034382372445137,0.4432569179823024,0.5665371486277099,0.39866266631501246,0.0601716588326197,0.27819409394808775,0.1995856346060899,0.27189736121903146,0.027227772760153115,0.6892645964029277,0.2921630991221301,0.6435464228103555,0.2401780431657495,0.4343152560140746,0.45093495153881163,0.4505545404533808,0.24037791329977548,0.4768244434277992,0.19817406307927576,0.842766169156296,-0.03296808937415602,0.26197963016933856,0.4038087027996772,-0.09081225365323986,0.5622035003444458,0.7392251309135033,0.3083653442694269,0.7694959571987867,-0.20408906298276117,0.5780572007384375,0.27901693475770994,0.34861433299244327,0.43096642488196957,0.5154069330611449,0.826818445382491,0.6756695328589039,0.2779432856965574,0.10708434950261185,-0.23871864278303478,-0.255521732394333,0.1908016917499754,0.44460152145348664
[IDX] 상하이종합,0.7019487327227227,0.014296421118722398,0.6580765088894207,0.782038291027405,1.0,0.555550452258463,0.485369896319205,0.4400554977032456,0.4085250498685385,0.5087284982899034,0.47470648411156685,0.34691541025945677,0.344683872575568,0.36258392056522426,0.274084517464494,0.4488628600035393,0.4728803725865562,0.41971154492418367,0.6833517976686593,0.49694758312926335,0.5573086483099554,0.48849686136405496,0.485296436329294,0.4025365478219631,0.4606207808700185,0.5045435759249993,0.7093958473400871,0.6175119890768684,0.5835064548401823,0.5835086770919373,0.6645068476854074,0.6115912630862136,0.5545664733478248,0.5695182189090225,0.5331137467734957,0.6112888005715531,0.459582658272741,0.38901147667139113,0.31777059487957304,0.5429238120126346,0.33111330894125784,0.3959684532728615,0.5939861746898052,0.34301336156678125,0.40896184155937765,0.5409175031267427,0.5019685915508215,0.44959876003967003,0.5601977072745808,0.3058482137665216,0.8210745888006169,0.5795595021570612,0.44364852073485916,0.5174419356364087,0.5964473614923964,0.5170718825282854,0.590476512031928,0.4052502883606526,0.6484541262539266,0.5405791566784881,0.5446838767623281,0.035785374018433465,0.378401989205804,0.5841388157907557,0.3885757896224223,0.7310240654772258,0.7043113322183183,0.4171283524758583,0.19713414350753133,-0.1762143770833469,-0.0635226889347847,0.52902887583352,0.6598529160858185
[IDX] 대만가권,0.8827285470229838,0.2687505030057573,0.8167448436696559,0.4303030080562336,0.555550452258463,1.0,0.8969919625490758,0.8438118233428088,0.8493003768667426,0.7955797865254223,0.8119897247292356,0.3803862944866015,0.3441840190935778,0.6650858156916907,0.22578224365876426,0.8613616211392686,0.8845520659050213,0.8099434344126976,0.3464498355823588,0.9096223869864494,0.8903497430255574,0.517291206150025,0.9161352136892171,0.7547600936297248,0.9204127140614968,0.9305875205760358,0.8820572859489597,0.9160114485117283,0.9456972671992842,0.9456338387107968,0.878538453827535,0.8959231249301469,0.947290993109946,0.9514511362216695,0.9587083234170554,0.9657156167749791,0.9838913556498485,0.9055720040608133,0.8255985414463335,0.9408960789664615,0.5514162224938369,0.9357308602473893,0.8584523087657083,0.8491999098225825,0.7815416081057758,0.9402958423140754,0.8948579804436231,0.9820281916274555,0.9064073869828395,0.6632000404118151,0.8233178799574676,0.944489552344894,0.9768896526320773,0.8887465023189448,0.8770753620684575,0.9406326217782011,0.8710570386074628,0.9158107352202919,0.8423275490503064,0.90244503585443,0.9507245035406807,0.3914349474678071,0.8428549031367472,0.9671939630682493,0.32738052045018307,0.6464086367437611,0.8066055489938784,0.8987541243062109,0.7176308191306447,-0.4591059492075325,-0.2283723305827449,0.9636511726574772,0.7469654593109677
[KR] 삼성전자,0.9769446979627007,0.6316163902674224,0.9358406980362005,0.04131921825563059,0.485369896319205,0.8969919625490758,1.0,0.9460791413032886,0.8719915953752289,0.7465442774773575,0.6811773423385653,0.3461867249557261,0.29087290516933456,0.7489496818153426,0.19213560341332453,0.8395023319628063,0.9888325355930471,0.8395161346287396,0.264082516094602,0.9871020174496732,0.8574408938084565,0.4833987784636436,0.8127701028380949,0.7255943677373762,0.826635639067554,0.8173628485746871,0.7413088771114149,0.735155765006947,0.7486088675368635,0.7485969784646076,0.7824938893228909,0.7832951027672295,0.7517629996487685,0.764441685865089,0.7630079071847117,0.817961114865886,0.9057152864715958,0.7152876032345201,0.9519215728951109,0.7683416440327959,0.6661921499092531,0.9133874029365631,0.6226035466773254,0.9391081953881303,0.8767170386244112,0.7210366103173094,0.591632131466422,0.8570350899111039,0.6932362176424335,0.3498507943651822,0.566517919457991,0.7980332621397144,0.8815976341681009,0.5924078383168092,0.657756708591763,0.7504758470063094,0.7313092673874028,0.6920750445497896,0.8442291122514098,0.692104306595101,0.7406281185152183,0.7175012746825491,0.8160850196603335,0.8169735633924274,0.7588143975391559,0.7722826338928162,0.7862731470515004,0.7813283003143625,0.820840974991053,-0.17078644206953789,0.38536520276980574,0.8631655158742072,0.8905532016990644
[KR] SK하이닉스,0.9516062022518018,0.42254679044578014,0.9055473428154431,0.05561846737744179,0.4400554977032456,0.8438118233428088,0.9460791413032886,1.0,0.8452722284321235,0.7906407785068932,0.7219529437636165,0.1333036149388658,0.06505548759879895,0.5851680704341665,0.036291298931627795,0.782422430294021,0.9727644942815395,0.8694445111955846,0.13374355243573433,0.9687519662701715,0.8607353408384958,0.3449502825419238,0.8105679084128116,0.811664954189177,0.8157606172535544,0.8127967229109301,0.7750287653005946,0.6075412068923421,0.6456564735896781,0.6457179151581711,0.6376307668921904,0.6386331915798493,0.6433010139865625,0.6556199780162973,0.6609149155246818,0.7406031131272519,0.8455594004556494,0.7178234159618129,0.991075184425794,0.7718947699938196,0.626663832794056,0.864663701079867,0.4848416966634684,0.9878000522728612,0.9641882158395629,0.6038198408318652,0.4554997009625164,0.7888863598363819,0.5526930116168229,0.436655788974996,0.6420638346445138,0.6974191833675325,0.8455909608938611,0.44935679678232376,0.5312677100994426,0.7026975060891493,0.630278242230264,0.6498711939507512,0.6977659036103754,0.5978724978919872,0.6772463821942809,0.5899938304512793,0.7476655164492003,0.7927965885048801,0.8403231665303258,0.6922449011005314,0.7174040566113239,0.7438983445756141,0.7927058909412745,0.008172338722244885,0.4565053185462731,0.7995973018178905,0.8944354320934415
[KR] 현대차,0.9056746738249429,0.5649878367254287,0.8624365286957373,-0.058532527612250175,0.4085250498685385,0.8493003768667426,0.8719915953752289,0.8452722284321235,1.0,0.8439811005509618,0.722704367089616,0.2823078473677537,0.23657810716310881,0.6553405526113232,0.3009491739709517,0.9670590324237153,0.8757696093340187,0.9095343796037373,0.4013095890808021,0.8995761661939956,0.8826699599390166,0.3477283447927683,0.8161938209594037,0.7791714016544126,0.8304148724358519,0.8112202621480678,0.795307711406068,0.6469732579797761,0.695733361214368,0.695863682654403,0.6919947284609035,0.6921998001294102,0.6960682609541208,0.7047756429010735,0.7067408666847071,0.7674756655246998,0.8292463128467936,0.7451934184486723,0.8418598952908242,0.7666395912838295,0.3875433282220144,0.8054540361080673,0.6185890172700645,0.8561190946008737,0.8254475877911062,0.6731311850157378,0.546944908620505,0.8154867207283463,0.5876373048254333,0.4478756320921686,0.6174283762616365,0.6985019558747413,0.8349506490862634,0.5140249403553382,0.6451182477130168,0.7440169251499429,0.6541889853283203,0.7039225964886626,0.6859495994885123,0.633536004236667,0.6841422305018274,0.5958757553108844,0.7694938013543672,0.8010421403507209,0.782946438248468,0.7214783523152062,0.8015335284666965,0.7943151105506437,0.885278714673291,0.11356052926051483,0.6271078733905727,0.8042214860271976,0.726671334587869
[KR] 두산에너빌리티,0.8378581281639175,0.44548796702493454,0.7602656859345963,0.039896177487875065,0.5087284982899034,0.7955797865254223,0.7465442774773575,0.7906407785068932,0.8439811005509618,1.0,0.9275699265650211,0.1694014014525959,0.10907872896736552,0.3659367394656332,0.11392322959776169,0.8281623204740841,0.7541821215835417,0.9180788416806732,0.39542633370954117,0.8099614819327845,0.9389294367776145,0.3436176943440196,0.890641955979915,0.8809541441772869,0.873296020753563,0.8667939427814149,0.9412539433553416,0.6022155350291554,0.6720205898780629,0.6721827338007348,0.6061352364148902,0.6067573122447947,0.6663297061374992,0.6744643553692948,0.6755444433188195,0.7293029190116791,0.7577113222079213,0.811945467200895,0.7645031758968619,0.8615647654657482,0.23539052509787556,0.7172361396565746,0.47606217752031327,0.8175108558801213,0.7964784878580816,0.6137139169943863,0.5195744559187689,0.8059849275276102,0.5353090703547861,0.46743047745617244,0.8327118239795337,0.6701219431923493,0.8079623146915852,0.4852999463060818,0.622024629136776,0.779421168667375,0.616306497990203,0.6765358125685856,0.628620410679019,0.6281750028744794,0.72707778215558,0.5773368752832428,0.7765420473704151,0.8490834463918797,0.8466665084047678,0.6514235136489102,0.7833441206808672,0.8582224799258906,0.9092658361674498,0.10497359447261365,0.5813884314041659,0.7687982573921154,0.6320071989877545
