,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 닛케이225,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] 에이피알,[KR] KODEX 조선TOP10,[KR] KODEX AI전력핵심설비,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 샌디스크,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 제타,[US] 이즈코프,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드
[IDX] KOSPI,1.0,0.9207897884879611,0.9883861079077696,0.9888265114813782,0.6144025332074139,0.9210436905669135,0.97978881862341,0.9946339592306888,0.9966256878350183,0.9908549549445073,0.9887624285286368,0.8826215623747432,0.682973430369515,0.2158136546602765,0.8920333202283887,0.9898308482402288,0.7368762606959482,0.9966441441152221,-0.040630490721223975,0.9854965953308734,0.9931589862214241,0.9801474958399153,0.9978144189009668,0.9934906894549852,0.9538946654721113,0.9924280756024819,0.8893927126337527,0.917692081759018,0.9173725166200268,0.9797287426537824,0.9800690627307604,0.9256627712939701,0.9442401952729325,0.9451311226021241,0.9439457155328053,0.9823265657342561,0.945266499006743,0.9920505803415804,0.9408298166217584,0.5849247403995618,0.60182012934853,-0.9120555749119709,0.9892354959962143,0.9936051695831499,0.9936448633088415,0.7669739670239158,-0.2856373157901613,0.9796664897059958,0.9042003371966449,0.8828861119416307,0.7760544961980134,0.728613403790588,0.9654818936666488,0.9289247239231493,0.963787600015511,0.9400303778753463,0.9706649712700389
[IDX] KOSDAQ,0.9207897884879611,1.0,0.9414325837250704,0.9477416193575253,0.2815559699023697,0.7120363579637695,0.8319191316134842,0.9495016162136201,0.8903529018200056,0.9407030647071815,0.8665243856210166,0.646038066433534,0.41587952692805524,0.5530854691023304,0.9793255082779964,0.8837895082463245,0.6701488031145523,0.9945929891180433,0.33979512987190913,0.9546177504447283,0.9211842303522985,0.9061170637745394,0.9392331845093119,0.8773277675112389,0.8039937888293723,0.872479183651375,0.6681237411008589,0.7110350223433934,0.710772284340994,0.8922733294830223,0.8929957755718765,0.726468860468558,0.7632437986674083,0.7651152443920854,0.8332233706305201,0.9543290024651526,0.7601688077118213,0.9085785959390569,0.755198219323438,0.8262247569509694,0.8296137703077705,-0.7191744591443241,0.9813294851153225,0.9050520976089599,0.9093200595474502,0.4801941034950797,-0.014535135726467554,0.8433838527469131,0.6843570830790718,0.6489813380699452,0.4895779274622675,0.45140002795160783,0.7988950409652634,0.732877830169726,0.8187429110686656,0.8888387651547099,0.8705565534510439
[US] 한국 추종 ETF,0.9883861079077696,0.9414325837250704,1.0,0.9902363860763701,0.5419908572494638,0.8874940064362622,0.9516694115809676,0.9934117444393327,0.9790343588683077,0.9907792202944025,0.9654351404485265,0.835215534785547,0.6054392253718728,0.3070620151206407,0.9217747400577692,0.9722091311608969,0.365863380546886,0.9867664898446925,0.06231149906088948,0.9877225308068626,0.9803046728527236,0.9521840939163899,0.9913257280229465,0.9729801212470488,0.9132150886344886,0.9718568765696425,0.8572041283526375,0.8846494084982267,0.8844408573701145,0.9831721330408342,0.9834694459644607,0.8949493842351502,0.917904737634882,0.9189364576353781,0.9452917056562135,0.9946890676035817,0.914016303388256,0.9862491732492644,0.9084368367058125,0.6603049591135778,0.6673844429980775,-0.8549712110928703,0.9854277005399876,0.9836415641678316,0.9841795562309382,0.7045776636219583,-0.1845594090843782,0.9610654821626503,0.8640171388056641,0.8310945189994325,0.7178535772619636,0.6676988148888874,0.9406652834544744,0.9014231257221436,0.9506665331536024,0.8942212634452101,0.9322469840711152
[IDX] 닛케이225,0.9888265114813782,0.9477416193575253,0.9902363860763701,1.0,0.5384897800640446,0.8869361381943696,0.9513091909891774,0.9935730684614371,0.9761024371214709,0.9954209423670687,0.9596856908746316,0.841626107788233,0.6128194811621606,0.3148113212555567,0.9289633214480123,0.9634282546933509,0.6241554707300786,0.9879217367178436,0.06929459251737705,0.9935687848261527,0.9764047516041109,0.956905809423303,0.991208885765817,0.9714980826072507,0.9185060916905863,0.9704449687857407,0.8565369491893312,0.8807717040644889,0.8805893037131957,0.9825480702354146,0.9827233246169353,0.8910939838607818,0.9128924202006866,0.9139937412563347,0.9422609947702112,0.988809743967626,0.908990913851195,0.9790196227036315,0.9037010319864526,0.6615714427521062,0.6619567867762316,-0.8452386054352589,0.9725745773609379,0.9737106667516374,0.9735762388804212,0.6980300273912614,-0.1541301457446108,0.9540280680583803,0.8594686066847267,0.8263737232339794,0.7141747155725392,0.66153342260835,0.933647282194051,0.9010081007456584,0.9497875906002469,0.8861820309748407,0.9258663165285955
[IDX] 항셍,0.6144025332074139,0.2815559699023697,0.5419908572494638,0.5384897800640446,1.0,0.8555186616072552,0.7578967892202569,0.5375211746409558,0.6657650938613835,0.5395740104749086,0.7066461002731759,0.8880661700892813,0.9071699676889531,-0.5562103311687476,0.22219609824478895,0.6639686580081487,0.7988490786610608,0.8617499906867143,-0.7918662780527049,0.49621296581148056,0.5943622341288344,0.6221538937239511,0.5737372503386539,0.6892453601019242,0.7784659690368523,0.6916517213123907,0.8644074097261129,0.8534581783688148,0.8539952791402886,0.6206819807092637,0.6207791050320389,0.8410401042923104,0.8127032161802857,0.8103833800480771,0.6640512948923543,0.5014743264750634,0.8252687753278812,0.6279976988336836,0.8275403063171167,-0.25337221781426783,-0.2368966289685412,-0.8226603354772233,0.860392507081417,0.634047227210159,0.6260857797039475,0.9524432492846637,-0.681026314563323,0.738459647219565,0.8622502890076509,0.9017042736863825,0.9591565439880914,0.9260718740156355,0.7822555445347946,0.8346122593225354,0.7456978056143473,0.544598666516524,0.6607171875679431
[IDX] 상하이종합,0.9210436905669135,0.7120363579637695,0.8874940064362622,0.8869361381943696,0.8555186616072552,1.0,0.9751310041772866,0.8808219780652845,0.9401138852459697,0.8909142118811466,0.954616332096743,0.9878656044083096,0.8609245317162364,-0.11204187824246657,0.6754175390855611,0.9327919307230103,0.6685056833807476,0.9590387985508164,-0.39269732109004085,0.8640633946258552,0.8979305130306697,0.8929676629859378,0.8995981211009965,0.9537494531848683,0.9648414922492636,0.9535183550112981,0.9792881864739886,0.9885705304894835,0.9890786517228563,0.9231982534609674,0.9238536615666854,0.9879681431369756,0.9867765531618335,0.9862379892969402,0.9311098098229488,0.8631110694822454,0.9899628258340385,0.9258003332149304,0.9883869334109642,0.26936315182621057,0.27770265928350446,-0.9444291326174973,0.9515459529052152,0.921868417344494,0.9165439275200727,0.9295301645657396,-0.43905852260857947,0.9708261166693907,0.9799152791114024,0.9787818781954118,0.9450778097867379,0.900142553526155,0.9800514065283147,0.9965642518651989,0.9802563767685221,0.8188687612551692,0.9057620526987366
[IDX] 대만가권,0.97978881862341,0.8319191316134842,0.9516694115809676,0.9513091909891774,0.7578967892202569,0.9751310041772866,1.0,0.955568292710828,0.9892101647693387,0.9547567765320767,0.9927757812893624,0.9484235355275892,0.7872330080356554,0.040738095344436696,0.7922897945753757,0.9831514519341392,0.7091591400520543,0.993860303826941,-0.22675546363631208,0.9388385549563282,0.9692490889192819,0.964442585185924,0.9670551924467593,0.9935224338272551,0.9853127057970819,0.9935948820197547,0.9540167940693866,0.9728670678583073,0.9726197392449042,0.9681212387523425,0.9684589274294311,0.9764044253084297,0.9848511118092648,0.9847254437772774,0.9502586055297904,0.9378941104414273,0.9865166182442919,0.9744646505321655,0.9830459350326493,0.418229863005824,0.43194824859168796,-0.9505868744299415,0.9838888791582531,0.9773121776245484,0.975142036853088,0.8731155852279877,-0.3943783190926584,0.9946164180004506,0.9621480645803799,0.9544340997595366,0.8815713859372721,0.8323329707451058,0.9920073913104509,0.9767634746032711,0.9834688039341739,0.8932718049629759,0.956970373802317
[KR] 삼성전자,0.9946339592306888,0.9495016162136201,0.9934117444393327,0.9935730684614371,0.5375211746409558,0.8808219780652845,0.955568292710828,1.0,0.9850784256524224,0.993659694074016,0.9705320856574805,0.8355662794874945,0.6142936081968178,0.2970731053718206,0.92703151533679,0.9777252306895406,0.6788426761565207,0.9951255723471256,0.052711126014157374,0.9931557460238405,0.9886907984877585,0.9715275539699528,0.9977326682416798,0.9777751417617038,0.9222043626231118,0.9763109259703684,0.849134149387385,0.8806014079544064,0.8801283963632294,0.9744823465562334,0.9746659576251134,0.8905321495642796,0.9135532697847615,0.9147860289294971,0.9322897665057425,0.9905145021245788,0.9128576610193581,0.9879861627999016,0.9064486186748677,0.6565652653941414,0.6698613780970784,-0.8754025384894428,0.9907948379918768,0.9870778411950418,0.9883248410862047,0.7050286449778843,-0.21710573245491216,0.9601532170257692,0.8648343437516519,0.8353017017732637,0.7151511685323465,0.6699985064441483,0.939948393040442,0.8944980065334628,0.9418199336293536,0.9382463356921888,0.9583021948815088
[KR] SK하이닉스,0.9966256878350183,0.8903529018200056,0.9790343588683077,0.9761024371214709,0.6657650938613835,0.9401138852459697,0.9892101647693387,0.9850784256524224,1.0,0.9789033601523977,0.9952282808287501,0.9056177450534781,0.7156872608634751,0.14183746832257976,0.8554955179181818,0.9940251398281228,0.5388018032274422,0.9970086755027869,-0.11309793693383494,0.9701644642687268,0.9908702980135915,0.9789918447221382,0.991507814106693,0.9971615546284524,0.9643196861460153,0.9957741905904555,0.9104902501158764,0.9374276914677536,0.937055550453454,0.9757380904562926,0.975968233231509,0.9438780055957305,0.9594051517005223,0.9602603076929777,0.9435157485182659,0.9706265606457092,0.9625587588954606,0.9911716132366747,0.9586334208175169,0.5291526746332094,0.5496037020629111,-0.9366192478133685,0.9928645949726788,0.9950667618138994,0.9946948145902013,0.8053654924572429,-0.3459159614500498,0.9868718424441704,0.9285012398294202,0.9106328644005692,0.8131531620432931,0.7634588768663639,0.9788568842585632,0.945436456681173,0.9699467168513883,0.9396090211510185,0.9765221277232343
[KR] 현대차,0.9908549549445073,0.9407030647071815,0.9907792202944025,0.9954209423670687,0.5395740104749086,0.8909142118811466,0.9547567765320767,0.993659694074016,0.9789033601523977,1.0,0.9640080963799259,0.8505537008642922,0.6348961797548635,0.3090519606322735,0.929802000772093,0.9666394814682508,0.7137774876168647,0.9851205487163747,0.04791801547362789,0.9977857170422137,0.9776209845638553,0.956543041106417,0.9921735386606905,0.9753105237020542,0.9198595363066802,0.9747210690687419,0.8588044169744279,0.8859079645978447,0.8858372841016064,0.9797546535486781,0.980314570576694,0.8960354532713012,0.9175522719514935,0.9188853195954241,0.9446809259407978,0.9872932048711679,0.9128788342848905,0.9810284546248876,0.9075853357009851,0.6544684765565328,0.6679743744516164,-0.8605966606953431,0.9740584677834686,0.9767707025790432,0.9766964484545144,0.7106560210889802,-0.18653405229522815,0.9577706251229764,0.868466671690207,0.836176774897823,0.7211222979659998,0.6820111549044309,0.9378341069924452,0.9029178768441061,0.9507469969877861,0.9096141751687346,0.9384238361506628
