,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 닛케이225,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 소프트웨어 ETF,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 제타,[US] 이즈코프,[US] 이머징 마켓,[US] 선진국 마켓,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드
[IDX] KOSPI,1.0,0.9469894406093984,0.9975752388965925,0.989635624346227,0.8160623939107414,0.9643406967139502,0.9982316046621792,0.9932498055422143,0.9975960304105347,0.9917579644297346,0.9895799507004825,0.9109778751438775,0.8553176512357784,0.4729102391878906,0.9158553957519242,0.5049504448366369,0.9862644608871182,0.9975387335358206,0.9557889664325507,0.9955821944032157,0.9865669390305959,0.9485428850304158,0.9816277920268841,0.9701569708254647,0.9759243927381046,0.9758263934206483,0.9883736976018885,0.9887903523536795,0.9792300473378488,0.9841665586764174,0.9822055711986102,0.979586319010715,0.987336099364907,0.9720351880107502,0.9967305047900294,0.9734120737119043,0.9262053824431661,0.9234690939370798,-0.38581107836372563,0.9977162269575186,0.9989791757105323,0.9143490361759458,0.254295064350192,0.9961850048373772,-0.2399341532974505,0.8584818461184468,0.8499559463505484,0.6731561925708514,0.9379340927611425,0.9564636804855451,0.989483634250672,0.9657109770230857,0.8951083771608809,0.9778719600750936,0.9679709333783703,0.9795600685402339
[IDX] KOSDAQ,0.9469894406093984,1.0,0.9589859775391767,0.9768532579358561,0.6145957714260691,0.8445866325224336,0.945065298272782,0.9678982636381287,0.9295517580006836,0.9650349849732869,0.89871763604997,0.7398987459159145,0.7786284204443693,0.7074060072331766,0.9853590054068769,0.7436448249917844,0.9754884943419376,0.9325297375314374,0.8902371475303485,0.9694837599932095,0.8941117897420543,0.823519392688633,0.8815202143949152,0.8620018553629787,0.8715287924761331,0.8714004413277415,0.9618266621401694,0.9616160586356218,0.8816922899644228,0.8932006675833957,0.8883893672800893,0.9512421227290314,0.9730633041060929,0.8539531847431949,0.9600910898868154,0.8588980868710222,0.9652132179362908,0.9787367835781043,-0.12668756019157335,0.9330391547472219,0.9413728718608074,0.7536615862867783,0.46909193545905253,0.9295338800364823,-0.3617793347817207,0.6685271274919243,0.6459909695632609,0.4179766725060743,0.8453931744498057,0.8152831358714129,0.90471827979007,0.8729822924711144,0.7171710482530892,0.8786785737766828,0.9489139149530822,0.9369538400954357
[US] 한국 추종 ETF,0.9975752388965925,0.9589859775391767,1.0,0.9934666577341765,0.7898994006163369,0.95066792949643,0.9953905745967562,0.9958587946772286,0.9930250469184337,0.9929029948025347,0.9797554508833436,0.8904185264534997,0.843699998037853,0.5094222251210441,0.9322952047833926,0.5390392856467064,0.9894367104027713,0.994399454326048,0.9494965677496897,0.9971401747948834,0.9791352405596021,0.9338671599681383,0.9728952874463275,0.9622571843837001,0.9677874737535073,0.9677757110889905,0.9929836719210946,0.9932766089052619,0.9723482377762236,0.9778108820826817,0.975256170845971,0.9829602925814539,0.9925128301444526,0.9601091428448754,0.998314880127183,0.963412979712944,0.9374938710107376,0.9362317063397165,-0.35278288172198397,0.9948430503565138,0.9972726363537353,0.8946213127758527,0.27487088414235533,0.9938089525597984,-0.2608559613961995,0.834354407601138,0.8235504615503112,0.6378076400345148,0.9293964320291623,0.9402166667320827,0.9847005939101453,0.9608782488171862,0.8738292088680654,0.9707313656465003,0.9683142560049243,0.9769896691655655
[IDX] 닛케이225,0.989635624346227,0.9768532579358561,0.9934666577341765,1.0,0.7462781081052239,0.924155054297099,0.9879571576621602,0.9961024669455484,0.9800016093280234,0.9919822056199192,0.9611097409393319,0.8472937930111647,0.8328261906503881,0.5751844094584819,0.9520057012942913,0.5945339340258186,0.9938737961294052,0.9834570068220289,0.9384692366090458,0.9954313727513869,0.9633154410473879,0.9089979243960927,0.9551464936607489,0.9412166849096877,0.9486356381067552,0.9483368806733219,0.9933433183934929,0.9934694014209481,0.9550323593639585,0.9610360496717347,0.9577770799114491,0.9801223004514434,0.9926334485613536,0.9341756035353672,0.9933447920445498,0.9375504720222119,0.9498761554885338,0.9500314993478608,-0.3097869600017629,0.9816065116630107,0.9862894381278281,0.8631399325000945,0.3127248291925916,0.9790244776798278,-0.28441925138975443,0.7968778667499785,0.7771896113153623,0.5682424677824092,0.9105491182803434,0.9057554835747983,0.9692250513782794,0.9497458923847201,0.8366363979624784,0.9536636054205915,0.9714278069827397,0.9729094931935472
[IDX] 항셍,0.8160623939107414,0.6145957714260691,0.7898994006163369,0.7462781081052239,1.0,0.9369180353398392,0.8357322172868257,0.7579018361138852,0.8362553890055102,0.7604058376871603,0.8757215547392527,0.9616511742248733,0.8425481351519918,-0.02102518820616662,0.5509363875656128,-0.04345698271207889,0.7333870589038208,0.8340861327279381,0.8662882271592487,0.7626895962560292,0.8806361355659886,0.9368815834031421,0.8969250472176561,0.9157903590368891,0.910693513341936,0.9100617299218865,0.7839586308192901,0.7850111367561539,0.901698446184743,0.8880621061289989,0.8920868041552602,0.7780076115502083,0.7432644761864922,0.9167706527909386,0.7801850587164225,0.9094689451765485,0.6030967984142838,0.5749179613125432,-0.7119808850826643,0.8274763703433626,0.8170654677611633,0.9717489485895088,-0.13446120465508227,0.8351152326496193,0.16776515735619865,0.9837171304454302,0.9851665127392454,0.9607566871814455,0.8620503625361524,0.9372519260791917,0.8803409028694816,0.8989407727964861,0.970435050752399,0.8849134096382758,0.7222737239055695,0.7810052944936136
[IDX] 상하이종합,0.9643406967139502,0.8445866325224336,0.95066792949643,0.924155054297099,0.9369180353398392,1.0,0.9665670939182044,0.9355539058137893,0.971331919902595,0.9350220858134579,0.9854948162939718,0.9788914713273151,0.885886641183284,0.2820344345995094,0.7955987742669625,0.2956499829125387,0.9188460432767492,0.9702689816166495,0.9616024369526103,0.9379172847003645,0.9865515057952589,0.9895986024465375,0.990890633588385,0.9881625920459363,0.9896940479679065,0.9893763765609912,0.9399777185609303,0.9407947665375277,0.9875153104821461,0.9841884089242358,0.9848093218230985,0.9293440146178181,0.9209744529706092,0.9910883469949097,0.9449303358212924,0.9893522505117083,0.8193100792223735,0.8057761883750412,-0.5610386083036778,0.9674118605813485,0.9639236787506829,0.982576131013267,0.08695273119987858,0.9700621122892469,-0.08662431717681174,0.9537426546591937,0.9526817428783225,0.8349472641472048,0.9408231714860047,0.9934208482333241,0.9862285484996677,0.9820892607212018,0.9748931872173415,0.9849126368675724,0.9068078751545837,0.940514339402329
[IDX] 대만가권,0.9982316046621792,0.945065298272782,0.9953905745967562,0.9879571576621602,0.8357322172868257,0.9665670939182044,1.0,0.9899375922570026,0.9971710288863662,0.9873498204756843,0.9896824007048453,0.9154822154802605,0.8909919322242978,0.4891312949911784,0.9175206590733882,0.5103616858561594,0.9818920142470873,0.9957031385578299,0.953908212910984,0.9934807315721951,0.9859002496043883,0.950270051989785,0.9817678846809161,0.9737776325899605,0.9792993099389141,0.9789431163641461,0.9890501632163675,0.9894231781309193,0.9821198947629117,0.986790229339299,0.9849792845254337,0.9837853390947389,0.9874262670486196,0.9745723276926153,0.9955273415714391,0.9746669607001003,0.9279709487291317,0.9238869610981714,-0.39413973079591363,0.9961914071707533,0.997113088118162,0.9222333722472787,0.2688784698888903,0.9951428994038913,-0.21844190231549054,0.8690322293575727,0.8538782995678368,0.6877559161989579,0.9459684675212641,0.9599911781837551,0.9908602064204061,0.9659707382533858,0.8974741241147769,0.9774797953385761,0.9682222022775918,0.9807532666918797
[KR] 삼성전자,0.9932498055422143,0.9678982636381287,0.9958587946772286,0.9961024669455484,0.7579018361138852,0.9355539058137893,0.9899375922570026,1.0,0.9845990383684945,0.9962476009334289,0.9684354397901024,0.8642004806772753,0.8196895212427494,0.5526166009394263,0.9411932796150704,0.5775515832268548,0.99474493663266,0.988658570871469,0.9326044140500706,0.9965261429408961,0.9722135952577531,0.9183437728428625,0.963619909155475,0.9469037576843226,0.9517415029988966,0.951685853634684,0.9895590273325958,0.9898524947722022,0.9573498203515063,0.9629319489804681,0.9595509353534396,0.9727150609942604,0.9892627342402043,0.9444704110697183,0.9953166236292175,0.9448424091626565,0.938289684912142,0.9402336927801501,-0.33655823634904036,0.9875124872268181,0.9920448945412297,0.87297811305473,0.2926919507493939,0.9858492715399894,-0.31771375131809976,0.8061335918379414,0.7963589972209902,0.598297856428494,0.9109071751387972,0.921113392956142,0.9722015651988652,0.947630643703142,0.8543836002526154,0.9645899946139853,0.9778327851986668,0.9820063384654184
[KR] SK하이닉스,0.9975960304105347,0.9295517580006836,0.9930250469184337,0.9800016093280234,0.8362553890055102,0.971331919902595,0.9971710288863662,0.9845990383684945,1.0,0.9833366410816213,0.9930383017232971,0.9266150877604604,0.8638494165877854,0.4336595335921575,0.8994518866466501,0.4668488246941033,0.9756068915497556,0.9968146365128923,0.9540957613899821,0.9903294537416055,0.9869646543652173,0.9532455275526855,0.9823773272774827,0.9755293301250222,0.9812820656597692,0.9812595293301462,0.9812526589099596,0.9817193691044116,0.9833972045685373,0.9887025697638362,0.9872283349770916,0.9788864472855039,0.9817525230501766,0.9804392196700991,0.9927812753178076,0.9824926961144856,0.9175315595121278,0.911498269346559,-0.40814742667904935,0.997535110615714,0.9972721895996105,0.9264516398517992,0.23934834998013824,0.9956446051442122,-0.2085004621651647,0.8763167035825238,0.8681280079666044,0.7001729506169712,0.9465568819958439,0.9682605909427343,0.9911293985234154,0.9643858356999904,0.9073344941160111,0.9779176706669915,0.9555139181480377,0.9700473759597522
[KR] 현대차,0.9917579644297346,0.9650349849732869,0.9929029948025347,0.9919822056199192,0.7604058376871603,0.9350220858134579,0.9873498204756843,0.9962476009334289,0.9833366410816213,1.0,0.9686952352228869,0.8665871566754534,0.8174379206782187,0.5420920056216345,0.9381871912018916,0.5708002100785924,0.9980340391469714,0.9868997361823155,0.9341762877072642,0.994071639984535,0.9720203150267634,0.9215142998138934,0.9648227764698526,0.9446628150809364,0.9496158187653004,0.949572288283335,0.9852194518067301,0.9855708798153174,0.9550303414399903,0.960824231276158,0.9571865867669104,0.9681909867052803,0.9846199482323432,0.9430087264719794,0.992036029377895,0.9430902283119481,0.9289167829776985,0.9329616428440712,-0.34570402205878553,0.9856907137674303,0.9901923496884668,0.8758078099973117,0.28164582235555824,0.9859272103971397,-0.3151561029462449,0.8110011595154889,0.7985690169695412,0.6054006947739808,0.923585158930364,0.9221478584723432,0.9709192735663199,0.9454785096585753,0.8558891102656867,0.9645440215126693,0.9756628062464342,0.9816158117885835
