,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[KR] 신한지주,[KR] 하나금융지주,[KR] KB금융,[KR] 우리금융지주,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 소프트웨어 ETF,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 제타,[US] 이즈코프,[US] 이머징 마켓,[US] 선진국 마켓,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드,[IDX] 닛케이225,[KR] 코스피200롱150숏선물
[IDX] KOSPI,1.0,-0.03654314823061688,0.9942704912872062,0.4079777356125374,0.7849675386152598,0.9708813744082219,0.9755604899335975,0.9974338196906113,0.9277396456152504,0.6858504174630832,0.4855519084571312,-0.03882036460262259,-0.4749113246898824,0.7742847008479293,-0.3271666795529022,0.9731231540021709,0.9558082936728514,-0.4315911440170358,0.9873945065201085,0.8486993595195909,0.29683565360266806,0.762067071798478,0.8556575957610695,0.7751054414067188,0.8126411825760824,0.7137253648440031,0.8161589129200116,0.7731705406900109,0.7729185620569222,0.9482063661524022,0.9480555127559218,0.785790038538211,0.7968392201832791,0.8191830683815328,0.8934926113038743,0.9777202238267019,0.5938559569120092,0.9912667460067683,0.7283018400532576,0.9442915747178526,0.9855104902566164,0.2693025295499785,0.9958582137161516,0.9944795219010295,0.9269054758526081,-0.13321967292830814,0.9541334498430257,0.18422482872234855,0.8335694437234815,0.6653535778694735,0.9034152934878625,0.47839015673308605,0.9903257147831216,0.9536021294880132,0.8427274666317082,0.7438811229654781,0.9294699562353661,0.9279894203045785,0.9674922769541604,0.9733608708883509,0.9931734455929647
[IDX] KOSDAQ,-0.03654314823061688,1.0,-0.026180625010945924,-0.43049183303279714,-0.14186732693371693,-0.19277145918539831,0.07462810364399852,-0.011422679128007988,-0.016250371189695044,-0.45491717425385164,-0.5614349811257634,-0.28741557077348573,-0.1745692490723024,0.41252795756378463,0.8786638080259648,-0.06843314686615232,-0.15069408353979405,-0.1027640090304584,0.036072591652938905,-0.4229553596862596,-0.7852606445364905,-0.5720505536183006,-0.5044027314977555,-0.5679588769427982,-0.5552416351325852,-0.5456261089385315,-0.5687231190704541,-0.6033677371185284,-0.6035791609899991,-0.3274465217088491,-0.3277201197241646,-0.5921153331734155,-0.568064708708021,-0.5412085924274823,-0.41396918242616326,-0.18564839868182642,-0.7207924223516377,-0.04477395155509815,-0.5957894402949192,0.1575524480155295,-0.08441876420465912,-0.45713374705393217,-0.10153171074048871,-0.05814371673196842,-0.21087806930711822,-0.770282100565342,-0.2875965426996432,-0.7558829302775875,-0.1185530021224464,-0.6614791657783524,-0.41704475331279905,-0.6138576712727062,-0.1648338571432546,-0.28478476708909894,-0.49608679668756067,-0.5744496454597754,-0.3523850159191966,-0.23380165564999275,-0.21088657806449784,-0.1677623960352761,-0.10917607598855178
[US] 한국 추종 ETF,0.9942704912872062,-0.026180625010945924,1.0,0.36413613158394464,0.7560768646797469,0.9524019675195483,0.9804358735211446,0.9956096457831266,0.9212505753366286,0.6228417918644835,0.4162283507151992,-0.06518406260716282,-0.4820026766372064,0.7959061123756789,-0.2606599914041595,0.9680232337621105,0.9330017058764993,-0.45339282982009976,0.9866119152038348,0.7992082807684958,0.20927878001058994,0.7022501329017401,0.8060008288625418,0.715581232022023,0.7605261007947413,0.654273808282015,0.7707478018965251,0.7233450695695074,0.7230612856353728,0.9279189738319864,0.9277002526776479,0.7370322368181059,0.7495348779808475,0.7739724861819981,0.8597779946607349,0.967814104279824,0.5316133503466974,0.9948810347288937,0.6799113640098765,0.9622523480157636,0.9853171897235503,0.23609136275829593,0.9953281153802902,0.9970983283216116,0.9232095981002026,-0.21087370222754145,0.9353491073334479,0.11107312222190507,0.8191064086531488,0.6105760727504072,0.8772099556851005,0.4372295084837939,0.9796313962527007,0.933881818645828,0.8034079550945115,0.6959184691181013,0.9017143991244836,0.9222182970919011,0.9609514897071426,0.9566235754138478,0.9917473792561924
[IDX] 항셍,0.4079777356125374,-0.43049183303279714,0.36413613158394464,1.0,0.8687645506662899,0.3276054533924206,0.19343793814535365,0.34705221672498415,0.07917053705035242,0.9207042446426908,0.9549810552937624,0.8283201052070504,0.5673639233456065,-0.2084750308673513,-0.5632325116324816,0.2827291119951079,0.6429533648826024,0.5832686036485227,0.256664754533472,0.7722906545300976,0.6445439453609918,0.7663346077992561,0.6210954674626462,0.7334816282518805,0.6648334492590051,0.8579604015591049,0.676587403847908,0.6841988562748098,0.6845562642596899,0.44972074403923273,0.45076808706490246,0.6860092746756248,0.6731119610541445,0.6645239978538728,0.5296494626593792,0.3401732605880255,0.6798250700939941,0.29806975570728766,0.8085148077459048,0.09946050459467233,0.31082502387385963,-0.21659328398190733,0.3883906825598501,0.3388670320268554,0.19245809809505832,0.5119498578222543,0.39652684245266606,0.8147138169926043,0.8007931670863987,0.8133717531019383,0.6243147460988007,-0.028364371736309756,0.5075957423660975,0.6343013768404435,0.7347963548883731,0.8242206963782555,0.6475369744821832,0.272393698014339,0.47070502554537486,0.3696600867420006,0.413985062719975
[IDX] 상하이종합,0.7849675386152598,-0.14186732693371693,0.7560768646797469,0.8687645506662899,1.0,0.682893690859995,0.6467644364674204,0.7478536235254136,0.5122448276867893,0.916514926969533,0.8274958789153655,0.5421735529159643,0.14481294313614046,0.33599727852551137,-0.39252942662986257,0.665816624140462,0.9099931970388165,0.18592107402769173,0.6855358779757817,0.8950559209157876,0.43669443111222506,0.8179432360522683,0.7745509601072234,0.7998264117958956,0.7715746696108458,0.8682412812910508,0.7759198127596808,0.746701603703356,0.7467798532668357,0.7340057092116974,0.7346132472147695,0.7574410409315416,0.7546008198501324,0.7644104161498427,0.7233571316596948,0.686660272062047,0.6238605588770981,0.7020185074126487,0.8232921577423392,0.5842439369546522,0.6921363161014317,-0.163653432654709,0.756973230031059,0.729512952776621,0.5499279644778503,0.11616764816495816,0.690793920294305,0.5235332223312854,0.9654195958899687,0.7872242403982679,0.8267108404456539,0.07786321903103285,0.8259574619057061,0.8701961293123386,0.8471043658863535,0.852104547781642,0.8508184260616871,0.5998561114026763,0.7704257654052501,0.7114158434987721,0.7830617141450874
[IDX] 대만가권,0.9708813744082219,-0.19277145918539831,0.9524019675195483,0.3276054533924206,0.682893690859995,1.0,0.9501750002471724,0.9701317100060921,0.9559093850739279,0.6548041532882579,0.4636348543951426,-0.1287579097513752,-0.548234371754977,0.7046679374503086,-0.4634018493928561,0.9840950906184126,0.9034872694027446,-0.5025171982401904,0.9671770362290821,0.8377757942807359,0.4266013675024089,0.7847766146711387,0.8916881669187899,0.8060768633464532,0.8532397747450976,0.7098954734508027,0.8575682641857688,0.8298804899506013,0.8295218724842846,0.963564511373324,0.9632369676102118,0.8383217288606947,0.8518666277440841,0.8699696926727498,0.9477171780284506,0.9973299827342912,0.6848094033059102,0.9682458181199333,0.7524017265368962,0.8905990322149905,0.9833599990665208,0.4783767590961982,0.9717235388556779,0.9677910199037794,0.9779985701906291,0.04602528894818349,0.9938749023539768,0.27064559814128664,0.7426518223850154,0.6976497616986567,0.8978595290846354,0.6634186331548707,0.960283187579694,0.9416049764058921,0.8582068368831322,0.7541465920470337,0.9347548825880909,0.9745572210908464,0.9725250927137713,0.9988952147170129,0.971714518667486
[KR] 삼성전자,0.9755604899335975,0.07462810364399852,0.9804358735211446,0.19343793814535365,0.6467644364674204,0.9501750002471724,1.0,0.9859657278527334,0.9694619424863667,0.5120886992943542,0.2858922322681449,-0.23987927629449998,-0.6374857128902199,0.8843015747806623,-0.1915683268482379,0.9761779018430248,0.8718835855477857,-0.6003691827759465,0.9951294714433127,0.7198553058633929,0.14349966528905767,0.6238163644619298,0.7597434219984943,0.644153226783729,0.7012148385128586,0.5537147019052601,0.6946993665018406,0.6464254476390793,0.6461245646915319,0.8981286412318399,0.8977278968712816,0.6600985256437385,0.6763525729296516,0.7030409317961872,0.819358735961168,0.9600536122317789,0.45130473893521017,0.9893067515541266,0.5720045939485362,0.98860488289012,0.982215003648508,0.3193895105025211,0.973507836883811,0.9845695105306398,0.9407255682626285,-0.2915142932090389,0.9209854073015763,-0.021783902218810873,0.7094653407485264,0.4980656424750706,0.8042333279923053,0.4950351233270932,0.9361663184767953,0.8665595660827898,0.7136078139312567,0.5832554707180555,0.833498614339086,0.9263104960884414,0.9238322549995676,0.9532794708262885,0.9670608637099513
[KR] SK하이닉스,0.9974338196906113,-0.011422679128007988,0.9956096457831266,0.34705221672498415,0.7478536235254136,0.9701317100060921,0.9859657278527334,1.0,0.943292671278803,0.6394081268900162,0.43077758956249573,-0.09368030477021269,-0.5224415420524767,0.8074421870732406,-0.29428859650219436,0.9771041596326462,0.9362125412388582,-0.483440187361419,0.9949621075140844,0.816996218272576,0.25245652445460776,0.7274259211941565,0.832413074441183,0.743515649564644,0.7868667187377237,0.671535407554395,0.7865151778655343,0.7417674454950091,0.74146431137386,0.9391385433036668,0.9389140815428271,0.7546380442641795,0.76718129381665,0.791247709522371,0.8777386042507845,0.9794434269190438,0.5567356966500473,0.9974973008096464,0.6881898457031818,0.9623509971992525,0.9890100705988665,0.28866141621126973,0.996258435347445,0.9980937713077724,0.9359639645881503,-0.17930282275792303,0.9491568111046695,0.12637276776250814,0.7994601023287088,0.6224595483486157,0.8817093370423709,0.4864895533446747,0.980685529333921,0.9336966184909985,0.8107922019261717,0.7028091728636918,0.9064562326497567,0.9329755265136429,0.9607577423211902,0.9722639974681825,0.9910776375687582
[KR] 현대차,0.9277396456152504,-0.016250371189695044,0.9212505753366286,0.07917053705035242,0.5122448276867893,0.9559093850739279,0.9694619424863667,0.943292671278803,1.0,0.4403760105459866,0.21805775565032787,-0.3780834821504673,-0.7418670805264079,0.851614790242859,-0.2786970777638597,0.9780334651709263,0.7908245687933233,-0.7083709440056242,0.9661696058827566,0.673857872832275,0.20772621330027496,0.6108087696553613,0.7593022598560215,0.6411386966060119,0.7085090140461487,0.5115339601144511,0.6984328068804369,0.6679192282156472,0.6674639008455419,0.8781294461244739,0.8775110132861004,0.6767514175327435,0.6971269198799046,0.7202707720399374,0.8441662628419621,0.957021227910866,0.509173305292568,0.9510351247815071,0.5600433541479354,0.9415599343568485,0.9597596164719208,0.5358661144448967,0.9259704482441593,0.93902937218897,0.9730987363909138,-0.1788166664520555,0.9346550808681632,0.002855616852852599,0.5840108755834479,0.4924087491243793,0.7631614468754709,0.6503548556302301,0.8801690648170404,0.8190114683503643,0.6925437015269941,0.554430280344304,0.8044008657311937,0.9533758019953009,0.9006302141156608,0.9568027579680219,0.9221308710288713
[KR] 두산에너빌리티,0.6858504174630832,-0.45491717425385164,0.6228417918644835,0.9207042446426908,0.916514926969533,0.6548041532882579,0.5120886992943542,0.6394081268900162,0.4403760105459866,1.0,0.9664883227390969,0.6138489161289504,0.22752340936585497,0.09060294705148496,-0.7048943171935106,0.5923823885814962,0.8499491049636336,0.2679385415189464,0.5711628953734136,0.950573011263249,0.7395844361253604,0.9424083341746201,0.8632244112682705,0.9268396265392254,0.8889087432433578,0.9775577020811151,0.8938499890247544,0.8916278421283457,0.8917164735853571,0.7315940355613968,0.7323060364115744,0.8944251499549537,0.8849169868905958,0.8818392250988385,0.7898301797368529,0.6421983009949036,0.8495321684448065,0.5859780310163517,0.952494374910633,0.40204284285194025,0.5978215685868696,0.0646521736141722,0.6551142410923422,0.6137997295048961,0.5248046247600423,0.48143715972636614,0.6890875821870204,0.8024137303746453,0.875179354293164,0.9527758288719709,0.8555058165339939,0.2968465481600148,0.7529496460954448,0.8455293272177963,0.9258558424707005,0.969191502960109,0.8659976642595287,0.5712858710291461,0.7147220016365884,0.6822715747174487,0.6923156202867042
