,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 IT,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[KR] 신한지주,[KR] 하나금융지주,[KR] KB금융,[KR] 우리금융지주,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 아마존,[US] 제타,[US] M7 ETF,[US] 모멘텀 ETF,[US] 반도체 ETF,[US] 소프트웨어 ETF,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 일라이릴리,[US] 존슨 앤드 존슨,[US] 애브비,[US] 제이피모건,[US] 뱅크 오브 아메리카,[US] 모건스탠리,[US] 골드만삭스,[US] 이즈코프,[US] 이머징 마켓,[US] 선진국 마켓,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드,[IDX] 닛케이225,[KR] 코스피200롱150숏선물
[IDX] KOSPI,1.0,0.0260759569870624,0.9906439341948422,0.5871323354839036,0.6413542359699008,0.9614912284346134,0.9581335460018288,0.988987285304714,0.8529825075209838,0.7547457988887294,0.4210933422724393,0.2968076136245567,0.043573880864729235,0.6832512735724473,-0.40462175016921575,0.9779839692933957,0.9663279831333306,0.9861965200520383,-0.25988284121233773,0.9872546909262759,0.7833579484766777,0.3123695743233632,0.8548332346753965,0.8997696201728786,0.8946055132602913,0.8747541658032124,0.8236211245888984,0.770473861269425,0.7533430182984158,0.7537834787500698,0.8396385751847306,0.8414829847478715,0.7553273278442961,0.7663235829074158,0.7870069985632151,0.8284195557831856,0.9632762459285226,0.7146087944568541,0.9727980516881537,0.6576800946592586,0.8466634016505492,0.958076337733929,0.3829276556685261,0.9954718729572604,0.9935884526713792,0.8515585247812663,0.5507982855997932,0.876141734762947,0.687795122079692,0.43086974713201703,0.669630244045625,0.747944962047259,0.9258239087096566,0.5213286853258461,0.5225539089931828,0.6157594007127789,0.7360584399862997,0.5902439580411629,0.9860707925755519,0.7559584940613744,0.72465947814984,0.7660154735270661,0.8679514777988396,0.7988604349792476,0.9484241650405577,0.9037369791855597,0.8038252191848986,0.7587882463118757,0.9056381404347873,0.894078091176157,0.9520807871487387,0.9592605325720395,0.9895178190204107
[IDX] KOSDAQ,0.0260759569870624,1.0,-0.00850465015266001,0.20098641160224845,0.39404918602722405,-0.20436025510188707,0.009219705697849866,-0.03659777372307624,-0.39918137279319393,0.1414504862285592,0.11371250022176332,0.7534697835447617,0.5909325149542864,-0.1495821245109197,0.4401205750806722,-0.0785153954016448,-0.017368743215345796,0.06501061912659346,0.6977918514796564,0.030463798265124922,-0.027821584962063398,-0.43005628599770485,-0.13499315386600677,-0.2652569102623186,-0.1517425732975421,-0.18063339400745143,-0.03088034696905924,-0.3070828301116695,-0.26133216303606693,-0.26174895177887014,-0.24872150123230335,-0.24835441908990577,-0.2539875758161238,-0.18190515406851243,-0.19070423104827672,-0.16489745826739877,-0.19252104160501565,-0.26184157916508494,-0.05761553421593692,-0.05112710781695432,0.2783286924644693,-0.20173569270750077,-0.6323362897470005,-0.05461538356389378,-0.04640528704620182,-0.3286707185941408,-0.2508852863641115,0.009946354064278306,-0.24927487434177972,-0.7652170225176821,-0.17482489496512926,-0.20520765362979798,-0.20089598553450908,-0.1061942157779184,0.3574853292741981,-0.25454699714609175,-0.6109096227600538,-0.7249955037011727,-0.0562464121052552,-0.35514882332938896,-0.15509525748871153,-0.2264041129721041,0.004513548366843542,-0.10158511099867196,-0.090898208237292,-0.08039518566036757,-0.2260623391548456,-0.12154313106806885,-0.09310526520361245,0.12471181255417779,0.1774730141990509,-0.1025407630574928,-0.07665337666791827
[US] 한국 추종 ETF,0.9906439341948422,-0.00850465015266001,1.0,0.5030509891551075,0.559244177574348,0.9474791608313822,0.983260792428018,0.9974447130541925,0.8883729147681869,0.6727397910496313,0.3077244444935852,0.20715272148940375,-0.0753388013942466,0.7721504816672231,-0.3246554019843097,0.9675985051576653,0.9891669981514242,0.9618565416152118,-0.36346351404428456,0.9967712313607853,0.7073901691310925,0.23646584926178107,0.7967059138956746,0.8668422670742422,0.8455306093978192,0.8251103471281123,0.7535782614969397,0.7111370832306972,0.6891768474092775,0.6894128263829843,0.7881782694688269,0.7896971571239698,0.6908467191183242,0.6999269606973831,0.7234898774081735,0.7715404832677124,0.9510940510899104,0.6479441376503031,0.9937823758937824,0.576722114623001,0.8776392657969367,0.9730409877213588,0.3320039649296408,0.9946558681434301,0.99742518110932,0.8148397765352788,0.47066835842015997,0.8167530213157747,0.6173819207313009,0.4142806622132992,0.595264556303227,0.6807756972331674,0.8926261305212237,0.43722274926181587,0.439861474331676,0.5397172514052101,0.7252296888332248,0.5893709978899773,0.9925216380245002,0.6978607889083003,0.6515839866028845,0.7001754397181659,0.8066388643026362,0.7318454852209051,0.9114460449743707,0.8568753864543369,0.7445504586794836,0.688132235182093,0.8578198987725636,0.9246150232127376,0.9603820291276305,0.9277257743603681,0.9933286624603933
[IDX] 항셍,0.5871323354839036,0.20098641160224845,0.5030509891551075,1.0,0.9537009758190665,0.6184711252488146,0.34100547755592486,0.46810896547244235,0.26959657380459007,0.9598874888754585,0.9611384574356805,0.7035018725741641,0.7382031886722076,-0.16695330916075105,-0.7752714309468564,0.5960793011715755,0.3649532104936593,0.6828046778634415,0.4777122615520132,0.46321921545807165,0.9282693684289861,0.7118443893849222,0.8563987658405426,0.7162277210153402,0.8074108773115362,0.8117782699697025,0.9120642408026971,0.8008304134477502,0.8392932815609131,0.8385651801634534,0.7813651984042148,0.7799600754275093,0.8415069342973159,0.8787107000780818,0.8656168393593534,0.8478199068113186,0.616006688012304,0.8562692921946328,0.41223965445341326,0.9519415197221092,0.2238976913946037,0.437393688042891,0.5276548206940014,0.5584186500747489,0.5253601601071847,0.6950137292335594,0.8631851101850049,0.8898907924062607,0.85320407341874,0.26342786113211625,0.9072290553148754,0.8746652877695378,0.7306149416268868,0.9226220835425603,0.9455730850017303,0.8780676868983688,0.3389834948883103,0.18924765788965714,0.4965622674402312,0.779124511546068,0.9110051692111352,0.8602025744849994,0.8985594303170447,0.9064701159654108,0.7694906248970734,0.8344086190564192,0.8389536726598605,0.9149052852034655,0.8261186209279838,0.2337440795672289,0.43046627981958985,0.7354782743901149,0.4952556196146065
[IDX] 상하이종합,0.6413542359699008,0.39404918602722405,0.559244177574348,0.9537009758190665,1.0,0.5852267708034458,0.43038052104743885,0.5276730110673981,0.2422618637732899,0.942672698469264,0.8743911511857207,0.8136102507680067,0.7599018658704001,-0.07541763785830848,-0.5715204792667685,0.6298090184062264,0.443769492555949,0.7349459523674324,0.507169297976518,0.536254544279095,0.8593070095024472,0.4807445863195753,0.7881398295390294,0.6422720339795561,0.7497786536696079,0.7417650520304168,0.8584527322938709,0.6695287916686928,0.7098879336003614,0.7093879755169709,0.6758011043209312,0.6751328449899112,0.7133652531741802,0.7657451245718485,0.7565520958613526,0.751593348552522,0.5868671232769056,0.7209902626121855,0.473813456240572,0.8489540308757536,0.39590265357977217,0.4484015670810523,0.28199502445716046,0.5940457599972897,0.5711002598455334,0.5831164583340102,0.6979357852076041,0.8505129331406844,0.7161215496151979,0.038049588694891216,0.7741952262051421,0.7532957785726624,0.6702374278464884,0.776419871378803,0.9169320353938747,0.7252325989394418,0.2094152558169065,0.020917679858513352,0.5502493157039076,0.6411492802919451,0.7997411329503927,0.7419216826160772,0.8590938257316555,0.8212678953030109,0.7456324396296703,0.7814321194416691,0.7303254749679059,0.8172366588243642,0.7788168963965948,0.382903468609127,0.5628979883211463,0.7076997558082663,0.5457006876700496
[IDX] 대만가권,0.9614912284346134,-0.20436025510188707,0.9474791608313822,0.6184711252488146,0.5852267708034458,1.0,0.8931883867437926,0.951904484944376,0.9174264725481517,0.7601286100722594,0.47618218284374036,0.14446904570999655,-0.027032053634444938,0.6361209493739823,-0.5821512140612395,0.9714726358887678,0.9136363602180637,0.9464616201855302,-0.3506473702873927,0.9339066110727375,0.8363846705689887,0.5159770759651645,0.9169268329571123,0.9751175619407227,0.9486544996853848,0.9409331692719568,0.8677952240898914,0.8909326525432832,0.8701958382732328,0.8703264642440508,0.9358841482874103,0.9367220689764221,0.8705252863875822,0.8662083624583227,0.8842907343096476,0.9140411602532873,0.998311051828458,0.8381738503904511,0.9306425380780406,0.7423329680394277,0.6933195282217804,0.9677634799107971,0.6068788082732157,0.9707054302300328,0.9611613135009187,0.9532236068611296,0.6980749163481668,0.903719495350489,0.8102321522611234,0.6428738342698095,0.7854428668284593,0.8556309569888441,0.9849889824221368,0.6453756091104109,0.5198653039483586,0.7517029926517432,0.8659588491983141,0.7519247724629025,0.9487661775237962,0.8823876439973848,0.8199664770567141,0.8700948189010309,0.8974282127269261,0.869979405175134,0.9710356660808732,0.9499620709627137,0.902705496842693,0.844312300004295,0.9514898943956981,0.7759159814901694,0.8403530186303965,0.985590277621635,0.960828627264026
[KR] 삼성전자,0.9581335460018288,0.009219705697849866,0.983260792428018,0.34100547755592486,0.43038052104743885,0.8931883867437926,1.0,0.9858188928402527,0.8758495762886811,0.5432052200847259,0.14990106511317539,0.13856478466681263,-0.18807639469928447,0.8510858354145069,-0.1736317796409802,0.9195022119083879,0.9977676606616176,0.9070761014782162,-0.44362078365257834,0.9900152283371979,0.5781921555997073,0.08120864210449281,0.6835671880608275,0.7809404364327944,0.7471081089385616,0.7202932464575024,0.6330365815439037,0.5969649070737828,0.5655593839307209,0.5661010954708551,0.6875623339763497,0.68994093546793,0.5671038155978867,0.5715756898582038,0.6001699463106488,0.6569321072493292,0.8996913316210571,0.5146990984505154,0.9926203020362129,0.42347818283244754,0.93262914370209,0.9562343305229963,0.22136051531373777,0.9669278926361584,0.9769289021416432,0.7365460249096649,0.3163240090855403,0.7083816376532713,0.478889903642835,0.3661315581398708,0.44867191744990775,0.5497863703639082,0.8136876346035937,0.27167890710593623,0.29784801781122894,0.3909194082062417,0.7081515592087341,0.5845012541714742,0.9782940879186192,0.5892738901482872,0.5156737449886294,0.5771179494410622,0.696540921503127,0.6064616976440527,0.8351791338942256,0.7576453193848155,0.6272188400868204,0.555182402043193,0.7623285712433524,0.9705005652564889,0.9719619417893074,0.8589411283239748,0.9756767030594834
[KR] SK하이닉스,0.988987285304714,-0.03659777372307624,0.9974447130541925,0.46810896547244235,0.5276730110673981,0.951904484944376,0.9858188928402527,1.0,0.8983287404776795,0.6536810282246514,0.29065626713989157,0.179911252556025,-0.09933284473207611,0.7796907082939862,-0.3241332123233439,0.9667955110450325,0.9922354550280856,0.9546524261164377,-0.3875364508759415,0.9968610169856456,0.696793081648898,0.2339386894991578,0.7902579849612217,0.8681123181915343,0.8422337255562647,0.8208120689191355,0.7432227642472125,0.715675344101194,0.6888868365375357,0.6893654264948489,0.7926603565265797,0.7946753953321983,0.6902919584326865,0.69403022607406,0.7191714472043753,0.7673074979765138,0.9553117796699311,0.6439991965095619,0.9951817353581589,0.5582885601079743,0.8785895670056257,0.980074996968147,0.3501774514778811,0.9948069971386476,0.9979310118292379,0.8253115530207144,0.4619688048305349,0.8054467332832095,0.6132333896231429,0.45429317378688705,0.5836531682988982,0.6753234754891537,0.8949069813516733,0.4163292325491524,0.4014638828120801,0.5315480349870153,0.7668879302306206,0.6371267025171468,0.9934348295282381,0.7051334151973252,0.6411413308610039,0.6970878505958156,0.7950533120189412,0.7215513796648558,0.9079486960220898,0.8505484526641783,0.7430389580169199,0.6775681919000099,0.8527936363627869,0.9305957991566248,0.960143308835326,0.9271899094065205,0.9963041509809833
[KR] 현대차,0.8529825075209838,-0.39918137279319393,0.8883729147681869,0.26959657380459007,0.2422618637732899,0.9174264725481517,0.8758495762886811,0.8983287404776795,1.0,0.44524022730786295,0.12030435531416876,-0.20377746660327317,-0.4031777513445857,0.820307615359274,-0.37504182992566615,0.8896697297054044,0.896661415054733,0.7894471659157396,-0.6604079176733801,0.8720805574987356,0.5634323718358055,0.3455112808638519,0.699800632319717,0.8419471870162772,0.7576113415912553,0.7519668484089307,0.6053178019322785,0.7227271945529523,0.6745356903157327,0.6747118559181391,0.7804519372798471,0.7818788739468471,0.6735710120627373,0.6439710002510147,0.6722346137993179,0.7143906869340481,0.9176215546862225,0.626790434851864,0.9110299403620324,0.45452386098109393,0.6946115528084401,0.9628027130163102,0.5440571241460086,0.8936705307216136,0.8962157041008996,0.84208475043442,0.45700142949240846,0.6653958736248139,0.6024564015796161,0.7330283936729318,0.5343892476401156,0.6358502203068124,0.8512289080677717,0.35184082785743814,0.15504265201292086,0.5122102229543234,0.9331912452577558,0.8724788988346441,0.8895314189142889,0.7155589045062039,0.5647425284842061,0.6549340918963221,0.6540030717327445,0.6238938070255273,0.7983402677972836,0.7625151336861007,0.7123567739373778,0.592598369598094,0.7572591643021543,0.7945458307853097,0.7879951174428611,0.8497089104963991,0.8956179014911213
[KR] 두산에너빌리티,0.7547457988887294,0.1414504862285592,0.6727397910496313,0.9598874888754585,0.942672698469264,0.7601286100722594,0.5432052200847259,0.6536810282246514,0.44524022730786295,1.0,0.9054815632922272,0.6494200613245226,0.6163868966083307,0.04206984795755216,-0.7474821790248798,0.7576392680096972,0.562064767369384,0.8371890310542247,0.30697168545329084,0.6466944095130265,0.9694619917921352,0.6542582187680608,0.9321339722044452,0.8262052577923397,0.9038615746865007,0.9006964974986086,0.9713258258974178,0.8598342893088797,0.8869699071824876,0.887085326629697,0.8600081287133431,0.8602344094669306,0.8895558820477625,0.9217019436828178,0.9164992890529935,0.9083301007314355,0.7548676891793109,0.8917371969656234,0.5951425656033736,0.9538023661124453,0.40656402082269,0.6099627045224896,0.5276190764954191,0.7224975894649038,0.6960106570316613,0.7860264492034853,0.8581058540477354,0.9605589044897005,0.8865140200348908,0.31096536655825824,0.917948383132538,0.9138511671043886,0.8406749176573861,0.8908952599357557,0.8926911406768278,0.8850664684766872,0.47046050052166216,0.30372388288511865,0.6774254853928487,0.8397267025320223,0.9418710378676548,0.911758865961697,0.9671901459301439,0.9560557316498137,0.8864373175467306,0.9102266252131095,0.8980813172768644,0.9523762592222759,0.9166155354899703,0.44255066276783145,0.6123552593004125,0.8503377846766459,0.6824284066618507
