,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 IT,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[KR] 신한지주,[KR] 하나금융지주,[KR] KB금융,[KR] 우리금융지주,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 아마존,[US] 제타,[US] M7 ETF,[US] 모멘텀 ETF,[US] 반도체 ETF,[US] 소프트웨어 ETF,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 일라이릴리,[US] 존슨 앤드 존슨,[US] 애브비,[US] 제이피모건,[US] 뱅크 오브 아메리카,[US] 모건스탠리,[US] 골드만삭스,[US] 이즈코프,[US] 이머징 마켓,[US] 선진국 마켓,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드,[IDX] 닛케이225,[KR] 코스피200롱150숏선물
[IDX] KOSPI,1.0,0.6362670619031159,0.9932550078284765,0.6253765776483836,0.7908163749791672,0.9639291252286104,0.9853542246872272,0.9808859269611927,0.9141914427667355,0.8469157946945922,0.653888492623462,0.33748562170211455,-0.07736789601530746,0.8390325915644722,-0.00016498003060918514,0.9327172121537343,0.980062187876074,0.9518505089974463,0.1733385873278394,0.9916007405769152,0.8925576004576153,0.4949288249240178,0.8872273769155216,0.9150395701286225,0.9087402124143573,0.8900356199214368,0.8584228696322589,0.8240412831226424,0.8253950306713355,0.8253162772305871,0.8873959312663268,0.8880075501119018,0.8275114894592323,0.8452091843777136,0.8705157203865342,0.8894350655591015,0.9715550903774316,0.7615773304906328,0.9557243111439073,0.8137860563140257,0.8980749666836568,0.9173551035381207,0.3283991128293138,0.9747511882731008,0.9845551424515068,0.8209528100164291,0.09073742528088687,0.924679769611923,0.6940102664595328,0.3395986681934158,0.7210816166148135,0.8651721711871102,0.9668746630939996,0.10752771932318765,0.5631059519410287,0.7221794969917711,0.8144830097230138,0.7677849717461259,0.9208900731454934,0.728460170845686,0.7286546995370113,0.7464646696863793,0.8757655196448589,0.8678674997009268,0.9580294231437826,0.9485462470648078,0.8742431209526421,0.791429645612576,0.8274237223138627,0.8455932604769288,0.9084202357881741,0.9677791316568553,0.9374616768163768
[IDX] KOSDAQ,0.6362670619031159,1.0,0.6133723560853518,0.409993556439042,0.5739656281114901,0.4909441905127265,0.6040473284386967,0.5048689081431759,0.7907020756131399,0.72618405564022,0.547699241136708,0.379578138072007,0.37492874540027166,0.3921017975332153,0.4166052192788383,0.8018943696377501,0.533951890810465,0.7335079851486559,0.6186320488742164,0.6276784462225518,0.7644358857589835,0.5884919822189434,0.5874575941304887,0.5664536386276603,0.5752962384461238,0.5256286814662343,0.6317991898998181,0.40223647247430055,0.41995797367862303,0.4196974483808028,0.46646024094291094,0.4667216893793228,0.42001249655196177,0.45244346273016695,0.4485863532402275,0.4457369746070127,0.505922665353401,0.4119703353553988,0.4329781000653877,0.5067187415246873,0.49841159737120194,0.4021768833763523,0.11384018587934835,0.48970734570605545,0.543074763782197,0.34447337734327504,-0.031181133352568828,0.6375318876005374,0.3195626838757613,-0.0684655142610527,0.39234975788385673,0.39772882453758657,0.5215583999785518,-0.19021946457084238,0.35894290652433386,0.4801447743046729,0.33766692994999553,0.35182077873811585,0.595374743606447,0.29881232086401666,0.3302319517501948,0.31479151556605534,0.4365448405920905,0.4714780806041355,0.569909755283112,0.5826992109369126,0.559846498615893,0.6186016805164677,0.7403817738125394,0.490945723208561,0.5644488302035077,0.5735812487812408,0.3519358359157185
[US] 한국 추종 ETF,0.9932550078284765,0.6133723560853518,1.0,0.5920506045023761,0.7587717320713478,0.9668603543612302,0.9879040692704626,0.9788921998050781,0.8892620675476033,0.8188399262975384,0.6029367567464912,0.30067491650758266,-0.11215036595402875,0.862879841196589,0.024539982210100918,0.9098027285961097,0.9816418157730107,0.9431040969098309,0.09850437360715712,0.9884833933174944,0.8594944504495279,0.435096487612318,0.8765687237672127,0.9123425955215384,0.9052214259665647,0.8822873591577894,0.8478374148221787,0.8111280944531846,0.8124791913717702,0.8124861527707784,0.8842056946971001,0.8848626646651461,0.8150211642864622,0.8321235168278364,0.8587855969228363,0.8847615651863502,0.9767364557175211,0.7464258578150228,0.9700128661667407,0.7893286412062656,0.9186709511448298,0.9357013207444898,0.34230890828301913,0.9833206221295122,0.9855289646209864,0.8229120920878783,0.1196697071361043,0.9110952673226335,0.6740891438781057,0.37385123950254945,0.7005719830804694,0.8512435377761137,0.9649920783036839,0.10657234149849693,0.5196738714411525,0.6775846404544469,0.8201546968194064,0.7709366742634942,0.9289696340745991,0.7293838031620934,0.7109071184954189,0.7358571966576236,0.8604459368330492,0.8475089906253417,0.9487673637222218,0.942962141470401,0.8650596197125445,0.7640910876112672,0.8088655402922248,0.8670245683811858,0.9210196963825613,0.9635050359122246,0.9473659974931256
[IDX] 항셍,0.6253765776483836,0.409993556439042,0.5920506045023761,1.0,0.9291013444654366,0.6613182363996182,0.5014076079349172,0.5504917374857381,0.524773021922315,0.8651778380294134,0.9293138030125204,0.6423575146297221,0.2709113249269078,0.24481925792407563,-0.5300204352984952,0.593565305325501,0.5028974675157148,0.6656272529270858,0.5999440435544442,0.5407534930739946,0.7831979739299726,0.8027814218323788,0.8482711238716282,0.7816671197948312,0.8054247964018909,0.8233612031013618,0.8650381701307821,0.8325058390086575,0.8566293111862348,0.8565885368517768,0.7243921748871146,0.7253579838105708,0.8512623504966197,0.8510359676960917,0.8329546236846621,0.7343255773700343,0.5867321331610553,0.8708606886730631,0.5165539452457965,0.9015900461287129,0.3265157862187652,0.4569546766039597,0.13105307423331458,0.577333821388419,0.5781369161417154,0.724450765214924,0.5347648397935849,0.775149013863957,0.8083733640042191,0.3871903904083323,0.8963961085213743,0.822036051152516,0.6909109688874878,0.6210272737926594,0.8071334832138934,0.9120528699127569,0.7280058042060804,0.5952931699815306,0.6833188344991259,0.7971661977917204,0.9063237687860991,0.8309056789791593,0.8477132353193155,0.8707059169110439,0.7434050161154003,0.8073692218122921,0.8623696152538449,0.916054059258656,0.7917351653596444,0.41235595723392665,0.5758021741059617,0.683234382784736,0.555972547497652
[IDX] 상하이종합,0.7908163749791672,0.5739656281114901,0.7587717320713478,0.9291013444654366,1.0,0.7920080424326267,0.6917815960363474,0.7209542965624725,0.7060814055084632,0.9349670626056128,0.8995628591886771,0.6262367292754577,0.2423743873537706,0.4326425024858583,-0.31411663088458097,0.7664306272506447,0.6866713221495253,0.7997675190701506,0.5439520805839955,0.7257044300749269,0.8836650895621027,0.7721729543805934,0.9093782365413764,0.8666696271774817,0.8761947805234441,0.8870023497039135,0.9252183565611541,0.8808961753789835,0.8938750763610152,0.8937583314709912,0.8337869307850531,0.834304961341685,0.8925419795352466,0.9035053757589344,0.8926377404816579,0.8335019271338228,0.737819232564427,0.8829661671133784,0.6775838435737788,0.9326267990767783,0.5440578067132338,0.6267447239262116,0.17219600728086046,0.7293263284956777,0.744395283295444,0.7925078443666207,0.4000280436042146,0.8998304124035398,0.8219355193905776,0.35771748042135765,0.9038121843351627,0.8693487200404597,0.8156711011243412,0.4863203597762211,0.8396353503940414,0.9100814405260256,0.723973431757218,0.6539042677577664,0.8102008547427382,0.796981030802516,0.8915573384489047,0.8503526640614212,0.9134768430015522,0.9234404483233384,0.8577273740641272,0.8997946629594601,0.9005386897144337,0.9455189845168178,0.8895971209937904,0.5584014894083835,0.7087360090154046,0.8351861741742581,0.693387713794444
[IDX] 대만가권,0.9639291252286104,0.4909441905127265,0.9668603543612302,0.6613182363996182,0.7920080424326267,1.0,0.9453860820033645,0.9584187806911508,0.8398518562107378,0.8064611836580956,0.614686015040957,0.27351664765075534,-0.19762955782987637,0.8157526702312009,-0.15633096532651242,0.8644857904456474,0.948711791917298,0.9020269762019325,0.04691015974921436,0.9511763092275954,0.8429633417946019,0.4908026566777917,0.9137331043572868,0.9486552390198362,0.9386303001562949,0.9345723275341592,0.8725857707703436,0.9025739398927922,0.9019400404255431,0.9018648953622862,0.94850589920434,0.9488263707427359,0.904156641048162,0.9088897604614976,0.9282623181176262,0.9407505362535784,0.9823693710220981,0.8432109516362385,0.9634223456619172,0.8426124594173295,0.8542106964255554,0.9331991373632187,0.40412749727868746,0.9737739941407754,0.9672798592630074,0.9100552835822342,0.23450485221504275,0.9301088747113488,0.7975786881573552,0.5377535921491403,0.8049532233567883,0.9227909055866999,0.9895440156974865,0.26500786404487187,0.5901831301898758,0.7584665089469519,0.8851348374168104,0.8510330222671402,0.9303206868585221,0.8225265146737725,0.8145873254696281,0.8513362325256838,0.9260342783383039,0.9103012648420933,0.9628840486447444,0.963318019503515,0.9033151020771514,0.7998255726597113,0.8062264152444842,0.8630361547226076,0.9234998911417738,0.9825838981138004,0.9529998278766836
[KR] 삼성전자,0.9853542246872272,0.6040473284386967,0.9879040692704626,0.5014076079349172,0.6917815960363474,0.9453860820033645,1.0,0.9822552835106969,0.8986487581802117,0.757007885015059,0.520749383371454,0.22472351807758978,-0.1818633046430133,0.8972114389408501,0.08690400575235614,0.906719006331225,0.9911696544228674,0.9212920919933587,0.02078035537250718,0.9949551728471621,0.8229288093846547,0.3594748014337173,0.8177831646606372,0.8631038009247244,0.8515534881123448,0.8271811472018648,0.7834487538989009,0.7516588371051106,0.7478996827870189,0.7478167604620064,0.8417053322131078,0.8421962296290427,0.7511234602527103,0.768936600642017,0.8011791638091544,0.8399669760492935,0.965184746301239,0.6718911377178651,0.9685621295358656,0.7181642874935936,0.9381844510965094,0.9311820138814685,0.33756530503367743,0.9747460697304723,0.9830419918817177,0.7781368787208786,0.0026607301464579972,0.8716201407621965,0.6077589337974368,0.32705860566358097,0.6213759806147487,0.7987613069756142,0.9381714687045123,0.00023989171863609242,0.452459269040322,0.6144838191377416,0.777596155694272,0.7460673149949648,0.8985066682349085,0.6672841392483226,0.6341009353545024,0.6681666757706458,0.8067092723392173,0.7915919727568228,0.921423649324926,0.8957632056068001,0.8041686228734196,0.6973805230970181,0.7608364872925361,0.8724709420242783,0.9072720829650393,0.93917625014034,0.9425051280189366
[KR] SK하이닉스,0.9808859269611927,0.5048689081431759,0.9788921998050781,0.5504917374857381,0.7209542965624725,0.9584187806911508,0.9822552835106969,1.0,0.8507252238358304,0.7532422234660673,0.5533095864294434,0.24590191915505083,-0.21058780182594908,0.8798127152378457,-0.033579320963681866,0.8623168475276292,0.9954853014054057,0.8930889540927696,-0.0031910644413985587,0.9854750569637222,0.8029535458586321,0.3620669778404411,0.8251654545617355,0.8664764771239984,0.8568544909210127,0.8441247791765955,0.7804658625080404,0.7963498101583437,0.7938119365459374,0.7936512294583514,0.8666524588213306,0.8671108658519907,0.7965885614462779,0.8127689318124033,0.8462691661662363,0.8823400021347848,0.9790296786248391,0.7184193707472534,0.9818896313621684,0.7579451173779151,0.9304343201371286,0.9479465677898244,0.38209332756372394,0.9850059381807134,0.9884801997569262,0.8180409456246105,0.056570254592897364,0.8767602816356604,0.6684826636638236,0.3710217505751923,0.6765307573668493,0.8544371485787731,0.9581908723176198,0.11000945596468845,0.5107434430729128,0.6532997465820125,0.8049406060657321,0.7711551176398357,0.8809599169991094,0.7141725349213153,0.6938225397065085,0.7225669227410239,0.8521386978082245,0.8305313980242711,0.9307797721530162,0.9106846229322807,0.8194084050198042,0.7047532336407668,0.7345214818334224,0.8429292980197473,0.8845829467555228,0.9451131254811646,0.9702778991958926
[KR] 현대차,0.9141914427667355,0.7907020756131399,0.8892620675476033,0.524773021922315,0.7060814055084632,0.8398518562107378,0.8986487581802117,0.8507252238358304,1.0,0.7956813730726687,0.5811729331147213,0.25119841264614134,-0.06384456715001662,0.7640377484143199,0.14594576425104988,0.9854196972040931,0.8649033526370196,0.9024021237973205,0.27470227882560344,0.9074964189228685,0.8908724918349109,0.561292168370421,0.7937473063268464,0.8129718780909121,0.8053691029522846,0.789585860137561,0.7738012130334319,0.7000116248208951,0.7043991924588889,0.7044471009202654,0.7787391508857578,0.7788814992382104,0.7061130125264892,0.7211537841245671,0.7360594166955582,0.7563413918171357,0.8434023535685503,0.6652296120321232,0.7979104602449963,0.6956559327542773,0.7642584071982658,0.7410175252385027,0.335089696082096,0.827212935811749,0.8657298473904317,0.6859319987388152,-0.0374162847494386,0.8500730711694565,0.5868810081754885,0.2853090681156832,0.6157281115661483,0.7174822202982071,0.842829407420539,-0.06377550103010622,0.4804371970077279,0.6813757845002646,0.6909856038317557,0.7017494582541367,0.8131303977486136,0.5666766534965186,0.5718854219056609,0.5954647805193738,0.7284529014646335,0.7425956059494507,0.8506303119390572,0.8349114445650345,0.7688660283273251,0.7485512552883337,0.85166593588503,0.7682132538943417,0.8176401220147255,0.8588829299160552,0.7505208973635616
[KR] 두산에너빌리티,0.8469157946945922,0.72618405564022,0.8188399262975384,0.8651778380294134,0.9349670626056128,0.8064611836580956,0.757007885015059,0.7532422234660673,0.7956813730726687,1.0,0.9175509660608321,0.6041131447182233,0.28381457509024793,0.4919146635342898,-0.18245869149522262,0.8444561925350198,0.7345962287149777,0.9048042002049465,0.5853514658431465,0.7882554709791264,0.9539490593480652,0.773943964908503,0.9386772551124597,0.9039558015059651,0.914087125747786,0.9035780883135531,0.9551045251482156,0.8389802484428776,0.8642604625277063,0.8641092213121095,0.8171895057846243,0.8181949061647142,0.8616648977185037,0.881617702410381,0.8762778521207485,0.820616713087393,0.7716913271996377,0.8599072774099515,0.6994089082350986,0.925207598997648,0.6005790036044224,0.656748334317563,0.17228876626675538,0.7637788846169966,0.7819523493695403,0.7546796348458775,0.371433594553493,0.9103388263354074,0.7688387731100941,0.2856039044636683,0.8545353578130845,0.8480662608136237,0.8383570993049076,0.3556865767825015,0.7550753528554977,0.8798383430341941,0.7494069671107869,0.6428910930556893,0.841152210833874,0.7467659405677196,0.8423437173848506,0.7933290529947239,0.8776653681758032,0.8994228170183013,0.8795148438774906,0.9153988412215494,0.9164479772065973,0.9450491176440257,0.9143659307522803,0.642356777404673,0.7705729835779457,0.8508261859957308,0.706209085900102
