month,day_idx,n_years,median,upper,lower
1,1,32,0.0,0.0,0.0
1,2,36,0.0,0.05870675478637827,-0.05870675478637827
1,3,36,0.01946077438496574,0.12309693974799713,-0.08417539097806565
1,4,37,0.014978292096088142,0.12651220885016412,-0.09655562465798784
1,5,36,0.029744858317659384,0.18105312190233933,-0.12156340526702056
1,6,36,0.020848291180202816,0.2016675100492167,-0.15997092768881108
1,7,37,0.027234235265812923,0.25768417128155313,-0.20321570074992729
1,8,36,0.049124031465767604,0.2832033868402219,-0.1849553239086867
1,9,36,0.05028123579774402,0.24220574521161514,-0.1416432736161271
1,10,33,0.07776384201018394,0.2346410901025759,-0.07911340608220802
1,11,24,0.07014294788817993,0.311312190722851,-0.1710262949464911
1,12,33,0.09451692821430147,0.24404091518413024,-0.055007058755527305
1,13,33,0.06504207365727688,0.3654852170621121,-0.23540106974755837
1,14,32,0.06563414732920186,0.3716917503183805,-0.24042345565997675
1,15,35,0.06235970506369071,0.3555432135812862,-0.2308238034539048
1,16,37,0.07121172406677911,0.37883782742058003,-0.2364143792870218
1,17,36,0.12391883985380225,0.43152158782914685,-0.18368390812154234
1,18,37,0.0917606210464963,0.4945105101150852,-0.3109892680220926
1,19,37,0.138762801219802,0.4944071123204429,-0.21688150988083887
1,20,36,0.07886174796360207,0.5587937962514673,-0.4010703003242631
1,21,31,0.10779937768982473,0.5417325909391173,-0.3261338355594678
1,22,22,0.12881618879486118,0.4648736316358109,-0.20724125404608856
1,23,2,0.12120615936439127,0.2799027964177568,-0.03749047768897423
1,24,3,0.06653514796242832,0.10030212421875861,0.032768171706098026
1,25,3,0.11882738624097455,0.24702341594483124,-0.009368643462882131
1,26,2,0.29560179766917277,0.449694478020082,0.14150911731826352
2,1,36,0.13660064972553115,0.5748132974752932,-0.3016119980242309
2,2,37,0.1701895161994913,0.5185924330101269,-0.17821340061114432
2,3,36,0.19054834748152655,0.6811473544306191,-0.30005065946756604
2,4,37,0.16066427869979094,0.42703425787312665,-0.10570570047354477
