month,day_idx,n_years,median,upper,lower
1,1,30,0.0,0.0,0.0
1,2,34,0.004570529917723942,0.07129500344817005,-0.06215394361272217
1,3,34,0.02081722467689917,0.10575461820305582,-0.06412016884925748
1,4,35,0.024119645785773303,0.16535479431292988,-0.11711550274138327
1,5,34,0.03259036805149168,0.1948987922958204,-0.12971805619283705
1,6,34,0.013510579892537566,0.1766772842394025,-0.14965612445432736
1,7,35,0.0010484982550704736,0.20407515726947845,-0.2019781607593375
1,8,34,0.03482814974910142,0.2402806954242458,-0.17062439592604295
1,9,34,0.03974007250458905,0.2631170953802622,-0.18363695037108405
1,10,31,0.07533681043539542,0.3534411655473996,-0.2027675446766088
1,11,22,0.06653122548017232,0.37639159593579424,-0.2433291449754496
1,12,31,0.09709084979668425,0.302503089757292,-0.1083213901639235
1,13,31,0.02692244657869447,0.3374338416125872,-0.2835889484551983
1,14,30,0.037268073413701586,0.35432279451067233,-0.27978664768326916
1,15,33,-0.014368951961890364,0.2862060783434782,-0.31494398226725895
1,16,35,0.016032973287281482,0.3314124728190196,-0.2993465262444566
1,17,34,0.02185657326648166,0.4163966034057564,-0.3726834568727931
1,18,35,0.026526438904335148,0.5222570853893619,-0.4692042075806916
1,19,35,0.019398053803379334,0.43444646514485735,-0.3956503575380987
1,20,34,0.05050894473510492,0.45433192636010533,-0.3533140368898955
1,21,29,0.051545353999622345,0.4564004492191092,-0.3533097412198645
1,22,20,0.13132904457139094,0.4418481819302525,-0.1791900927874706
1,23,2,0.08737720024172274,0.29940931446075303,-0.12465491397730752
1,24,3,0.16692705645350714,0.3956273837163218,-0.0617732708093075
1,25,3,0.26670646279035815,0.4792560671801353,0.05415685840058099
1,26,2,0.34101084145894844,0.42480356442129275,0.25721811849660414
2,1,34,0.12573160456092286,0.4706829972459374,-0.21921978812409165
2,2,35,0.14051674121793978,0.4464632281832181,-0.16542974574733854
2,3,34,0.14193337758321012,0.5466526631321886,-0.2627859079657684
2,4,35,0.14338443675312518,0.4384434169333979,-0.15167454342714753
2,5,35,0.1819675092003682,0.4838538600228407,-0.11991884162210431
2,6,34,0.1455488705951566,0.5925755889246833,-0.3014778477343702
2,7,35,0.11386264373620791,0.5278564498684689,-0.3001311623960531
2,8,35,0.1518515457859313,0.5674414140823874,-0.26373832251052476
2,9,34,0.16649796638536457,0.5294099917722207,-0.19641405900149156
2,10,35,0.19637737712439807,0.4939077449571842,-0.10115299070838807
2,11,21,0.27480958344169293,0.5248113275760304,0.02480783930735536
2,12,29,0.21531508367395802,0.47798764866615967,-0.04735748131824363
2,13,29,0.16622490372036702,0.628871626777624,-0.29642181933689
2,14,30,0.11784711173453188,0.5886754699479892,-0.35298124647892554
2,15,29,0.1868645402631377,0.4827865324474687,-0.10905745192119332
2,16,34,0.19363168624910088,0.5889267091902644,-0.20166333669206266
2,17,35,0.22170995092860712,0.5453430259549512,-0.10192312409773696
2,18,33,0.18778493720369882,0.47296329891722444,-0.0973934245098268
2,19,35,0.23272329583134566,0.5907735955088816,-0.12532700384619033
2,20,35,0.15842180079971735,0.5419585158054191,-0.2251149142059844
2,21,7,0.33078374407434774,0.9375986794487163,-0.27603119130002085
2,22,3,0.5167912730558423,0.5308706062395164,0.5027119398721681
2,23,3,0.4866060372296146,0.517355597941686,0.4558564765175432
