month,day_idx,n_years,median,upper,lower
1,1,21,0.0,0.0,0.0
1,2,28,0.0,0.06776002617219393,-0.06776002617219393
1,3,29,0.02946106736788745,0.16424905821081998,-0.10532692347504508
1,4,29,0.04123058451429784,0.21222530999981631,-0.12976414097122063
1,5,29,0.033402823510330526,0.22399884927611347,-0.1571932022554524
1,6,29,0.06348774587392958,0.2921846468022251,-0.16520915505436595
1,7,29,0.0644025791682934,0.27902650931868966,-0.15022135098210287
1,8,28,0.07317164159815992,0.26505231972282917,-0.1187090365265093
1,9,29,0.05679638386068708,0.2645292550490408,-0.15093648732766662
1,10,29,0.04532938946403653,0.2531446490357913,-0.16248587010771826
1,11,29,0.03336359042408643,0.28338416452839627,-0.2166569836802234
1,12,28,0.0401002848690738,0.2986683648294067,-0.21846779509125908
1,13,27,0.013826326607295436,0.17267838717498557,-0.1450257339603947
1,14,23,0.035586046800521354,0.20959630740692337,-0.13842421380588066
1,15,23,0.03138068072859257,0.25243548020004214,-0.189674118742857
1,16,22,-0.04112857517809232,0.2650699750607921,-0.34732712541697675
1,17,22,0.009032380531593498,0.3200939352887631,-0.3020291742255761
1,18,22,0.03937992116378286,0.4290991026301988,-0.35033926030263307
1,19,18,0.12306806357983824,0.4706276226492991,-0.2244914954896226
1,20,18,0.10740901605144504,0.4248171588765888,-0.2099991267736987
1,21,16,0.21939621845121265,0.49138471243013454,-0.05259227552770923
1,22,10,0.1744813349447215,0.7208306984477061,-0.37186802855826306
2,1,22,0.1202782845981909,0.5489400710877138,-0.308383501891332
2,2,21,0.19125226078654078,0.6069756765103499,-0.22447115493726832
2,3,23,0.18696471042118867,0.5563699368499174,-0.18244051600754008
2,4,21,0.2531406636096232,0.5944066016143998,-0.0881252743951535
2,5,20,0.17614549344583497,0.6214470966362977,-0.26915610974462784
2,6,19,0.07260385276622838,0.47651040170485043,-0.33130269617239366
2,7,22,0.0946898460927672,0.5539828012337794,-0.364603109048245
2,8,23,0.09985920729440301,0.5452664597936736,-0.34554804520486754
2,9,19,0.12801414403781708,0.614964192150432,-0.3589359040747978
2,10,20,0.12407230271960362,0.5305504120725388,-0.28240580663333154
