month,day_idx,n_years,median,upper,lower
1,1,32,0.0,0.0,0.0
1,2,36,0.0,0.054336923976808116,-0.054336923976808116
1,3,36,0.031738809529679224,0.14582549132354555,-0.0823478722641871
1,4,37,0.01248144520416794,0.12136547444313095,-0.09640258403479507
1,5,36,0.012844871847760453,0.1577668832239174,-0.1320771395283965
1,6,36,0.0342019095448024,0.2679044288005751,-0.19950060971097025
1,7,37,0.030971539250555402,0.26710250016845666,-0.20515942166734585
1,8,36,0.03120604358195933,0.2791621043224106,-0.21675001715849193
1,9,36,0.04969120619925821,0.4232822221626816,-0.32389980976416516
1,10,33,0.07620222100562146,0.4873053819288653,-0.3349009399176224
1,11,24,0.08016516042454958,0.41645586989732253,-0.2561255490482234
1,12,33,0.10654284403920711,0.3507645302850526,-0.1376788422066384
1,13,33,0.1083953175960437,0.5808245242643182,-0.3640338890722308
1,14,32,0.05748798406625505,0.5290957616771781,-0.41411979354466794
1,15,35,0.02386434330609366,0.5349943216009694,-0.48726563498878206
1,16,37,0.03590761302939627,0.4725854621317775,-0.40077023607298495
1,17,36,0.08593462747534636,0.4790275660053388,-0.3071583110546461
1,18,37,0.024151706939984474,0.4665390723364358,-0.4182356584564669
1,19,37,0.04465301278731226,0.4502041863104532,-0.3608981607358287
1,20,36,0.09616067945424811,0.5419284150486794,-0.34960705614018317
1,21,31,-0.011213323845216672,0.39827524888484356,-0.4207018965752769
1,22,22,0.10340934859718348,0.5331739161538431,-0.3263552189594762
1,23,2,0.01432971677239625,0.16700050840512443,-0.13834107486033193
1,24,3,-0.05001930831093038,0.11309958464136327,-0.21313820126322403
1,25,3,-0.07144041347416752,-0.014904240410747616,-0.12797658653758742
1,26,2,0.05834284238195753,0.214103670177756,-0.09741798541384095
2,1,36,0.04034621826765977,0.45811994768765735,-0.3774275111523378
2,2,37,0.028953352662110077,0.3984434481759038,-0.34053674285168367
2,3,36,0.08026243163832386,0.5934306840799561,-0.43290582080330847
2,4,37,0.0935382644228635,0.5694924045292267,-0.3824158756834996
2,5,37,0.10080427132904357,0.654989476697481,-0.45338093403939383
2,6,36,0.11936740884452707,0.6951839260158943,-0.4564491083268401
2,7,37,0.11644939595960169,0.6736086438802728,-0.4407098519610694
2,8,37,0.13713008472683874,0.7203694405407659,-0.4461092710870884
2,9,36,0.1776379641543978,0.6385108034502214,-0.28323487514142576
2,10,37,0.21376097075967304,0.6978034409130182,-0.2702814993936721
2,11,23,0.29413444757302654,0.8164415351059888,-0.22817263995993575
2,12,30,0.18724386600948562,0.6820674510768973,-0.307579719057926
2,13,30,0.24496023650058624,0.9248335172055646,-0.4349130442043921
2,14,32,0.14317602074556357,0.5910450395139486,-0.3046929980228214
2,15,31,0.19033914173476363,0.6877588138202471,-0.3070805303507198
2,16,36,0.1643347737793875,0.6853024651314152,-0.3566329175726403
2,17,37,0.15406845063333607,0.6653156082137673,-0.3571787069470952
2,18,35,0.18299890948745912,0.7450672152139768,-0.37906939623905855
2,19,37,0.19033914173476363,0.6991138971724292,-0.31843561370290197
2,20,37,0.1946052840986232,0.724320411630518,-0.33510984343327155
2,21,7,0.1589836260141847,0.9135403927873135,-0.5955731407589441
2,22,3,0.27012383750624025,0.27933689188188404,0.26091078313059646
