month,day_idx,n_years,median,upper,lower
1,1,2,0.0,0.0,0.0
1,2,2,0.026528447234384245,0.0616506458493232,-0.00859375138055471
1,3,2,0.02015421897885511,0.039487778894984144,0.0008206590627260757
1,4,2,0.010982400040630447,0.01459183059722502,0.007372969484035874
1,5,2,0.011289707047817954,0.021218559264588932,0.001360854831046976
1,6,2,0.028992839473157672,0.046375401747593414,0.01161027719872193
1,7,2,0.0459189670023587,0.0701165664420669,0.0217213675626505
1,8,2,0.048960294539308835,0.0761630612055631,0.021757527873054572
1,9,2,0.08314014564784,0.1370148685306014,0.029265422765078597
1,10,2,0.10146664255542986,0.12974340970979933,0.0731898754010604
1,11,2,0.1285013341354705,0.1381708236624955,0.11883184460844548
1,12,2,0.16113868784738034,0.18642598560407328,0.1358513900906874
1,13,2,0.135163961319136,0.15716262773997797,0.11316529489829402
1,14,2,0.12284042936065365,0.12321912107473287,0.12246173764657442
1,15,2,0.1503836559847474,0.18261823947000314,0.11814907249949166
1,16,2,0.16123866701511458,0.20256696644054856,0.1199103675896806
1,17,2,0.18498854290834787,0.2736707518981872,0.09630633391850857
1,18,1,0.154117795434481,0.154117795434481,0.154117795434481
1,19,1,0.1927103039475344,0.1927103039475344,0.1927103039475344
1,20,1,0.2068356665405473,0.2068356665405473,0.2068356665405473
1,21,1,0.2199520746626309,0.2199520746626309,0.2199520746626309
1,22,1,0.15485210171250652,0.15485210171250652,0.15485210171250652
2,1,2,0.10212920415967269,0.1251678836492763,0.07909052467006908
2,2,2,0.17563086979192538,0.21676269601587986,0.1344990435679709
2,3,2,0.19996441563662143,0.30826599498153795,0.09166283629170494
2,4,2,0.18922561500834179,0.2345585886365783,0.14389264138010527
2,5,2,0.1453462531340845,0.16720579889644624,0.12348670737172276
2,6,2,0.17926334804681643,0.3072657909784836,0.05126090511514925
2,7,2,0.17873019126742573,0.27915552487328676,0.0783048576615647
2,8,2,0.23206430605615502,0.32172796804645903,0.142400644065851
2,9,2,0.25798688974403927,0.3303330780186348,0.18564070146944373
2,10,2,0.22079604649018214,0.3281188136826426,0.11347327929772166
2,11,1,0.1441619097042035,0.1441619097042035,0.1441619097042035
2,12,1,0.2400622729631552,0.2400622729631552,0.2400622729631552
2,13,1,0.22771146860404778,0.22771146860404778,0.22771146860404778
2,14,2,0.2597104373970781,0.3446056212560579,0.1748152535380983
2,15,2,0.27752066978973944,0.41061537452624275,0.14442596505323613
2,16,2,0.30158916874023955,0.5408437054520518,0.062334632028427206
2,17,2,0.31071759530597937,0.5775205061684252,0.04391468444353347
2,18,2,0.32454288295388567,0.5982279909861672,0.05085777492160415
2,19,2,0.3497375677744026,0.6942193735096962,0.005255762039108991
2,20,2,0.3062671479227652,0.6626061157851175,-0.05007181993958709
3,2,2,0.24771593481143594,0.47621770417960174,0.019214165443270148
3,3,2,0.1475683156619042,0.18879624322845018,0.10634038809535823
3,4,2,0.19366405258710495,0.4086541636421267,-0.021326058467916797
3,5,2,0.18257571101805636,0.4232789246650164,-0.05812750262890365
3,6,2,0.14551833039763973,0.3283002369956561,-0.037263576200376625
3,7,2,0.1704305786507041,0.42140597439012284,-0.08054481708871464
3,8,2,0.16963897218849988,0.4286122202999989,-0.08933427592299914
3,9,2,0.2016967399369456,0.45193256079202665,-0.04853908091813547
3,10,2,0.2238923311540938,0.43969969140365683,0.008084970904530753
3,11,2,0.21498125259707934,0.41275152277448346,0.017210982419675225
3,12,2,0.22989822165229645,0.4408586833471396,0.018937759957453282
3,13,2,0.2706666122134933,0.5827900385773244,-0.04145681415033775
3,14,2,0.27865552104454805,0.5980918384183238,-0.04078079632922771
3,15,2,0.2762955519283983,0.6507285009938031,-0.09813739713700653
3,16,2,0.21626276090809304,0.50064652344304,-0.06812100162685392
3,17,2,0.22560409152766875,0.5285146398207285,-0.07730645676539111
3,18,2,0.27162913750034934,0.6390624649236807,-0.09580418992298206
3,19,2,0.22241039327822698,0.5982159157331908,-0.15339512917673676
3,20,2,0.17492292618001892,0.511100776788916,-0.16125492442887812
3,21,2,0.12895016048960212,0.43306559323230825,-0.17516527225310402
3,22,1,0.27039979820910576,0.27039979820910576,0.27039979820910576
4,1,2,0.16567130585450807,0.5172400186580657,-0.18589740694904955
4,2,2,0.12128429249129352,0.43538509552506827,-0.19281651054248122
4,3,2,0.12942419107094932,0.46196213828972404,-0.2031137561478254
4,4,2,0.15167333227175828,0.48753828656938014,-0.1841916220258636
4,5,2,0.09504984657883869,0.4867164690677506,-0.29661677591007324
4,6,2,0.16489976591025846,0.6390786830683289,-0.309279151247812
4,7,2,0.1409689510231012,0.6192620246776284,-0.337324122631426
4,8,2,0.20768198142531574,0.6453077039524953,-0.22994374110186383
4,9,2,0.2510685420810786,0.729176285145613,-0.2270392009834557
4,10,2,0.28678352108224636,0.7915306760839241,-0.2179636339194314
4,11,2,0.3575495103370383,0.8991669777107847,-0.18406795703670809
4,12,2,0.34935595051122825,0.927100306999399,-0.22838840597694254
4,13,2,0.36045621680164447,0.9003621299646716,-0.1794496963613827
4,14,2,0.36343372548126435,0.918547987807987,-0.19168053684545822
4,15,2,0.36278993451416874,0.923788536337316,-0.19820866730897846
4,16,2,0.376937130735328,1.0192499363349468,-0.2653756748642908
4,17,2,0.4529564898856176,1.1745811572516673,-0.2686681774804321
4,18,2,0.520350767446139,1.3516293835868058,-0.31092784869452783
4,19,2,0.6394465921378125,1.5962812442262129,-0.3173880599505877
4,20,2,0.62597479197677,1.5655597095734763,-0.3136101256199365
4,21,2,0.7103336218958829,1.6830473396385135,-0.2623800958467477
4,22,2,0.7449359955960996,1.8053602277032743,-0.31548823651107527
5,2,2,0.8951883683833095,2.149076266054278,-0.3586995292876589
5,4,1,1.9326522890654558,1.9326522890654558,1.9326522890654558
5,5,2,1.0065132671033523,2.3908031470007263,-0.37777661279402186
5,6,2,1.0527244421380384,2.473637778930981,-0.3681888946549041
5,7,2,1.0303290038479151,2.4254333036000677,-0.36477529590423763
5,8,2,0.9739658462104944,2.242491159376781,-0.29455946695579194
5,9,2,0.9508507359326739,2.1613510224990433,-0.25964955063369555
5,10,2,0.915582488932818,2.0140210900019984,-0.18285611213636221
5,11,2,0.8048497357483054,1.7371892070407169,-0.12748973554410592
5,12,2,0.8256530732042413,1.762731541339612,-0.11142539493112946
5,13,2,0.7602139067252484,1.638054227114107,-0.11762641366361015
5,14,2,0.7438531497397473,1.525538427021916,-0.03783212754242149
5,15,2,0.877781449440065,1.8479045836416774,-0.09234168476154758
5,16,2,0.9013119615099839,1.8989467434220795,-0.09632282040211171
5,17,1,0.23985469641930468,0.23985469641930468,0.23985469641930468
5,18,2,0.8963724958330561,1.8616888939676945,-0.06894390230158232
5,19,2,0.8089645827267073,1.6439475232412624,-0.026018357787847668
5,20,2,0.733353144602038,1.4891690576649288,-0.02246276846085271
5,21,2,0.7152547619856375,1.3964399667181158,0.03406955725315941
5,22,1,0.24971458225220555,0.24971458225220555,0.24971458225220555
6,1,2,0.7860325646993036,1.5842822420544345,-0.012217112655827256
6,2,1,1.1219573716736033,1.1219573716736033,1.1219573716736033
6,3,1,0.2974571873378309,0.2974571873378309,0.2974571873378309
6,4,2,0.7046923189544887,1.2851869468413333,0.12419769106764422
6,5,1,0.974397780300164,0.974397780300164,0.974397780300164
6,6,2,0.5903111049851291,0.9439666571177266,0.23665555285253148
6,7,2,0.6678183905513796,1.0894733245881012,0.24616345651465787
6,8,2,0.6850316473073201,1.1395121748329085,0.23055111978173193
6,9,2,0.6689173040207712,1.096112668458778,0.24172193958276433
6,10,2,0.6728695114130121,1.1285671360831269,0.21717188674289728
6,11,2,0.8301849254636193,1.3677300874006155,0.29263976352662313
6,12,2,0.8286891321348793,1.3756667846703583,0.2817114795994001
6,13,2,0.8406351897218589,1.3821795674546213,0.2990908119890966
6,14,2,0.8111282128108551,1.267156287086816,0.35510013853489425
6,15,2,0.8132175588184263,1.2918399530917326,0.33459516454512006
6,16,1,0.5065905552672548,0.5065905552672548,0.5065905552672548
6,17,1,0.5631551634665283,0.5631551634665283,0.5631551634665283
6,18,1,0.5590036325895175,0.5590036325895175,0.5590036325895175
6,19,1,0.5351323300467048,0.5351323300467048,0.5351323300467048
6,20,1,0.5486248053969902,0.5486248053969902,0.5486248053969902
6,21,1,0.6249091852620654,0.6249091852620654,0.6249091852620654
7,1,1,0.6446289569278671,0.6446289569278671,0.6446289569278671
7,2,1,0.5906590555267255,0.5906590555267255,0.5906590555267255
7,3,1,0.5263103269330566,0.5263103269330566,0.5263103269330566
7,4,1,0.4676699532952777,0.4676699532952777,0.4676699532952777
7,5,1,0.4868707836014531,0.4868707836014531,0.4868707836014531
7,6,1,0.5403217436429684,0.5403217436429684,0.5403217436429684
7,7,2,0.27742605085625327,0.6935651271406331,-0.13871302542812664
7,8,2,0.4580864752744937,0.6265872761146992,0.2895856744342882
7,9,2,0.4392448823178659,0.5861897020688823,0.2923000625668495
7,10,2,0.38557801895360494,0.6293697865792433,0.1417862513279666
7,11,2,0.45414311386986156,0.6830477995777834,0.2252384281619397
7,12,2,0.44022901477706794,0.7071299139918501,0.17332811556228583
7,13,2,0.3125412117551432,0.7522919265562635,-0.12720950304597706
7,14,2,0.22764428722385965,0.8157575138867729,-0.36046893943905356
7,15,2,0.24079763323555176,0.8084024288414873,-0.3268071623703838
7,16,2,0.13585946665821108,0.8001553730538733,-0.528436439737451
7,17,2,0.40345030266423415,0.7068373811017179,0.10006322422675035
7,18,2,0.44501691264177756,0.7444349790709119,0.14559884621264318
7,19,2,0.18402369548634445,0.8616985829781564,-0.4936511920054675
7,20,2,0.15407500442762934,0.9887642621868081,-0.6806142533315495
7,21,2,0.15768748593405968,1.031327507681647,-0.7159525358135276
7,22,2,0.056789998378469375,1.025730584619795,-0.9121505878628562
7,23,2,0.06075514346163535,1.0579981418135518,-0.9364878548902811
8,1,2,0.07003241256688819,0.9373761133844335,-0.7973112882506571
8,2,2,-0.12494607572831595,1.1049224410815945,-1.3548145925382267
8,3,2,-0.2732305401501553,1.3012753634845222,-1.847736443784833
8,4,2,-0.1174374093044922,1.2272708582588887,-1.462145676867873
8,5,2,-0.06351764903323004,1.166839260427357,-1.2938745584938172
8,6,2,-0.1525148032340899,1.1537353466092608,-1.4587649530774407
8,7,2,-0.06774226479620915,1.1339230265340672,-1.2694075561264855
8,8,2,-0.07720063489755608,1.0849417808634125,-1.2393430506585246
8,9,2,-0.12383510812309506,1.130054554580489,-1.377724770826679
8,10,2,-0.09858395777730167,1.0940766182244062,-1.2912445337790093
8,12,2,-0.037420802149804144,0.9630798873229562,-1.0379214916225645
8,13,2,-0.10289235691925674,0.9506677664201888,-1.1564524802587024
8,14,2,-0.06832204577872264,0.8493141105904511,-0.9859582021478965
8,15,2,-0.04546851794420853,0.8729158884479735,-0.9638529243363907
8,16,2,-0.010218272458908051,0.9759446318184526,-0.9963811767362687
8,17,2,-0.011733204848299206,1.0272988805767185,-1.0507652902733169
8,18,2,-0.06982215495491034,1.0586785917483426,-1.1983229016581631
8,19,2,-0.09856384976634747,1.0605948465230286,-1.2577225460557235
8,20,2,-0.10405050101171648,1.0617813480668339,-1.269882350090267
8,21,2,-0.17901857954432676,1.1023790354908973,-1.4604161945795506
8,22,1,-0.9523099850968704,-0.9523099850968704,-0.9523099850968704
9,1,2,-0.2365750540531691,1.0836741383395065,-1.5568242464458446
9,2,2,-0.24573206178521495,1.0905878783238476,-1.5820520018942776
9,3,2,-0.33111260975944884,1.1901022311900515,-1.852327450708949
9,4,2,-0.4548882445732217,1.2115126225460817,-2.121289111692525
9,5,2,-0.4835326217675405,1.272539533509614,-2.2396047770446947
9,6,2,-0.42966828742390856,1.2082435884446994,-2.0675801632925164
9,7,2,-0.4012061713032389,1.239160428671858,-2.041572771278336
9,8,2,-0.26257458331947686,1.3465441676327539,-1.8716933342717075
9,9,2,-0.18415372729051505,1.3548168740240847,-1.7231243286051146
9,10,2,-0.1834065084475558,1.3894718063773845,-1.7562848232724961
9,11,1,0.8656979761286976,0.8656979761286976,0.8656979761286976
9,12,1,0.8475350285417749,0.8475350285417749,0.8475350285417749
9,13,1,0.8267773741567204,0.8267773741567204,0.8267773741567204
9,14,2,-0.05639039033000598,1.2800374369916767,-1.3928182176516888
9,15,2,-0.03377171375163668,1.2523814458742615,-1.3199248733775348
9,16,2,0.0009579147064578408,1.231902983487456,-1.2299871540745404
9,17,2,0.028451108273647385,1.2127075024277845,-1.1558052858804897
9,18,2,0.005524495553164976,1.1665683178694999,-1.1555193267631698
9,19,2,0.08713040895827362,1.0829526989977705,-0.9086918810812231
9,20,2,0.020399267759047324,1.0524884823633411,-1.0116899468452463
9,21,2,0.01813711652669686,1.0691877987683067,-1.032913565714913
9,22,1,0.7458225220550079,0.7458225220550079,0.7458225220550079
10,1,1,0.7686559418785678,0.7686559418785678,0.7686559418785678
10,2,2,0.04003654502093423,1.2006874877386249,-1.1206143976967562
10,4,1,-0.6502732240437159,-0.6502732240437159,-0.6502732240437159
10,5,1,-0.49329359165424735,-0.49329359165424735,-0.49329359165424735
10,6,1,-0.6602086438152012,-0.6602086438152012,-0.6602086438152012
10,8,2,0.12664716189604108,1.2741439852170031,-1.0208496614249207
10,9,2,0.06657563924784704,1.2893899177917487,-1.1562386392960544
10,10,2,0.18792529409899483,1.220930969971779,-0.8450803817737893
10,11,2,0.22114166583527783,1.3740166087014583,-0.9317332770309026
10,12,2,0.1552550610961289,1.4373179806091747,-1.1268078584169168
10,13,2,0.19074995404803907,1.382985168279561,-1.001485260183483
10,14,2,0.20227055534974925,1.4885377892685607,-1.0839966785690622
10,15,2,0.19676624514604224,1.4710512313449864,-1.0775187410529017
10,16,2,0.20136118344409504,1.5123448364045742,-1.1096224695163843
10,17,2,0.2896013225915307,1.6994131425444006,-1.1202104973613394
