month,day_idx,n_years,median,upper,lower
1,1,12,0.0,0.0,0.0
1,2,12,0.0053470415789256265,0.07719578107472402,-0.06650169791687277
1,3,12,0.005240269968233846,0.13697170175057713,-0.12649116181410944
1,4,12,0.0818153687467768,0.19649232149508922,-0.032861584001535604
1,5,12,0.023296443155589708,0.22705681439342829,-0.18046392808224887
1,6,12,0.01709401709401709,0.1650903363946843,-0.1309023022066501
1,7,12,-0.005632035874200081,0.2594460545671368,-0.270710126315537
1,8,12,0.01579164517792686,0.16531791234602883,-0.1337346219901751
1,9,12,0.10262836662078278,0.3000491774215222,-0.09479244417995664
1,10,12,0.040514884298987974,0.23840239420128523,-0.15737262560330928
1,11,12,0.05308922124806603,0.21712784963842385,-0.11094940714229179
1,12,12,0.10011694141612282,0.28547408427326565,-0.08524020144102001
1,13,12,0.05290613718411552,0.2416619662307959,-0.13584969186256485
1,14,12,0.07397959183673475,0.25489459827972016,-0.10693541460625064
1,15,12,0.14122100122100123,0.37657755506746915,-0.09413555262546669
1,16,11,0.06498194945848379,0.2752013329630657,-0.14523743404609812
1,17,10,0.1179132390365153,0.3584413396654159,-0.12261486159238533
1,18,10,0.2894078287052526,0.6822832651345532,-0.10346760772404795
1,19,11,0.11147540983606552,0.6391321475106813,-0.4161813278385502
1,20,10,0.21739712278353956,0.6835887491925574,-0.24879450362547822
1,21,7,0.10098360655737704,0.5648928121059269,-0.36292559899117277
1,22,7,0.011428571428571566,0.4167414840242939,-0.39388434116715076
2,1,11,0.13877551020408174,0.590612244897959,-0.31306122448979556
2,2,10,0.11958514553362332,0.6155311682403825,-0.3763608771731358
2,3,11,0.14950819672131144,0.7251990632318499,-0.42618266978922703
2,4,11,0.11672131147540976,0.5832318501170957,-0.34978922716627614
2,5,12,0.11237203077952496,0.5645218679130755,-0.33977780635402555
2,6,11,0.106122448979592,0.5780097055108694,-0.3657648075516854
2,7,10,0.10303111408497828,0.6728019159204472,-0.46673968775049074
2,8,10,0.22406984454431594,0.9844295567745316,-0.5362898676858998
2,9,11,0.0897959183673469,0.5452659752425559,-0.36567413850786207
2,10,11,0.09795918367346945,0.49253665365062993,-0.296618286303691
2,11,10,0.21990716864363075,0.8873198183284432,-0.44750548104118176
