month,day_idx,n_years,median,upper,lower
1,1,12,0.0,0.0,0.0
1,2,12,-0.00925838208083729,0.055746108697758534,-0.07426287285943312
1,3,12,-0.062302250765932654,0.06390170562819825,-0.18850620716006355
1,4,12,-0.042013590765324516,0.11885475578747673,-0.20288193731812576
1,5,12,-0.02548782188171922,0.14838463629306323,-0.19936028005650167
1,6,12,0.06572724132401025,0.29343527815956927,-0.1619807955115488
1,7,12,0.06306082662437629,0.25577181829496176,-0.1296501650462092
1,8,12,0.0792876099682891,0.22774688456875053,-0.06917166463217234
1,9,12,0.07127886753406865,0.215665128908444,-0.0731073938403067
1,10,12,0.07256700749250461,0.2232913407357446,-0.07815732575073539
1,11,12,0.030431047166763037,0.21065803157295113,-0.14979593723942505
1,12,12,0.04614270927247199,0.28244282670746756,-0.1901574081625236
1,13,12,0.06600319164785412,0.2689918583120239,-0.1369854750163156
1,14,12,0.082010088818739,0.375448575759317,-0.211428398121839
1,15,12,0.1164499300166586,0.41702878065878723,-0.18412892062547004
1,16,11,0.10556815318720081,0.386356614097622,-0.1752203077232204
1,17,10,0.053582440520173524,0.34735836685922644,-0.2401934858188794
1,18,10,0.10518652358673919,0.5310358789070142,-0.32066283173353577
1,19,11,0.08284789644012935,0.4113230533067277,-0.24562726042646899
1,20,10,0.019268594699460517,0.38535891776556264,-0.3468217283666416
1,21,7,0.08971416649280206,0.5033588155032183,-0.3239304825176141
1,22,7,0.11391585760517797,0.5013429319948044,-0.2735112167844484
2,1,11,0.09908692174008993,0.37932189564005064,-0.1811480521598708
2,2,10,0.017308570503865472,0.30194677161328887,-0.2673296306055579
2,3,11,0.03991370010787487,0.5028372765150008,-0.423009876299251
2,4,11,0.0017259978425026024,0.3705305073600307,-0.3670785116750255
2,5,12,-0.03280769695580965,0.36077151991027956,-0.42638691382189886
2,6,11,0.006472491909385036,0.2662072578838219,-0.2532622740650518
2,7,10,0.10001823466313492,0.42832268481316843,-0.2282862154868986
2,8,10,0.14103947372672776,0.4958403046518153,-0.21376135719835976
2,9,11,0.10264969747548514,0.44757228868067866,-0.2422728937297084
2,10,11,0.14395994158147318,0.5265063003251282,-0.23858641716218187
2,11,10,0.16465176839681328,0.7059227772412878,-0.37661924044766126
2,12,10,0.11457980971557324,0.6910928200506146,-0.4619332006194681
2,13,10,0.05983962749336269,0.687702945406126,-0.5680236904194006
2,14,11,0.12547241118669694,0.5359452510830852,-0.28500042870969133
2,15,11,0.07369614512471667,0.5749147079724827,-0.42752241772304933
2,16,12,0.11015230094409079,0.4943163296937727,-0.27401172780559113
2,17,12,0.12825346220569578,0.42273625164086814,-0.1662293272294766
2,18,12,0.07469930396322366,0.3691655486638028,-0.21976694073735548
2,19,12,0.0807943598042331,0.4394304026624368,-0.2778416830539706
2,20,12,0.11311092015900298,0.4512349343127398,-0.22501309399473385
2,21,2,-0.020350036743007782,0.04999802722106114,-0.0906981007070767
3,1,3,0.0,0.27626606198034764,-0.27626606198034764
3,2,13,0.15447849714490636,0.5473612914059554,-0.23840429711614258
3,3,13,0.17636647579385722,0.5833320404622175,-0.2305990888745031
3,4,13,0.1663230240549829,0.49856063994463473,-0.16591459183466895
3,5,13,0.17011972930765218,0.553847796756008,-0.21360833814070368
3,6,13,0.10378006872852241,0.34729162870400576,-0.13973149124696094
3,7,12,0.1300794166976884,0.40155408976152684,-0.14139525636615002
3,8,13,0.07284413497589703,0.4269826689592069,-0.2812943990074128
3,9,13,0.18636727262696207,0.38115468219528303,-0.008420136941358902
3,10,13,0.1788966256025708,0.4104591006960052,-0.052665849490863614
3,11,13,0.14783074450990896,0.4247505562404049,-0.129089067220587
3,12,13,0.16866215512753757,0.48797528378763444,-0.1506509735325593
3,13,13,0.15050883770755208,0.541895591578104,-0.2408779161629998
3,14,13,0.16095783446121792,0.506278081298676,-0.18436241237624013
3,15,13,0.2884955752212388,0.6098302610311367,-0.03283911058865907
3,16,13,0.27038001041124415,0.6831950566801631,-0.1424350358576748
3,17,13,0.2537861024523461,0.7559418252142452,-0.248369620309553
3,18,13,0.28733000468952585,0.7584544615620025,-0.18379445218295076
3,19,13,0.2382279109541806,0.6687656536741113,-0.19230983176575017
3,20,13,0.17847783509420434,0.6800479122290558,-0.3230922420406471
3,21,13,0.09825935836252797,0.5303297028158004,-0.33381098609074444
3,22,9,0.07766990291262132,0.5122554395494945,-0.3569156337242518
3,23,5,0.08090614886731384,0.5130211825776447,-0.351208884843017
4,1,13,0.17319587628865984,0.7532896371597857,-0.406897884582466
4,2,13,0.1941747572815533,0.8116286446768346,-0.423279130113728
4,3,13,0.1754045307443366,0.8508713941801479,-0.5000623326914747
4,4,13,0.2466096390569581,0.9590522176209705,-0.4658329395070543
4,5,13,0.18403451995685005,0.8834122038425015,-0.5153431639288014
4,6,13,0.13394533694971855,0.7744640832169678,-0.5065734093175307
4,7,13,0.1628910463861919,0.7939442737051691,-0.4681621809327853
4,8,12,0.1996463483802089,0.8338502878393627,-0.43455759107894487
