month,day_idx,n_years,median,upper,lower
1,1,12,0.0,0.0,0.0
1,2,12,0.033300914219023536,0.06574855558470902,0.0008532728533380551
1,3,12,0.049108975938244204,0.16829163462832253,-0.07007368275183412
1,4,12,0.022017509772098653,0.1611477753242701,-0.1171127557800728
1,5,12,0.018805945635213928,0.1897219458119626,-0.15211005454153476
1,6,12,0.06696230598669622,0.327034842628605,-0.19311023065521254
1,7,12,0.04070049705236389,0.27306863625107886,-0.19166764214635107
1,8,12,0.05846800923491896,0.3125226235554213,-0.1955866050855834
1,9,12,0.11420668845863724,0.4444800001459731,-0.21606662322869863
1,10,12,0.12882200615625156,0.38748083062410216,-0.12983681831159904
1,11,12,0.16375140470024918,0.4512417664487436,-0.12373895704824522
1,12,12,0.23040110969830085,0.5846505188257586,-0.12384829942915687
1,13,12,0.27970879953095223,0.6146635907915166,-0.05524599172961214
1,14,12,0.2433331704695363,0.5519067107503937,-0.06524036981132114
1,15,12,0.2349561970415051,0.4305234002018974,0.03938899388111286
1,16,11,0.21563342318059298,0.3860902098361832,0.045176636525002756
1,17,10,0.19043515725980187,0.371025370392322,0.00984494412728179
1,18,10,0.2619994274627056,0.5277969495778885,-0.003798094652477213
1,19,11,0.18536585365853675,0.45471043809964157,-0.08397873078256807
1,20,10,0.20313463062428466,0.5847757230927517,-0.17850646184418234
1,21,7,0.25270758122743686,0.5439640750198116,-0.038548912564937865
1,22,7,0.3364928909952607,0.6594140456699698,0.013571736320551642
2,1,11,0.22818791946308725,0.5250152532031724,-0.06863941427699788
2,2,10,0.19817259185404545,0.7262735062108839,-0.329928322502793
2,3,11,0.2323232323232325,0.6100763734910077,-0.14542990884454277
2,4,11,0.2039911308203991,0.6821089745919813,-0.274126712951183
2,5,12,0.39145064129235335,1.1440107165125408,-0.3611094339278342
2,6,11,0.5100671140939598,1.2395512804981466,-0.2194170523102269
2,7,10,0.42587232418333926,1.13471056417242,-0.28296591580574143
2,8,10,0.47503101243678236,1.0684376058433758,-0.11837558096981093
2,9,11,0.4834123222748815,1.2842883814447794,-0.3174637368950163
2,10,11,0.4834123222748815,1.1923597729284934,-0.22553512837873024
2,11,10,0.45662401001316383,0.9253808629163582,-0.012132842890030526
2,12,10,0.4613690739245058,1.038079717651058,-0.11534156980204652
2,13,10,0.5626769299277967,1.1990704489720292,-0.07371658911643564
2,14,11,0.5118483412322274,1.1953393672900234,-0.17164268482556855
2,15,11,0.5308056872037915,1.1642000444847467,-0.10258867007716377
2,16,12,0.44818537485288973,1.2168491010637856,-0.3204783513580061
2,17,12,0.46496389834282265,1.0952220050160237,-0.1652942083303785
2,18,12,0.4860841629822832,1.021478630410539,-0.04931030444597262
2,19,12,0.43122754023227955,0.9503539043318834,-0.08789882386732423
