month,day_idx,n_years,median,upper,lower
1,1,12,0.0,0.0,0.0
1,2,12,0.0,0.1020432692307692,-0.1020432692307692
1,3,12,0.006909802526240849,0.2114543408986806,-0.1976347358461989
1,4,12,0.0061789003250271035,0.14092435004920903,-0.12856654939915482
1,5,12,0.014477274606543356,0.2603832814707431,-0.23142873225765634
1,6,12,0.0055819180819181025,0.14727446466576896,-0.13611062850193276
1,7,12,0.02905053495727078,0.18943512856096847,-0.13133405864642692
1,8,12,0.04883299798792756,0.31107697047677957,-0.21341097450092444
1,9,12,0.11203950978598864,0.4661907332097085,-0.2421117136377312
1,10,12,0.11866853293675095,0.4652944464029116,-0.22795738052940973
1,11,12,0.05314583505666309,0.3463837207425578,-0.2400920506292316
1,12,12,0.03093835741723061,0.3493104098866653,-0.28743369505220406
1,13,12,0.00223089410589411,0.31348466580807993,-0.3090228775962917
1,14,12,0.040173769892079714,0.29712480746159003,-0.2167772676774306
1,15,12,0.04591783216783213,0.3579878076807051,-0.26615214334504084
1,16,11,0.050480769230769273,0.3610355825681169,-0.26007404410657836
1,17,10,0.006169871794871773,0.3213358549999444,-0.30899611141020084
1,18,10,-0.0270115158813789,0.3051449726682394,-0.3591680044309972
1,19,11,0.08413461538461531,0.3502329115185329,-0.1819636807493023
1,20,10,-0.10276888551532948,0.14183163562383672,-0.34736940665449567
1,21,7,-0.10559006211180122,0.06244971518681802,-0.27362983941042046
1,22,7,-0.03105590062111796,0.12617730095990953,-0.18828910220214545
2,1,11,0.03605769230769229,0.30697115384615387,-0.23485576923076928
2,2,10,0.009615384615384637,0.27548082285377345,-0.2562500536230042
2,3,11,0.024038461538461564,0.37712159415926544,-0.3290446710823423
2,4,11,-0.08290155440414515,0.21528132525724286,-0.38108443406553316
2,5,12,0.004595954563571147,0.4184902794168001,-0.4092983702896578
2,6,11,0.11057692307692302,0.499166984006093,-0.27801313785224696
2,7,10,0.08147810738484318,0.3966729125796483,-0.23371669780996196
2,8,10,0.10127178520960906,0.4173135695122629,-0.21476999909304478
2,9,11,-0.010362694300518172,0.3828037247726366,-0.4035291133736729
2,10,11,0.051813471502590636,0.4157932207412094,-0.3121662777360281
2,11,10,0.08554827620565963,0.4184391258140666,-0.24734257340274735
2,12,10,0.04326923076923078,0.40600017194104704,-0.3194617104025855
