month,day_idx,n_years,median,upper,lower
1,1,17,0.0,0.0,0.0
1,2,22,0.0,0.03362945385540886,-0.03362945385540886
1,3,22,0.013020689107660854,0.11061903361836611,-0.0845776554030444
1,4,22,0.04558830366794331,0.2159871518524995,-0.12481054451661289
1,5,22,0.049340560797581645,0.22331830292110647,-0.12463718132594317
1,6,21,0.0711758702490517,0.23759292713444063,-0.09524118663633724
1,7,22,0.0582314582224871,0.21359222226733668,-0.09712930582236248
1,8,22,0.06911366955213577,0.2507298249740638,-0.11250248586979228
1,9,22,0.00504689363557298,0.2354892925419514,-0.22539550527080543
1,10,19,0.00804166944079876,0.27817092784351843,-0.2620875889619209
1,11,12,0.1695498031877305,0.4236042902504161,-0.08450468387495513
1,12,19,0.09159345449266376,0.38557686974474636,-0.20238996075941884
1,13,19,0.07230657032557652,0.37891417137815225,-0.2343010307269992
1,14,19,0.11798599627113793,0.38300577200004565,-0.1470337794577698
1,15,22,0.08745115074055415,0.3759952224853033,-0.201092921004195
1,16,22,0.08544185944691951,0.35915146765467026,-0.18826774876083124
1,17,22,0.1344066467560111,0.35727471332869454,-0.0884614198166723
1,18,22,0.09750391306968625,0.38454939933135207,-0.18954157319197956
1,19,22,0.1385070376024417,0.40084491949986517,-0.12383084429498176
1,20,22,0.07909429728391021,0.3225594861997826,-0.16437089163196217
1,21,19,0.12800718462374416,0.36007442609796975,-0.10406005685048142
1,22,13,0.16325401307249776,0.4454875435943281,-0.11897951744933255
2,1,22,0.10331342540056965,0.36296580407169193,-0.15633895327055264
2,2,22,0.12075609050474712,0.26885788259512067,-0.02734570158562641
2,3,22,0.06562008530041818,0.27210547211709024,-0.1408653015162539
2,4,22,0.07606438858938575,0.3174410242989999,-0.1653122471202284
2,5,22,0.07270608035915366,0.39886988112412897,-0.25345772040582165
2,6,22,0.08236835432927941,0.46565199638874355,-0.3009152877301847
2,7,22,0.062300214819901056,0.3924209945597316,-0.2678205649199295
2,8,22,-0.0022212667036138334,0.3692928246173441,-0.37373535802457175
2,9,22,0.037032948271977006,0.3795149538698904,-0.3054490573259364
2,10,22,0.07109002720253427,0.4124386918379102,-0.2702586374328417
2,11,13,0.12066631854262566,0.38896398027591716,-0.14763134319066584
2,12,19,0.07201979012738258,0.33352711143086755,-0.1894875311761024
2,13,19,0.08824502868796003,0.5637470143257859,-0.3872569569498659
2,14,18,0.10212521811957875,0.4859948447968706,-0.2817444085577131
2,15,19,0.09652920518600172,0.3984428081564653,-0.20538439778446188
2,16,22,0.05294766780618848,0.3909463049281005,-0.28505096931572355
2,17,22,0.05353426982685533,0.4481515179029727,-0.34108297824926204
2,18,22,-0.008595012421547421,0.4596641832816267,-0.47685420812472157
2,19,22,-0.049296837176084574,0.41560087692269254,-0.5141945512748617
2,20,22,-0.0536831644997573,0.34709478633981394,-0.45446111533932854
2,21,4,-0.4987376909490793,-0.08697863979109144,-0.9104967421070672
3,1,22,-0.036774721570214164,0.35012423123146225,-0.4236736743718906
3,2,22,-0.10836081584011004,0.21179304174288222,-0.4285146734231023
3,3,22,-0.06813398111727353,0.3575526055628649,-0.49382056779741196
3,4,22,-0.11149723312808296,0.35677727148836996,-0.5797717377445359
3,5,22,-0.11215036934201184,0.5084285314583358,-0.7327292701423594
3,6,22,-0.1361952941666586,0.5070857946352954,-0.7794763829686127
3,7,22,-0.11107604151797279,0.37218038191302827,-0.5943324649489738
3,8,22,-0.09231427578295803,0.36806578306272825,-0.5526943346286444
3,9,22,-0.1708656392806105,0.2828630025396317,-0.6245942811008527
3,10,22,-0.12413828206446548,0.36205811375430835,-0.6103346778832393
3,11,22,-0.1279752863426381,0.42845083990215316,-0.6844014125874294
3,12,22,-0.04621416069575829,0.6302842535865099,-0.7227125749780265
3,13,22,-0.06398526540911542,0.5167228145117185,-0.6446933453299494
3,14,22,-0.08817994460657685,0.5344638120964118,-0.7108237013095655
3,15,21,0.03518799352340363,0.5010100689098744,-0.4306340818630672
3,16,22,-0.08499218525732416,0.4495044848802227,-0.619488855394871
3,17,22,-0.11131966538998028,0.469252862255387,-0.6918921930353475
3,18,22,-0.08271209405406865,0.3453977850029894,-0.5108219731111268
3,19,20,-0.06449129848428892,0.5510180272519585,-0.6800006242205363
3,20,22,-0.08601680401452033,0.4296335915761906,-0.6016671996052312
3,21,20,-0.11984051997384848,0.331718809942917,-0.571399849890614
3,22,15,-0.09456384664219808,0.3014078090914178,-0.49053550237581395
3,23,9,-0.17272910232266658,0.35437566181255453,-0.6998338664578877
4,1,22,-0.10327334245129327,0.34402376304626425,-0.5505704479488508
4,2,20,-0.014755241016318588,0.45140548206963543,-0.4809159641022726
4,3,20,-0.06063609271751519,0.46985037255518286,-0.5911225579902133
4,4,22,-0.15793202630476988,0.28675044097373914,-0.6026144935832789
4,5,19,-0.1500929802949843,0.3411151720236937,-0.6413011326136623
4,6,22,0.0022393799772091327,0.4834184357577913,-0.47893967580337304
4,7,22,-0.015885955721193445,0.44646737699511274,-0.47823928843749963
4,8,20,-0.04413535057337847,0.43272312285283787,-0.5209938239995948
4,9,22,-0.03870695756214254,0.46162801303623696,-0.5390419281605221
4,10,20,-0.0480936525512069,0.4402484698395229,-0.5364357749419367
4,11,21,0.04407654203022404,0.5436662920605989,-0.4555132080001508
4,12,22,0.06749622298384556,0.6545631219566754,-0.5195706759889842
4,13,22,0.01799093196990964,0.6119781696884565,-0.5759963057486372
4,14,20,0.10443859851528636,0.6461638391101672,-0.43728664207959445
4,15,21,0.027324609267115108,0.5414179567766523,-0.48676873824242206
4,16,21,0.07581407629057724,0.6186901622498269,-0.4670620096686724
4,17,22,-0.013964839693471509,0.5903417659080887,-0.6182714452950318
4,18,22,-0.01934207392820525,0.6732796737311415,-0.7119638215875521
4,19,22,-0.043234754796049046,0.7183751411626416,-0.8048446507547395
4,20,22,-0.06250361218520745,0.7652448109929846,-0.8902520353633994
4,21,19,-0.06875601088052885,0.7165623282623051,-0.8540743500233628
4,22,12,0.2842167938078021,1.1834620105863871,-0.6150284229707828
5,1,22,-0.06197677592206641,0.7196147555261072,-0.84356830737024
5,2,22,-0.06536128612358716,0.7702290362590994,-0.9009516085062738
5,3,22,-0.006897484652266694,0.8231152451104174,-0.8369102144149508
5,4,22,-0.018515859158193815,0.8641463822505435,-0.901178100566931
5,5,22,-0.0002773817381307997,0.8610267132137541,-0.8615814766900156
5,6,22,0.017742390167566235,0.901091656342331,-0.8656068760071984
5,7,22,0.09761005270576295,0.9875826859161184,-0.7923625805045925
5,8,22,0.03935195345285253,0.821224785410533,-0.7425208785048278
5,9,22,0.030674945780314045,0.8540943947570957,-0.7927445031964676
5,10,22,0.050849957757582276,0.9495881902692,-0.8478882747540355
5,11,22,0.04444160370829525,0.95100892411352,-0.8621257166969294
5,12,22,0.057571861560118676,1.0195117312384374,-0.9043680081182002
5,13,22,0.037877391176703745,0.9231859202345002,-0.8474311378810927
5,14,22,0.06152083804415859,1.0485504371797683,-0.9255087610914512
5,15,22,0.08528851022382583,1.0553563425020123,-0.8847793220543607
5,16,22,0.085091003239537,1.1453311401008102,-0.975149133621736
5,17,18,0.06343122122874129,1.1289410642885347,-1.002078621831052
5,18,18,0.1277679112396522,1.109684326521664,-0.8541485040423595
5,19,18,0.0886884280660783,0.8959119189194535,-0.7185350627872971
5,20,18,0.20143390565363212,1.1786855559079696,-0.7758177446007055
5,21,12,0.1485153071319022,0.5864388915574754,-0.289408277293671
5,22,16,0.11646697236497633,0.9944306975626374,-0.7614967528326848
5,23,9,0.30753707274820785,1.4243802543331412,-0.8093061088367255
6,1,21,0.13243512573981275,0.9703993396663951,-0.7055290881867696
6,2,21,0.16436500007195165,0.9120598879290192,-0.5833298877851159
6,3,21,0.17339153155264464,0.8929855480040165,-0.5462024848987272
6,4,21,0.13885164852858667,0.9798508368051528,-0.7021475397479795
6,5,21,0.15840111455549133,1.0442917665086209,-0.7274895373976382
6,6,21,0.20590538793630309,1.0958559948873159,-0.6840452190147097
6,7,21,0.19874409121185876,1.0246948655491828,-0.6272066831254651
