month,day_idx,n_years,median,upper,lower
1,1,17,0.0,0.0,0.0
1,2,22,0.0,0.06914546033900085,-0.06914546033900085
1,3,22,0.027069028019012453,0.15095432768297534,-0.09681627164495044
1,4,22,-0.008040846018891712,0.20513470817241047,-0.2212164002101939
1,5,22,0.016508942595030163,0.1826434860476949,-0.14962560085763457
1,6,21,0.04803329007376034,0.23688972356055898,-0.1408231434130383
1,7,22,0.0674489271169798,0.3024851224363112,-0.16758726820235162
1,8,22,0.08309771976991476,0.33918041303998236,-0.17298497350015285
1,9,22,0.07658699709331024,0.2797683777684311,-0.12659438358181063
1,10,19,0.08613841701826752,0.3275377203045209,-0.15526088626798584
1,11,12,0.07743549423289386,0.2299238888294633,-0.07505290036367557
1,12,19,0.07890001988115491,0.18619531437885195,-0.02839527461654212
1,13,19,0.0800901240884424,0.3304619241102069,-0.1702816759333221
1,14,19,0.14325960548335348,0.5165649972030146,-0.23004578623630761
1,15,22,0.10296699081292582,0.31034396442624246,-0.10440998280039085
1,16,22,0.17727105071311594,0.444756172035892,-0.09021407060966014
1,17,22,0.19530568025844985,0.5603782925412897,-0.16976693202438992
1,18,22,0.1682093888120152,0.49175453122752744,-0.15533575360349705
1,19,22,0.15613903057108847,0.47062965854179195,-0.15835159739961502
1,20,22,0.182192609252378,0.54509127579404,-0.18070605728928402
1,21,19,0.18612534838958528,0.5015011889219743,-0.12925049214280365
1,22,13,0.2559878752022998,0.44389125993331274,0.0680844904712869
2,1,22,0.24741567099795136,0.581634777784348,-0.08680343578844535
2,2,22,0.18601948246771632,0.5229834179224299,-0.1509444529869972
2,3,22,0.18559269099028075,0.49271508366933775,-0.12152970168877625
2,4,22,0.20253011962489237,0.514021032098678,-0.1089607928488932
2,5,22,0.1754951190859697,0.48253897324405465,-0.13154873507211523
2,6,22,0.1988387783198628,0.5329180721147924,-0.1352405154750667
2,7,22,0.1859957267235628,0.582739951153723,-0.21074849770659743
2,8,22,0.18957023130465211,0.529409848163277,-0.15026938555397273
2,9,22,0.21114319538486265,0.5941349096693631,-0.17184851889963776
2,10,22,0.27795683228224266,0.6613655373549752,-0.1054518727904899
2,11,13,0.23584906375128278,0.61066204519911,-0.13896391769654443
2,12,19,0.291328329774854,0.766686874373179,-0.18403021482347098
2,13,19,0.2930568680293574,0.7796911911635451,-0.19357745510483032
2,14,18,0.2800550675966434,0.7032782326737543,-0.1431680974804675
2,15,19,0.2917890388518426,0.7577020097836971,-0.1741239320800118
2,16,22,0.3104275071535796,0.7802864680236619,-0.15943145371650275
2,17,22,0.2848766789923773,0.7030596569382985,-0.133306298953544
2,18,22,0.29509837864996524,0.790429319676477,-0.20023256237654652
2,19,22,0.23816566719117432,0.6676569874896576,-0.19132565310730898
2,20,22,0.20240290363657065,0.5706835422888393,-0.16587773501569802
2,21,4,0.7346536851006468,1.0698267894228368,0.3994805807784566
3,1,22,0.2133213288809383,0.5676934844503485,-0.14105082668847185
3,2,22,0.16911132879042662,0.4608285577617396,-0.12260590018088635
3,3,22,0.15860153582658204,0.41763471998492513,-0.10043164833176105
3,4,22,0.22305413380162797,0.5072635126451309,-0.06115524504187497
3,5,22,0.22360729596191464,0.704479527950184,-0.2572649360263547
3,6,22,0.2065447830756278,0.658838382358901,-0.2457488162076455
3,7,22,0.17478556720855654,0.5108144856718919,-0.16124335125477884
3,8,22,0.22034881595982253,0.5874228575262749,-0.14672522560662982
3,9,22,0.2484140322821235,0.6388634803017086,-0.1420354157374616
3,10,22,0.2218970912145476,0.5499699032105433,-0.1061757207814481
3,11,22,0.2225155462079249,0.6773539447914021,-0.23232285237555234
3,12,22,0.2323702535168896,0.6740507607904518,-0.2093102537566725
3,13,22,0.2320003299437336,0.6799058969182701,-0.21590523703080283
3,14,22,0.287782249517046,0.6732013227562961,-0.09763682372220406
3,15,21,0.23064007670646958,0.5580162070087549,-0.09673605359581577
3,16,22,0.230575830381048,0.4855264603443098,-0.02437479958221378
3,17,22,0.27310395126568504,0.5918304291607439,-0.04562252662937383
3,18,22,0.29540139689397626,0.7228224885848189,-0.13201969479686632
3,19,20,0.3161413399797208,0.706851211582517,-0.07456853162307531
3,20,22,0.30516202206574145,0.6556703098279333,-0.04534626569645034
3,21,20,0.30822167646032844,0.6566332438560312,-0.04018989093537423
3,22,15,0.30310983854290885,0.7608085641874559,-0.1545888871016382
3,23,9,0.5303513156945919,1.2397758967368873,-0.1790732653477033
4,1,22,0.2782313926129929,0.6646762115987221,-0.10821342637273634
