month,day_idx,n_years,median,upper,lower
1,1,13,0.0,0.0,0.0
1,2,16,-0.01461518812299556,0.05056821591720867,-0.07979859216319979
1,3,16,0.001990382915473321,0.11994685110635189,-0.11596608527540525
1,4,16,0.018202370093651055,0.12858593088812653,-0.09218119070082442
1,5,16,0.0458391792461455,0.1351946152180938,-0.04351625672580281
1,6,15,0.06253555269627953,0.1915879528394943,-0.06651684744693526
1,7,16,0.07618327826682636,0.2005670112004683,-0.04820045466681558
1,8,16,0.09874348476992717,0.220790257645022,-0.023303288105167658
1,9,16,0.07553160370153433,0.20796065462530924,-0.05689744722224058
1,10,14,0.07334810844052442,0.224466463667766,-0.07777024678671715
1,11,9,0.08718952859034979,0.19594446973538493,-0.02156541255468536
1,12,14,0.11768072544034369,0.25691453500698,-0.021553084126292643
1,13,13,0.14448190135825878,0.3731762559241932,-0.08421245320767562
1,14,14,0.13140576869893872,0.32002992071352576,-0.05721838331564835
1,15,16,0.14168347644732265,0.25825318860786434,0.02511376428678097
1,16,16,0.16790910583112545,0.3075847041356716,0.02823350752657927
1,17,16,0.1950131506572262,0.359182792300874,0.030843509013578324
1,18,16,0.18315783452645062,0.4375906526211585,-0.07127498356825723
1,19,16,0.1973641211006869,0.43398235039068944,-0.0392541081893156
1,20,16,0.0876625513836789,0.40393270027440076,-0.22860759750704296
1,21,14,0.11849137973773027,0.3614827427883899,-0.1244999833129293
1,22,10,0.19882362441714457,0.431657607380019,-0.034010358545729896
2,1,16,0.1683775852232487,0.41737458759267954,-0.08061941714618218
2,2,16,0.212908832872034,0.4987190520315973,-0.07290138628752929
2,3,16,0.1773127126309767,0.5127654509601778,-0.15814002569822438
2,4,16,0.21049175232634493,0.5214017601422698,-0.10041825548958
2,5,16,0.16077975907929948,0.45474482078092743,-0.13318530262232847
2,6,16,0.2227794159345905,0.5623153979023654,-0.1167565660331844
2,7,16,0.21586085335049754,0.5121487234084392,-0.08042701670744412
2,8,16,0.245332635023084,0.5437782005741594,-0.053112930527991375
2,9,17,0.3134869035989343,0.528873448068309,0.09810035912955956
2,10,17,0.32401399701014744,0.5696587078005406,0.07836928621975431
2,11,9,0.459140598831954,0.7624323731901874,0.15584882447372067
2,12,15,0.3267482500934118,0.5006220943526098,0.1528744058342137
2,13,15,0.37213753968905694,0.6853453022369386,0.05892977714117531
2,14,14,0.25106187450838935,0.5147592226557782,-0.012635473638999528
