month,day_idx,n_years,median,upper,lower
1,1,32,0.0,0.0,0.0
1,2,36,0.006492950285713339,0.05341773210105075,-0.04043183152962407
1,3,36,0.013310235087690803,0.13344433305389355,-0.10682386287851195
1,4,37,0.009169966557991738,0.17440269466734065,-0.15606276155135718
1,5,36,0.04203898295701358,0.1810188090015809,-0.09694084308755374
1,6,36,0.03152583855557012,0.1771688584752495,-0.11411718136410925
1,7,37,0.01496417442938891,0.17585152453337682,-0.145923175674599
1,8,36,0.046097044464145864,0.2089806889245395,-0.11678659999624777
1,9,36,0.008934028503723934,0.1659229028394482,-0.14805484583200032
1,10,33,0.012490241998438623,0.18332598337785422,-0.15834549938097697
1,11,24,0.11942370573297356,0.2985592643324339,-0.05971185286648678
1,12,33,0.08839779005524862,0.30993698783161894,-0.1331414077211217
1,13,33,0.10163525356691483,0.3430306466107845,-0.13976013947695481
1,14,32,0.10853588398389857,0.42297563645707204,-0.2059038684892749
1,15,35,0.045510797635450406,0.41914142049270303,-0.3281198252218022
1,16,37,0.07312515258789065,0.40837646188226145,-0.26212615670648015
1,17,36,0.07497923682443769,0.41962743695257493,-0.26966896330369955
1,18,37,0.08911066996618877,0.4244720071612717,-0.24625066722889416
1,19,37,0.10059257636014984,0.4366361421723954,-0.2354509894520957
1,20,36,0.09149269105521196,0.44349385369379,-0.2605084715833661
1,21,31,0.03902992202691946,0.3814066311391633,-0.30334678708532437
1,22,22,0.1721397231820121,0.4383938467187991,-0.09411440035477492
1,23,2,0.31789304798995954,0.45983800639176065,0.17594808958815844
1,24,3,0.2138953942232631,0.514091294414767,-0.08630050596824079
1,25,3,0.2256049960967993,0.5289129458003774,-0.07770295360677887
1,26,2,0.3304663394174361,0.7353193164791273,-0.07438663764425513
2,1,36,0.06769869415680013,0.41400202610892817,-0.2786046377953279
2,2,37,0.0638297597608185,0.49762857726489185,-0.36996905774325484
2,3,36,0.04355653284407596,0.5317887780120858,-0.4446757123239338
2,4,37,0.027500152587890625,0.4684173256828824,-0.41341702050710116
2,5,37,0.03249984741210932,0.4916269451920848,-0.42662725036786614
2,6,36,0.00245537774304716,0.43325458085112006,-0.42834382536502574
2,7,37,0.0013668244433684418,0.48760698590477936,-0.48487333701804247
2,8,37,0.04166639920991755,0.5263142078499397,-0.44298140943010456
2,9,36,0.03571016339260902,0.590228098591853,-0.518807771806635
2,10,37,0.06288435418848781,0.5932572488128783,-0.4674885404359027
2,11,23,0.15885922678958642,0.5784142148859774,-0.2606957613068046
2,12,30,-0.03061632961877314,0.49795981948375045,-0.5591924787212967
2,13,30,-0.04994851847982068,0.369586433182247,-0.46948347014188835
2,14,32,-0.015534855465545117,0.5293425366149744,-0.5604122475460647
2,15,31,0.0235995529847548,0.5219003928165344,-0.4747012868470249
2,16,36,-0.0011276225036499499,0.4796567036774779,-0.4819119486847778
2,17,37,0.034568187014045404,0.5738761274874524,-0.5047397534593616
2,18,35,-0.04006410403364513,0.5223768495333514,-0.6025050576006417
2,19,37,0.034568187014045404,0.6196662227108861,-0.5505298486827953
2,20,37,0.02888910841447012,0.609123167309597,-0.5513449504806568
2,21,7,0.4839968774395004,1.9841854503484928,-1.0161916954694923
2,22,3,0.427255985267035,0.5334446068980985,0.3210673636359716
2,23,3,0.4677716390423573,0.4850837355139501,0.4504595425707645
2,24,1,0.2284929607934152,0.2284929607934152,0.2284929607934152
2,25,1,0.19683432083155683,0.19683432083155683,0.19683432083155683
3,1,37,0.08342168252893023,0.6470000799320266,-0.4801567148741661
3,2,36,0.08289183211954881,0.6774399796485826,-0.5116563154094849
3,3,37,0.11698711041867838,0.7319793480012324,-0.4980051271638757
3,4,37,0.07532040554390473,0.6750469795484897,-0.5244061684606802
3,5,37,0.050691084244158136,0.6431627451707386,-0.5417805766824223
3,6,35,0.034568187014045404,0.7085398874097635,-0.6394035133816727
3,7,37,0.03686632299233983,0.7173192048524932,-0.6435865588678136
3,8,36,0.038052210391552654,0.6750091608146196,-0.5989047400315142
3,9,37,0.06419840606384752,0.7737964600392969,-0.6453996479116019
3,10,37,0.08986160735867377,0.7295791884593943,-0.5498559737420468
3,11,37,0.1216677135571933,0.7460292576650696,-0.502693830550683
3,12,35,0.09907840784737698,0.8086260350733465,-0.6104692193785926
3,13,37,0.15207369221371092,0.800071442201773,-0.4959240577743511
3,14,36,0.14744808944700338,0.862383443838478,-0.5674872649444712
3,15,36,0.12812382146822027,0.7332483999161148,-0.4770007569796742
3,16,37,0.10096140767224915,0.7258350350854202,-0.523912219740922
3,17,37,0.08039238027896156,0.7135535809786834,-0.5527688204207603
3,18,35,0.08653830576694843,0.7749569436343067,-0.6018803321004098
3,19,35,0.2052950485849493,0.8497533594800445,-0.4391632623101459
3,20,36,0.1387328123412933,0.8225351424267472,-0.5450695177441606
3,21,33,0.09382741948147866,0.7384591306075429,-0.5508042916445856
3,22,27,0.13827154242401085,0.7681133751588936,-0.49157029031087185
3,23,17,0.18271687099871403,0.7848795652076835,-0.4194458232102555
3,24,1,0.2752925214074633,0.2752925214074633,0.2752925214074633
3,25,3,0.2965011456175184,0.29940811514698645,0.29359417608805033
3,26,1,0.5979703356752537,0.5979703356752537,0.5979703356752537
4,1,36,0.16693614905231008,0.9020942533838094,-0.5682219552791894
4,2,34,0.1785856721998782,0.8881105831965972,-0.5309392387968408
4,3,35,0.24276951691635718,0.8987957034930069,-0.4132566696602925
4,4,36,0.21125886517559117,0.9349783996092489,-0.5124606692580667
4,5,33,0.09447000760302537,0.8674821044450359,-0.6785420892389852
4,6,36,0.15442015333396453,0.8469565172545251,-0.5381162105865961
4,7,35,0.2716051168837784,0.8973901208877556,-0.35417988712019877
4,8,35,0.2158860780637809,0.9442681249600146,-0.5124959688324527
4,9,36,0.17642369439045208,0.8499096919520419,-0.4970623031711377
4,10,30,0.10766295160417888,0.8559002817937142,-0.6405743785853566
4,11,36,0.21083885318772183,0.8958294360334331,-0.4741517296579895
4,12,36,0.21745538110604978,0.8842257857520996,-0.4493150235400001
4,13,36,0.20487777903367216,0.890830525828892,-0.48107496776154773
4,14,34,0.21628659143238976,0.8754771339637666,-0.4429039510989871
4,15,35,0.14964174429388966,0.8139288989712192,-0.5146454103834399
4,16,34,0.2195998794232779,0.8488377265776155,-0.4096379677310597
4,17,37,0.22446229930917616,0.9908651264119389,-0.5419405277935866
4,18,36,0.21302316829897783,1.0074384772260778,-0.5813921406281223
4,19,36,0.2176673732415929,0.9492587271919761,-0.5139239807087903
4,20,37,0.29520317018736353,1.0919914978202243,-0.5015851574454971
4,21,32,0.31613724815197186,0.9738265756288417,-0.34155207932489795
4,22,20,0.1304730121642071,0.6969265471178712,-0.4359805227894569
4,23,3,0.6182669789227165,0.761083761295521,0.475450196549912
4,24,2,0.8543135758061942,1.2247769137543614,0.48385023785802683
4,25,3,0.6229508196721311,0.8016988258790101,0.44420281346525203
4,26,2,0.5655665392096665,0.6375914376551197,0.4935416407642132
5,1,37,0.2899306417206674,0.9120341081207443,-0.33217282467940945
5,2,36,0.2693886117732285,1.0037383993316273,-0.4649611757851704
5,3,36,0.3185277931783963,1.05316371748334,-0.41610813112654743
5,4,36,0.21402949613257422,1.1736287649569648,-0.7455697726918162
5,5,37,0.3089539516792881,1.0346064471704635,-0.4166985438118873
5,6,36,0.32793039801726187,1.077650581444903,-0.42178978541037926
5,7,37,0.32535897393777113,1.025429440847207,-0.37471149297166495
5,8,36,0.3264638445120503,1.0985037144807694,-0.4455760254566688
5,9,36,0.3403560077824813,1.0497760742105449,-0.36906405864558234
5,10,36,0.31434903388850477,1.1784295511393648,-0.5497314833623551
5,11,37,0.3547557840616966,1.1700743735517911,-0.4605628054283979
5,12,36,0.35088229380556407,1.2267272367634023,-0.5249626491522743
5,13,37,0.3886595678191799,1.1714109254889604,-0.39409178985060056
5,14,36,0.3812100206206285,1.2882829008107537,-0.5258628595694967
5,15,36,0.38941710432080184,1.2316858770747088,-0.45285166843310504
5,16,36,0.39443982691179413,1.276236692697728,-0.4873570388741397
5,17,32,0.4910474679578117,1.2949572610106321,-0.31286232509500883
5,18,32,0.46984600150269423,1.2225654209013637,-0.28287341789597525
5,19,32,0.36906230974026377,1.3303454870709874,-0.5922208675904598
5,20,31,0.3896101525696274,1.4638212536650992,-0.6846009485258444
5,21,21,0.470331619818128,1.072380870881245,-0.13171763124498903
5,22,25,0.5167462068796473,1.4853766676783402,-0.45188425391904563
5,23,17,0.7496668804122739,1.286305122790707,0.21302863803384076
5,24,3,0.6056435470964192,0.7365913033382379,0.47469579085460056
5,25,3,0.6028907899075652,0.7859154993590769,0.41986608045605345
5,26,3,0.9124998474121093,1.3397491953167489,0.4852504995074698
5,27,2,0.8093394011266026,1.0653305283185346,0.5533482739346708
6,1,36,0.4579675618080679,1.2651339763409253,-0.3491988527247894
6,2,37,0.45254476425016676,1.2181718613806658,-0.31308233288033227
6,3,36,0.430116524605197,1.3796380907275925,-0.5194050415171985
6,4,37,0.5058840677049081,1.3686267642161605,-0.35685862880634434
6,5,37,0.552040335632762,1.3313878691989376,-0.2273071979334137
6,6,35,0.5330889314881927,1.2775970128043972,-0.2114191498280119
6,7,35,0.5370804059328649,1.3626711957922382,-0.2885103839265083
6,8,36,0.5081743442749262,1.337370663158934,-0.32102197460908133
6,9,34,0.4804486317557796,1.3733751114890353,-0.41247784797747605
6,10,36,0.5600203626514579,1.4280216950377589,-0.307980969734843
6,11,35,0.5885900152048772,1.4920586997879117,-0.3148786693781572
6,12,35,0.5089773614363777,1.4043806198079238,-0.3864258969351685
6,13,33,0.5089974293059126,1.420981950975062,-0.40298709236323693
6,14,34,0.5955346328356044,1.4722748700652795,-0.2812056043940707
6,15,35,0.617908424848253,1.4403227164869938,-0.20450586679048766
6,16,36,0.6418798225704255,1.5252187178476255,-0.24145907270677458
6,17,35,0.627477760420863,1.5575113486714045,-0.3025558278296784
6,18,35,0.5809768637532133,1.3745778966149613,-0.21262416910853466
6,19,35,0.583669271813818,1.4848970210115358,-0.31755847738389986
6,20,36,0.6282839765795288,1.5143197632243273,-0.2577518100652697
6,21,30,0.45809762080135497,1.5414714737558766,-0.6252762321531666
6,22,22,0.40221698714054255,1.5298665096992357,-0.7254325354181506
6,23,3,1.0675001525878907,1.4938742330983201,0.6411260720774613
6,24,3,1.0460577673692428,1.1382213451972145,0.953894189541271
6,25,3,1.1675001525878905,1.3145349247952534,1.0204653803805277
6,26,1,1.2075001525878906,1.2075001525878906,1.2075001525878906
7,1,35,0.6438822611896692,1.5187592762046904,-0.23099475382535217
