month,day_idx,n_years,median,upper,lower
1,1,11,0.0,0.0,0.0
1,2,13,0.0,0.06264742997055633,-0.06264742997055633
1,3,13,0.0033106665221267484,0.04886068636666124,-0.04223935332240775
1,4,13,0.022026591971480824,0.11853443822399373,-0.07448125428103208
1,5,13,0.08076511244642792,0.2257659605368082,-0.06423573564395235
1,6,12,0.08163163832159143,0.20548967082383246,-0.04222639418064961
1,7,13,0.07849478263093634,0.23821681924427002,-0.08122725398239733
1,8,13,0.09351752707043637,0.21924803021160227,-0.03221297607072954
1,9,13,0.0871410494999948,0.21029990489383393,-0.036017805893844346
1,10,11,0.10060208174669105,0.24037693950233485,-0.03917277600895275
1,11,8,0.1669948600080179,0.24742415921822086,0.08656556079781491
1,12,11,0.15361014364502856,0.28740889287705096,0.019811394413006167
1,13,10,0.1187393512483324,0.45978311290505275,-0.22230441040838794
1,14,12,0.18001177322969153,0.4014020753865308,-0.04137852892714772
1,15,13,0.2382910404439469,0.5081781466999163,-0.03159606581202257
1,16,13,0.18319744122188186,0.4352053555298764,-0.06881047308611266
1,17,13,0.16691943616789506,0.5038462691957936,-0.17000739686000343
1,18,13,0.15392596540813686,0.3012191683967837,0.0066327624194900126
1,19,13,0.17924188184193013,0.3571956136957345,0.001288149988125764
1,20,13,0.17325683593749996,0.3166257340607891,0.02988793781421084
1,21,11,0.15373705259391335,0.44596959227708693,-0.13849548708926024
1,22,8,0.22133613725038837,0.4002104614168998,0.04246181308387692
2,1,13,0.15229676437497164,0.46076498276787126,-0.15617145401792798
2,2,13,0.1915153734611742,0.6756708846979842,-0.29264013777563586
2,3,13,0.16484855883049232,0.654718577727611,-0.32502146006662636
2,4,13,0.21327087242840792,0.7460394603275501,-0.31949771547073424
2,5,13,0.18642804089833398,0.5408861827343656,-0.16803010093769766
2,6,13,0.08213188420385364,0.42904335958763495,-0.26477959117992766
2,7,13,0.23804471263690608,0.5917562134000689,-0.11566678812625675
2,8,13,0.24941371859545047,0.5559103249710533,-0.057082887780152414
2,9,13,0.2727594089123664,0.6305293208870917,-0.08501050306235891
2,10,13,0.300454985102211,0.6424998911491784,-0.04158992094475639
