month,day_idx,n_years,median,upper,lower
1,1,32,0.0,0.0,0.0
1,2,36,0.0,0.06858187183650552,-0.06858187183650552
1,3,36,0.05211661088520825,0.14632256711895625,-0.04208934534853975
1,4,37,0.04310344827586199,0.18392772791686351,-0.09772083136513954
1,5,36,0.03536641033173715,0.20235155434640034,-0.13161873368292604
1,6,36,0.0156813642689006,0.21611621368732162,-0.18475348514952042
1,7,37,0.03861003633535742,0.2511642539332061,-0.17394418126249128
1,8,36,0.05677589780053588,0.323234413184775,-0.20968261758370327
1,9,36,0.05924253035338839,0.35508524419789883,-0.23660018349112205
1,10,33,0.12260524825372943,0.4162611169297637,-0.17105062042230484
1,11,24,0.010061358673092269,0.3137322527481599,-0.2936095354019754
1,12,33,0.06034482758620685,0.35164576802507835,-0.23095611285266465
1,13,33,0.026516911110747055,0.4555842234712616,-0.4025504012497675
1,14,32,0.007103811168106877,0.32683678537569905,-0.3126291630394853
1,15,35,0.011695987968459942,0.387935622095063,-0.3645436461581431
1,16,37,0.0005919669564542485,0.37879926297790606,-0.37761532906499756
1,17,36,0.033307210031347956,0.42443466287268256,-0.35782024280998664
1,18,37,-0.028556733358700015,0.3042878540058921,-0.3614013207232921
1,19,37,0.030982801155535422,0.4399570028888386,-0.37799140057776776
1,20,36,-0.03388818717395192,0.37473248940030524,-0.4425088637482091
1,21,31,0.0,0.40206158808587555,-0.40206158808587555
1,22,22,0.10599705129969739,0.5038384123275813,-0.29184430972818654
1,23,2,0.15882967607105536,0.4205851619644722,-0.10292580982236149
1,24,3,0.006269592476489061,0.08298167349891505,-0.07044248854593693
1,25,3,-0.019230769230769273,0.017753797926211623,-0.05621533638775017
1,26,2,0.25170940170940176,0.5908119658119659,-0.08739316239316236
2,1,36,0.04169790104947524,0.3952125326267329,-0.3118167305277824
2,2,37,0.07241193904888177,0.46404875628754255,-0.319224878189779
2,3,36,0.0891902976733957,0.3875174176044608,-0.20913682225766939
2,4,37,0.1132075471698114,0.45813746801814936,-0.23172237367852655
2,5,37,0.09450802949935322,0.41223797989118616,-0.22322192089247972
2,6,36,0.0577769180404884,0.4424501133599227,-0.3268962772789459
2,7,37,0.09354636314112441,0.42117556576900733,-0.2340828394867585
2,8,37,0.14048511939198605,0.46843131625886697,-0.18746107747489488
2,9,36,0.17073132862339468,0.5129654070934183,-0.17150274984662894
2,10,37,0.17059928801576296,0.5451792368985249,-0.203980660866999
2,11,23,0.17868338557993735,0.44670846394984337,-0.08934169278996867
2,12,30,0.13984446441264753,0.5157168378040888,-0.23602790897879372
2,13,30,0.06061407958696502,0.4274515928029265,-0.30622343362899646
2,14,32,0.06847742184707384,0.37236367338530285,-0.23540882969115517
2,15,31,0.10497270172325313,0.532083709011381,-0.32213830556487477
2,16,36,0.10756049144358376,0.555541864834451,-0.34042088194728354
2,17,37,0.09433962264150952,0.5848773792360002,-0.39619813395298115
2,18,35,0.05978024660885983,0.5433050758176283,-0.4237445825999087
2,19,37,0.1206897827447766,0.5811492225455619,-0.3397696570560087
2,20,37,0.13620704992205357,0.5818587955292316,-0.30944469568512445
2,21,7,0.07730659557314401,0.5726319686711083,-0.41801877752482025
2,22,3,0.38871473354231967,0.49101760308656844,0.2864118639980709
2,23,3,0.38871473354231967,0.5390945261634915,0.23833494092114782
2,24,1,0.27564102564102566,0.27564102564102566,0.27564102564102566
2,25,1,0.22435897435897434,0.22435897435897434,0.22435897435897434
3,1,37,0.11619400021080306,0.6424400220534066,-0.41005202163180043
3,2,36,0.09789397550648632,0.6852344469232647,-0.48944649591029216
3,3,37,0.1594375803370014,0.7907733532691623,-0.4718981925951595
3,4,37,0.16647129199842614,0.8402003356320563,-0.507257751635204
3,5,37,0.21551724137931028,0.8785427491733585,-0.44750826641473795
3,6,35,0.0974658847652854,0.8557414218782634,-0.6608096523476926
3,7,37,0.21551724137931028,0.9558777429467085,-0.5248432601880879
3,8,36,0.059888805709770454,0.9074937343313747,-0.7877161229118339
3,9,37,0.05424607767677736,0.8203978028875957,-0.711905647534041
3,10,37,0.14504757350602648,0.9964413608959907,-0.7063462138839377
3,11,37,0.18827908171395014,0.8792236772021046,-0.5026655137742043
3,12,35,0.12028352918895857,0.8431735455183704,-0.6026064871404533
3,13,37,0.23717948717948711,0.8784018432431964,-0.40404286888422214
3,14,36,0.17906262372230247,0.786625465493231,-0.428500218048626
3,15,36,0.20185743094222114,0.7674366002227544,-0.36372173833831206
3,16,37,0.12858547562593348,0.6860372544603848,-0.4288663032085178
3,17,37,0.1379307824879572,0.8175449658700461,-0.5416834008941317
3,18,35,0.10309277539654171,0.7555188296930334,-0.54933327889995
3,19,35,0.12771392206178778,0.7062534522374785,-0.45082560811390293
3,20,36,0.09047996656342977,0.7193232327590584,-0.538363299632199
3,21,33,0.017804183413348884,0.7970105157538319,-0.7614021489271341
3,22,27,0.2065217391304347,1.110643970467596,-0.6976004922067268
3,23,17,0.27075337835780444,0.9283453282021795,-0.38683857148657064
3,24,1,0.4871794871794871,0.4871794871794871,0.4871794871794871
3,25,3,0.5512820512820512,0.5976408648822441,0.5049232376818583
3,26,1,0.6112852664576803,0.6112852664576803,0.6112852664576803
4,1,36,0.2757071733350872,0.9505901669800471,-0.39917582030987264
4,2,34,0.01704531693290906,0.8580931475799809,-0.8240025137141629
4,3,35,0.2547174267346417,0.8473196771560852,-0.33788482368680184
4,4,36,0.13477413638692926,0.9144130803838649,-0.6448648076100064
4,5,33,0.15469550381944053,0.9531333795930278,-0.6437423719541467
4,6,36,0.13805149069208666,0.9817931344544308,-0.7056901530702575
4,7,35,0.11473786126425933,0.9583050505590931,-0.7288293280305744
4,8,35,0.3396232356461889,1.0385217155102389,-0.35927524421786117
4,9,36,0.12366865341463834,0.9546169276767793,-0.7072796208475027
4,10,30,0.08782831523304135,0.9682872914176716,-0.7926306609515889
4,11,36,0.1616319860215083,0.8733686934406244,-0.5501047213976078
4,12,36,0.10017473774666802,0.9157245336197808,-0.7153750581264449
4,13,36,0.07029806757695278,0.8866006110129728,-0.7460044758590673
4,14,34,0.12733835979386732,0.9130951661586144,-0.6584184465708798
4,15,35,0.04597660270268622,0.8879148126022318,-0.7959616071968594
4,16,34,0.18563852477467008,0.9866857014818722,-0.6154086519325321
4,17,37,0.2783019737910476,1.1348216158442022,-0.578217668262107
4,18,36,0.19365701224367088,1.0914919854883331,-0.7041779610009915
4,19,36,0.22842793628861247,1.1380514638172978,-0.6811955912400729
4,20,37,0.20689641732691055,1.1102915195652638,-0.6964986849114426
4,21,32,0.16414646436743435,1.0366720280898634,-0.7083790993549945
4,22,20,0.2708155580526831,1.1334139999838897,-0.5917828838785235
4,23,3,0.5956112852664578,0.6909512900892214,0.5002712804436942
4,24,2,0.8169714385231628,1.0831809474050855,0.5507619296412402
4,25,3,0.6551724137931035,0.8975464190981435,0.41279840848806365
4,26,2,0.6516759102966,0.8214974680491923,0.48185435254400766
5,1,37,0.2228781982392114,1.1131803723126166,-0.6674239758341938
5,2,36,0.1793443568443966,0.9901160707921957,-0.6314273571034024
5,3,36,0.18952559445218903,1.0244931713041416,-0.6454419823997635
5,4,36,0.12871979143097162,0.8956151869594458,-0.6381756040975024
5,5,37,0.1148888019066332,0.867222166891217,-0.6374445630779506
5,6,36,0.1711239563778048,0.8937862790990185,-0.5515383663434088
5,7,37,0.3446659585103584,1.2047572929178458,-0.5154253758971289
5,8,36,0.25970478466733027,1.0680183569935395,-0.5486087876588789
5,9,36,0.23922568603384575,0.9925073689536907,-0.5140559968859992
5,10,36,0.19687442557479218,1.0964735319473462,-0.702724680797762
5,11,37,0.2611275203035437,1.0015117115463412,-0.47925667093925384
5,12,36,0.2185115777287734,1.054691041759365,-0.6176678863018181
5,13,37,0.18001974134014587,0.9597020097198039,-0.5996625270395122
5,14,36,0.11713010595713474,0.8723374503448389,-0.6380772384305693
5,15,36,0.13070379215291572,0.9246917972413659,-0.6632842129355344
5,16,36,0.17672716793991633,1.0309576870441317,-0.6775033511642992
5,17,32,0.2813421555477311,0.9862303523731726,-0.42354604127771034
5,18,32,0.3185433995247295,1.249201476418523,-0.612114677369064
5,19,32,0.10281643417924768,0.9375647752668236,-0.7319319069083282
5,20,31,0.30454545454545456,1.2227272727272727,-0.6136363636363635
5,21,21,0.32402248923680055,1.3079887553815999,-0.6599437769079987
5,22,25,0.27434356367620494,1.0195680300741232,-0.47088090272171323
