month,day_idx,n_years,median,upper,lower
1,1,20,0.0,0.0,0.0
1,2,25,0.0,0.05555495532482668,-0.05555495532482668
1,3,25,-0.001795715759152161,0.11119205935221566,-0.11478349087051998
1,4,25,-0.009932307313181288,0.12811058858283075,-0.14797520320919333
1,5,25,-0.02892876939616329,0.16649373323495448,-0.22435127202728106
1,6,24,-0.03534888828256294,0.19046038882889288,-0.26115816539401876
1,7,25,-0.021056764307075038,0.21358701122440582,-0.2557005398385559
1,8,25,0.03897190440989706,0.2897065181366308,-0.21176270931683666
1,9,25,0.04477605403468887,0.2666485746740233,-0.17709646660464556
1,10,22,0.05174849530009884,0.2895249773811442,-0.1860279867809465
1,11,15,0.0022204872704580936,0.19106480382317798,-0.1866238292822618
1,12,21,0.01776446288575806,0.24518778655426238,-0.20965886078274626
1,13,21,0.02909751526711335,0.2715070444096325,-0.21331201387540583
1,14,21,0.02525802860278703,0.31591505880930426,-0.2653990016037302
1,15,25,0.06199781541768523,0.44184803760408714,-0.3178524067687167
1,16,25,0.07450928766865084,0.4020066168561879,-0.2529880415188862
1,17,25,0.12055101577822014,0.5784930055302674,-0.3373909739738271
1,18,25,0.036314782500726395,0.46423034075771713,-0.39160077575626434
1,19,25,0.09540652475003963,0.45395700189018,-0.26314395239010074
1,20,25,0.026406379611032316,0.455508542674303,-0.4026957834522384
1,21,22,0.09506807970973324,0.4472595141996965,-0.25712335478023
1,22,15,0.19367884000387892,0.3949897314315638,-0.007632051423805963
2,1,25,0.17763141383751602,0.5390873727443455,-0.18382454506931345
2,2,25,0.12373931589946041,0.5223536670625257,-0.2748750352636049
2,3,25,0.04240245057237313,0.46893829631953715,-0.3841333951747909
2,4,25,0.09011457429576919,0.6085850146445656,-0.4283558660530272
2,5,25,0.08235260678537615,0.43211830412286245,-0.26741309055211016
2,6,25,0.09363936282422392,0.5499482752536811,-0.36266954960523323
2,7,25,0.13957613724822826,0.574223646434251,-0.2950713719377944
2,8,25,0.1105258561236444,0.5686039233833393,-0.3475522111360505
2,9,25,0.059244922754088325,0.5846796870520238,-0.4661898415438471
2,10,25,0.12530122000750865,0.6938958869317232,-0.4432934469167059
2,11,14,0.21865689155937656,0.5144960269977294,-0.07718224387897626
2,12,21,0.2756179506448254,0.7536123655477811,-0.20237646425813022
2,13,22,0.19813024312554484,0.8854653305877844,-0.48920484433669476
2,14,21,0.1669645828967321,0.7495063542533251,-0.4155771884598609
2,15,22,0.23967069013384906,0.8750751096987472,-0.3957337294310492
2,16,25,0.16647542082115407,0.8720886188100834,-0.5391377771677752
