month,day_idx,n_years,median,upper,lower
1,1,19,0.0,0.0,0.0
1,2,24,0.0,0.03236971379916603,-0.03236971379916603
1,3,24,-0.014893862954711512,0.12670799503251012,-0.15649572094193315
1,4,24,-0.006844003450610314,0.1409973727779233,-0.15468537967914392
1,5,24,-0.036870238605057115,0.10066662553745973,-0.17440710274757396
1,6,23,0.050196584042137005,0.2544048648143967,-0.15401169673012272
1,7,24,0.009355062292726035,0.1919317937423266,-0.17322166915687454
1,8,24,0.022787485649923278,0.21645347758839156,-0.170878506288545
1,9,24,0.031003208589698017,0.21322726840199308,-0.15122085122259704
1,10,21,0.015280614776299273,0.2141236608477502,-0.18356243129515165
1,11,14,0.09458462899281306,0.1978577924396144,-0.00868853445398829
1,12,20,0.04292989050807455,0.39385541870534874,-0.30799563768919963
1,13,20,0.050315626770848054,0.3983577666983597,-0.2977265131566636
1,14,21,0.0430022892659212,0.35293534583560293,-0.26693076730376053
1,15,24,-0.006870953423485315,0.4380438962278569,-0.4517858030748275
1,16,24,0.015929326981393932,0.5147930116037684,-0.4829343576409805
1,17,24,0.16417772310479023,0.6546147007173297,-0.32625925450774934
1,18,24,0.19916288619189487,0.6520943151872474,-0.2537685428034577
1,19,24,0.11498618389362558,0.6074285355393128,-0.3774561677520616
1,20,24,0.019669650462145805,0.5152706346069429,-0.47593133368265134
1,21,21,0.09854543229888668,0.5368908241713495,-0.3397999595735761
1,22,14,0.21480669749386017,0.7267305169782717,-0.2971171219905514
2,1,24,-0.02920184465743092,0.4149093824707371,-0.47331307178559895
2,2,24,0.004876338420308324,0.4959688641132611,-0.48621618727264443
2,3,24,0.03300195333238726,0.5654836525225713,-0.4994797458577968
2,4,24,0.04071451251517333,0.5510477661893772,-0.4696187411590306
2,5,24,0.04479177365713877,0.5806739987998577,-0.4910904514855802
2,6,24,0.021788580256887125,0.534802973030666,-0.4912258125168918
2,7,24,-0.01719776704229048,0.5097858231554389,-0.5441813572400198
2,8,24,-0.023892645357227016,0.5007199747066896,-0.5485052654211436
2,9,24,-0.011596713677450632,0.4701267886629934,-0.49332021601789466
2,10,24,0.04554320617736368,0.5368357746004633,-0.44574936224573586
2,11,13,0.3363050369485048,0.9846988755678999,-0.31208880167089037
2,12,21,0.11325329057808986,0.6522077447859089,-0.4257011636297292
2,13,21,0.07901933165613095,0.5849760516877603,-0.42693738837549844
2,14,20,-0.03208078692064553,0.33639770169269706,-0.4005592755339881
2,15,21,0.13587452612381723,0.6849062153843737,-0.4131571631367392
2,16,24,0.052450167665438696,0.6003886413651336,-0.49548830603425625
2,17,24,0.02719373636813155,0.6584924964783867,-0.6041050237421237
2,18,24,0.03534226611970359,0.6891900027982059,-0.6185054705587987
2,19,24,0.09575819758617465,0.7051451021904975,-0.5136287070181482
2,20,24,0.14333469874721771,0.800717859596598,-0.5140484621021626
2,21,4,0.17969381445720572,0.990363318327772,-0.6309756894133605
3,1,24,0.10002267626001488,0.70244371699669,-0.5023983644766603
3,2,24,0.03537104625676918,0.6253611728328536,-0.5546190803193152
3,3,24,0.04021102893217193,0.7133953919760396,-0.6329733341116957
3,4,24,0.04268644973912816,0.7042561941065695,-0.6188832946283132
3,5,24,0.017181862600680442,0.6619749599308408,-0.6276112347294799
3,6,24,0.021491978694127,0.8068635584602588,-0.7638796010720048
3,7,24,0.05612099905566059,0.8005361968886138,-0.6882941987772926
3,8,24,0.026386752067734776,0.7678523391018951,-0.7150788349664255
3,9,24,0.027139173683884243,0.7557055679859652,-0.7014272206181966
3,10,24,0.04015592005518276,0.7491450599891741,-0.6688332198788086
3,11,24,0.007260933441585682,0.6815412689963547,-0.6670194021131834
3,12,24,0.030733541073875548,0.723962702046484,-0.6624956198987331
3,13,24,0.04888451862005022,0.7154015969426666,-0.6176325597025663
3,14,24,0.051920987452987455,0.7208128305539591,-0.6169708556479842
3,15,23,0.024412337027110986,0.7377938314864445,-0.6889691574322225
3,16,24,0.10795909261392889,0.7306043244414493,-0.5146861392135915
3,17,24,0.15348619685186343,0.7634483945920958,-0.456476000888369
3,18,24,0.15909881911190504,0.7962290149849905,-0.47803137676118046
3,19,22,0.161663281179246,0.7783296096835062,-0.4550030473250142
3,20,24,0.06945222428489445,0.7945824055561452,-0.6556779569863562
3,21,22,0.038790007568088536,0.8392798497325931,-0.7616998345964161
