month,day_idx,n_years,median,upper,lower
1,1,32,0.0,0.0,0.0
1,2,36,0.0,0.05647520644204049,-0.05647520644204049
1,3,36,0.0036414878292493347,0.08776385774889289,-0.08048088209039422
1,4,37,-0.001368259653678372,0.11442910633916514,-0.11716562564652189
1,5,36,0.03913248437688399,0.16308026487581848,-0.0848152961220505
1,6,36,0.06038400545742101,0.23876848947609908,-0.11800047856125706
1,7,37,0.029305708609880243,0.24085091854761592,-0.18223950132785544
1,8,36,0.05482325891490086,0.2991576982727756,-0.18951118044297388
1,9,36,0.050659291609210566,0.2683376041982489,-0.16701902097982776
1,10,33,0.0014597312630298953,0.2889259583213361,-0.2860064957952763
1,11,24,-0.012026927916285846,0.32680042453917296,-0.35085428037174465
1,12,33,0.015439917565710726,0.27925657906119394,-0.2483767439297725
1,13,33,0.06360361290255567,0.2977931109781804,-0.17058588517306905
1,14,32,0.06940974269865835,0.26728357162282723,-0.12846408622551053
1,15,35,0.03816689239919324,0.28914948322007145,-0.21281569842168496
1,16,37,0.05428296327165705,0.2972465823888816,-0.18868065584556748
1,17,36,0.056236142172587156,0.31292973375154487,-0.20045744940637056
1,18,37,-0.002112817524578592,0.2856588383707047,-0.2898844734198619
1,19,37,0.027110663924902023,0.3309286053199805,-0.2767072774701764
1,20,36,0.027970668526223763,0.31110697789756847,-0.25516564084512094
1,21,31,0.05428296327165705,0.34711243591854946,-0.23854650937523536
1,22,22,0.035031689088039,0.32929578065005366,-0.25923240247397566
1,23,2,-0.16092991907652743,0.4053529814946297,-0.7272128196476846
1,24,3,-0.33102659824697933,-0.019888716431499975,-0.6421644800624586
1,25,3,-0.5230684003185436,-0.5111312967920145,-0.5350055038450727
1,26,2,-0.5174988216119627,-0.48606927484395834,-0.5489283683799671
2,1,36,0.03833766960470947,0.4295784866763998,-0.35290314746698087
2,2,37,0.03342332849213503,0.4745149723549179,-0.40766831537064785
2,3,36,0.06299539993631798,0.46368495164591805,-0.3376941517732821
2,4,37,0.07785586236512232,0.4993195262542149,-0.34360780152397025
2,5,37,0.08019580329694864,0.5539819855580954,-0.3935903789641982
2,6,36,0.057978291563411166,0.5793324572843688,-0.46337587415754644
2,7,37,0.06828349476621143,0.5006437617915657,-0.3640767722591428
2,8,37,0.09097730620161149,0.6023952171050362,-0.4204406047018132
2,9,36,0.0596722221358143,0.4997430081014124,-0.3803985638297838
2,10,37,0.06670212879647885,0.5689785805028427,-0.43557432290988496
2,11,23,0.12157075401612061,0.7981203249052785,-0.5549788168730373
2,12,30,0.04715444266254315,0.3895776681539207,-0.2952687828288344
2,13,30,0.04763691146830318,0.4365732390485617,-0.34129941611195536
2,14,32,-0.007375406680415975,0.2997806079845214,-0.31453142134535333
2,15,31,0.014381474012830076,0.4427995355155576,-0.41403658748989747
2,16,36,-0.0023154028672995874,0.29952212625552405,-0.3041529319901232
2,17,37,0.04580221017812103,0.39423040933641906,-0.302625988980177
2,18,35,0.056212417008445925,0.4407105994858446,-0.3282857654689528
2,19,37,-0.02338113147362686,0.3364200322350674,-0.3831822951823211
2,20,37,-0.021582529022550756,0.3294253680729892,-0.37259042611809073
2,21,7,-0.1040204203584274,0.670797558536939,-0.8788383992537938
2,22,3,-0.28964956257359975,0.014328028518932612,-0.5936271536661322
2,23,3,-0.38620776527046785,-0.08859483837119664,-0.6838206921697391
2,24,1,-0.4827536293670467,-0.4827536293670467,-0.4827536293670467
2,25,1,-0.5103381356577539,-0.5103381356577539,-0.5103381356577539
3,1,37,-0.009553698780659925,0.3881241286904468,-0.4072315262517667
3,2,36,-0.0040230819898391945,0.36095785355425086,-0.36900401753392925
3,3,37,0.014826663496173342,0.45089660882545046,-0.4212432818331038
3,4,37,-0.02862695523349923,0.3693437508532641,-0.42659766132026256
3,5,37,-0.00714225769043042,0.4171370031425048,-0.43142151852336563
3,6,35,0.07206593614034307,0.5790580946638341,-0.43492622238314793
3,7,37,0.07155139709035718,0.5690617269975571,-0.4259589328168428
3,8,36,0.11636437084643048,0.6068249199989071,-0.37409617830604613
3,9,37,0.07892951135742998,0.5896031758368321,-0.4317441531219721
3,10,37,0.039805838519066494,0.5806503639415603,-0.5010386869034273
3,11,37,0.06999411121788723,0.6098618634137717,-0.4698736409779972
3,12,35,0.09934807490002451,0.6104147272546604,-0.4117185774546114
3,13,37,0.09483769232344552,0.6867454903178348,-0.4970701056709438
3,14,36,0.10084912952066133,0.700729870818328,-0.49903161177700534
3,15,36,0.13923862949651677,0.7773954192972573,-0.49891816030422376
3,16,37,0.12620601087899197,0.7418073747239881,-0.4893953529660041
3,17,37,0.05589385001448477,0.6424453115340721,-0.5306576115051026
3,18,35,0.025566937419535973,0.5722132764530057,-0.5210794016139337
3,19,35,0.027159089061049135,0.5915308101894948,-0.5372126320673966
3,20,36,0.08589525847452006,0.6291689598736141,-0.45737844292457397
3,21,33,0.16696535473536112,0.6232553758994233,-0.289324666428701
3,22,27,0.23776266366330234,1.0191819048652637,-0.5436565775386589
3,23,17,0.2608383312102587,0.9925680180065117,-0.4708913555859944
3,24,1,-0.8758575672497446,-0.8758575672497446,-0.8758575672497446
3,25,3,-0.33846573821900605,0.40555672805435194,-1.082488204492364
3,26,1,0.8294960125116874,0.8294960125116874,0.8294960125116874
4,1,36,0.06572790456726985,0.6258017280452866,-0.49434591891074686
4,2,34,0.1533000460112544,0.883320880209419,-0.5767207881869101
4,3,35,0.07188756615414071,0.5720200615699504,-0.428244929261669
4,4,36,0.12616777400530355,0.6162434133511098,-0.3639078653405027
4,5,33,-0.04720969540146813,0.41100897110814355,-0.5054283619110798
4,6,36,0.13585279439646342,0.7070895416014595,-0.43538395280853276
4,7,35,0.1122399959163598,0.6183213892303164,-0.3938413973975968
4,8,35,0.05721437536763485,0.6753026467823734,-0.5608738960471037
4,9,36,0.08340987348762041,0.6198153056587543,-0.4529955586835135
4,10,30,0.05563244996322442,0.49099991694768125,-0.3797350170212324
4,11,36,0.10722443706140267,0.6554389422171665,-0.4409900680943611
4,12,36,0.1263493006012743,0.701742399177611,-0.4490437979750624
4,13,36,0.12208536256358143,0.73970915321113,-0.49553842808396703
4,14,34,0.11754912567757769,0.6194471032967485,-0.3843488519415931
4,15,35,0.044428711231143225,0.5956742553122258,-0.5068168328499394
4,16,34,0.05882605979544864,0.5699868969527728,-0.45233477736187555
4,17,37,0.1241417475307991,0.7169309529026939,-0.46864745784109574
4,18,36,0.110974650854272,0.6579758865831598,-0.4360265848746158
4,19,36,0.12194535173423071,0.7674065148117328,-0.5235158113432714
4,20,37,0.06569180506650618,0.6856078868601155,-0.5542242767271032
4,21,32,0.07315504819204455,0.6359630439290779,-0.4896529475449888
4,22,20,0.05551904753645398,0.6308417772917135,-0.5198036822188056
4,23,3,-0.41538361679668545,0.18222953109243967,-1.0129967646858105
4,24,2,0.19016201712093445,1.0869427245889893,-0.7066186903471203
4,25,3,-0.4923012899686213,-0.010064651837400074,-0.9745379280998425
4,26,2,-0.017444478242384542,1.2391423785136215,-1.2740313349983907
5,1,37,0.1941585255053596,0.7232898199555675,-0.3349727689448483
5,2,36,0.10166561699757526,0.47715174447176023,-0.2738205104766097
5,3,36,0.22412106390059788,0.6270762005964963,-0.17883407279530056
5,4,36,0.2390946547044912,0.676574037322206,-0.19838472791322365
5,5,37,0.23527991945381943,0.6915822450851505,-0.22102240617751162
5,6,36,0.21063800056158527,0.7251745803796112,-0.30389857925644076
5,7,37,0.2203752746986547,0.7375610514082307,-0.2968105020109213
5,8,36,0.22242891510004598,0.6988011170473523,-0.2539432868472603
5,9,36,0.2473847552163848,0.762232089573865,-0.2674625791410954
5,10,36,0.2448226755394236,0.7370940300636621,-0.24744867898481493
5,11,37,0.2142128364224648,0.712519590910931,-0.2840939180660013
5,12,36,0.20828820406762433,0.7126979536697455,-0.29612154553449693
5,13,37,0.22010273189204244,0.736096330057686,-0.29589086627360117
5,14,36,0.22675393480744999,0.6593311407818198,-0.20582327116691979
5,15,36,0.17193006581954345,0.6524679811411898,-0.3086078495021029
5,16,36,0.21545276235236366,0.6523402485896732,-0.22143472388494595
5,17,32,0.19491992855858653,0.6518918836235628,-0.2620520265063897
5,18,32,0.15096062191610277,0.608969568625232,-0.30704832479302646
5,19,32,0.26900583285237456,0.879589302880437,-0.3415776371756879
5,20,31,0.10862782495609724,0.8090112690125895,-0.591755619100395
5,21,21,0.3351935822456771,0.7109764358058713,-0.04058927131451717
5,22,25,0.34156364212142554,0.9573504943266059,-0.27422321008375483
5,23,17,0.34279680123960776,0.9898894211761357,-0.30429581869692013
5,24,3,-0.4923012899686213,-0.2790319579535619,-0.7055706219836808
5,25,3,-0.5384518527906322,-0.14612930049179823,-0.9307744050894662
5,26,3,-0.5384518527906322,-0.24958984510104026,-0.8273138604802242
5,27,2,-0.14888860908471135,0.6208762274549534,-0.9186534456243761
6,1,36,0.2928486933014979,0.9518372972220641,-0.36613991061906836
6,2,37,0.3092030043490833,0.9770096690956372,-0.3586036603974706
6,3,36,0.2385296204348532,0.9768619362383226,-0.49980269536861627
6,4,37,0.1976298602024713,0.9078581619117165,-0.5125984415067739
6,5,37,0.19324416068191863,0.9383752595428766,-0.5518869381790393
6,6,36,0.18225915140234844,0.894786420838011,-0.530268118033314
6,7,36,0.2739353831146715,0.9787178061657467,-0.43084703993640355
6,8,37,0.29050375003505624,1.0940500388674061,-0.5130425387972937
6,9,35,0.1963767159832157,1.0079267852834963,-0.615173353317065
6,10,37,0.22346915089706676,1.0241955909442744,-0.5772572891501409
6,11,36,0.22713373479478166,0.9113873299003694,-0.45711986031080604
6,12,36,0.3066444705207673,1.067360916707303,-0.45407197566576835
6,13,34,0.25994967019884946,1.0584578292961202,-0.5385584888984214
6,14,35,0.3187443937359028,1.1539917725202766,-0.5165029850484711
6,15,35,0.28683488380028344,1.1193618693508438,-0.5456921017502769
6,16,37,0.3186799398561011,1.0365078271782373,-0.3991479474660351
6,17,36,0.28344593541047447,1.206816206135573,-0.6399243353146241
6,18,36,0.293611456503382,1.0866401960172918,-0.49941728301052773
6,19,36,0.26548547095902547,1.0990366315977806,-0.5680656896797296
6,20,37,0.2733010490276664,1.190537139667768,-0.6439350416124353
6,21,31,0.2296411465206526,1.1947873873022128,-0.7355050942609077
6,22,23,0.23604823847695489,1.202251697546437,-0.7301552205925271
6,23,3,-0.7769246364266967,-0.038869609605398314,-1.514979663247995
6,24,3,0.9170478022991866,0.9557672899514799,0.8783283146468933
6,25,3,0.9170478022991866,1.0629034441262857,0.7711921604720875
6,26,1,0.9214336395263671,0.9214336395263671,0.9214336395263671
7,1,36,0.30307488764179963,1.113116020768959,-0.5069662454853598
7,2,28,0.4546179101620326,1.0816155274678745,-0.17237970714380918
7,3,20,-0.26097806575798904,0.7114448157933404,-1.2334009473093186
7,4,25,0.4150764898245829,1.1295404728201395,-0.2993874931709737
7,5,36,0.4613727308866826,1.1970195116932305,-0.27427404991986515
7,6,36,0.46750559497067273,1.164454861364331,-0.22944367142298566
7,7,36,0.44071290016636006,1.191988123311018,-0.31056232297829794
7,8,37,0.4523011881434401,1.243551552604902,-0.33894917631802157
7,9,37,0.5059709907425884,1.2470145046287058,-0.2350725231435289
7,10,36,0.48746999236529837,1.211888553195758,-0.23694856846516116
7,11,36,0.5614885688542328,1.3418285435823203,-0.21885140587385465
7,12,36,0.5313879864745572,1.4662250568497355,-0.40344908390062106
7,13,36,0.46329637193849627,1.4163779492177713,-0.48978520534077885
7,14,37,0.5233700145360417,1.4364935000965553,-0.3897534710244718
7,15,37,0.4999215235031145,1.421476311002349,-0.42163326399612
7,16,36,0.4988523205643435,1.319112411538927,-0.32140777041024016
7,17,36,0.5240329471190168,1.3006111023624873,-0.2525452081244537
7,18,36,0.5412304954358234,1.2692586410603308,-0.1867976501886841
7,19,36,0.5022118982173346,1.4473806699238492,-0.4429568734891801
7,20,37,0.46607288254019297,1.323843535785115,-0.3916977707047291
7,21,37,0.49511457509393164,1.309996865260101,-0.3197677150722378
7,22,27,0.5143034745767159,1.001170611191154,0.027436337962277735
7,23,17,0.7278489135995452,1.2691694981159996,0.1865283290830908
7,24,3,0.814284896850586,1.5145131906111093,0.11405660309006271
7,25,3,-0.553849272853393,0.24985149321170141,-1.3575500389184874
7,26,4,0.1554975845885525,1.6099264749831046,-1.2989313058059997
7,27,3,-0.43076706926877406,0.5989337616093072,-1.4604679001468552
8,1,36,0.5080961506530619,1.1293632578015138,-0.11317095649539
8,2,36,0.5599317440705968,1.21989194325952,-0.10002845511832659
8,3,36,0.4851867107599379,1.1124587800221102,-0.14208535850223436
8,4,37,0.45926396215066767,1.099421052901563,-0.18089312860022755
8,5,36,0.5187082078576213,1.0635072106636194,-0.02609079494837685
8,6,37,0.5214942115831309,0.9802735090453634,0.06271491412089841
8,7,36,0.4887994694385243,0.9610295872667618,0.016569351610286776
8,8,36,0.5328669577448546,1.0186514869395398,0.04708242855016942
8,9,36,0.5682705525636138,1.0365290526572806,0.10001205246994699
8,10,37,0.537931612354912,1.0566723598174879,0.019190864892336235
8,11,35,0.5241393534890164,1.07462701044801,-0.026348303469977297
8,12,36,0.5697759965425111,1.1518856093794885,-0.012333616294466276
8,13,36,0.5376978416038249,1.2007942611118911,-0.12539857790424125
8,14,35,0.5377006080999874,1.3234634961632734,-0.24806227996329866
8,15,35,0.53410286413523,1.469326656969935,-0.40112092869947513
8,16,36,0.5271710468638549,1.3961840968246626,-0.3418420030969529
8,17,35,0.5010706674722375,1.338206878657541,-0.3360655437130661
