month,day_idx,n_years,median,upper,lower
1,1,16,0.0,0.0,0.0
1,2,20,0.0,0.10536601465833875,-0.10536601465833875
1,3,20,0.04302614546433353,0.2028957158028255,-0.11684342487415844
1,4,20,-0.001676733703388833,0.15352855272304516,-0.15688202012982283
1,5,20,-0.016317166720435816,0.15050817816734446,-0.1831425116082161
1,6,19,-0.04613242848617949,0.14770274355023166,-0.23996760052259064
1,7,20,-0.0285040215057219,0.188012924024091,-0.2450209670355348
1,8,20,-0.008781717944717271,0.22955691363177538,-0.24712034952120993
1,9,20,0.06339831537731433,0.3170118646946027,-0.19021523393997403
1,10,17,0.04157049169929272,0.35257700588789415,-0.2694360224893087
1,11,12,0.020332485484021,0.26405941741517835,-0.22339444644713635
1,12,17,0.12944966838996796,0.4564916711062167,-0.19759233432628076
1,13,17,0.022940690010704312,0.37118264670936046,-0.32530126668795184
1,14,17,-0.025889933677992305,0.38029197512428353,-0.43207184248026814
1,15,20,0.06571571679484733,0.4324668446315248,-0.3010354110418301
1,16,20,0.061790980702096876,0.4216273034324588,-0.29804534202826505
1,17,20,0.07444620784680822,0.463124008159197,-0.3142315924655806
1,18,20,0.04030811524707989,0.48537346725504005,-0.40475723676088027
1,19,20,0.08425138581160452,0.5338017735756143,-0.3652990019524053
1,20,20,0.04688970002470294,0.5256912601405832,-0.43191186009117727
1,21,17,0.13744121455641856,0.4718592493453766,-0.19697682023253948
1,22,12,0.1443947696237201,0.4392562536767598,-0.15046671442931958
2,1,20,0.09079133378029458,0.4714046621727302,-0.28982199461214103
2,2,20,0.10442555826311029,0.44781330444508505,-0.23896218791886448
2,3,20,0.1126967624475218,0.5317122976234537,-0.3063187727284101
2,4,20,0.06942510575378624,0.4685155394868009,-0.32966532797922843
2,5,20,0.04023848156432297,0.43879958333997066,-0.3583226202113247
2,6,20,0.07522750794822486,0.5878173309537242,-0.4373623150572745
2,7,20,0.11302994622014528,0.6792623114414552,-0.45320241900116465
2,8,20,0.11651347494674924,0.6168931892456909,-0.38386623935219244
2,9,20,0.08319055576604462,0.5773399782202934,-0.41095886668820414
2,10,20,0.07669715235019992,0.48188600846192226,-0.3284917037615224
2,11,11,0.07119716329830572,0.18112064173088988,-0.03872631513427843
2,12,17,0.05839390507649078,0.3522784128746723,-0.23549060272169076
2,13,17,0.1126174988394808,0.7605649971956123,-0.5353299995166507
2,14,17,0.0920597454425015,0.7161637804269344,-0.5320442895419314
2,15,18,0.08178811475859671,0.516545758511084,-0.3529695289938905
2,16,20,0.16752689172555923,0.6406998651677532,-0.30564608171663477
2,17,20,0.17841047227961448,0.6614567271950833,-0.3046357826358543
2,18,20,0.17575671608986398,0.6319240775030047,-0.28041064532327675
2,19,20,0.1578780306703681,0.6077274788452307,-0.29197141750449457
2,20,20,0.1474522701641069,0.5858489510155024,-0.2909444106872886
2,21,4,0.2893914915695359,0.8125404513267778,-0.23375746818770593
3,1,20,0.10949482707071245,0.7843826053007029,-0.565392951159278
3,2,20,0.07343580815857853,0.7104006113008088,-0.5635289949836517
3,3,20,0.13488848072508652,0.7248184436768963,-0.45504148222672325
3,4,20,0.16064400399784862,0.7924010886333398,-0.47111308063764257
3,5,20,0.11653157950257054,0.5761459977148198,-0.34308283870967876
3,6,20,0.08233838392083087,0.6504512099697657,-0.4857744421281039
3,7,20,0.09443797833641387,0.7935817047138239,-0.6047057480409962
3,8,20,0.07211688212475803,0.6772910752642112,-0.5330573110146952
3,9,20,0.056105429185372535,0.6395720953896162,-0.5273612370188712
3,10,20,0.07957501289430124,0.8960068246633952,-0.7368567988747927
3,11,20,0.11561683898323483,1.0688295804485999,-0.8375959024821302
3,12,20,0.06821926246251975,0.8856472373043227,-0.7492087123792832
3,13,20,0.11382265835614874,0.8213146598938792,-0.5936693431815816
3,14,20,0.08353219729274058,0.7702455110637967,-0.6031811164783156
3,15,19,0.14403230405180167,1.001330416806747,-0.7132658087031436
3,16,20,0.16393536855570628,0.9148793183366548,-0.5870085812252421
3,17,20,0.17091710614923195,0.8876070729088562,-0.5457728606103923
3,18,20,0.1927357055327903,0.9138963006416372,-0.5284248895760566
3,19,19,0.24646773751652518,0.9611693724015408,-0.4682338973684904
3,20,20,0.20741140883874087,0.95869306541677,-0.5438702477392883
3,21,18,0.13775157233283242,0.9075984136926898,-0.632095269027025
3,22,13,-0.17632211801202402,0.6232585763142668,-0.9759028123383149
3,23,7,-0.1662468017681169,0.19468736769270045,-0.5271809712289343
4,1,20,0.13205598431149612,0.8006181760962701,-0.5365062074732778
4,2,18,0.15465124805949915,0.9344313946763044,-0.6251288985573061
4,3,18,0.09307794392595065,0.7945958782647913,-0.6084399904128901
4,4,20,0.1134320341618914,0.7780595205609455,-0.5511954522371627
4,5,17,-0.02880724572754856,0.9225670735293026,-0.9801815649843997
4,6,20,0.09265954290766887,0.8279271139482302,-0.6426080281328924
4,7,20,0.17590109453040104,0.8977374817726622,-0.5459352927118601
4,8,18,0.27786342053658264,0.9318365438018195,-0.3761097027286542
4,9,20,0.2121888479492322,0.9126605319528283,-0.48828283605436384
4,10,19,0.29071393098848897,1.0089700109385666,-0.4275421489615886
4,11,19,0.12322287733983739,0.6187363974855105,-0.3722906428058357
4,12,20,0.2151225746796127,0.9645628510772825,-0.534317701718057
4,13,20,0.2610675715957254,1.0395722046218703,-0.5174370614304196
4,14,18,0.3284384486193248,1.1827938266258926,-0.525916929387243
4,15,19,0.3199077800285026,1.1722928881676955,-0.5324773281106903
4,16,19,0.28211606143583856,1.0783296780442702,-0.5140975551725929
4,17,20,0.2818173547581008,1.1741139752556502,-0.6104792657394484
4,18,20,0.3533208922148725,1.210413884422984,-0.5037720999932389
4,19,20,0.34895451423280355,1.333768944987328,-0.6358599165217208
