month,day_idx,n_years,median,upper,lower
1,1,32,0.0,0.0,0.0
1,2,36,-0.005982042820728839,0.04696468675563717,-0.05892877239709485
1,3,36,-0.0050001132487980104,0.08058407690389341,-0.09058430340148943
1,4,37,-0.03957361867587483,0.06837313900827263,-0.1475203763600223
1,5,36,-0.011898156134099558,0.15752675717111225,-0.18132306943931137
1,6,36,-0.000961931194534138,0.13637548747100997,-0.13829934986007825
1,7,37,-0.021645240876378313,0.1212906422874539,-0.16458112404021052
1,8,36,0.005592756682441191,0.15515647036072824,-0.14397095699584586
1,9,36,-0.0025036631112167473,0.1270658279039968,-0.13207315412643028
1,10,33,-0.04027859405208456,0.12644085340643763,-0.20699804151060675
1,11,24,0.026622785019200956,0.24769690141086334,-0.19445133137246143
1,12,33,-0.01880877922883517,0.17569031316352335,-0.2133078716211937
1,13,33,-0.03174554734002988,0.1327780884169218,-0.19626918309698155
1,14,32,-0.056747566673139405,0.23292741038189307,-0.3464225437281719
1,15,35,-0.016722148809518167,0.2799841447702295,-0.3134284423892658
1,16,37,0.0387299628665384,0.3202578556321366,-0.2427979298990598
1,17,36,0.07096955033451241,0.3567113500042704,-0.21477224933524558
1,18,37,0.017316542327376894,0.23286906082947068,-0.1982359761747169
1,19,37,0.020618374257215466,0.28907392683018296,-0.24783717831575203
1,20,36,0.02815021061498224,0.35777666739470826,-0.3014762461647438
1,21,31,-0.01454538824990248,0.31284314944352287,-0.34193392594332783
1,22,22,0.02388899378168574,0.28737861289868083,-0.23960062533530935
1,23,2,0.021992537408052848,0.07471788248379868,-0.030732807667692985
1,24,3,0.0,0.05571441407495065,-0.05571441407495065
1,25,3,0.020000086321145805,0.029473938247597198,0.010526234394694411
1,26,2,-0.2844701270168813,0.2606561042521138,-0.8295963582858763
2,1,36,0.06546874310530537,0.439393381351195,-0.30845589514058425
2,2,37,0.08877268836064234,0.44782457846374646,-0.2702792017424618
2,3,36,0.09441311508391759,0.4094732422536299,-0.22064701208579474
2,4,37,0.08668406686576913,0.4875225408582029,-0.31415440712666465
2,5,37,0.10874481027879224,0.5114240459677761,-0.2939344254101916
