month,day_idx,n_years,median,upper,lower
1,1,32,0.0,0.0,0.0
1,2,36,0.0005193984787087991,0.052940294177329095,-0.0519014972199115
1,3,36,0.04943673276846594,0.16093850229800696,-0.06206503676107508
1,4,37,0.07282745431113158,0.23542712636954527,-0.08977221774728211
1,5,36,0.0772242065240859,0.27827198716340007,-0.12382357411522829
1,6,36,0.11364352554748719,0.3893230517987217,-0.1620360007037473
1,7,37,0.07317099440741981,0.2772021880090897,-0.13086019919425007
1,8,36,0.10693580032107447,0.3095143081050219,-0.09564270746287293
1,9,36,0.05443030689528128,0.25820473353209056,-0.149344119741528
1,10,33,0.04878033468824694,0.2733852468141935,-0.17582457743769964
1,11,24,0.08907483438904235,0.2942045829308032,-0.11605491415271851
1,12,33,0.09048592583489057,0.37014182666793677,-0.18916997499815563
1,13,33,0.0653624168992244,0.3697574759316421,-0.2390326421331933
1,14,32,0.1053213963496557,0.45855683503584754,-0.24791404233653613
1,15,35,0.06523171449680931,0.4485855897586853,-0.31812216076506666
1,16,37,0.13316566526285478,0.44069854302234296,-0.1743672124966334
1,17,36,0.14493085123609095,0.5022427624941915,-0.21238106002200963
1,18,37,0.11815641721184711,0.5013610775817514,-0.26504824315805714
1,19,37,0.12668298783564425,0.4831408646764384,-0.22977488900514992
1,20,36,0.1602564917747461,0.4900702626510192,-0.16955727910152701
1,21,31,0.1596862826714951,0.46143276937050903,-0.14206020402751884
1,22,22,0.2144068477681978,0.5298195698135801,-0.1010058742771846
1,23,2,0.24365382780265832,0.424924207457961,0.062383448147355636
1,24,3,0.033898312817151055,0.07158812671660386,-0.0037915010823017514
1,25,3,0.2280700985476114,0.5193277771433019,-0.06318758004807912
1,26,2,0.23192942139383216,0.5543997761018502,-0.09054093331418595
2,1,36,0.14143930133547772,0.5314922407884513,-0.24861363811749587
2,2,37,0.18053859857626608,0.5248932045220518,-0.16381600736951957
2,3,36,0.21040086989863804,0.5905083951680289,-0.1697066553707528
2,4,37,0.19230808425940515,0.6291207197119408,-0.24450455119313047
2,5,37,0.1754384147488992,0.6144081883201402,-0.2635313588223418
2,6,36,0.1288741774816069,0.6126724037536668,-0.35492404879045303
2,7,37,0.13547772449599071,0.5125922048376854,-0.24163675584570393
2,8,37,0.12142858752182639,0.547574675858647,-0.30471750081499427
2,9,36,0.1910270941705975,0.6805877966480708,-0.2985336083068758
2,10,37,0.1739337876782765,0.593380486137237,-0.24551291078068405
2,11,23,0.17307723383856288,0.5147441094941765,-0.16858964181705072
2,12,30,0.12785025872540196,0.6540075876682276,-0.3983070702174237
2,13,30,0.11664670760138268,0.6648748787045631,-0.43158146350179766
2,14,32,0.12657995869101613,0.3800076420472879,-0.12684772466525562
2,15,31,0.160804109310135,0.5996148857486994,-0.2780066671284293
2,16,36,0.11681463340155368,0.5945010005153453,-0.36087173371223785
2,17,37,0.1236230678647362,0.5433487961289338,-0.2961026603994615
2,18,35,0.11538446233680366,0.6217954120938326,-0.3910264874202253
2,19,37,0.14682978904510424,0.6835678680330306,-0.3899082899428221
2,20,37,0.1156839061008933,0.6225440215040566,-0.39117620930227004
2,21,7,0.17307723383856288,0.38414281492189,-0.03798834724476424
2,22,3,0.16666646744911384,0.2257000838961064,0.10763285100212128
2,23,3,0.10459583108558124,0.13437094741950328,0.07482071475165919
2,24,1,0.11864412337327312,0.11864412337327312,0.11864412337327312
2,25,1,0.12429379465405743,0.12429379465405743,0.12429379465405743
3,1,37,0.1624025901711289,0.7002114530563529,-0.3754062727140951
3,2,36,0.20223604040054816,0.831517254038334,-0.4270451732372376
3,3,37,0.17307723383856288,0.849360431769429,-0.5032059640923032
3,4,37,0.24992261140874084,0.7630495318770755,-0.2632043090595938
3,5,37,0.13586290218058672,0.5540196625912901,-0.2822938582301166
3,6,35,0.17712190178517373,0.5770785084595326,-0.2228347048891851
3,7,37,0.161904583090817,0.6825999063909916,-0.35879074020935753
3,8,36,0.12025463050048846,0.5957631983569889,-0.3552539373560119
3,9,37,0.14070343713996758,0.6649888043802386,-0.3835819301003034
3,10,37,0.1447571746600015,0.6629619356202215,-0.37344758630021857
3,11,37,0.1521808596744637,0.7788745273405451,-0.47451280799161766
3,12,35,0.19101492444753898,0.928883074401641,-0.546853225506563
3,13,37,0.098400746163265,0.8233567260123227,-0.6265552336857927
3,14,36,0.18311042137734995,0.8568265849643726,-0.49060574220967273
3,15,36,0.12544982210852196,0.8443636025454737,-0.5934639583284298
3,16,37,0.19434265089881797,0.8298276300299918,-0.4411423282323559
3,17,37,0.12978368287526032,0.7492845445552837,-0.48971717880476306
3,18,35,0.2499998796077133,0.9011927522144928,-0.4011929929990662
3,19,35,0.30256337133441913,0.9101523630690103,-0.305025620400172
3,20,36,0.21528442203101705,0.8215617255393898,-0.39099288147735567
3,21,33,0.20285263335235193,0.9106219169108952,-0.5049166502061914
3,22,27,0.1489699286121826,1.1473376349689164,-0.8493977777445512
3,23,17,0.07894734861579877,1.3167711205176242,-1.1588764232860267
3,24,1,0.022598913229093354,0.022598913229093354,0.022598913229093354
3,25,3,0.05084744071248215,0.060557647447359864,0.04113723397760444
3,26,1,0.04385938233438824,0.04385938233438824,0.04385938233438824
4,1,36,0.27849985479684847,0.8470285074782619,-0.2900287978845649
