month,day_idx,n_years,median,upper,lower
1,1,16,0.0,0.0,0.0
1,2,20,0.003031440541865771,0.053698021430367476,-0.047635140346635935
1,3,20,0.011557427080685578,0.09726855368167595,-0.07415369952030479
1,4,20,-0.02400509800588435,0.12119472253091926,-0.16920491854268796
1,5,20,-0.04106070069717005,0.10298715619648369,-0.18510855759082379
1,6,19,-0.0734595927381082,0.022233541591268557,-0.16915272706748496
1,7,20,0.0019561503293086258,0.15443445411196743,-0.15052215345335018
1,8,20,0.017072285568963674,0.2085761013055351,-0.17443153016760776
1,9,20,0.03618302106435678,0.16836979410825423,-0.09600375197954067
1,10,17,0.04661682382401322,0.12831648359697834,-0.035082835948951896
1,11,12,0.032749234822712414,0.09873323672459638,-0.03323476707917156
1,12,17,0.05287715963469086,0.14273433795686197,-0.03698001868748024
1,13,17,0.04407001242557884,0.32131769515466746,-0.23317767030350978
1,14,17,-0.018404742861923618,0.19781818895320202,-0.23462767467704926
1,15,20,0.019930133913792614,0.21734846036640498,-0.17748819253881976
1,16,20,0.0711415952196216,0.30118845528391563,-0.15890526484467243
1,17,20,0.11294402670964249,0.4216062107710756,-0.1957181573517906
1,18,20,0.06621073852427722,0.28906634160677697,-0.15664486455822252
1,19,20,0.062971713797496,0.32497629155846974,-0.19903286396347775
1,20,20,0.05428877144803246,0.3023780278102162,-0.1938004849141513
1,21,17,0.1503759269104068,0.49552364500771345,-0.19477179118689986
1,22,12,0.08015387607828905,0.34845385883897534,-0.18814610668239723
2,1,20,0.13843211418283013,0.42013886718836563,-0.14327463882270536
2,2,20,0.10971642008423327,0.5017047475461194,-0.2822719073776528
2,3,20,0.11792142063470357,0.5000819081562671,-0.26423906688685994
2,4,20,0.041616085514324996,0.4184122295269679,-0.3351800584983179
2,5,20,0.08363421938587312,0.44437310661649876,-0.2771046678447525
2,6,20,0.08971497412122997,0.454936645655332,-0.27550669741287204
2,7,20,0.0771130628577944,0.4822245690044954,-0.3279984432889066
2,8,20,0.0655108464531316,0.49707256270005723,-0.36605086979379403
2,9,20,0.09311587101576158,0.5226793046747094,-0.33644756264318615
2,10,20,0.125765603503238,0.5844171943688576,-0.3328859873623817
2,11,11,0.10655707750421162,0.512257368677363,-0.29914321366893976
2,12,17,0.13487211484940098,0.5484273574351761,-0.2786831277363741
2,13,17,0.18852460137684768,0.46592799019237247,-0.08887878743867711
2,14,17,0.1905452716339493,0.6041168963844147,-0.22302635311651609
2,15,18,0.1547001650029226,0.6154470773562218,-0.3060467473503766
2,16,20,0.24938127977081498,0.7265735828971678,-0.22781102335553777
2,17,20,0.22871579884413762,0.6388000542294691,-0.18136845654119382
2,18,20,0.22666197864532844,0.6445821764279244,-0.19125821913726748
2,19,20,0.27385906161841816,0.7059335433142975,-0.1582154200774612
2,20,20,0.27791761350394417,0.9291572747823685,-0.3733220477744802
2,21,4,0.5383521655761947,0.9968551797997883,0.07984915135260107
3,1,20,0.273289803050248,0.8544948361252858,-0.30791523002478977
3,2,20,0.1860912382359871,0.6054083641653865,-0.2332258876934123
3,3,20,0.14778443899136967,0.5217809332202068,-0.2262120552374675
3,4,20,0.17975927507993428,0.6123210393644374,-0.2528024892045688
3,5,20,0.14868103116039472,0.6676133946305696,-0.3702513323097802
3,6,20,0.14262745906016944,0.6021630034678851,-0.3169080853475463
3,7,20,0.14541097160361088,0.5801502048004699,-0.28932826159324815
3,8,20,0.1748394373501833,0.6382056172915002,-0.28852674259113353
3,9,20,0.18500553394935082,0.604563583159965,-0.2345525152612633
3,10,20,0.17912720561378526,0.6071310994446758,-0.2488766882171053
3,11,20,0.21609131665107778,0.6274231468985856,-0.19524051359642997
3,12,20,0.21623136429629675,0.6603984457163475,-0.22793571712375404
3,13,20,0.17233466050299046,0.6128582590330781,-0.2681889380270972
3,14,20,0.15331494983598826,0.5705103853357953,-0.2638804856638188
3,15,19,0.13985064412182724,0.6889905129787244,-0.4092892247350699
3,16,20,0.14742366387497657,0.6131345618436008,-0.31828723409364773
3,17,20,0.16318714776348425,0.6035035738867784,-0.27712927835980994
3,18,20,0.14125847839102734,0.6899281721851379,-0.4074112154030832
3,19,19,0.1490469123510414,0.7257482490502358,-0.42765442434815304
3,20,20,0.18742293875610094,0.5915898467320022,-0.21674396921980038
3,21,18,0.2499763955737354,0.6871227044882148,-0.18716991334074395
3,22,13,0.36043983038431315,0.7541594881260327,-0.033279827357406366
