month,day_idx,n_years,median,upper,lower
1,1,18,0.0,0.0,0.0
1,2,23,0.0,0.06689592658331767,-0.06689592658331767
1,3,23,0.012626551496848215,0.14283459468626702,-0.1175814916925706
1,4,23,-0.041654214730285855,0.09539761899287835,-0.17870604845345006
1,5,23,-0.03664319229773749,0.14190760847483858,-0.21519399307031356
1,6,22,-0.003174681546258218,0.22383986072599132,-0.23018922381850776
1,7,23,0.028191119612113624,0.21565432443402088,-0.15927208520979363
1,8,23,0.04931251341881615,0.26789656062068123,-0.16927153378304893
1,9,23,0.024656437586469737,0.22899674432868877,-0.1796838691557493
1,10,20,0.007953116526921156,0.19470371015949475,-0.17879747710565244
1,11,13,0.0,0.27654642135091045,-0.27654642135091045
1,12,19,0.014504452220700292,0.22529296302199198,-0.1962840585805914
1,13,20,0.05034694129932865,0.3641631450009261,-0.2634692624022688
1,14,20,0.07532995718206636,0.37529307396168277,-0.22463315959755004
1,15,23,0.01601824071706015,0.4518037051978928,-0.4197672237637725
1,16,23,-0.002259635728398157,0.4158386898553296,-0.42035796131212594
1,17,23,0.030019133207871307,0.45719049200558654,-0.3971522255898439
1,18,23,-0.05025785710382891,0.4456459648937004,-0.5461616791013582
1,19,23,-0.045360640473997904,0.36617930734506277,-0.4569005882930586
1,20,23,-0.04072180079888843,0.35097456884557104,-0.4324181704433479
1,21,20,0.01870698802800469,0.4495014212685107,-0.41208744521250135
1,22,13,0.10977736036875851,0.6928325268281825,-0.4732778060906655
2,1,23,0.018075977619373962,0.4586518670853601,-0.4224999118466122
2,2,23,0.006778537782590743,0.4331234539794043,-0.41956637841422284
2,3,23,-0.070640296287098,0.2609722036855997,-0.4022527962597957
2,4,23,0.04712727600488198,0.42084820113117916,-0.3265936491214152
2,5,23,0.03260162681212764,0.4385235022573918,-0.3733202486331365
2,6,23,0.012588501937609076,0.4954475961934103,-0.4702705923181921
2,7,23,0.07092181312670842,0.5558149616576629,-0.413971335404246
2,8,23,0.031914951179986106,0.44019910347675373,-0.3763692011167815
2,9,23,0.0009682042249684608,0.36998285215455223,-0.3680464437046153
2,10,23,0.09801169768094598,0.5405557314840207,-0.34453233612212875
2,11,13,0.24005713375388904,0.6699548031397207,-0.1898405356319426
2,12,20,0.2504034947788448,0.6855371111470683,-0.18473012158937863
2,13,20,0.2692830596676449,0.8964012324880158,-0.3578351131527261
2,14,19,0.0826441525973437,0.5195700089778176,-0.3542817037831302
2,15,20,0.12918727868723062,0.6145472703067081,-0.3561727129322468
2,16,23,0.11931818797568461,0.5591645227854368,-0.3205281468340676
2,17,23,0.17768528275654272,0.7509507475747019,-0.3955801820616165
2,18,23,0.12463914750561245,0.6767754926238448,-0.42749719761261995
2,19,23,0.10085267142564525,0.6510942852270356,-0.4493889423757451
2,20,23,0.003349520766773195,0.4611289553765701,-0.4544299138430237
2,21,4,-0.05588756592816391,0.131948467049013,-0.24372359890534082
3,1,23,0.12235604805166878,0.7541574446042627,-0.5094453485009252
3,2,23,0.13429704353089622,0.6556229470728664,-0.38702886001107395
3,3,23,0.17469897975988857,0.6312817880979757,-0.28188382857819855
3,4,23,0.17320861375116103,0.5870625443632562,-0.24064531686093416
3,5,23,0.09801169768094598,0.5336026796853688,-0.3375792843234769
3,6,23,0.09943191362312742,0.4834278620548892,-0.28456403480863435
3,7,23,0.07044408159059268,0.41587129101812637,-0.274983127836941
3,8,23,0.1161484834320845,0.5671271622649853,-0.33483019540081627
3,9,23,0.0,0.39719842968231034,-0.39719842968231034
3,10,23,0.0380365893170318,0.4746666214956428,-0.3985934428615792
3,11,23,-0.0015665052266131685,0.4734709573807519,-0.47660396783397824
3,12,23,0.06891129380367111,0.5107249652422313,-0.3729023776348891
3,13,23,0.09517072393624693,0.5854923399110024,-0.3951508920385085
3,14,23,0.11276447844845472,0.5435470359359076,-0.31801807903899815
3,15,22,0.11661358964443563,0.5663775266534632,-0.33315034736459187
3,16,23,0.04002551094382989,0.4523358943551815,-0.37228487246752173
3,17,23,0.03489080698538671,0.3483062352693987,-0.27852462129862526
3,18,23,0.055196875888297914,0.3195086581018859,-0.20911490632529006
3,19,21,0.03841196036974992,0.3495952354739838,-0.27277131473448396
3,20,23,0.05094223547163812,0.37151226884565114,-0.2696277979023749
3,21,21,0.12463914750561245,0.5219118111864032,-0.27263351617517834
3,22,16,0.13224688070668772,0.5079397285988881,-0.2434459671855127
3,23,10,0.2618643212358719,0.550153579458368,-0.02642493698662418
4,1,23,0.23785043854846932,0.5443910746554785,-0.06869019755853989
4,2,21,0.24471165988861698,0.5463588866239424,-0.05693556684670836
