month,day_idx,n_years,median,upper,lower
1,1,32,0.0,0.0,0.0
1,2,36,0.0,0.07898722074623293,-0.07898722074623293
1,3,36,0.05241954974285351,0.22369378694040526,-0.11885468745469824
1,4,37,0.022357847285730426,0.17974697195220185,-0.135031277380741
1,5,36,0.05121235998890711,0.21748758921549616,-0.11506286923768194
1,6,36,0.046730615162276,0.23896929881066595,-0.14550806848611395
1,7,37,0.018292681224852614,0.24509175626977125,-0.20850639382006603
1,8,36,0.05022860148619673,0.28051463946270017,-0.1800574364903067
1,9,36,0.03226423413019108,0.3148987993481951,-0.2503703310878129
1,10,33,0.04630978851183998,0.3270214237014841,-0.23440184667780417
1,11,24,0.11506584950096005,0.4042066028126007,-0.17407490381068058
1,12,33,0.042211904504551256,0.2854578505473052,-0.2010340415382027
1,13,33,0.0125591554968012,0.3682770278939234,-0.343158716900321
1,14,32,0.012244427408300063,0.41941303798362567,-0.39492418316702554
1,15,35,-0.001762206947371392,0.4063450334675454,-0.4098694473622882
1,16,37,0.036363636363636376,0.3962613304102022,-0.3235340576829294
1,17,36,0.10627011672015974,0.5600218069618638,-0.3474815735215443
1,18,37,0.08627782277277585,0.6054226024261826,-0.4328669568806309
1,19,37,0.15243919628988256,0.6086154082773795,-0.30373701569761435
1,20,36,0.10962754654733486,0.6107866464202122,-0.39153155332554246
1,21,31,0.13863371432021077,0.6430224693124851,-0.36575504067206355
1,22,22,0.20042921575549189,0.6054153138673737,-0.2045568823563899
1,23,2,-0.050730008110713265,0.061950645629227696,-0.16341066185065423
1,24,3,0.079268471390472,0.3537832676722099,-0.19524632489126592
1,25,3,0.18292681224852647,0.49035505312644845,-0.1245014286293955
1,26,2,0.30975608734911586,0.44512195632544194,0.17439021837278978
2,1,36,0.16649366533776894,0.6773851003064013,-0.3443977696308635
2,2,37,0.18834080073127235,0.6117116199445303,-0.23503001848198551
2,3,36,0.11611963919002616,0.6840429464931967,-0.4518036681131445
2,4,37,0.11426488018468595,0.7454388692966887,-0.5169091089273168
2,5,37,0.19571845941066046,0.6787901054951924,-0.28735318667387144
2,6,36,0.1041851085279159,0.6841880974826704,-0.47581788042683854
2,7,37,0.08698859872301101,0.6511513358780592,-0.47717413843203715
2,8,37,0.1555924066134171,0.6996430278736947,-0.3884582146468605
2,9,36,0.21438281814616283,0.7519853652756741,-0.32321972898334833
2,10,37,0.19498586925863715,0.8201537725557144,-0.43018203403844013
2,11,23,0.29596411543485657,0.6204850916321221,-0.028556860762408987
2,12,30,0.25406506114657246,0.8533563610899908,-0.3452262387968459
2,13,30,0.24417414818613603,0.8841969266822882,-0.39584863031001616
2,14,32,0.1978293888350835,0.7461903274113946,-0.3505315497412276
2,15,31,0.2690582867589605,0.6810930391088914,-0.14297646559097038
2,16,36,0.24630200642858074,0.7939757342697824,-0.30137172141262086
2,17,37,0.24260929170387957,0.925631873047416,-0.44041328963965687
