month,day_idx,n_years,median,upper,lower
1,1,32,0.0,0.0,0.0
1,2,36,-0.014916190297739551,0.052588645292202474,-0.08242102588768158
1,3,36,-0.026083300446009594,0.0854047388749555,-0.1375713397669747
1,4,37,-0.06985778538413934,0.05453811599186825,-0.19425368676014693
1,5,36,-0.03964989161293614,0.16325844113048676,-0.24255822435635904
1,6,36,-0.0684907803051078,0.07749735721083548,-0.21447891782105108
1,7,37,-0.10399951171874999,0.0661806795183203,-0.2741797029558203
1,8,36,-0.11228344380263738,0.06837533499134113,-0.2929422225966159
1,9,36,-0.06588653215947765,0.23155525744356975,-0.36332832176252505
1,10,33,-0.09529861522108041,0.17072712354254604,-0.36132435398470686
1,11,24,-0.014199627308699891,0.22102372553524913,-0.2494229801526489
1,12,33,-0.078780537576712,0.20359361518628533,-0.3611546903397093
1,13,33,-0.0714285714285714,0.27678583592782463,-0.4196429787849674
1,14,32,-0.08223118525805873,0.3068691623225912,-0.47133153283870866
1,15,35,-0.15039916992187263,0.06144831545942758,-0.36224665530317285
1,16,37,-0.0921985815602836,0.2822105613139733,-0.4666077244345405
1,17,36,-0.09690612683799582,0.24377333868362072,-0.43758559235961236
1,18,37,-0.09448818897637801,0.18458298632708525,-0.37355936427984127
1,19,37,-0.13379779603516018,0.15573196853913518,-0.42332756060945553
1,20,36,-0.0766024055568737,0.28862064276503574,-0.44182545387878314
1,21,31,-0.1201711210568508,0.2685741886669536,-0.5089164307806552
1,22,22,-0.09606107413517545,0.27168360858505536,-0.46380575685540626
1,23,2,0.09266732283464568,0.49741633858267725,-0.3120816929133859
1,24,3,-0.04255319148936165,0.1003099346624226,-0.1854163176411459
1,25,3,0.014184397163120588,0.2421539062936282,-0.21378511196738703
1,26,2,0.31063829787234043,0.7446808510638298,-0.12340425531914889
2,1,36,-0.07794161611085876,0.2990863912604743,-0.45496962348219183
2,2,37,-0.07247340743682629,0.22645779004743005,-0.3714046049210826
2,3,36,-0.08955710289302576,0.2015887438986277,-0.3807029496846792
2,4,37,-0.0686689001832036,0.2812914245125923,-0.4186292248789995
2,5,37,-0.060439905932064164,0.2116715658692579,-0.3325513777333862
2,6,36,-0.0508292598371623,0.5205011620632751,-0.6221596817375996
2,7,37,-0.07484703001319537,0.47904831789776403,-0.6287423779241548
