month,day_idx,n_years,median,upper,lower
1,1,30,0.0,0.0,0.0
1,2,34,0.0,0.07593231153749166,-0.07593231153749166
1,3,34,0.007051901591027976,0.1348660809805724,-0.12076227779851645
1,4,35,0.0066491203955224565,0.1507373707476754,-0.1374391299566305
1,5,34,0.015055463387730783,0.21646481578976298,-0.18635388901430142
1,6,34,0.021211113141808624,0.1632082504296842,-0.12078602414606696
1,7,35,0.008034359447785522,0.15580405230076205,-0.139735333405191
1,8,34,0.01791327873705023,0.20995552194883949,-0.17412896447473902
1,9,34,0.009458885386291638,0.25407260416067035,-0.23515483338808707
1,10,31,0.0547945205479452,0.36111454889662165,-0.25152550780073124
1,11,22,0.012480670365034141,0.3428797130089148,-0.3179183722788465
1,12,31,0.04933740702553191,0.38333664292293324,-0.2846618288718694
1,13,31,-0.00942122368090037,0.42331549664145957,-0.4421579440032603
1,14,30,0.06276227488054481,0.4619245740152956,-0.33640002425420595
1,15,33,-0.00942122368090037,0.33517066183151745,-0.3540131091933182
1,16,35,0.01884244736180063,0.42555120565021465,-0.3878663109266134
1,17,34,0.07139543849180802,0.36609352226953734,-0.2233026452859213
1,18,35,0.005448590405082276,0.30002034237398956,-0.289123161563825
1,19,35,0.009718023831290168,0.38937962016442806,-0.36994357250184773
1,20,34,0.0029658071758588145,0.5187459838294817,-0.512814369477764
1,21,29,-0.009724080453658468,0.45431130815660026,-0.4737594690639172
1,22,20,0.15839779909780027,0.5159034406621927,-0.1991078424665922
1,23,2,0.5541538733191106,1.1577052944340767,-0.04939754779585559
1,24,3,0.16797902953445232,0.20566185955041644,0.1302961995184882
1,25,3,0.22047311705311334,0.5444851379086623,-0.10353890380243558
1,26,2,0.5676863425635015,1.2932315842579145,-0.15785889913091167
2,1,34,0.013997576143396029,0.47343120825066765,-0.4454360559638756
2,2,35,0.03211629439662422,0.5924841151194332,-0.5282515263261848
2,3,34,0.03094375729568677,0.5778541654680683,-0.5159666508766948
2,4,35,0.014775828737690233,0.5045161209269138,-0.47496446345153337
2,5,35,-0.012627944422833437,0.44678943607860416,-0.47204532492427104
2,6,34,0.03009405698573009,0.5547731997886092,-0.494585085817149
2,7,35,0.02676468517135755,0.5085429093758276,-0.4550135390331124
2,8,35,0.03630677035097629,0.5960209027435701,-0.5234073620416175
2,9,34,0.023062212145484096,0.5660701357611413,-0.5199457114701731
2,10,35,0.01859221581217485,0.5910004604021196,-0.5538160287777699
2,11,21,0.10526315789473684,0.8625227390744751,-0.6519964232850014
2,12,29,-0.013484597824184652,0.5610371423301611,-0.5880063379785304
2,13,29,-0.11307100547204596,0.46598438722625024,-0.6921263981703422
2,14,30,-0.08608425685816629,0.46092982614139927,-0.6330983398577319
2,15,29,0.00942122368090026,0.4492263794923527,-0.4303839321305522
2,16,34,-0.1345646796883197,0.513729462226139,-0.7828588216027785
2,17,35,-0.14838180940119772,0.4551432856529798,-0.7519069044553752
2,18,33,0.02558063810735589,0.5486731620172477,-0.4975118858025359
2,19,35,-0.020997378691806512,0.5965172030177814,-0.6385119604013945
2,20,35,-0.10498689345903267,0.5036212662783884,-0.7135950531964538
2,21,7,0.29455081166954666,0.8368222315926027,-0.2477206082535094
2,22,3,-0.010498048556758732,0.0005405928938173599,-0.021536690007334824
2,23,3,-0.041994757383613024,-0.0179337307480254,-0.06605578401920065
2,24,1,-0.2834639715502436,-0.2834639715502436,-0.2834639715502436
2,25,1,-0.3622044620390904,-0.3622044620390904,-0.3622044620390904
3,1,35,-0.11705166902650532,0.4194280901523504,-0.653531428205361
3,2,34,-0.005141223301422138,0.5927082187658221,-0.6029906653686663
3,3,35,-0.09392225603697746,0.53675709177998,-0.7246016038539349
3,4,35,-0.11651366564308885,0.5585144181398097,-0.7915417494259874
3,5,35,-0.15101962599040641,0.5036638206051263,-0.8057030725859391
3,6,33,-0.17123245866331338,0.4691966023813092,-0.811661519707936
3,7,35,-0.1712705984649674,0.5593195097587995,-0.9018607066887343
3,8,34,-0.13950778655118878,0.6421976235790153,-0.9212131966813929
3,9,35,-0.053951039181342364,0.6231501742842066,-0.7310522526468913
3,10,35,0.020548363254494717,0.692106044144702,-0.6510093176357126
3,11,35,0.00810019226579961,0.7738530223821551,-0.7576526378505559
3,12,33,0.0331846972963854,0.8388673761459988,-0.772497981553228
3,13,35,-0.004037520600904676,0.789634604670199,-0.7977096458720083
3,14,34,0.05732187451707843,0.9324015628845499,-0.8177578138503929
3,15,34,0.029807648145434684,0.8915358297048465,-0.8319205334139771
3,16,35,0.04794562352846743,0.9215803568838097,-0.8256891098268748
3,17,35,0.03943298353775271,0.8807457528809391,-0.8018797858054337
3,18,33,0.04719029066586222,0.9091682056354623,-0.8147876243037379
3,19,33,0.03741350806166999,0.8629194417677758,-0.7880924256444358
3,20,34,-0.012018355069257913,0.8268992532648021,-0.8509359634033178
3,21,32,-0.054650733642922444,0.8101856332006332,-0.919487100486478
3,22,26,-0.23548171329674566,0.4648183471495186,-0.9357817737430099
3,23,17,-0.13392802647181923,0.8338813064689923,-1.1017373594126307
3,24,1,-0.18897640822625883,-0.18897640822625883,-0.18897640822625883
3,25,3,-0.1607142857142857,-0.118321101946326,-0.2031074694822454
3,26,1,0.12053598676409039,0.12053598676409039,0.12053598676409039
4,1,34,0.03719999392033746,1.0146643653534007,-0.9402643775127257
4,2,32,0.03499608986274777,1.0195175778866128,-0.9495253981611174
4,3,33,0.012547559781686202,0.9353768163270508,-0.9102816967636784
4,4,34,-0.1055937613723163,0.8957266827501271,-1.1069142054947598
4,5,31,-0.23993499346351088,0.5622140342310524,-1.0420840211580742
4,6,34,0.024284552055654163,1.1124121170094567,-1.0638430128981482
4,7,33,-0.23910726539641225,0.47107769936701704,-0.9492922301598415
4,8,33,-0.047949798820221545,0.9416457049784506,-1.0375453026188937
4,9,34,-0.18584035677712513,0.6519621964179851,-1.0236429099722355
4,10,29,-0.2276023909488215,0.5034378494254204,-0.9586426313230634
4,11,34,0.029718637322716457,0.814170692498255,-0.7547334178528222
4,12,34,0.09782197657139691,0.9391670928347877,-0.7435231396919939
4,13,34,-0.02371461823940707,0.8063537416386326,-0.8537829781174466
4,14,32,-0.011761431649539744,0.8710045497057577,-0.8945274130048373
4,15,33,-0.11036334604899045,0.6716464106928853,-0.8923731027908662
4,16,32,-0.30294092240925086,0.7744794987165141,-1.3803613435350157
4,17,35,0.07518796992481203,0.9585159887969402,-0.8081400489473162
4,18,34,0.15554723619078775,0.9703945307363633,-0.6593000583547879
4,19,34,-0.00542140355433296,0.9231490325760232,-0.9339918396846891
4,20,35,-0.1910506290680225,0.7677945872572345,-1.1498958453932795
4,21,30,-0.18703834707059463,0.6827056567348319,-1.0567823508760212
4,22,19,-0.1643920526440421,0.6123874030555411,-0.9411715083436253
4,23,3,0.20535768781389507,0.4249889057118239,-0.014273530084033759
