ticker,n_points,n_years_max,n_years_min,median_final,median_max,median_max_month,median_max_day_idx,median_min,median_min_month,median_min_day_idx
[IDX] S&P 500,316,37,1,1.8917255282455196,1.8950486033117475,12,26,0.0,1,1
[IDX] NASDAQ,316,37,1,1.0632285487489277,1.9350719648244732,11,26,-0.041257268272280156,4,5
[IDX] 다우 존스,316,35,1,1.5697257195326135,1.7957417082443488,12,24,-0.014368951961890364,1,15
[IDX] 러셀 2000,316,37,1,1.2068646629241582,1.7636567921794952,11,26,-0.11406157228283464,7,25
[IDX] KOSPI,313,32,1,-1.2566744412490658,0.8923246434953351,12,18,-1.2619279454722492,12,23
[IDX] KOSDAQ,310,31,1,-1.0569800569800565,1.0902290443831357,12,22,-1.0569800569800565,12,24
[IDX] 닛케이225,314,37,1,-1.4180039622388485,0.8297741214007199,5,4,-1.8698196954858666,6,26
[IDX] 항셍,316,37,1,-0.6516406490303769,1.4357107985531594,12,25,-0.6516406490303769,12,27
[IDX] 상하이종합,299,30,1,-0.04632918422704768,1.0911981496179433,5,25,-0.9357243012104046,10,5
[IDX] 대만가권,301,30,1,-0.5347703314376481,0.8655677724026655,12,20,-1.1121005943835265,10,26
[KR] KODEX 조선TOP10,206,1,1,-1.5399515738498788,1.2302904564315353,4,19,-1.820823244552058,12,14
[KR] KODEX AI전력핵심설비,257,3,1,1.385158277114686,1.9326522890654558,5,4,-0.9523099850968704,8,22
[KR] KODEX 2차전지산업,267,8,1,1.308408829909404,1.308408829909404,12,22,-0.7879774981161342,12,19
[KR] KODEX 자동차,268,13,1,0.21541501976284594,0.5540638606676344,5,23,-1.2676767676767675,8,11
[KR] TIGER 200 IT,268,13,1,0.11162497372293456,1.036677985013611,10,7,-1.2077706704572377,8,11
[KR] TIGER 200 건설,268,13,1,0.1703163017031628,1.2267250821467688,5,1,-0.8529155787641427,12,17
[KR] TIGER 의료기기,267,8,1,1.34066852367688,1.34066852367688,12,22,-0.9969192852741835,2,21
[KR] TIGER 반도체,268,13,1,0.8795666414714034,1.1144236392117357,10,7,-0.698935948257876,8,11
[KR] TIGER 증권,268,13,1,0.9423076923076923,1.3504273504273503,10,23,-0.2707581227436824,8,23
[KR] TIGER 헬스케어,268,13,1,1.4833723653395785,1.4833723653395785,12,22,-1.010260967924376,5,1
[KR] TIGER 은행,268,13,1,-0.33966942148760326,1.230383245350378,12,19,-0.33966942148760326,12,22
[KR] 삼성전자,268,13,1,0.010335917312661369,0.9674882940189062,10,7,-1.036697247706422,8,11
[KR] SK하이닉스,268,13,1,0.9242718446601942,1.2045949729394085,10,7,-1.09009009009009,8,11
