month,day_idx,n_years,median,upper,lower
1,1,4,0.0,0.0,0.0
1,2,5,0.0,0.09202490483259207,-0.09202490483259207
1,3,5,0.029945850412528507,0.1866911917741072,-0.1267994909490502
1,4,5,-0.034101488003448366,0.08916023240812415,-0.15736320841502088
1,5,5,0.04558780663376916,0.09088161447950366,0.00029399878803465507
1,6,4,0.06807514600917802,0.1451056371985345,-0.008955345180178459
1,7,5,0.07193668024423416,0.19579791374082028,-0.05192455325235196
1,8,5,0.07212738578057443,0.2468352738398551,-0.10258050227870624
1,9,5,0.07303470271748491,0.2641920006297978,-0.11812259519482798
1,10,4,0.07216049952617248,0.2489656763173564,-0.10464467726501142
1,11,3,0.0630021431095038,0.09862703942530232,0.02737724679370529
1,12,4,0.056040131977331875,0.25385884505217743,-0.14177858109751368
1,13,4,0.00753657125344781,0.2513206480294223,-0.23624750552252666
1,14,5,0.1095418947506579,0.23640235615692234,-0.01731856665560655
1,15,5,0.16766485368126838,0.3259528792031179,0.00937682815941887
1,16,5,0.17786899264580125,0.3211263163890408,0.034611668902561676
1,17,5,0.15499845265842715,0.301754597739239,0.008242307577615293
1,18,5,0.18031048856600795,0.42970473288591127,-0.06908375575389536
1,19,5,0.19282269628113247,0.3257489471579759,0.05989644540428901
1,20,5,0.13938401951417456,0.38696153570195707,-0.10819349667360795
1,21,5,0.09227504608875425,0.34793753527513466,-0.16338744309762615
1,22,3,0.1405713613737144,0.23176395069090677,0.049378772056522025
2,1,5,0.11054216639437464,0.2602703662028232,-0.039186033414073895
2,2,5,0.08589330152799146,0.4141890038086179,-0.24240240075263497
2,3,5,0.09470988974882277,0.3932167441127923,-0.20379696461514674
2,4,5,0.11764515513531992,0.6174058896567762,-0.3821155793861364
2,5,5,0.05583329793663072,0.4968560174451118,-0.3851894215718504
2,6,5,0.09975892036236345,0.494529324205518,-0.2950114834807911
2,7,5,0.08355509648466919,0.6069556135019969,-0.4398454205326585
2,8,5,0.08495658116845983,0.5807708524047466,-0.4108576900678269
2,9,5,0.15300544974376162,0.679497921263149,-0.37348702177562576
2,10,5,0.17167603049914737,0.7496549763225153,-0.4063029153242206
2,11,3,0.40265249675102255,0.8522598835285,-0.04695489002645492
2,12,5,0.1750107369998024,0.7432416430197628,-0.393220169020158
2,13,4,0.014497386742629403,0.5647402279530755,-0.5357454544678169
2,14,4,-0.0072992855738361895,0.350341926961137,-0.36494049810880935
2,15,4,0.17187599202916998,0.4690075325693131,-0.12525554851097315
2,16,5,0.001413171214187825,0.675020030937008,-0.6721936885086324
2,17,5,-0.058545921434602466,0.6812691528139878,-0.7983609956831927
2,18,5,-0.025908670392448707,0.6437257315352705,-0.6955430723201679
2,19,5,-0.1107813997574355,0.7277694514195788,-0.9493322509344498
2,20,5,-0.0997656625914386,0.675881341171628,-0.8754126663545052
2,21,1,0.4682469247007983,0.4682469247007983,0.4682469247007983
3,1,5,-0.1509453503178927,0.6965693805124261,-0.9984600811482115
3,2,5,-0.2229400569012011,0.5534835568887636,-0.9993636706911658
3,3,5,-0.13276724864976996,0.688064878125848,-0.953599375425388
3,4,5,-0.15090477149428494,0.7458395921300188,-1.0476491351185886
3,5,5,-0.24959687088653792,0.8402953376598943,-1.3394890794329701
3,6,5,-0.1673525194452814,0.7824396222578311,-1.117144661148394
3,7,5,-0.16699578918998303,0.6788553140581239,-1.01284689243809
3,8,5,-0.16109429579842616,0.5510844922104915,-0.8732730838073438
3,9,5,-0.2864192670677106,0.6450053171301278,-1.217843851265549
3,10,5,-0.35049141258216077,0.8267995684469518,-1.5277823936112733
3,11,5,-0.26713160711825246,0.7730344006854041,-1.307297614921909
3,12,5,-0.23446323149764625,0.6930905211914463,-1.1620169841867387
3,13,5,-0.3358981774354487,0.3443540368417567,-1.016150391712654
3,14,5,-0.35504048040481917,0.14752110065113777,-0.8576020614607761
3,15,5,-0.3444514938195109,0.20355836108519032,-0.8924613487242121
3,16,5,-0.2513529968196905,0.2919715410017828,-0.7946775346411638
3,17,5,-0.23218978385986766,0.43929431466442714,-0.9036738823841625
3,18,5,-0.317993189000188,0.08105071871689534,-0.7170370967172714
3,19,5,-0.3398537430720787,0.038432432509811654,-0.7181399186539691
3,20,5,-0.4505575486333838,-0.06248706963385908,-0.8386280276329086
3,21,4,-0.443889634060487,-0.2000111259573796,-0.6877681421635944
3,22,3,-0.4948938008591024,-0.47207535896658814,-0.5177122427516166
3,23,2,0.09585265873670801,1.100354560769218,-0.9086492432958019
4,1,5,-0.4213533586526509,-0.21453808615671593,-0.6281686311485859
4,2,5,-0.38656615351561174,-0.27227120347970657,-0.5008611035515169
4,3,4,-0.022933470657169053,0.8486238556216308,-0.894490796935969
4,4,5,-0.3842978122260362,0.3140865934521453,-1.0826822179042177
4,5,4,-0.5332389340016763,-0.18171427111431293,-0.8847635968890397
4,6,5,-0.18625558905159112,0.8813306741793943,-1.2538418522825765
4,7,5,-0.12813460056356107,0.8801745726632564,-1.1364437737903785
4,8,5,-0.10318104666110473,0.7955107497907904,-1.001872843113
4,9,5,-0.016091017695698207,0.8959585885060345,-0.9281406238974309
4,10,5,0.12510754145323666,1.024124069987793,-0.7739089870813195
4,11,4,0.3185890694692413,0.6911487408042924,-0.053970601865809764
