month,day_idx,n_years,median,upper,lower
1,1,4,0.0,0.0,0.0
1,2,5,0.013176856127364633,0.12438247201338992,-0.09802875975866066
1,3,5,0.07830791342929166,0.2158601154837263,-0.05924428862514297
1,4,5,0.04123058451429784,0.19176467379054707,-0.10930350476195139
1,5,5,0.07997454230183332,0.19473819477436383,-0.03478911017069719
1,6,5,0.043047659812631034,0.19657623726838724,-0.11048091764312518
1,7,5,0.03107523618590524,0.23877663774527275,-0.17662616537346226
1,8,5,0.03579744620576175,0.2175079494838963,-0.1459130570723728
1,9,5,0.05679638386068708,0.28349000082026804,-0.16989723309889387
1,10,5,0.04532938946403653,0.24071524946133094,-0.15005647053325788
1,11,5,0.08700331201699751,0.4278875460453326,-0.25388092201133755
1,12,5,0.05461871846086486,0.4237414717666613,-0.3145040348449316
1,13,4,0.030224567545944103,0.21648137004865228,-0.15603223495676408
1,14,4,0.031525918438635225,0.12792703471402747,-0.06487519783675702
1,15,4,0.054568484459385336,0.23945958672022774,-0.13032261780145707
1,16,3,0.005763526792023188,0.15850080356534763,-0.14697374998130125
1,17,3,0.006106690365669243,0.3067522176133003,-0.2945388368819618
1,18,3,0.04118827547874693,0.4081341856868893,-0.32575763472939545
1,19,2,0.28692044394823496,0.6586687761340144,-0.08482788823754445
1,20,2,0.2834473867936658,0.598271652906676,-0.03137687931934435
1,21,3,0.4201743639381158,0.810659481222298,0.029689246653933576
1,22,2,0.2839371399267016,0.69498413728542,-0.1271098574320167
2,1,4,0.19186806017700048,0.473744335529145,-0.09000821517514407
2,2,4,0.24879795596847087,0.5841492963395432,-0.08655338440260141
2,3,4,0.26110938076043166,0.5597753385149082,-0.03755657699404491
2,4,3,0.37953691940109135,0.7497815451277288,0.009292293674454
2,5,4,0.244191244894726,0.621472938983657,-0.13309044919420498
2,6,4,0.27277593031743813,0.7052865904360173,-0.15973472980114106
2,7,4,0.3359123895693149,0.7986247946911136,-0.12680001555248377
2,8,4,0.36900302331197554,0.8458915737886277,-0.10788552716467659
2,9,3,0.09805694116678054,0.22444537122678104,-0.028331488893219958
2,10,3,0.055401532073247495,0.2781774611119414,-0.16737439696544643
2,11,4,0.1675873999751098,0.41327102543819416,-0.07809622548797457
2,12,4,0.17631828764879337,0.3426746637724711,0.009961911525115663
