month,day_idx,n_years,median,upper,lower
1,1,4,0.0,0.0,0.0
1,2,5,0.0,0.13302822869962383,-0.13302822869962383
1,3,5,0.08429925122180593,0.30020428861958637,-0.13160578617597452
1,4,5,0.011461135535093758,0.30233300184710543,-0.2794107307769179
1,5,5,0.017568472769602606,0.2852269904321629,-0.25009004489295766
1,6,4,0.02061366954365157,0.4134544064413334,-0.37222706735403027
1,7,5,-0.10227722355763946,0.1227758206495021,-0.327330267764781
1,8,5,-0.08981808158278648,0.24035066717293474,-0.4199868303385077
1,9,5,-0.029955246286630377,0.470076396430567,-0.5299868890038277
1,10,4,0.29228443629391476,0.7114065934016839,-0.12683772081385436
1,11,3,0.08463697069165699,0.6965979236556876,-0.5273239822723736
1,12,4,-0.13511493286142023,0.36953378191060354,-0.6397636476334441
1,13,4,0.040992866554066476,0.6559628943149811,-0.5739771612068483
1,14,5,0.20797694564511038,0.7667957909408321,-0.3508418996506113
1,15,5,0.1736354647805367,0.7281237732771699,-0.3808528437160965
1,16,5,0.1998557926096507,0.7068589553471923,-0.30714737012789095
1,17,5,0.1833234243459847,0.747270090688587,-0.38062324199661757
1,18,5,0.12615999136285394,0.6634370276835663,-0.4111170449578584
1,19,5,0.13782425702452072,0.5973220258110785,-0.3216735117620371
1,20,5,0.12394304543533008,0.6099012097169927,-0.3620151188463326
1,21,5,0.18262445094845337,0.5504993665219453,-0.18525046462503864
1,22,3,0.13500424061511995,0.7088380879478231,-0.4388296067175832
2,1,5,0.06446558688612924,0.5731678407011114,-0.4442366669288529
2,2,5,0.14107730745798142,0.6367196825137811,-0.35456506759781825
2,3,5,0.2037836936213675,0.9380796289781042,-0.5305122417353691
2,4,5,0.1818295746352674,0.7902206800602363,-0.4265615307897015
2,5,5,0.1157730583998744,0.6853179097346798,-0.453771792934931
2,6,5,0.13560672273555108,0.7611728267012259,-0.4899593812301237
2,7,5,0.10610922165370162,0.7333793000310869,-0.5211608567236836
2,8,5,0.12275445991975387,0.6778383458566891,-0.4323294260171814
2,9,5,0.12172551114636043,0.5801713180264718,-0.3367202957337509
2,10,5,0.11642378615885574,0.5766194774711075,-0.3437719051533961
2,11,3,0.18409383575603577,1.3772380123667083,-1.0090503408546367
2,12,5,0.14141502692783248,0.5636202127535319,-0.280790158897867
2,13,4,0.29101047856087764,0.882800940309177,-0.3007799831874218
2,14,4,0.019858448006700724,0.40398928917205496,-0.3642723931586535
2,15,4,0.20356138956107317,0.6257731617886488,-0.2186503826665025
2,16,5,0.003932674133007796,0.5150033058645868,-0.5071379575985712
2,17,5,0.014710481737578163,0.6532862229380235,-0.6238652594628672
2,18,5,0.06115010521830644,0.680493520245611,-0.5581933098089982
2,19,5,0.1637864833542262,0.7420725230924542,-0.4144995563840018
2,20,5,0.10403513416632404,0.5170759066935697,-0.3090056383609217
2,21,1,0.1589836260141847,0.1589836260141847,0.1589836260141847
3,1,5,0.24047893775789564,0.9119784815160367,-0.4310206060002454
3,2,5,0.23261358949187994,0.9454728320505497,-0.4802456530667898
3,3,5,0.1547098031331674,0.860035980660475,-0.5506163743941402
3,4,5,0.20909140639840862,0.9369667890517894,-0.5187839762549722
3,5,5,0.052199937100418925,0.6951097252817431,-0.5907098510809052
3,6,5,0.13890361478595303,0.8303315048023949,-0.5525242752304889
3,7,5,0.12181999900763407,0.4692457199736297,-0.22560572195836154
3,8,5,0.10235967900630716,0.24765122977658627,-0.04293187176397195
3,9,5,-0.0587704437628872,0.36355634698678313,-0.48109723451255754
3,10,5,-0.08609258922805496,0.2258685253040728,-0.39805370376018273
3,11,5,-0.02231713767353516,0.16159477990674437,-0.20622905525381469
3,12,5,0.03597139747871925,0.12535072471752168,-0.053407929760083184
3,13,5,-0.11573119337538185,0.18782388098185343,-0.4192862677326171
3,14,5,-0.04128913549636759,0.37279732483250233,-0.4553755958252375
3,15,5,-0.2132303262533376,0.2953775402089476,-0.7218381927156228
3,16,5,-0.10888249378657677,0.16985913778543227,-0.3876241253585858
3,17,5,-0.14182188376206428,0.13811916096292715,-0.4217629284870557
3,18,5,-0.07365963521375896,0.3622081684181234,-0.5095274388456413
3,19,5,-0.045536909108612966,0.48612136649112136,-0.5771951847083473
3,20,5,-0.17884820644791588,0.30622277425041033,-0.6639191871462421
3,21,4,-0.3679145805488634,-0.18665291543021734,-0.5491762456675094
3,22,3,-0.03621538517785916,0.1414567988228272,-0.2138875691785455
3,23,2,-0.20452061101219055,0.46392078244675916,-0.8729620044711403
4,1,5,0.012683629656518258,0.5044174119412539,-0.4790501526282173
4,2,5,0.0666862403995131,0.2629923467366284,-0.12961986593760222
4,3,4,-0.36049756258686927,0.22480149457588894,-0.9457966197496275
4,4,5,0.017378248184315437,0.22405695483230503,-0.18930045846367416
4,5,4,-0.36582837510843813,0.4108190586184619,-1.1424758088353382
4,6,5,0.10114827474421162,0.4639657014542463,-0.2616691519658231
4,7,5,0.16707425965000078,0.503664036540661,-0.16951551724065955
4,8,5,0.05895687422805784,0.5315007668518532,-0.41358701839573747
4,9,5,0.11269495739218238,0.6875441549507825,-0.4621542401664177
4,10,5,-0.03641797507675271,0.9233753711071851,-0.9962113212606906
4,11,4,0.051259941049120794,0.6273555447945867,-0.5248356626963451
4,12,5,-0.17138777602638344,0.9024976996531165,-1.2452732517058833
4,13,5,-0.24524486424564917,0.5517291952459159,-1.0422189237372144
4,14,4,-0.041275850326563,0.6594447463941006,-0.7419964470472266
4,15,5,-0.2463412489229463,0.7383673416781534,-1.231049839524046
4,16,5,-0.17142563014997847,0.8055237628703719,-1.148375023170329
4,17,5,-0.03842239708467943,1.0337060945122984,-1.110550888681657
4,18,5,-0.09467209618436101,0.754089398088069,-0.943433590456791
4,19,5,-0.11980506972891136,0.6911484115399552,-0.9307585509977779
4,20,5,-0.04084275281649685,0.8598879103716018,-0.9415734160045955
4,21,4,-0.30133906868659777,0.6898883742225504,-1.292566511595746
4,22,3,-0.1470711179730686,0.5994864882327486,-0.8936287241788858
5,1,5,-0.12317085527929994,0.6167983397056892,-0.8631400502642891
5,2,5,-0.08675190099471652,0.5456093223766134,-0.7191131243660465
5,3,5,-0.05334614881504196,0.688697064290655,-0.795389361920739
5,4,5,-0.14871721957128814,0.5264354241767485,-0.8238698633193248
5,5,5,0.04263062407225193,0.9814163420044387,-0.8961550938599349
5,6,5,0.01742488440473411,0.7855546852805829,-0.7507049164711147
5,7,5,-0.004891684534405583,0.7418373223413541,-0.7516206914101653
5,8,5,0.040906790119946024,0.6064359574139714,-0.5246223771740793
5,9,5,-0.028047705441082038,0.39735802785184515,-0.45345343873400923
5,10,5,-0.04603165575644519,0.43648949537267895,-0.5285528068855694
5,11,5,0.05041147933503565,0.6211966328741414,-0.5203736742040701
5,12,5,-0.06778915878495584,0.5072710125692167,-0.6428493301391284
5,13,5,0.1107462364001387,0.7368245057205914,-0.515332032920314
5,14,5,0.15901415579910017,0.8533366480617192,-0.5353083364635188
5,15,5,0.10711202361385208,0.9369323566890392,-0.722708309461335
5,16,5,0.20802768599036559,1.1928364053529097,-0.7767810333721785
5,17,4,-0.16380292279982644,0.31212063943932844,-0.6397264850389813
5,18,4,0.1454345450885584,1.0336780146269626,-0.7428089244498459
5,19,4,-0.16121002857317446,0.8984974011168992,-1.2209174582632483
5,20,5,0.10385090059091495,0.8519992630056418,-0.6442974618238119
5,21,3,0.0884540075860587,0.7882751498932195,-0.611367134721102
5,22,4,-0.16069959091045666,0.2624452931609456,-0.583844474981859
5,23,2,0.10588687248719114,0.2722645710114704,-0.060490826037088136
6,1,5,0.08018244999402824,0.7842974839117347,-0.6239325839236782
6,2,5,0.07994513921892632,0.6650631807068774,-0.5051729022690248
6,3,5,0.19313266185349953,0.9642990045449505,-0.5780336808379515
6,4,5,0.13856178797028273,0.8319562249931904,-0.554832649052625
6,5,5,0.05199864002136445,0.9364716034433556,-0.8324743234006267
6,6,5,0.07113389949868676,0.8733018944117448,-0.7310340954143713
6,7,5,0.043678580636553166,0.781710749777498,-0.6943535885043917
6,8,5,0.16753034850491222,0.7721994277187771,-0.4371387307089527
6,9,5,0.0987406348551999,0.968170873160983,-0.7706896034505832
6,10,5,-0.025110671377504556,0.8747399013747296,-0.9249612441297387
6,11,5,0.034829486792719355,0.9508572708902484,-0.8811982973048097
6,12,5,0.047006512063347494,0.8482556688328251,-0.7542426447061301
6,13,3,-0.28608251592767986,2.0214969575948363,-2.5936619894501964
6,14,3,0.5403124626768053,1.324744213375564,-0.24411928802195337
6,15,4,-0.13003490788929328,0.4835369197552023,-0.7436067355337889
6,16,5,0.06810880106065409,0.6469859852990851,-0.510768383177777
6,17,5,0.03611514208799105,0.4774349245056577,-0.4052046403296756
6,18,5,0.0201185434194876,0.4968246894115728,-0.4565876025725976
6,19,5,0.09658479635289374,0.6449780520905722,-0.45180845938478476
6,20,5,0.13194377924029088,0.6886578927252014,-0.42477033424461963
6,21,4,0.2366060739903219,1.4900748087847986,-1.0168626608041547
6,22,3,0.6429519590056246,2.044702177032085,-0.7587982590208356
7,1,5,0.06530990409288473,0.9880316241156241,-0.8574118159298546
7,2,3,0.07968062198941428,0.21832447868276644,-0.05896323470393788
7,3,4,0.06597054506736749,0.46150925564016715,-0.32956816550543216
7,4,3,0.4263051032537294,2.0850403351990305,-1.2324301286915715
7,5,5,0.05267909097476908,0.7698729678067817,-0.6645147858572436
7,6,5,0.09783305916022478,0.9610772712149784,-0.7654111528945289
7,7,5,0.06304096485544697,1.1050369114037832,-0.9789549816928892
7,8,5,0.1472977810789856,1.2028205769544926,-0.9082250147965215
7,9,5,0.4244601344144533,1.1866099989934553,-0.3376897301645486
7,10,5,0.5123093992942976,1.2154883238557082,-0.19086952526711276
7,11,5,0.6588510211726885,1.7433555382850514,-0.4256534959396746
7,12,5,0.9487194342378084,1.6635209400660673,0.2339179284095495
7,13,5,0.8579581716550632,1.6522852330606606,0.06363111024946588
7,14,5,0.7014710712555404,1.639805650726975,-0.2368635082158942
7,15,5,0.6487541261571764,1.623837498669885,-0.3263292463555322
7,16,5,0.7860297971965328,1.677797121563922,-0.10573752717085638
7,17,5,0.8715727303509978,1.5443484100480354,0.19879705065396036
7,18,5,0.6904287464214581,1.5883444932985271,-0.20748700045561075
7,19,5,0.794841498552426,1.6188387551452248,-0.029155758040372626
7,20,5,0.9351057988131809,1.5751121177937963,0.29509947983256557
7,21,5,0.8415461008983199,1.404184428911682,0.27890777288495794
7,22,3,0.8710806267442616,1.5718259513366153,0.17033530215190773
7,23,3,0.9139656556922792,1.4827193803171514,0.3452119310674068
8,1,5,0.6555983363574315,1.8437294072949992,-0.5325327345801362
8,2,5,0.3649737640917169,1.3277511901720347,-0.597803661988601
8,3,5,0.09968606467377017,1.4224473748200683,-1.2230752454725282
8,4,5,0.19475854262547432,1.347375575726147,-0.9578584904751983
8,5,5,0.08436991695867047,1.4129128922733847,-1.2441730583560437
8,6,5,0.2708462543229294,1.2391666731558892,-0.6974741645100303
8,7,5,0.2576102368629457,1.1294241839020442,-0.6142037101761528
8,8,5,0.18636323662912724,1.1080903561606366,-0.7353638829023821
8,9,5,0.31157544476864096,1.0628858183854046,-0.4397349288481227
8,10,5,0.27046863635828555,1.0511518865993634,-0.5102146138827923
8,11,5,0.46390320792923867,0.9614808009723492,-0.033674385113871885
8,12,5,0.48829511259409,0.993722341998347,-0.01713211681016702
8,13,5,0.46278600230906164,0.99451105608756,-0.06893905146943669
8,14,5,0.4893162506598505,1.0870808334321982,-0.10844833211249727
8,15,5,0.49050725420721253,1.0728876018683167,-0.0918730934538915
8,16,5,0.4664196463609529,0.6951007860987274,0.2377385066231784
8,17,5,0.555827536981954,1.0009678747768154,0.11068719918709252
8,18,5,0.4451745730226526,0.9409713796478489,-0.05062223360254364
8,19,5,0.47941863970107323,0.8392149121204561,0.1196223672816904
8,20,5,0.5510751923744092,0.8472386581253379,0.25491172662348033
8,21,5,0.6746805134534121,1.1995944892649733,0.149766537641851
8,22,3,0.7104152329820449,0.8067057801987269,0.6141246857653629
8,23,2,-0.341029303812114,1.2114683626136178,-1.8935269702378457
9,1,3,0.7925080618100541,1.4920574287196722,0.09295869490043607
9,2,4,0.4031784335759531,1.2051969471561417,-0.3988400800042354
9,3,4,0.5525748379112556,0.7920348738428101,0.3131148019797011
9,4,5,0.45097002345801573,0.6379578788066829,0.2639821681093486
9,5,5,0.3840947073651968,0.5419663755657054,0.22622303916468817
9,6,5,0.3933484561836933,0.5078477790855813,0.27884913328180533
9,7,5,0.3618511145477956,0.5487552689834301,0.1749469601121612
9,8,5,0.3526691458256783,0.554603725092609,0.15073456655874756
9,9,5,0.441061475789172,0.47291030243211196,0.409212649146232
9,10,5,0.5399865778682696,0.7520988430584463,0.327874312678093
9,11,5,0.4486688771476832,0.7761375838819633,0.1212001704134032
9,12,5,0.41296560350734013,0.8865093151250911,-0.06057810811041092
9,13,5,0.4233525364703197,0.8861948758664868,-0.03948980292584753
9,14,5,0.5688154901447986,1.0765001630002466,0.06113081728935055
9,15,5,0.5231957087269592,1.0906437258608153,-0.04425230840689687
9,16,5,0.5583085314468896,1.2156747575168938,-0.09905769462311453
9,17,5,0.5442584601227733,1.1264578195992572,-0.03794089935371059
9,18,5,0.48996270082614757,1.14887066018064,-0.16894525852834497
9,19,5,0.4322691541804109,0.9017609367575947,-0.03722262839677298
9,20,5,0.48837235983833005,0.9578327374482838,0.018911982228376256
9,21,5,0.4906134285851289,0.9866068047306329,-0.00537994756037502
9,22,3,0.4935775935487343,1.313866392338443,-0.3267112052409743
10,1,5,0.5077241561499508,1.2267500050004507,-0.2113016927005491
10,2,5,0.5466201429659476,1.3664457436447242,-0.2732054577128289
10,3,5,0.5892516366009064,1.410887726928072,-0.23238445372625915
10,4,5,0.6137610093458272,1.3177191605384815,-0.09019714184682703
10,5,5,0.546451283231022,1.4022587667453514,-0.30935620028330757
10,6,5,0.6080733192499215,1.4300378474242486,-0.2138912089244055
10,7,5,0.5715872609156492,1.2527156569669633,-0.1095411351356651
10,8,5,0.39262594832833275,0.82383150488006,-0.03857960822339446
10,9,5,0.5536810686761955,1.4993747991552413,-0.3920126618028503
10,10,5,0.6358116196090278,1.6642808123612631,-0.3926575731432076
10,11,5,0.694252385290846,1.5835536965249544,-0.19504892594326229
10,12,5,0.5671769035184309,1.3108763026682484,-0.17652249563138667
10,13,5,0.5313892302202441,1.481662822406931,-0.41888436196644274
10,14,5,0.6464391924033122,1.753104392485408,-0.46022600767878363
10,15,5,0.6169899369600127,1.8065338851085782,-0.5725540111885528
10,16,5,0.5298953805095268,1.8204337233020376,-0.760642962282984
10,17,5,0.6048679260935652,1.9119847969086086,-0.7022489447214781
10,18,5,0.6791179638222429,1.774866927866961,-0.41663100022247535
10,19,5,0.6959150947364889,1.5032590649867963,-0.11142887551381853
10,20,5,0.6626820868356773,1.7945570148524792,-0.4691928411811246
10,21,5,0.6100496253461403,1.8161027659620803,-0.5960035152697998
10,22,3,0.5645981153017807,0.9670296664043205,0.16216656419924097
10,23,2,0.6461159123419615,0.7198448457497005,0.5723869789342225
11,1,5,0.5773467311079346,2.009653959016673,-0.8549604968008038
11,2,5,0.47155110610480877,1.4341018750505097,-0.49099966284089214
11,3,5,0.5617786872538257,1.3347704986258373,-0.2112131241181857
11,4,5,0.45101846837160076,1.9307507414721512,-1.0287138047289497
11,5,5,0.4847574671157433,1.8558508706287944,-0.8863359363973078
11,6,5,0.5397757342677296,1.9244916726200045,-0.8449402040845453
11,7,5,0.5461141521226167,2.121791900988706,-1.0295635967434726
11,8,5,0.5280879341482334,1.8861473462816256,-0.8299714779851588
11,9,5,0.3646464197764756,1.8403486403313047,-1.1110558007783535
11,10,5,0.377298544305529,1.650059846836364,-0.8954627582253061
11,11,5,0.2643931595921596,1.5187510081691713,-0.9899646889848521
11,12,5,0.2821304920966876,1.5240637891954611,-0.9598028050020859
11,13,5,0.2800818175426436,1.6299740551483899,-1.0698104200631027
11,14,5,0.2625386028470843,1.6427161907527719,-1.1176389850586035
11,15,5,0.33237773628522116,1.8261341309380417,-1.1613786583675993
11,16,5,0.4400772989267403,2.0142192862266284,-1.1340646883731478
11,17,4,1.051109484631271,1.8450270894900307,0.25719187977251123
11,18,4,1.0826232742411817,1.7898796962109085,0.37536685227145483
11,19,3,0.23491062338977065,2.227531475138619,-1.757710228359078
