year,month,day_idx,cumflow
2024,7,7,0.0
2024,7,8,0.34575260804769004
2024,7,9,0.3412816691505216
2024,7,10,0.22305017386984605
2024,7,11,0.3015399900645803
2024,7,12,0.2622950819672132
2024,7,13,0.019374068554396384
2024,7,14,-0.16443119721808253
2024,7,15,-0.13760556383507194
2024,7,16,-0.30700447093889704
2024,7,17,0.20119225037257826
2024,7,18,0.24540486835568798
2024,7,19,-0.26775956284153013
2024,7,20,-0.4023845007451565
2024,7,21,-0.42473919523099846
2024,7,22,-0.589170392449081
2024,7,23,-0.6040735221063089
2024,8,1,-0.5081967213114753
2024,8,2,-0.9448584202682563
2024,8,3,-1.3229011425732737
2024,8,4,-1.0139095876800794
2024,8,5,-0.8837555886736215
2024,8,6,-1.0233482364629904
2024,8,7,-0.8688524590163934
2024,8,8,-0.8519622454048683
2024,8,9,-0.9597615499254843
2024,8,10,-0.8936910084451067
2024,8,12,-0.704421261798311
2024,8,13,-0.8052657724788872
2024,8,14,-0.6800794833581718
2024,8,15,-0.6577247888723299
2024,8,16,-0.6676602086438151
2024,8,17,-0.704421261798311
2024,8,18,-0.8221559860904123
2024,8,19,-0.8713363139592648
2024,8,20,-0.8812717337307501
2024,8,21,-1.033283656234476
2024,8,22,-0.9523099850968704
2024,9,1,-1.1167411823149527
2024,9,2,-1.1366120218579234
2024,9,3,-1.3452558370591157
2024,9,4,-1.5658221559860905
2024,9,5,-1.65424739195231
2024,9,6,-1.5216095380029806
2024,9,7,-1.4947839046199702
2024,9,8,-1.3353204172876305
2024,9,9,-1.210134128166915
2024,9,10,-1.2319920516641827
2024,9,14,-0.9473422752111277
2024,9,15,-0.8912071535022354
2024,9,16,-0.819672131147541
2024,9,17,-0.7610531544957774
2024,9,18,-0.7685047193243915
2024,9,19,-0.5767511177347242
2024,9,20,-0.6676602086438151
2024,9,21,-0.6825633383010432
2024,10,2,-0.7337307501241928
2024,10,4,-0.6502732240437159
2024,10,5,-0.49329359165424735
2024,10,6,-0.6602086438152012
2024,10,8,-0.6383507203179335
2024,10,9,-0.7486338797814207
2024,10,10,-0.5007451564828613
2024,10,11,-0.5474416294088424
2024,10,12,-0.6994535519125683
2024,10,13,-0.6040735221063089
2024,10,14,-0.6552409339294585
2024,10,15,-0.6527570789865871
2024,10,16,-0.6726279185295578
2024,10,17,-0.6502732240437159
2024,10,18,-0.7312468951813214
2024,10,19,-0.719324391455539
2024,10,20,-0.7143566815697963
2024,10,21,-0.6800794833581718
2024,10,22,-0.6850471932439145
2024,10,23,-0.7978142076502732
2024,11,1,-0.8171882762046696
2024,11,2,-0.6015896671634375
2024,11,3,-0.6085444610034774
2024,11,4,-0.5424739195230999
2024,11,5,-0.42225534028812706
2024,11,6,-0.30452061599602587
2024,11,7,-0.19175360158966703
2024,11,8,-0.3954297069051167
2024,11,9,-0.711872826626925
2024,11,10,-0.581718827620467
2024,11,11,-0.7386984600099354
2024,11,12,-0.8296075509190263
2024,11,13,-0.7143566815697963
2024,11,14,-0.7829110779930452
2024,11,15,-0.8564331843020367
2024,11,16,-0.9304520615996026
2024,11,17,-0.704421261798311
2024,11,18,-0.7903626428216592
2024,11,19,-0.7853949329359166
2024,11,20,-0.8981619473422752
2024,11,21,-0.9230004967709885
2024,12,1,-0.9865871833084947
2024,12,2,-0.7411823149528067
2024,12,3,-0.7585692995529061
2024,12,4,-0.711872826626925
2024,12,5,-0.8102334823646299
2024,12,6,-0.9622454048683556
2024,12,7,-0.7709885742672627
2024,12,8,-0.6775956284153005
2024,12,9,-0.6358668653750621
2024,12,10,-0.6383507203179335
2024,12,11,-0.48137108792846495
2024,12,12,-0.42970690511674126
2024,12,13,-0.5399900645802285
2024,12,14,-0.5692995529061102
2024,12,15,-0.6800794833581718
2024,12,16,-0.5081967213114753
2024,12,17,-0.5375062096373571
2024,12,19,-0.5717834078489816
2024,12,20,-0.5866865375062096
2024,12,21,-0.5668156979632388
2025,1,1,0.0
2025,1,2,0.0031136481577582753
2025,1,3,0.007265179034769087
2025,1,4,0.013388687078360162
2025,1,5,0.004670472236637302
2025,1,6,0.0405812143227815
2025,1,7,0.029787234042553234
2025,1,8,0.030825116761805993
2025,1,9,0.047223663725999065
2025,1,10,0.08261546445251688
2025,1,11,0.12205500778412048
2025,1,12,0.1779968863518423
2025,1,13,0.12049818370524135
2025,1,14,0.12309289050337313
2025,1,15,0.17187337830825122
2025,1,16,0.18879086663207056
2025,1,17,0.24411001556824075
2025,1,22,0.15485210171250652
2025,2,1,0.11748832381940844
2025,2,2,0.14820965230928906
2025,2,3,0.12776336274001043
2025,2,4,0.15900363258951744
2025,2,5,0.13077322262584334
2025,2,6,0.09392838609237164
2025,2,7,0.11177996886351838
2025,2,8,0.17228853139595235
2025,2,9,0.20975609756097557
2025,2,10,0.14924753502854182
2025,2,11,0.1441619097042035
2025,2,12,0.2400622729631552
2025,2,13,0.22771146860404778
2025,2,14,0.20311364815775823
2025,2,15,0.18879086663207056
2025,2,16,0.142086144265698
2025,2,17,0.13284898806434875
2025,2,18,0.142086144265698
2025,2,19,0.12008303061754022
2025,2,20,0.06870783601453034
2025,3,2,0.09538142189932541
2025,3,3,0.12008303061754022
2025,3,4,0.05033731188375712
2025,3,5,0.022106901920083022
2025,3,6,0.02366372599896216
2025,3,7,0.0031136481577582753
2025,3,8,-0.0030098598858327996
2025,3,9,0.03487285936689155
2025,3,10,0.0800207576543851
2025,3,11,0.08313440581214326
2025,3,12,0.08925791385573434
2025,3,13,0.06258432797093927
2025,3,14,0.06569797612869754
2025,3,15,0.02667358588479507
2025,3,16,0.02667358588479507
2025,3,17,0.02366372599896216
2025,3,18,0.02667358588479507
2025,3,19,-0.028126621691748843
2025,3,20,-0.04919564089257911
2025,3,21,-0.07379346133886866
2025,4,1,-0.06870783601453034
2025,4,2,-0.08811624286455633
2025,4,3,-0.09226777374156714
2025,4,4,-0.07223663725998963
2025,4,5,-0.1660612350804359
2025,4,6,-0.15121951219512186
2025,4,7,-0.17789309807991693
2025,4,8,-0.08406850025947066
2025,4,9,-0.06766995329527759
2025,4,10,-0.049714582252205486
2025,4,11,-0.00352880124545929
2025,4,12,-0.035806953814218945
2025,4,13,0.0005189413596263792
2025,4,14,-0.006642449403217343
2025,4,15,-0.011209133367929391
2025,4,16,-0.05127140633108451
2025,4,17,-0.028126621691748843
2025,4,18,-0.03383497664763879
2025,4,19,0.0015568240788791377
2025,4,20,-0.00041515308770101456
2025,4,21,0.06185781006746238
2025,4,22,0.037986507524649715
2025,5,2,0.0592631032693306
2025,5,5,0.08365334717176964
2025,5,6,0.10544888427607679
2025,5,7,0.10025947067981322
2025,5,8,0.1282823040996368
2025,5,9,0.14385054488842763
2025,5,10,0.18329008822003123
2025,5,11,0.18329008822003123
2025,5,12,0.20093409444732746
2025,5,13,0.1749870264660094
2025,5,14,0.22272963155163472
2025,5,15,0.23103269330565657
2025,5,16,0.23622210690192014
2025,5,17,0.23985469641930468
2025,5,18,0.2528282304099637
2025,5,19,0.25230928905033734
2025,5,20,0.22947586922677743
2025,5,21,0.26113129216398545
2025,5,22,0.24971458225220555
2025,6,1,0.25386611312921636
2025,6,3,0.2974571873378309
2025,6,4,0.317695900363259
2025,6,6,0.3545407368967307
2025,6,7,0.3867151011935651
2025,6,8,0.3820446289569279
2025,6,9,0.38412039439543333
2025,6,10,0.3690710949662689
2025,6,11,0.47182148417228853
2025,6,12,0.4640373637778932
2025,6,13,0.479605604566684
2025,6,14,0.5071094966268812
2025,6,15,0.49413596263622217
2025,6,16,0.5065905552672548
2025,6,17,0.5631551634665283
2025,6,18,0.5590036325895175
2025,6,19,0.5351323300467048
2025,6,20,0.5486248053969902
2025,6,21,0.6249091852620654
2025,7,1,0.6446289569278671
2025,7,2,0.5906590555267255
2025,7,3,0.5263103269330566
2025,7,4,0.4676699532952777
2025,7,5,0.4868707836014531
2025,7,6,0.5403217436429684
2025,7,7,0.5548521017125065
2025,7,8,0.5704203425012974
2025,7,9,0.5372080954852102
2025,7,10,0.5481058640373638
2025,7,11,0.6067462376751428
2025,7,12,0.6181629475869227
2025,7,13,0.60570835495589
2025,7,14,0.6197197716658018
2025,7,15,0.6192008303061755
2025,7,16,0.5787234042553192
2025,7,17,0.60570835495589
2025,7,18,0.6446289569278671
2025,7,19,0.635806953814219
2025,7,20,0.7105345096004152
2025,7,21,0.7401141670991178
2025,7,22,0.7027503892060197
2025,7,23,0.7255838090295796
2025,8,1,0.6482615464452517
2025,8,2,0.6949662688116244
2025,8,3,0.7764400622729631
2025,8,4,0.779034769071095
2025,8,5,0.7567202906071614
2025,8,6,0.7183186299948107
2025,8,7,0.7333679294239751
2025,8,8,0.6975609756097562
2025,8,9,0.7120913336792942
2025,8,10,0.6965230928905034
2025,8,12,0.6295796574987027
2025,8,13,0.5994810586403737
2025,8,14,0.5434353918007265
2025,8,15,0.5667877529839128
2025,8,16,0.647223663725999
2025,8,17,0.6809548521017126
2025,8,18,0.6825116761805916
2025,8,19,0.6742086144265699
2025,8,20,0.6731707317073171
2025,8,21,0.6752464971458225
2025,9,1,0.6435910742086145
2025,9,2,0.6451478982874935
2025,9,3,0.683030617540218
2025,9,4,0.6560456668396472
2025,9,5,0.6871821484172289
2025,9,6,0.6622729631551635
2025,9,7,0.6923715620134925
2025,9,8,0.8101712506486768
2025,9,9,0.8418266735858848
2025,9,10,0.8651790347690711
2025,9,11,0.8656979761286976
2025,9,12,0.8475350285417749
2025,9,13,0.8267773741567204
2025,9,14,0.8345614945511157
2025,9,15,0.8236637259989621
2025,9,16,0.8215879605604567
2025,9,17,0.8179553710430721
2025,9,18,0.7795537104307214
2025,9,19,0.7510119356512714
2025,9,20,0.7084587441619098
2025,9,21,0.7188375713544369
2025,9,22,0.7458225220550079
2025,10,1,0.7686559418785678
2025,10,2,0.8138038401660612
2025,10,8,0.8916450441100157
