year,month,day_idx,cumflow
2025,10,20,0.0
2025,10,21,0.04358353510895885
2025,10,22,0.1743341404358354
2025,10,23,0.13559322033898313
2025,11,1,0.17917675544794198
2025,11,2,-0.1985472154963679
2025,11,3,-0.8135593220338981
2025,11,4,-1.055690072639225
2025,11,5,-1.0411622276029053
2025,11,6,-0.8571428571428571
2025,11,7,-1.0605326876513317
2025,11,8,-1.002421307506053
2025,11,9,-0.7506053268765132
2025,11,10,-0.7457627118644068
2025,11,11,-0.6489104116222759
2025,11,12,-0.8184019370460047
2025,11,13,-1.0702179176755449
2025,11,14,-0.8329297820823244
2025,11,15,-1.1961259079903148
2025,11,16,-1.2009685230024212
2025,11,17,-1.360774818401937
2025,11,18,-1.2058111380145278
2025,11,19,-1.3220338983050848
2025,11,20,-1.5544794188861983
2025,12,1,-1.738498789346247
2025,12,2,-1.6029055690072638
2025,12,3,-1.4576271186440677
2025,12,4,-1.5641646489104115
2025,12,5,-1.3753026634382566
2025,12,6,-1.1864406779661016
2025,12,7,-0.8426150121065374
2025,12,8,-0.973365617433414
2025,12,9,-1.0121065375302662
2025,12,10,-0.9055690072639224
2025,12,11,-1.11864406779661
2025,12,12,-1.4382566585956416
2025,12,13,-1.5447941888619854
2025,12,14,-1.820823244552058
2025,12,15,-1.4430992736077481
2025,12,16,-1.4624697336561743
2025,12,17,-1.036319612590799
2025,12,18,-1.2639225181598062
2025,12,20,-1.4721549636803872
2025,12,21,-1.4140435835351088
2025,12,22,-1.5399515738498788
2026,1,1,0.0
2026,1,2,0.044009779951100225
2026,1,3,0.20293398533007334
2026,1,4,0.26405867970660146
2026,1,5,0.45476772616136907
2026,1,6,0.7188264058679706
2026,1,7,0.8581907090464548
2026,1,8,0.9999999999999999
2026,1,9,0.7750611246943765
2026,1,10,0.9413202933985331
2026,1,11,0.9022004889975549
2026,1,12,1.0537897310513449
2026,1,13,0.9902200488997556
2026,1,14,0.8728606356968215
2026,1,15,0.7506112469437652
2026,1,16,0.8484107579462102
2026,1,17,0.7775061124694377
2026,1,18,0.7897310513447432
2026,1,19,0.8068459657701711
2026,1,20,0.7750611246943765
2026,1,21,0.6772616136919315
2026,2,1,0.45476772616136907
2026,2,2,0.6845965770171148
2026,2,3,0.7775061124694377
2026,2,4,0.5427872860635697
2026,2,5,0.39364303178484106
2026,2,6,0.42787286063569674
2026,2,7,0.3887530562347188
2026,2,8,0.4034229828850855
2026,2,9,0.4352078239608802
2026,2,10,0.4229828850855746
2026,2,14,0.687041564792176
2026,2,15,0.9388753056234719
2026,2,16,0.9608801955990219
2026,2,17,0.8630806845965769
2026,2,18,0.8899755501222494
2026,2,19,0.8190709046454768
2026,2,20,0.8557457212713936
2026,3,2,0.6894865525672372
2026,3,3,-0.07090464547677267
2026,3,4,0.39853300733496333
2026,3,5,0.42787286063569674
2026,3,6,0.4816625916870415
2026,3,7,0.469437652811736
2026,3,8,0.6454767726161369
2026,3,9,0.7995110024449877
2026,3,10,0.7383863080684597
2026,3,11,0.6185819070904645
2026,3,12,0.6552567237163814
2026,3,13,0.6943765281173594
2026,3,14,0.567237163814181
2026,3,15,0.5330073349633252
2026,3,16,0.12224938875305624
2026,3,17,0.22004889975550124
2026,3,18,0.2713936430317848
2026,3,19,0.22982885085574567
2026,3,20,0.11735941320293397
2026,3,21,-0.08312958435207829
2026,3,22,-0.10757946210268954
2026,4,1,0.0953545232273838
2026,4,2,-0.0660146699266504
2026,4,3,0.21271393643031777
2026,4,4,0.10513447432762835
2026,4,5,0.08557457212713937
2026,4,6,0.2885085574572127
2026,4,7,0.22982885085574567
2026,4,8,0.2567237163814181
2026,4,9,0.18826405867970653
2026,4,10,0.2909535452322738
2026,4,11,0.3178484107579461
2026,4,12,0.4229828850855746
2026,4,13,0.5721271393643031
2026,4,14,0.5403422982885085
2026,4,15,0.7799511002444987
2026,4,16,1.1491442542787285
2026,4,17,1.215158924205379
2026,4,18,1.415647921760391
2026,4,19,1.4498777506112468
2026,4,20,1.3545232273838632
2026,4,21,1.415647921760391
2026,4,22,1.3276283618581908
2026,5,2,1.3471882640586799
2026,5,4,1.193154034229829
2026,5,5,1.3398533007334965
2026,5,6,1.1295843520782394
2026,5,7,1.295843520782396
2026,5,8,1.1540342298288508
2026,5,9,1.1491442542787285
2026,5,10,0.9559902200488998
2026,5,11,0.7286063569682152
2026,5,12,0.6210268948655256
2026,5,13,0.4621026894865524
2026,5,14,0.5134474327628361
2026,5,15,0.6845965770171148
2026,5,16,0.8386308068459657
2026,5,18,1.1858190709046452
2026,5,19,1.0904645476772616
2026,5,20,0.8068459657701711
2026,5,21,0.7212713936430318
2026,6,1,0.6601466992665036
2026,6,2,0.5012224938875306
2026,6,4,0.469437652811736
2026,6,5,0.432762836185819
2026,6,6,0.10757946210268943
2026,6,7,0.10268948655256716
2026,6,8,0.27872860635696817
2026,6,9,0.20293398533007334
2026,6,10,0.4229828850855746
2026,6,11,0.8068459657701711
2026,6,12,0.8581907090464548
2026,6,13,0.9339853300733495
2026,6,14,0.7334963325183373
2026,6,15,0.6772616136919315
2026,6,16,0.4229828850855746
2026,6,17,0.046454767726161306
2026,6,18,0.0806845965770171
2026,6,19,0.019559902200488977
2026,6,20,-0.20537897310513453
2026,6,21,0.05867970660146693
2026,6,22,-0.06112469437652812
2026,7,1,0.06112469437652812
2026,7,2,-0.004889975550122272
2026,7,3,0.0024449877750610804
2026,7,4,0.10757946210268943
2026,7,5,-0.2567237163814181
2026,7,6,-0.5330073349633252
2026,7,7,-0.5501222493887531
2026,7,8,-0.47677261613691935
