month,day_idx,n_years,median,upper,lower
1,1,5,0.0,0.0,0.0
1,2,5,0.028242190101911646,0.102151559496505,-0.045667179292681714
1,3,5,0.11046466376089659,0.2175312729953261,0.003398054526467076
1,4,5,0.09995719178082196,0.18541739425146603,0.014496989310177899
1,5,5,0.11608810709838102,0.31383365243895306,-0.08165743824219102
1,6,5,0.08623910336239105,0.4050303456001475,-0.2325521388753654
1,7,5,0.0827366127023661,0.42123077444545987,-0.25575754904072767
1,8,5,0.08653097758405981,0.44870641324697946,-0.27564445807885984
1,9,5,0.10569738480697388,0.4587079584990642,-0.24731318888511644
1,10,5,0.12328767123287676,0.40974762511759216,-0.16317228265183864
1,11,5,0.1329195205479452,0.42851126483759727,-0.16267222374170687
1,12,5,0.14255136986301364,0.39032426178134194,-0.10522152205531465
1,13,5,0.1124104919053549,0.4141870806975591,-0.1893660968868493
1,14,5,0.1178393524283935,0.43125550529516177,-0.19557680043837478
1,15,5,0.12786036737235373,0.437904248467419,-0.18218351372271152
1,16,4,0.029928505148574147,0.3158300777214667,-0.2559730674243184
1,17,4,0.043696273466626634,0.32424474091560673,-0.23685219398235346
1,18,4,0.06855791708345127,0.5103699378505997,-0.3732541036836972
1,19,4,0.10211349957829918,0.5986640979439773,-0.394437098787379
1,20,4,0.1110244646409903,0.6130569284023122,-0.39100799912033163
1,21,3,0.4721241590621461,0.47243340614763174,0.4718149119766605
1,22,3,0.19260158340459577,0.5551346309314196,-0.16993146412222804
2,1,4,0.21989098577664518,0.5040651037368811,-0.06428313218359077
2,2,4,0.29645835037384466,0.6173844956424852,-0.024467794894795836
2,3,5,0.16589887175526197,0.6915793058795128,-0.35978156236898884
2,4,5,0.21444925657223257,0.5989633421395149,-0.17006482899504977
2,5,5,0.2406554301950291,0.6885712391421445,-0.20726037875208625
2,6,5,0.2600755841218173,0.8173411461926049,-0.2971899779489703
2,7,4,0.35446031292974517,0.6276120066087825,0.08130861925070793
2,8,4,0.33669282817783225,0.5909255344611324,0.08246012189453206
2,9,5,0.28898513144464977,0.7025733105182665,-0.12460304762896707
2,10,5,0.3108328046122867,0.7972277689487284,-0.17556215972415506
2,11,4,0.15296535143061124,0.6064389261111423,-0.3005082232499198
2,12,4,0.13213485891236282,0.6999457909822369,-0.4356760731575113
2,13,4,0.1715219631486301,0.6756510377493588,-0.33260711145209854
2,14,5,0.3613141706435685,0.7887028027751983,-0.06607446148806123
2,15,5,0.3575073791067833,0.7302584998824306,-0.015243741668864053
2,16,5,0.3097293867755373,0.6779692107218204,-0.05851043717074578
2,17,5,0.29251606852224776,0.7481667975513053,-0.1631346605068098
2,18,5,0.2903644037405865,0.736653540486331,-0.15592473300515802
2,19,5,0.25648947615238205,0.6860440964194767,-0.1730651441147127
2,20,5,0.17770544260847976,0.7336344564750181,-0.3782235712580586
2,21,1,0.0265486725663715,0.0265486725663715,0.0265486725663715
3,2,5,0.18479958355023407,0.6969161344221786,-0.32731696732171045
3,3,5,0.1768778792309178,0.537456141330992,-0.18370038286915635
3,4,5,0.20072878709005715,0.7960587064349888,-0.3946011322548745
3,5,5,0.17011972930765218,0.8083658330748091,-0.4681263744595048
3,6,5,0.23820926600728787,0.7279612432369476,-0.2515427112223718
3,7,4,0.3564326221803327,0.6607378104952097,0.05212743386545565
3,8,5,0.23092139510671505,0.5081987975508855,-0.04635600733745532
3,9,5,0.21405517959396136,0.5532002127741245,-0.12508985358620167
3,10,5,0.22079390913354124,0.3230274109830862,0.1185604072839963
3,11,5,0.2643042696329847,0.42635151218761547,0.10225702707835393
3,12,5,0.248324184160437,0.40298105052951977,0.09366731779135423
3,13,5,0.2826956497751786,0.6499663694772945,-0.08457506992693731
3,14,5,0.30123306943256745,0.6462928105178467,-0.04382667165271176
3,15,5,0.33731483269427054,0.5802934928648811,0.09433617252366006
3,16,5,0.30752255110203863,0.6943037347733662,-0.07925863256928889
3,17,5,0.25861530452889103,0.7535272241759728,-0.23629661511819078
3,18,5,0.346277980218636,0.9307043456663431,-0.2381483852290711
3,19,5,0.4262363352420613,0.7459513373602894,0.10652133312383316
3,20,5,0.5128578865174387,1.0144279636522902,0.011287809382587222
3,21,5,0.5290512141967622,1.0819074842224743,-0.023805055828949873
3,22,3,0.43779187422166876,1.2302481380240486,-0.3546643895807112
3,23,2,0.32284049525619174,1.3384798389635248,-0.6927988484511413
4,1,5,0.623229296388543,1.1501185163964167,0.09634007638066933
4,2,5,0.5092037671232876,1.0790422914866478,-0.0606347572400725
4,3,5,0.5647571606475716,1.026886723079931,0.10262759821521233
4,4,5,0.5807129514321295,0.9219928215596297,0.23943308130462937
4,5,5,0.607370797011208,1.1316706262729213,0.08307096774949485
4,6,5,0.560957834461218,1.1666668897366859,-0.04475122081424976
4,7,5,0.5717855283706401,1.2539726857580622,-0.11040162901678197
4,8,4,0.39550289797691157,1.1319697162491809,-0.34096392029535777
4,9,5,0.6508068714211348,1.1099525890679578,0.1916611537743118
4,10,5,0.6693388859968765,1.0707125592662656,0.2679652127274873
4,11,5,0.6768349817803228,1.0499792319500436,0.3036907316106018
4,12,5,0.5159812597605413,1.1365552138308128,-0.10459269430973017
4,13,5,0.5064029151483602,1.1531652921144875,-0.14035946181776704
4,14,5,0.5840707964601768,1.1557774909355405,0.01236410198481308
4,15,5,0.42831858407079637,1.088311899598519,-0.2316747314569263
4,16,5,0.2971369078604893,1.0208180777423057,-0.4265442620213272
4,17,5,0.272462259239979,0.962017055286425,-0.41709253680646696
4,18,5,0.44518479958355006,1.0188680429300758,-0.1284984437629757
