month,day_idx,n_years,median,upper,lower
1,1,5,0.0,0.0,0.0
1,2,5,0.02237136465324374,0.12245223886127088,-0.0777095095547834
1,3,5,0.03863751906456536,0.15943623761220616,-0.08216119948307543
1,4,5,0.032362459546925626,0.09298668578006586,-0.028261766686214607
1,5,5,0.009843400447427264,0.10684722184957895,-0.08716042095472443
1,6,5,0.07456363328249449,0.19627523033861832,-0.04714796377362934
1,7,5,0.08676495509235727,0.3270873211115395,-0.15355741092682496
1,8,5,0.09828842569056095,0.345573788821395,-0.1489969374402731
1,9,5,0.09828842569056095,0.3738506665828089,-0.177273815201687
1,10,5,0.10981189628876464,0.31871236222412075,-0.09908856964659146
1,11,5,0.11828503643450261,0.1918641931921446,0.04470587967686063
1,12,5,0.0854092526690392,0.23380544077957427,-0.06298693544149586
1,13,5,0.20255092328193425,0.3513188435378299,0.05378300302603861
1,14,5,0.10981189628876464,0.28889759268942694,-0.06927380011189765
1,15,5,0.148545861297539,0.3374917752335835,-0.04040005263850549
1,16,4,0.07345905426107963,0.1948553928163132,-0.04793728429415395
1,17,4,0.08833519393008699,0.2794684224012026,-0.10279803454102868
1,18,4,0.3008830075919869,0.7332821352237524,-0.1315161200397787
1,19,4,0.2557991828499992,0.6391747419744114,-0.12757637627441298
1,20,4,0.32269227178410154,0.6681198127099005,-0.022735269141697434
1,21,3,0.41271654292785076,0.8462243470103485,-0.020791261154647023
1,22,3,0.19894933062192843,0.20311706735010815,0.19478159389374872
2,1,4,0.3763522183971177,0.5682955723979248,0.18440886439631057
2,2,4,0.6370844684585876,0.9669018115586303,0.30726712535854483
2,3,5,0.49661266568483065,0.9647147979399948,0.028510533429666474
2,4,5,0.45360824742268047,0.8742341416883738,0.032982353156987165
2,5,5,0.5531664212076584,1.1551580459017081,-0.04882520348639141
2,6,5,0.6450662739322534,1.359996645684726,-0.06986409782021918
2,7,4,0.7539846729416878,1.4571548652383237,0.050814480645051896
2,8,4,0.8177508240493032,1.621915846064442,0.013585802034164374
2,9,5,0.6480117820324006,1.409048265452125,-0.11302470138732379
2,10,5,0.5555228276877762,1.170708441868144,-0.0596627864925916
2,11,4,0.44194153133473685,0.5901720892044725,0.2937109734650012
2,12,4,0.4977937384326936,0.6539254362512384,0.34166204061414873
2,13,4,0.6398275835303979,0.7960472512217325,0.4836079158390634
2,14,5,0.636818851251841,0.8589228796940487,0.41471482280963334
2,15,5,0.6215022091310751,0.9082157420034679,0.33478867625868236
2,16,5,0.6156111929307806,0.941712546085341,0.28950983977622013
2,17,5,0.6916053019145803,1.1437783554575915,0.23943224837156885
2,18,5,0.5508100147275405,0.9542062448725429,0.14741378458253818
2,19,5,0.5637702503681885,1.0764312181929674,0.05110928254340963
2,20,5,0.6185567010309279,1.1812910814363802,0.05582232062547565
2,21,1,0.6857142857142857,0.6857142857142857,0.6857142857142857
3,2,5,0.661526599845798,1.4814728290501837,-0.15841962935858778
3,3,5,0.5505011565150347,0.9079600255716431,0.19304228745842633
3,4,5,0.5628373168851195,1.2285756305351674,-0.10290099676492837
3,5,5,0.5628373168851195,1.1771764300782854,-0.05150179630804641
3,6,5,0.4502698535080957,0.9680742270595121,-0.06753452004332072
3,7,4,0.6480581107642764,0.9983914592154534,0.2977247623130995
3,8,5,0.26060138781804165,0.7280135366591984,-0.20681076102311508
3,9,5,0.3284502698535081,0.8117297014794079,-0.1548291617723917
3,10,5,0.11489578037620751,0.1986488469136734,0.03114271383874162
3,11,5,0.1804163454124904,0.2380261202673724,0.12280657055760841
3,12,5,0.16539569564480605,0.41348923911201513,-0.08269784782240303
3,13,5,0.2237136465324383,0.4181892820982507,0.029238010966625927
3,14,5,0.22818791946308714,0.42012284414730927,0.03625299477886501
3,15,5,0.20572784273851885,0.2945817502541613,0.11687393522287642
3,16,5,0.2675615212527964,0.3867141346663009,0.14840890783929195
3,17,5,0.39015659955257265,0.6770106199300053,0.10330257917513996
3,18,5,0.3982102908277403,0.9839605767223962,-0.18753999506691565
3,19,5,0.3946308724832215,1.0652202035673444,-0.2759584586009014
3,20,5,0.410738255033557,0.8348641418244475,-0.013387631757333485
3,21,5,0.4080536912751678,0.8397178827754291,-0.02361050022509359
3,22,3,0.3999999999999999,0.8912875867386273,-0.09128758673862747
3,23,2,0.2872600511591885,0.5261686321385263,0.04835147017985075
4,1,5,0.42326621923937346,0.9256275678471763,-0.07909512936842933
4,2,5,0.4384787472035794,0.8826752066633061,-0.005717712256147367
4,3,5,0.3096196868008947,0.6042474884816469,0.014991885120142434
4,4,5,0.31767337807606255,0.8404440465779743,-0.20509729042584923
4,5,5,0.23176733780760617,0.6460172260645163,-0.1824825504493039
4,6,5,0.2353467561521252,0.7281737027849902,-0.2574801904807397
4,7,5,0.30335570469798645,0.9378655938954839,-0.33115418449951095
4,8,4,0.1606822835005579,0.38703966349189123,-0.06567509649077544
4,9,5,0.3140939597315435,0.7979446095474658,-0.16975669008437871
4,10,5,0.3221476510067114,0.6448171906969389,-0.0005218886835160474
4,11,5,0.2818791946308723,0.6101377425507446,-0.04637935328899995
