month,day_idx,n_years,median,upper,lower
1,1,5,0.0,0.0,0.0
1,2,5,-0.010206685378923108,0.02011168065499791,-0.040525051412844126
1,3,5,-0.0011117287381878782,0.12314565901699537,-0.12536911649337112
1,4,5,-0.11228460255697614,0.037662892619565014,-0.2622320977335173
1,5,5,-0.06559199555308504,0.009023328290035493,-0.14020731939620557
1,6,5,0.0,0.05169538632573634,-0.05169538632573634
1,7,5,-0.042513863216266046,0.045466314721980594,-0.13049404115451269
1,8,5,-0.02156500308071463,0.16864944979801305,-0.2117794559594423
1,9,5,-0.18565869927737633,0.0598389624470288,-0.43115636100178145
1,10,5,-0.1767648693718733,0.22904980666728025,-0.5825795454110269
1,11,5,-0.15675375208449127,0.31913717171278405,-0.6326446758817665
1,12,5,-0.14674819344080037,0.25711221710054794,-0.5506086039821487
1,13,5,-0.08560311284046684,0.27828202104536537,-0.44948824672629906
1,14,5,-0.10116731517509714,0.39125114303954733,-0.5935857733897416
1,15,5,0.027793218454697177,0.48082355972724466,-0.4252371228178503
1,16,4,-0.22387710581695525,0.26017349443571547,-0.707927706069626
1,17,4,-0.2313118021278382,0.46011170283600655,-0.9227353070916829
1,18,4,-0.1259354059788539,0.6555167725476058,-0.9073875845053135
1,19,4,-0.147782691214719,0.7469841056940673,-1.0425494881235053
1,20,4,0.02474209572423053,0.8495543266126164,-0.8000701351641553
1,21,3,0.450897571277719,0.5283032988525246,0.37349184370291344
1,22,3,0.07666777298373717,0.6739153215334746,-0.5205797755660002
2,1,4,0.1495681027941363,0.5363541909562748,-0.23721798536800226
2,2,4,0.28898001194379663,0.6104192977419448,-0.032459273854351545
2,3,5,0.18486558247593754,0.6746600381116699,-0.3049288731597948
2,4,5,0.2552273481579821,0.633737962668633,-0.12328326635266879
2,5,5,0.14785992217898847,0.7629232596074433,-0.4672034152494664
2,6,5,0.22568868237636908,0.7731113082310339,-0.32173394347829576
2,7,4,0.23311757998091276,0.5229859118942584,-0.05675075193243284
2,8,4,0.24277380932394682,0.5216080303394617,-0.036060411691568095
2,9,5,0.1307666777298374,0.8232122260770031,-0.5616788706173282
2,10,5,0.15034848987719884,0.8292608131395419,-0.5285638333851442
2,11,4,-0.27379814628233007,0.7354480921580195,-1.2830443847226796
2,12,4,-0.1806273351328559,0.7110642747916057,-1.0723189450573174
2,13,4,-0.23520092019383215,0.5722960752657691,-1.0426979156534333
2,14,5,0.11782276800531033,1.0107823857967113,-0.7751368497860905
2,15,5,0.1964819117158978,0.8658561930332864,-0.47289236960149084
2,16,5,0.14238300696979755,0.7735814637801486,-0.4888154498405535
2,17,5,0.161964819117159,0.8334843275058343,-0.5095546892715164
2,18,5,0.1865250580816462,0.6733689387522074,-0.30031882258891496
2,19,5,0.18121178432462481,0.6892251532442345,-0.3268015845949849
2,20,5,0.11948224361101889,0.8394141052272254,-0.6004496180051876
2,21,1,-0.9969192852741835,-0.9969192852741835,-0.9969192852741835
3,2,5,-0.041133963312951494,0.9144423776438042,-0.9967103042697072
3,3,5,-0.584843072212299,-0.02587847535514698,-1.1438076690694512
3,4,5,-0.18454697053918845,0.47407528863033954,-0.8431692297087164
3,5,5,-0.1033907726514729,0.769208702461647,-0.9759902477645928
3,6,5,-0.37131739855475265,0.121974429104315,-0.8646092262138203
3,7,4,-0.11360286636360101,0.4009048153827193,-0.6281105481099214
3,8,5,-0.19344080044469147,0.3574331190361455,-0.7443147199255284
3,9,5,-0.1345191773207337,0.3919830178811602,-0.6610213725226276
3,10,5,-0.1300722623679822,0.4520836694035193,-0.7122281941394837
3,11,5,-0.1600889382990549,0.5145518313383541,-0.834729707936464
3,12,5,-0.053362979433018376,0.6486455868654004,-0.7553715457314372
3,13,5,0.12744772651842018,0.7393384387471257,-0.4844429857102853
3,14,5,0.06870229007633588,0.7507597314137856,-0.6133551512611138
3,15,5,0.02754729505476272,0.7760890768654379,-0.7209944867559125
3,16,5,-0.09227348526959411,0.3876157322973639,-0.5721627028365521
3,17,5,-0.11895497498610341,0.07889335207984233,-0.31680330205204915
3,18,5,-0.015564202334630295,0.3252299747549213,-0.3563583794241819
3,19,5,0.008893829905503026,0.4593879943571032,-0.44160033454609715
3,20,5,-0.011616329239960144,0.43029374251932323,-0.4535264009992435
3,21,5,-0.17358114835711913,0.13906006810905064,-0.4862223648232889
3,22,3,-0.29349638688160073,-0.0053663818505953476,-0.5816263919126061
3,23,2,0.03303296182758947,0.8641593374600174,-0.7980934138048383
4,1,5,-0.09672040022234563,-0.02283130337372602,-0.17060949707096523
4,2,5,-0.3012784880489161,0.02020446141576232,-0.6227614375135946
4,3,5,-0.34908282379099487,-0.09544273415401239,-0.6027229134279773
4,4,5,-0.47470817120622566,-0.36884066831131274,-0.5805756741011385
4,5,5,-0.546970539188438,-0.3258366991725737,-0.7681043792043023
4,6,5,-0.4102279043913285,-0.20074199879409066,-0.6197138099885664
4,7,5,-0.4302390216787103,-0.10455902395947042,-0.7559190193979501
4,8,4,-0.25401166005305525,0.1764385062629012,-0.6844618263690116
4,9,5,-0.3413007226236797,0.2513008757492776,-0.9339023209966371
4,10,5,-0.26125625347415227,0.388510635864192,-0.9110231428124965
4,11,5,-0.19899944413563087,0.6013786542692414,-0.9993775425405031
4,12,5,-0.12117843246247917,0.8319097494128249,-1.0742666143377833
4,13,5,-0.11117287381878826,0.7819045084869665,-1.004250256124543
4,14,5,-0.16675931072818218,0.6574829428784472,-0.9910015643348116
4,15,5,-0.2345747637576432,0.5086128481971143,-0.9777623757124007
4,16,5,-0.21901056142301267,0.5666608891191716,-1.004682011965197
4,17,5,-0.2223457476375763,0.4903463517933049,-0.9350378470684575
4,18,5,-0.12784880489160644,0.7219676365695051,-0.977665246352718
4,19,5,-0.08560311284046684,1.072498687399757,-1.2437049130806908
4,20,5,-0.13118399110617007,1.013075142382449,-1.275443124594789
4,21,4,-0.43736730579081895,0.07500525070728381,-0.9497398622889217
4,22,3,-0.22345747637576419,0.43881138007304643,-0.8857263328245748
5,1,1,-0.8175554988517479,-0.8175554988517479,-0.8175554988517479
5,2,5,-0.2223457476375763,0.5129319179608394,-0.957623413235992
5,3,3,-0.6808379544054219,-0.3946184889734935,-0.9670574198373504
5,4,2,0.31730366062416077,1.215160207702703,-0.5805528864543816
5,5,4,-0.5400681284906347,-0.09804149153815017,-0.9820947654431191
5,6,5,-0.37687604224569204,0.6619180852507867,-1.4156701697421707
5,7,5,-0.3513062812673706,0.7392110563323246,-1.441823618867066
5,8,5,-0.43913285158421345,0.4144158934941742,-1.292681596662601
5,9,5,-0.4991662034463591,0.37494746663289047,-1.3732798735256087
5,10,5,-0.31906614785992216,0.6992726247365177,-1.337404920456362
5,11,4,-0.04962320956049815,0.9286700520367872,-1.0279164711577835
5,12,5,-0.6204559457794208,-0.14797579198108557,-1.092936099577756
5,13,5,-0.614294516327788,-0.09927290730326699,-1.129316125352309
5,14,5,-0.6506469500924215,-0.13542064137037502,-1.165873258814468
5,15,5,-0.6081330868761552,-0.13056491928275848,-1.085701254469552
5,16,5,-0.5614230127848804,-0.08498136457256084,-1.0378646609972
5,17,4,-0.11451342805125209,0.9453400333506325,-1.1743668894531367
5,18,5,-0.5369649805447471,0.015204287602153976,-1.0891342486916482
5,19,5,-0.6559199555308505,-0.24885719012102647,-1.0629827209406746
5,20,5,-0.7226236798221234,-0.41561650084920876,-1.029630858795038
5,21,4,-0.8052731515240314,-0.5843317063383203,-1.0262145967097425
5,22,4,-0.11459642391687563,1.091131772996929,-1.32032462083068
5,23,2,0.03133057597979422,1.537661005568709,-1.4749998536091207
