month,day_idx,n_years,median,upper,lower
1,1,5,0.0,0.0,0.0
1,2,5,-0.05102040816326536,0.023740492506965694,-0.12578130883349642
1,3,5,0.014551953025274456,0.0921938360515584,-0.06308993000100949
1,4,5,-0.03401360544217691,0.08101764691116281,-0.14904485779551663
1,5,5,0.021444983405667584,0.21966411903077404,-0.17677415221943887
1,6,5,0.019657901455195304,0.20781634035385527,-0.16850053744346466
1,7,5,0.0495276997702323,0.42640227525583896,-0.32734687571537435
1,8,5,0.05208067398519278,0.438526592141262,-0.33436524417087643
1,9,5,0.05208067398519278,0.4807551904980372,-0.37659384252765166
1,10,5,0.05718662241511363,0.3975791021632452,-0.28320585733301795
1,11,5,0.0699514934899157,0.4958089662829288,-0.3559059793030974
1,12,5,0.09420474853203986,0.7481732162851612,-0.5597637192210815
1,13,5,0.09803420985448041,0.6989600633815883,-0.5028916436726275
1,14,5,0.10186367117692108,0.579382425174775,-0.3756550828209328
1,15,5,0.1503701812611693,0.5074920747237461,-0.20675171220140753
1,16,4,-0.0503226387893187,0.472168173472082,-0.5728134510507195
1,17,4,-0.05669267057745886,0.4822561047370659,-0.5956414458919836
1,18,4,0.006037101187338412,0.5785739289178204,-0.5664997265431435
1,19,4,0.07184903481687882,0.5575392460496997,-0.41384117641594204
1,20,4,0.14302030775409796,0.6404053209743088,-0.35436470546611293
1,21,3,0.4041994750656168,0.4917778134875997,0.31662113664363395
1,22,3,0.14909369415368912,0.5830663387052558,-0.2848789503978776
2,1,4,0.2118831233662808,0.4371244836326237,-0.013358236900062131
2,2,4,0.2909030358950855,0.513896867075758,0.067909204714413
2,3,5,0.1503701812611693,0.6120878147765393,-0.3113474522542007
2,4,5,0.15164666836864948,0.5304758784141005,-0.22718254167680152
2,5,5,0.1312228746489661,0.4776956492896902,-0.21524989999175803
2,6,5,0.12611692621904513,0.45920375466200386,-0.2069699022239136
2,7,4,0.17722199934352095,0.44415053013701344,-0.08970653144997154
2,8,4,0.14704176283737896,0.44460724572344684,-0.1505237200486889
2,9,5,0.15986394557823125,0.5435713030599691,-0.22384341190350665
2,10,5,0.24149659863945572,0.725708393593658,-0.24271519631474658
2,11,4,-0.06435600070286412,0.24418883225631555,-0.3729008336620438
2,12,4,-0.04130582122147747,0.3111383925236979,-0.39375003496665284
2,13,4,-0.009325501418279425,0.2865319446466075,-0.3051829474831663
2,14,5,0.15986394557823125,0.5730915982629212,-0.2533637071064588
2,15,5,0.2780188920091907,0.7098073776244527,-0.15376959360607118
2,16,5,0.25631861118202703,0.5337854578443663,-0.021148235480312194
2,17,5,0.2601480725044677,0.524908926648623,-0.004612781639687591
2,18,5,0.24355374010722497,0.5646039074636343,-0.07749642724918437
2,19,5,0.2295123819249425,0.5922311393142012,-0.13320637546431618
2,20,5,0.18738830737809553,0.42161196875993173,-0.04683535400374067
2,21,1,0.05658056580565818,0.05658056580565818,0.05658056580565818
3,2,5,0.1899412815930559,0.5634140895914956,-0.18353152640538384
3,3,5,0.141732283464567,0.2706097784288593,0.012854788500274716
3,4,5,0.21547102374266025,0.4946266928530794,-0.06368464536775892
