month,day_idx,n_years,median,upper,lower
1,1,5,0.0,0.0,0.0
1,2,5,0.0076045627376426506,0.03973908292725992,-0.024529957451974616
1,3,5,0.07256894049346874,0.2624168284545644,-0.1172789474676269
1,4,5,0.05805515239477499,0.3216217744519631,-0.20551146966241313
1,5,5,0.08803418803418805,0.25430600240486173,-0.07823762633648562
1,6,5,0.07837445573294632,0.264377203971149,-0.10762829250525635
1,7,5,0.055152394775036306,0.10447508466376393,0.005829704886308684
1,8,5,0.02281368821292773,0.10525982256020272,-0.05963244613434726
1,9,5,0.014513788098693747,0.14402515723270437,-0.11499758103531688
1,10,5,0.00870827285921627,0.19308176100628927,-0.17566521528785672
1,11,5,0.0261248185776487,0.24847605224963726,-0.19622641509433986
1,12,5,0.00870827285921627,0.2623125302370586,-0.24489598451862604
1,13,5,0.0,0.2623574144486691,-0.2623574144486691
1,14,5,0.002902757619738794,0.2677793904208999,-0.2619738751814223
1,15,5,0.0261248185776487,0.40751736963803803,-0.35526773248274063
1,16,4,-0.1117408503777797,0.09441012612975042,-0.3178918268853098
1,17,4,-0.1434031195070673,0.12548549958601418,-0.4122917386001488
1,18,4,-0.012640101030602313,0.4883592165086392,-0.5136394185698439
1,19,4,-0.018716595629524324,0.6149409065640996,-0.6523740978231483
1,20,4,0.00040367137992475266,0.5090952966114741,-0.5082879538516245
1,21,3,0.27350427350427353,0.8762348762348763,-0.3292263292263292
1,22,3,-0.029027576197387495,0.47360520198674205,-0.531660354381517
2,1,4,0.05875665215287856,0.4366082860071508,-0.31909498170139367
2,2,4,0.15650701499758102,0.5806494952086627,-0.2676354652135007
2,3,5,-0.014513788098693747,0.5277697145621674,-0.5567972907595549
2,4,5,0.01741654571843254,0.45515086297681995,-0.42031777153995487
2,5,5,0.00870827285921627,0.38588677713484787,-0.36847023141641533
2,6,5,0.06386066763425247,0.5950078696133355,-0.4672865343448306
2,7,4,0.19278342202870502,0.6297238401011986,-0.24415699604378854
2,8,4,0.20278180938558293,0.6245581462562593,-0.21899452748509346
2,9,5,0.06966618287373005,0.5962186891234885,-0.4568863233760284
2,10,5,0.07547169811320753,0.6379051765844218,-0.48696178035800675
2,11,4,-0.13640663115447793,0.1996648230387928,-0.47247808534774866
2,12,4,-0.09368843366978097,0.25163824144730584,-0.4390151087868678
2,13,4,-0.05995905235448967,0.28497701421746074,-0.4048951189264401
2,14,5,0.14513788098693758,0.853338999045291,-0.5630632370714158
2,15,5,0.1393323657474601,0.787476674269127,-0.5088119427742068
2,16,5,0.1132075471698113,0.7703193033381713,-0.5439042089985487
2,17,5,0.1103047895500725,0.8061049817907483,-0.5854954026906033
2,18,5,0.09288824383164007,0.7704791847769893,-0.5847026971137091
2,19,5,0.0841799709724238,0.7407929353466266,-0.572432993401779
2,20,5,0.03193033381712629,0.6463724954290992,-0.5825118277948467
2,21,1,-0.3271767810026385,-0.3271767810026385,-0.3271767810026385
3,2,5,0.03193033381712629,0.672346521403125,-0.6084858537688724
3,3,5,0.01741654571843254,0.551548137397194,-0.5167150459603289
3,4,5,0.0261248185776487,0.7661583699319549,-0.7139087327766575
3,5,5,0.00870827285921627,0.6709705388950671,-0.6535539931766345
3,6,5,0.00870827285921627,0.5725689404934687,-0.5551523947750362
3,7,4,0.20203695675393785,0.5784520510935605,-0.17437813758568477
3,8,5,0.04354136429608124,0.6075341495264824,-0.52045142093432
3,9,5,0.037735849056603765,0.5655476598872826,-0.4900759617740751
3,10,5,0.037735849056603765,0.51386468860457,-0.4383929904913625
3,11,5,0.12191582002902757,0.7108369617803579,-0.4670053217223028
3,12,5,0.12191582002902757,0.7775036284470247,-0.5336719883889696
3,13,5,0.14804063860667627,0.9083601717145798,-0.6122788945012273
3,14,5,0.1973875181422351,0.7071891119782787,-0.3124140756938085
3,15,5,0.24092888243831634,0.6260689079427566,-0.14421114306612387
3,16,5,0.20609579100145137,0.6242248317720014,-0.2120332497690987
3,17,5,0.18577648766328003,0.6917271407837446,-0.3201741654571846
3,18,5,0.23222060957910007,0.6595307208514757,-0.19508950169327555
