month,day_idx,n_years,median,upper,lower
1,1,5,0.0,0.0,0.0
1,2,5,0.0714285714285714,0.14285714285714274,5.551115123125783e-17
1,3,5,0.06349206349206349,0.318553369451573,-0.191569242467446
1,4,5,0.06349206349206349,0.1838228305294174,-0.056838703545290414
1,5,5,0.07407407407407418,0.10434686183189207,0.043801286316256294
1,6,5,0.09259259259259256,0.35166288737717305,-0.16647770219198793
1,7,5,0.11111111111111116,0.48015873015873006,-0.25793650793650774
1,8,5,0.11904761904761907,0.5551040775591674,-0.31700883946392927
1,9,5,0.19760479041916168,0.5746669925455211,-0.17945741170719776
1,10,5,0.16766467065868262,0.543718685078822,-0.20838934376145674
1,11,5,0.15568862275449102,0.41195160699010147,-0.10057436148111942
1,12,5,0.18562874251497008,0.4122876695588414,-0.041030184528901226
1,13,5,0.3173652694610778,0.6188099990495197,0.015920539872635864
1,14,5,0.27544910179640714,0.5298925957608591,0.021005607831955153
1,15,5,0.3772455089820359,0.7645423438836612,-0.010051325919589349
1,16,4,0.17970521541950107,0.3690306461906118,-0.009620215351609673
1,17,4,0.1054421768707483,0.15281172349179192,0.05807263024970469
1,18,4,0.39157399486740807,0.800256629597947,-0.017108639863130826
1,19,4,0.30230355615300014,0.5987107417817428,0.005896370524257566
1,20,4,0.3463277526579494,0.6592020041549553,0.03345350116094342
1,21,3,0.4610778443113772,1.0808383233532932,-0.15868263473053879
1,22,3,0.1772486772486772,0.26348097455881886,0.09101637993853556
2,1,4,0.3023952095808383,0.4701430472388556,0.13464737192282103
2,2,4,0.5788423153692615,0.9618501093051991,0.1958345214333238
2,3,5,0.27551020408163274,0.45464852607709777,0.0963718820861677
2,4,5,0.44897959183673464,0.943877551020408,-0.045918367346938715
2,5,5,0.5000000000000001,1.1309523809523812,-0.13095238095238093
2,6,5,0.4897959183673469,1.0935374149659864,-0.11394557823129248
2,7,4,0.8015141540487163,1.2453458783552054,0.35768242974222725
2,8,4,0.8800197498354181,1.4738881355130424,0.28615136415779374
2,9,5,0.7857142857142857,1.347519247219846,0.22390932420872545
2,10,5,0.6428571428571429,1.0742087254063304,0.21150556030795542
2,11,4,0.44812793767304104,0.7193609817888909,0.17689489355719118
2,12,4,0.4959114030004507,0.7768138837532308,0.2150089222476706
2,13,4,0.5541578134054472,0.8250853460951697,0.28323028071572476
2,14,5,0.7258064516129032,1.347450260768785,0.10416264245702145
2,15,5,0.7661290322580645,1.4722088081900715,0.06004925632605762
2,16,5,0.6451612903225806,1.2236816689202241,0.06664091172493725
2,17,5,0.7016129032258065,1.2809783658489473,0.12224744060266568
2,18,5,0.520408163265306,1.0614994500794328,-0.020683123548820626
2,19,5,0.34693877551020413,0.8305628703094141,-0.1366853192890059
2,20,5,0.3673469387755103,0.917132982225148,-0.1824391046741275
2,21,1,0.33532934131736525,0.33532934131736525,0.33532934131736525
3,2,5,0.3872255489021956,0.6772475457248768,0.09720355207951442
3,3,5,0.375249500998004,0.5401645688215407,0.21033443317446732
3,4,5,0.44354838709677424,0.8180546412113234,0.06904213298222511
3,5,5,0.403225806451613,1.0233706385780121,-0.21691902567478616
3,6,5,0.3709677419354839,0.8833784044813598,-0.1414429206103921
3,7,4,0.4228478526817333,0.734683858090271,0.11101184727319557
3,8,5,0.24193548387096775,0.6507570770243583,-0.1668861092824227
3,9,5,0.2822580645161291,0.8468949198377438,-0.28237879080548556
3,10,5,0.12903225806451624,0.48527905785970316,-0.22721454173067068
3,11,5,0.185483870967742,0.5589477726574502,-0.18798003072196623
3,12,5,0.13265306122448983,0.4268707482993198,-0.16156462585034015
3,13,5,0.2142857142857143,0.5753968253968254,-0.14682539682539675
3,14,5,0.19387755102040816,0.5005668934240363,-0.11281179138321995
3,15,5,0.19387755102040816,0.4807256235827664,-0.09297052154195007
3,16,5,0.2959183673469389,0.6723356009070297,-0.08049886621315194
3,17,5,0.5000000000000001,0.9535928143712574,0.0464071856287428
3,18,5,0.520408163265306,1.1320114872296223,-0.09119516069901035
3,19,5,0.5816326530612245,1.2181657093975313,-0.0549004032750825
3,20,5,0.626746506986028,1.1676727190779732,0.08582029489408283
3,21,5,0.530938123752495,0.9743268564910994,0.08754939101389064
3,22,3,0.6646706586826348,0.8768483441280703,0.4524929732371991
3,23,2,0.5183508887425938,1.0418449637919684,-0.005143186306780789
4,1,5,0.49500998003992014,1.1770410791320585,-0.1870211190522182
4,2,5,0.44311377245508987,1.0323876057408992,-0.14616006083071953
4,3,5,0.3313373253493014,0.7986170516110637,-0.1359424009124609
4,4,5,0.4151696606786427,1.0379241516966067,-0.2075848303393214
4,5,5,0.3792415169660679,0.8029425020925891,-0.044459468160453264
4,6,5,0.4031936127744511,0.9475001609683859,-0.14111293541948366
4,7,5,0.3393213572854291,1.0242168723776937,-0.34557415780683554
4,8,4,0.40980908492429236,1.0455800599809817,-0.22596189013239698
4,9,5,0.29940119760479045,0.8298912379322986,-0.23108884272271768
4,10,5,0.19960079840319367,0.6180496150556032,-0.2188480182492158
4,11,5,0.22355289421157687,0.6104695371162439,-0.16336374869309006
4,12,5,0.153225806451613,0.37909626216077846,-0.07264464925755248
4,13,5,0.217741935483871,0.5919738863287252,-0.15649001536098311
4,14,5,0.25806451612903225,0.6530977982590884,-0.13696876600102398
4,15,5,0.25,0.5496031746031746,-0.04960317460317465
4,16,5,0.39520958083832336,0.9324683965402527,-0.142049234863606
4,17,5,0.3632734530938124,0.8169137914646897,-0.09036688527706482
4,18,5,0.3153692614770459,0.7090580743275352,-0.07831955137344343
4,19,5,0.3313373253493014,0.6831820230506728,-0.020507372352070008
4,20,5,0.590818363273453,1.3197878436675037,-0.13815111712059747
4,21,4,0.7994011976047903,1.401197604790419,0.19760479041916157
4,22,3,0.5828343313373253,1.1674032886607737,-0.0017346259861229507
5,1,1,0.9081632653061226,0.9081632653061226,0.9081632653061226
5,2,5,0.5149700598802395,1.013615625891075,0.0163244938694041
5,3,3,0.5668662674650699,1.2841011525336423,-0.15036861760350262
5,4,2,0.6802443500096581,1.5191592621209193,-0.15867056210160302
5,5,4,0.7856531834290601,1.3739765367224734,0.19732983013564687
5,6,5,0.6347305389221557,1.2591653427838199,0.010295735060491418
5,7,5,0.5708582834331337,1.1247263537441246,0.016990213122142883
5,8,5,0.6530612244897959,1.3191609977324261,-0.013038548752834278
5,9,5,0.6706586826347305,1.3353293413173652,0.005988023952095856
5,10,5,0.6506986027944112,1.3053179355574565,-0.003920729968634129
5,11,4,0.6249055177626607,1.2989978093699222,-0.049186773844600906
5,12,5,0.7025948103792415,1.2252332070552772,0.17995641370320603
5,13,5,0.6666666666666666,1.220558882235529,0.11277445109780426
5,14,5,0.7040816326530613,1.2108334351704753,0.1973298301356473
5,15,5,0.7624750499001997,1.2534930139720557,0.27145708582834355
5,16,5,0.6786427145708582,1.1926385324588915,0.16464689668282495
5,17,4,0.5217897538256819,0.8978883630588285,0.1456911445925354
5,18,5,0.6427145708582834,1.2398672043667767,0.04556193734979008
5,19,5,0.6107784431137725,1.2558352682390321,-0.03427838201148725
5,20,5,0.5748502994011976,1.1676646706586826,-0.017964071856287456
5,21,4,0.7864271457085829,1.1629954376960365,0.4098588537211292
5,22,4,0.5392785856857714,0.8411219036581216,0.23743526771342116
5,23,2,0.37186111647672404,0.7482011782885841,-0.004478945335136042
6,1,4,0.5183521845198492,0.9174706143269018,0.11923375471279662
6,2,4,0.7619251293331704,1.2888712371176017,0.23497902154873906
6,3,4,0.5689335614485316,0.936157063752679,0.20171005914438406
6,4,2,1.0065028672813106,1.6075270094731176,0.40547872508950356
6,5,4,0.7634628701780114,1.3357143514156677,0.19121138894035505
6,6,5,0.6693121693121693,1.0582010582010581,0.2804232804232805
6,7,5,0.6957671957671958,1.2592592592592595,0.1322751322751321
6,8,5,0.6746506986027944,1.1779807731475822,0.1713206240580064
6,9,5,0.6067864271457086,0.7068108680597986,0.5067619862316186
6,10,5,0.6067864271457086,0.8292598476516355,0.3843130066397817
6,11,5,0.6798941798941799,0.8793761682983239,0.48041219149003583
6,12,5,0.6640211640211641,0.8995738681367426,0.4284684599055856
6,13,5,0.5714285714285715,0.623015873015873,0.51984126984127
6,14,5,0.6164021164021164,0.7756991685563114,0.4571050642479214
6,15,5,0.6111111111111112,0.808390022675737,0.41383219954648537
6,16,5,0.6534391534391535,1.0825774754346182,0.22430083144368868
6,17,5,0.6467065868263473,1.4637052425760724,-0.17029206892337778
6,18,5,0.6626746506986028,1.2128090757260985,0.112540225671107
6,19,5,0.6227544910179641,1.1742331663204204,0.07127581571550778
6,20,5,0.6746031746031746,1.0100038019199695,0.3392025472863798
6,21,4,0.4223356009070295,1.0184377514446639,-0.1737665496306049
6,22,3,-0.04081632653061218,-0.02946017116524019,-0.05217248189598417
7,1,5,0.6786427145708582,1.439121756487026,-0.08183632734530955
7,2,5,0.7380952380952381,1.8452380952380953,-0.36904761904761907
7,3,5,0.843915343915344,2.0944822373393803,-0.4066515495086924
7,4,5,0.806878306878307,2.3196151220344774,-0.7058585082778632
7,5,5,0.9656084656084656,2.391447264201755,-0.4602303329848241
7,6,5,1.0099800399201597,2.2524950099800396,-0.23253493013972037
7,7,5,0.9700598802395209,2.065868263473054,-0.12574850299401208
7,8,5,0.9301397205588823,2.463073852295409,-0.6027944111776445
7,9,5,1.0099800399201597,2.3692614770459084,-0.3493013972055887
7,10,5,1.0419161676646707,2.1646706586826348,-0.08083832335329344
7,11,5,0.9940119760479041,2.2604790419161676,-0.2724550898203594
7,12,5,1.0578842315369261,2.282435129740519,-0.16666666666666674
7,13,4,0.5163624364174875,1.4860564968373544,-0.4533316240023796
7,14,5,1.119047619047619,1.703949244368406,0.5341459937268322
7,15,5,1.121756487025948,1.9630738522954094,0.28043912175648666
7,16,5,1.082010582010582,1.9649827329468046,0.19903843107435948
7,17,5,1.0767195767195767,1.9047539840953014,0.2486851693438521
7,18,5,1.1402116402116402,1.9269001679181321,0.35352311250514845
7,19,5,1.2095808383233533,1.9461077844311379,0.4730538922155687
7,20,5,1.029100529100529,1.7189826695814716,0.3392183886195864
7,21,5,1.1137566137566137,2.0000079206666035,0.22750530684662384
7,22,3,1.4491017964071857,1.6886227544910177,1.2095808383233537
