month,day_idx,n_years,median,upper,lower
1,1,4,0.0,0.0,0.0
1,2,5,-0.013415280534781693,0.0721913415155368,-0.09902190258510019
1,3,5,-0.05119134904503364,0.04781042888829984,-0.15019312697836712
1,4,5,-0.03910667488660513,0.019553337443302565,-0.09776668721651283
1,5,5,-0.001388350426426932,0.15473412409388215,-0.15751082494673602
1,6,4,-0.019717267393554838,0.23893108957981707,-0.27836562436692674
1,7,5,-0.04932298137180613,0.1645437104082471,-0.26318967315185937
1,8,5,-0.014032723808305114,0.1819556657092638,-0.21002111332587403
1,9,5,0.0007297290456954597,0.2349703310078785,-0.2335108729164876
1,10,4,0.008889297152613107,0.1354275869644037,-0.1176489926591775
1,11,3,0.04692543184093034,0.15261330492852726,-0.058762441246666575
1,12,4,0.09204483169920685,0.43546360358506153,-0.2513739401866478
1,13,4,0.09903639484351939,0.45411200987922945,-0.25603922019219066
1,14,5,0.0853870821266478,0.18687193425274373,-0.01609776999944812
1,15,5,0.13999776847032175,0.2997042381273016,-0.01970870118665813
1,16,5,0.2032499236760803,0.4692788416833398,-0.06277899433117917
1,17,5,0.15626839177353802,0.35504881255693793,-0.042512029009861896
1,18,5,0.16030982308224617,0.49136120333747263,-0.17074155717298029
1,19,5,0.1642951543293426,0.5148642481501806,-0.18627393949149534
1,20,5,0.16115175225116485,0.45574848120495765,-0.13344497670262795
1,21,5,0.07442953624562876,0.25539200103885773,-0.10653292854760021
1,22,3,0.25754959680637035,0.7193092051009691,-0.20421001148822837
2,1,5,0.12797845826153254,0.6517346339013317,-0.3957777173782666
2,2,5,0.10462798528876538,0.790796141819404,-0.5815401712418733
2,3,5,-0.09262836553492493,0.7279201190155621,-0.9131768500854119
2,4,5,-0.1125079980138648,0.5662381198937845,-0.7912541159215141
2,5,5,-0.08436472868361466,0.6343693677773987,-0.803098825144628
2,6,5,-0.041929785591131696,0.5953878847909765,-0.6792474559732399
2,7,5,-0.055569552021308755,0.4143104186761751,-0.5254495227187925
2,8,5,-0.05551345195969726,0.6337965799700142,-0.7448234838894087
2,9,5,-0.09477756595489417,0.7107002105985587,-0.900255342508347
2,10,5,-0.08091553068464208,0.8016518702905968,-0.963482931659881
2,11,3,0.4896449254944497,0.9934474678483849,-0.014157616859485467
2,12,5,-0.06823553514946967,0.5915633263716578,-0.7280343966705971
2,13,4,-0.09744770520269619,0.25215326170274344,-0.4470486721081358
2,14,4,-0.09112035428145115,0.4331185912365647,-0.615359299799467
2,15,4,0.09491775407182257,0.41436807367868744,-0.2245325655350423
2,16,5,-0.1345368309127738,0.5042696314988254,-0.773343293324373
2,17,5,-0.05405407951725494,0.5730181779023195,-0.6811263369368293
2,18,5,-0.07078106231504899,0.5237626549735249,-0.6653247796036229
2,19,5,-0.11108308962995495,0.5675165968781183,-0.7896827761380282
2,20,5,-0.13056043147884944,0.529378577608791,-0.7904994405664899
2,21,1,1.1664863242908106,1.1664863242908106,1.1664863242908106
3,1,5,-0.1394853089141328,0.5650569717678754,-0.844027589596141
3,2,5,-0.18253769528013908,0.560410938470891,-0.9254863290311691
3,3,5,-0.12012008153951248,0.6674880686412793,-0.9077282317203043
3,4,5,-0.13482643433190156,0.6623458263820271,-0.9319986950458302
3,5,5,-0.17423034676732818,0.715022341042867,-1.0634830345775232
3,6,5,-0.11669617915327701,0.7994104954339802,-1.0328028537405343
3,7,5,-0.11360896278566024,0.7513551176965694,-0.9785730432678899
3,8,5,-0.10462798528876516,0.6996587724538411,-0.9089147430313714
3,9,5,-0.14442476945337068,0.6966485880472862,-0.9854981269540276
3,10,5,-0.16884174313940137,0.8976802360498215,-1.2353637223286242
3,11,5,-0.1509359738561722,0.9241447106378546,-1.226016658350199
3,12,5,-0.15245153200917516,0.7282030959852083,-1.0331061600035585
3,13,5,-0.13477024862134102,0.8894794763704857,-1.1590199736131677
3,14,5,-0.1021582121946718,0.9147000282796576,-1.1190164526690012
3,15,5,-0.12427379862039245,0.7811502274747041,-1.0296978247154889
3,16,5,-0.07285621357288707,0.9459614002728755,-1.0916738274186497
3,17,5,-0.06254029750787404,0.9991106988467738,-1.124191293862522
3,18,5,-0.017961869344840897,0.9002704448945156,-0.9361941835841974
3,19,5,-0.11057784647965485,0.6960900104688467,-0.9172457034281564
3,20,5,-0.12056913897925192,0.6529781741301507,-0.8941164520886545
3,21,4,-0.1731043305546091,0.1410598030882934,-0.48726846419751163
3,22,3,-0.11248636201078555,0.7056346362372768,-0.9306073602588479
3,23,2,-0.04045590492701773,1.2000269241237886,-1.280938733977824
4,1,5,-0.07442953624562887,1.1516780148436205,-1.3005370873348783
4,2,5,-0.03351015130614865,1.1222742982333305,-1.1892946008456278
4,3,4,0.18605516901618635,1.086448745716794,-0.7143384076844214
4,4,5,-0.01846711249514099,0.8930172671369261,-0.9299514921272081
4,5,4,-0.20418745218771112,0.5276242974493512,-0.9359992018247734
4,6,5,0.046869331779318846,0.9923487767749505,-0.8986101132163128
4,7,5,0.07392437874427771,1.0046901771438996,-0.8568414196553441
4,8,5,0.1210742964806033,0.8657329664505209,-0.6235843734893143
4,9,5,0.13112177469076125,0.9087536587678384,-0.6465101093863159
4,10,5,0.17737366319655667,0.8646140259805576,-0.5098666995874442
4,11,4,0.3322738258893307,0.6350327798231215,0.029514871955539868
4,12,5,0.307541222946227,0.7403635197026978,-0.12528107381024378
4,13,5,0.30827095199192256,0.7455524099756967,-0.12901050599185165
4,14,4,0.3228593188296729,0.5589321619982968,0.086786475661049
4,15,5,0.17427020310931207,0.7601403490060157,-0.41159994278739154
4,16,5,0.2175134427858555,0.7086679591840779,-0.27364107361236695
4,17,5,0.29600002837309725,0.5412311250476805,0.0507689316985141
4,18,5,0.28454059625239225,0.9046269980349789,-0.3355458055301944
4,19,5,0.32821603078349093,0.7718185625605963,-0.11538650099361447
4,20,5,0.40691871379801037,0.676443741043256,0.13739368655276468
4,21,4,0.10171804501368442,0.7781390172565554,-0.5747029272291866
4,22,3,0.4281081387817268,0.889086322126756,-0.03287004456330228
5,1,5,0.12302706966692378,0.8294968078828888,-0.5834426685490413
5,2,5,0.16389191796446778,0.816700664169604,-0.4889168282406684
5,3,5,0.259891962833552,0.9727473516800712,-0.45296342601296724
5,4,5,0.3718917952343259,1.284500538802968,-0.5407169483343162
5,5,5,0.3427024764847646,1.183480852813275,-0.4980758998437457
5,6,5,0.32518901720292226,1.1180982937773671,-0.4677202593715225
5,7,5,0.29859451717937424,1.0332368105417293,-0.43604777618298074
5,8,5,0.28843232946180763,1.0012195449696828,-0.4243548860460675
5,9,5,0.25902691328496874,1.0186991304560256,-0.5006453038860881
5,10,5,0.31524325683236964,0.9267243674357127,-0.29623785377097345
5,11,5,0.45599988320841334,1.2309087952035962,-0.3189090287867695
5,12,5,0.5197835957473675,1.3552294490247128,-0.3156622575299777
5,13,5,0.5597837244160647,1.3247219267674324,-0.20515447793530284
5,14,5,0.5999999505120395,1.5869241410170534,-0.38692423999297454
5,15,5,0.5638918849724941,1.5478664028076992,-0.42008263286271086
5,16,5,0.5824864912301972,1.6161130500586116,-0.4511400675982171
5,17,4,0.18076799766799528,1.0292995688469595,-0.667763573510969
5,18,4,0.8122993384199454,1.5423298885105239,0.0822687883293668
5,19,4,0.6191280016748055,1.8134130348749462,-0.5751570315253351
5,20,5,0.7141620768645351,1.910646925968826,-0.4823227722397556
5,21,3,0.5742701701173383,1.5581770207969377,-0.4096366805622612
5,22,4,0.2513490354827348,1.3941352744741071,-0.8914372035086375
5,23,2,0.9331435047181562,1.4143726084030033,0.45191440103330915
6,1,5,0.5398918737552231,1.654733316040149,-0.5749495685297027
6,2,5,0.4629189599181337,1.6373363732091049,-0.7114984533728376
6,3,5,0.5965404121571793,1.5729553486083638,-0.37987452429400526
6,4,5,0.6097296134553145,1.7850349439200865,-0.5655757170094575
6,5,5,0.6332970998982939,1.6548094020748336,-0.3882152022782459
6,6,5,0.470486328909687,1.7442782253926845,-0.8033055675733105
6,7,5,0.44064871787829274,1.8935252310172754,-1.01222779526069
6,8,5,0.46832436487770157,1.6933446327550847,-0.7566959029996816
6,9,5,0.46097276339368964,1.8698262619667054,-0.9478807351793263
6,10,5,0.4551351635795664,1.969933652260252,-1.0596633251011192
6,11,5,0.4285403336362821,1.8759764948911393,-1.0188958276185751
6,12,5,0.34702706438820796,1.7723389474520141,-1.0782848186755984
6,13,3,0.06619389723001579,2.350108310353936,-2.2177205158939044
6,14,3,1.2706238184721224,2.007611241430761,0.5336363955134836
6,15,5,0.08177529283624341,0.6937066896353172,-0.5301561039628304
6,16,5,0.096174566723778,0.6547234100955799,-0.4623742766480239
6,17,5,0.19127441026215142,0.7646080924532042,-0.3820592719289013
6,18,5,0.24468083144009278,0.8211145104751212,-0.3317528475949356
6,19,5,0.24768963004443656,0.8448489260793592,-0.3494696659904861
6,20,5,0.24908663081331983,0.7990282452472617,-0.300854983620622
6,21,4,0.08298177211146324,0.9494379680733513,-0.783474423850425
6,22,3,0.03670338029736964,1.7133390855126707,-1.6399323249179312
7,1,5,0.16634434125941366,0.5366115818295354,-0.20392289931070806
7,2,3,0.1922416529306541,0.3995415214762309,-0.01505821561492271
7,3,4,0.36657298893392365,1.093847412364477,-0.36070143449662984
7,4,3,0.0488628234632813,1.6923339789378815,-1.594608332011319
7,5,5,0.1522674269389711,1.0045145887099394,-0.699979734831997
7,6,5,0.1847196564197947,1.2085049491549031,-0.8390656363153136
7,7,5,0.1910596131955743,1.1537675262238407,-0.771648299832692
7,8,5,0.2528477110523628,1.345359965226446,-0.8396645431217205
7,9,5,0.2771330609209164,1.267703643615917,-0.7134375217740841
7,10,5,0.27519890351836385,1.2579679611116972,-0.7075701540749694
7,11,5,0.3758865861650441,1.1498944344105388,-0.3981212620804505
7,12,5,0.4239201292684821,1.276305720610917,-0.42846546207395286
7,13,5,0.4274662484737215,1.261865376274059,-0.40693287932661604
7,14,5,0.37167569780704823,1.1044876687497158,-0.36113627313561947
7,15,5,0.281081057897532,0.8003157662705742,-0.23815365047551018
7,16,5,0.3663228697511173,0.9526233377667349,-0.21997759826450036
7,17,5,0.3334053383157811,0.8385798233905413,-0.17176914675897903
7,18,5,0.13081086600549097,0.6033566664975688,-0.34173493448658687
7,19,5,-0.005621502386845556,0.7416890079463415,-0.7529320127200326
7,20,5,0.12677317696826707,0.7913846876879568,-0.5378383337514226
7,21,5,0.2398106962006621,0.79579434576056,-0.3161729533592358
7,22,3,0.31276735519613086,0.7864589083611799,-0.16092419796891827
7,23,2,0.3629455653669729,0.7160127758005694,0.009878354933376354
8,1,5,0.36770981434511585,1.1151666887301097,-0.379747060039878
8,2,5,0.45620339644605334,1.3376977234257237,-0.425290930533617
8,3,5,0.576832193358024,1.4168948733372795,-0.2632304866212313
8,4,5,0.4514747527361713,1.4011195887304142,-0.49817008325807166
8,5,5,0.40103571470292976,1.323994784424338,-0.5219233550184785
8,6,5,0.3440665957957074,0.933463602584352,-0.24533041099293718
8,7,5,0.31929743607011174,0.938027283248969,-0.2994324111087455
8,8,5,0.3463183063535795,0.9244983845641197,-0.23186177185696066
