month,day_idx,n_years,median,upper,lower
1,1,4,0.0,0.0,0.0
1,2,5,0.0,0.08240202202573044,-0.08240202202573044
1,3,5,0.060425496149784874,0.15323998587082266,-0.03238899357125291
1,4,5,-0.029596186980463735,0.07653079632628923,-0.1357231702872167
1,5,5,0.05002553624139572,0.10960451058210352,-0.009553438099312084
1,6,4,0.0810985441576374,0.1836892269760446,-0.021492138660769794
1,7,5,0.055646533780307705,0.22675922839257157,-0.11546616083195615
1,8,5,0.052657969674391514,0.19874073751750182,-0.09342479816871879
1,9,5,0.05735428469797499,0.181292038988133,-0.06658346959218303
1,10,4,0.10617472371646292,0.3157349851674661,-0.10338553773454032
1,11,3,0.07220216833773618,0.13183256524549397,0.012571771429978396
1,12,4,0.0641738189495813,0.32929437147359086,-0.20094673357442827
1,13,4,-0.012238663934018013,0.21158108367976486,-0.23605841154780088
1,14,5,0.13918734596527638,0.21524346560478647,0.06313122632576629
1,15,5,0.15370409740781998,0.2608970341140303,0.046511160701609655
1,16,5,0.1737706050115887,0.3057550732936887,0.04178613672948872
1,17,5,0.1813138954332647,0.27030164107748245,0.09232614978904696
1,18,5,0.17439314768352443,0.24113200403647894,0.10765429133056992
1,19,5,0.2050542084434066,0.2525322594501095,0.15757615743670372
1,20,5,0.17710142806216522,0.3089443819397848,0.04525847418454565
1,21,5,0.2104173699953491,0.3391939941716104,0.08164074581908781
1,22,3,0.1772046747454048,0.22462391752194077,0.12978543196886883
2,1,5,0.1732604834083259,0.2666754963085191,0.07984547050813268
2,2,5,0.1767923175653927,0.3748503877666543,-0.021265752635868884
2,3,5,0.2019593261580035,0.4407744843460113,-0.03685583203000431
2,4,5,0.2236203543910924,0.676893329007569,-0.22965262022538424
2,5,5,0.1663744754053338,0.4601133905212178,-0.12736443971055023
2,6,5,0.20845757167263557,0.44376837457174556,-0.026853231226474428
2,7,5,0.21320251223103326,0.5028775432556744,-0.07647251879360784
2,8,5,0.19308892514064602,0.5082378046166895,-0.12205995433539746
2,9,5,0.25879284796375024,0.6873238890428486,-0.16973819311534816
2,10,5,0.25848373746697795,0.6763597262332276,-0.1593922512992717
2,11,3,0.41784695259623084,0.8133765286569511,0.02231737653551058
2,12,5,0.27694663673142395,0.6991612815252028,-0.14526800806235501
2,13,4,0.16798204123310873,0.5424222437854564,-0.20645816131923894
2,14,4,0.1420204842456903,0.3854603052858005,-0.10141933679441989
2,15,4,0.2536735302629983,0.41693921151075264,0.09040784901524401
2,16,5,0.12965454068997428,0.481468125768857,-0.22215904438890843
2,17,5,0.09901986475628832,0.5621434486409295,-0.3641037191283528
2,18,5,0.14127027736883213,0.40906883672338734,-0.12652828198572308
2,19,5,0.08677193273477513,0.47793776458617254,-0.3043938991166223
2,20,5,0.09840101420979686,0.42680410173632227,-0.23000207331672856
2,21,1,0.5042338715369128,0.5042338715369128,0.5042338715369128
3,1,5,0.045438758371866395,0.40642407758297106,-0.31554656083923827
3,2,5,-0.040200510087710195,0.5438899167631867,-0.624290936938607
3,3,5,0.027744658939321654,0.7066084752836924,-0.6511191574050491
3,4,5,-0.02632861260289876,0.7422772799887773,-0.7949345051945749
3,5,5,-0.08994359992539802,0.582942680465881,-0.7628298803166771
3,6,5,-0.06936035139375596,0.5926908598288012,-0.7314115626163131
3,7,5,-0.08478998624560241,0.37350147253386107,-0.5430814450250658
3,8,5,-0.09682162827185326,0.20533188490747922,-0.39897514145118573
3,9,5,-0.24219662567994416,0.26106269906688606,-0.7454559504267744
3,10,5,-0.22516779553379407,0.4489317737045164,-0.8992673647721046
3,11,5,-0.18040217416110105,0.3510167792189869,-0.711821127541189
3,12,5,-0.1752424298974986,0.5590006747458904,-0.9094855345408877
3,13,5,-0.1806086675275803,0.37300857197840787,-0.7342259070335685
3,14,5,-0.19752475520227142,0.3280619241324838,-0.7231114345370266
3,15,5,-0.21309989510074034,0.29234258957696246,-0.7185423797784432
3,16,5,-0.10892210305309569,0.40252327464639526,-0.6203674807525866
3,17,5,-0.09468791093084916,0.4280861118737378,-0.6174619337354361
3,18,5,-0.16554913149236317,0.2601676811834638,-0.5912659441681901
3,19,5,-0.18112427139083198,0.355737956105208,-0.7179864988868719
3,20,5,-0.2989174050142319,0.29481723455629827,-0.8926520445847621
3,21,4,-0.26361016637811024,0.08462004594284916,-0.6118403786990696
3,22,3,-0.3138255089684896,-0.08748796426396754,-0.5401630536730117
3,23,2,0.07841025978577448,0.8415884588752869,-0.6847679393037378
4,1,5,-0.2441469282144384,0.0034992731805820743,-0.49179312960945887
4,2,5,-0.20752961062937203,0.061683261874949435,-0.4767424831336935
4,3,4,0.05498013911677235,0.838645869332928,-0.7286855910993832
4,4,5,-0.3431238379607551,0.37004009618435085,-1.056287772105861
4,5,4,-0.4083870158274302,-0.04176420399505104,-0.7750098276598094
4,6,5,-0.10135142140294862,0.9382508442844822,-1.1409536870903794
4,7,5,-0.04614634955522845,0.8204157174746095,-0.9127084165850664
4,8,5,-0.0525155341751854,0.8448560650026832,-0.949887133353054
4,9,5,0.041474865393520854,0.947383391983628,-0.8644336611965863
4,10,5,0.15981365901535105,0.8955320233750745,-0.5759047053443724
4,11,4,0.34497849172503514,0.6774735404591711,0.012483442990899207
4,12,5,0.2617309805710494,0.8985246536435415,-0.37506269250144275
4,13,5,0.38176833862082793,0.8363486380120464,-0.07281196077039048
4,14,4,0.37203830168858437,0.5795670207492875,0.16450958262788126
4,15,5,0.2959873791306391,0.8194301827017869,-0.2274554244405087
4,16,5,0.3852559248467986,0.7880522869859103,-0.017540437292313138
4,17,5,0.3578458816292396,0.5998247690341104,0.11586699422436875
4,18,5,0.435558228101824,0.5079421463931477,0.3631743098105002
4,19,5,0.43890979300903576,0.7544428672541066,0.123376718763965
4,20,5,0.40370884912324345,0.8805621687721167,-0.07314447052562978
4,21,4,0.04470668266119371,0.6785704389453164,-0.589157073622929
4,22,3,0.41742001486681424,0.5448460918470788,0.28999393788654965
5,1,5,0.39422205148573675,0.872357784607829,-0.08391368163635549
5,2,5,0.46082694320186357,0.6950820509612505,0.2265718354424766
5,3,5,0.5499183801904368,0.5870981118310885,0.5127386485497851
