month,day_idx,n_years,median,upper,lower
1,1,4,0.0,0.0,0.0
1,2,5,0.021530587066332263,0.028845323080166463,0.014215851052498063
1,3,5,-0.03759944966862061,-1.9921755482654735e-05,-0.07517897758175857
1,4,5,-0.0747778754606162,0.1391011336205774,-0.2886568845418098
1,5,5,0.020533192420643,0.14786259997912315,-0.10679621513783716
1,6,4,0.022714393177126313,0.20844266780880708,-0.16301388145455445
1,7,5,0.029204436949078927,0.17433434275701265,-0.1159254688588548
1,8,5,0.08676766372855038,0.19040016330766302,-0.016864835850562254
1,9,5,0.07266790458127659,0.1778092213514928,-0.03247341218893962
1,10,4,0.0884696624867809,0.24191960439600363,-0.06498027942244183
1,11,3,0.13239370756252222,0.27257522427089237,-0.007787809145847924
1,12,4,0.07598362225734834,0.09669811399531728,0.0552691305193794
1,13,4,0.0892047594700685,0.15702501784286865,0.02138450109726836
1,14,5,0.14208242172286334,0.23634753185779056,0.04781731158793612
1,15,5,0.23838313553946056,0.3634544581602781,0.113311812918643
1,16,5,0.19795537891242831,0.35138386874812266,0.044526889076733966
1,17,5,0.2805145067222815,0.34380636310693913,0.2172226503376239
1,18,5,0.22053498432747154,0.5113910893908766,-0.07032112073593355
1,19,5,0.3036873747052782,0.49265533997569416,0.1147194094348622
1,20,5,0.35780679952087013,0.5262756092367784,0.18933798980496186
1,21,5,0.28271867893989455,0.46958181389418785,0.09585554398560125
1,22,3,0.16325401307249776,0.3194126462687193,0.007095379876276231
2,1,5,0.13203538871110843,0.5473226560338594,-0.2832518786116426
2,2,5,0.18966109081471982,0.33437423115356524,0.04494795047587441
2,3,5,0.1688628158844766,0.3902669910894894,-0.05254135932053622
2,4,5,0.18173481603411845,0.4179151978388383,-0.05444556577060139
2,5,5,0.11942366398140958,0.36720629342438565,-0.1283589654615665
2,6,5,0.14203862723835758,0.4047775241903816,-0.12070026971366643
2,7,5,0.053128760927666385,0.29076702999307263,-0.18450950813773986
2,8,5,-0.06490090768054113,0.13377556574141625,-0.2635773811024985
2,9,5,-0.036813172037847286,0.31612877348685875,-0.3897551175625533
2,10,5,-0.046995600527749204,0.3222895300109482,-0.4162807310664466
2,11,3,0.14097472924187737,0.35359065378890314,-0.0716411953051484
2,12,5,-0.06333208268293133,0.14673497403936925,-0.2733991394052319
2,13,4,-0.1148167748361757,0.13955134374159123,-0.3691848934139426
2,14,4,-0.12250638346731524,0.08818943468307744,-0.3332022016177079
2,15,4,0.04694813019070582,0.14959716213265686,-0.05570090175124523
