month,day_idx,n_years,median,upper,lower
1,1,4,0.0,0.0,0.0
1,2,5,0.0,0.11894410920132037,-0.11894410920132037
1,3,5,0.08146555021389457,0.32293325750815216,-0.16000215708036303
1,4,5,0.013142397338002043,0.3272048812098397,-0.3009200865338356
1,5,5,0.013738429944157637,0.287428452807454,-0.2599515929191387
1,6,4,0.01916099828983253,0.42109091100269674,-0.3827689144230317
1,7,5,-0.10388041872863263,0.11688662958483631,-0.32464746704210157
1,8,5,-0.09375753929258623,0.22132089247103348,-0.40883597105620595
1,9,5,-0.03422507840864286,0.46686372915444263,-0.5353138859717284
1,10,4,0.31276304166356333,0.7408621890983969,-0.11533610577127013
1,11,3,0.08074251366634755,0.6939202430605544,-0.5324352157278593
1,12,4,-0.1376596625648555,0.3675726316936895,-0.6428919568234005
1,13,4,0.060603315659917945,0.6795492981691373,-0.5583426668493014
1,14,5,0.20848387400481339,0.8427863358527794,-0.42581858784315263
1,15,5,0.17233057554591835,0.7333605903952269,-0.38869943930339024
1,16,5,0.1973970684288262,0.6998734941534588,-0.3050793572958064
1,17,5,0.181971675797179,0.7474464140194587,-0.3835030624251007
1,18,5,0.12918780120393314,0.7299934088563316,-0.4716178064484653
1,19,5,0.1352133509470823,0.6557406708470809,-0.38531396895291625
1,20,5,0.12268010450562761,0.6654948733041948,-0.42013466429293955
1,21,5,0.17811523569667487,0.5478956641408037,-0.19166519274745392
1,22,3,0.12870565424877678,0.698181347605799,-0.4407700391082454
2,1,5,0.06483497407954442,0.6351346727179119,-0.5054647245588231
2,2,5,0.13955157023237197,0.638561509887043,-0.35945836942229903
2,3,5,0.19908403111631623,0.9274154118795646,-0.5292473496469321
2,4,5,0.1810073818868687,0.7841514652573259,-0.4221367014835885
2,5,5,0.1171367017176348,0.7504648949134054,-0.5161914914781358
2,6,5,0.1417210476453863,0.8308337798739032,-0.5473916845831306
2,7,5,0.1099059684717818,0.8108727680552723,-0.5910608311117087
2,8,5,0.1300076553451186,0.7405433591680881,-0.4805280484778509
2,9,5,0.12051099486298344,0.5796223755926939,-0.3386003858667271
2,10,5,0.11641366517008644,0.6482027978364592,-0.4153754674962863
2,11,3,0.18594098031668127,1.3897809190683383,-1.017898958434976
2,12,5,0.14630052429343965,0.6372456074891701,-0.34464455890229084
2,13,4,0.316324048071991,0.9152543405315406,-0.28260624438755866
2,14,4,0.02550565628958068,0.43770163466796136,-0.3866903220888
2,15,4,0.23301289424618826,0.6876928117922347,-0.22166702329985816
2,16,5,-0.0030235009003309887,0.5848724703854415,-0.5909194721861035
2,17,5,0.0139831870744338,0.7178502124125978,-0.6898838382637302
2,18,5,0.06160202873854248,0.756312476638253,-0.633108419161168
2,19,5,0.16931201370177107,0.7727001273383124,-0.43407609993477025
2,20,5,0.10582022481629427,0.5762832366637198,-0.36464278703113123
2,21,1,0.15910777024737843,0.15910777024737843,0.15910777024737843
3,1,5,0.2407405645348485,0.9371282432415391,-0.4556471141718421
3,2,5,0.23355982198078895,0.9724011027933661,-0.5052814588317882
3,3,5,0.15910777024737843,0.8558316508939796,-0.5376161103992227
3,4,5,0.21655313400602416,0.9689355545129543,-0.535829286500906
3,5,5,0.07007642318900675,0.7243597498280214,-0.5842069034500079
3,6,5,0.16074385473791608,0.8489882240944835,-0.5275005146186513
3,7,5,0.15210903017982524,0.4878982883051888,-0.1836802279455383
3,8,5,0.13048574228940557,0.24031266038277277,0.020658824196038372
3,9,5,-0.045499682382989404,0.3736570212132077,-0.4646563859791865
3,10,5,-0.072733409230327,0.2560341768952692,-0.4015009953559232
3,11,5,0.004649598880244854,0.16150737117459402,-0.1522081734141043
3,12,5,0.04217882990753763,0.16055821194825304,-0.07620055213317778
3,13,5,-0.10185393747298555,0.19718558099974987,-0.40089345594572096
3,14,5,-0.0381930974614203,0.392112538454382,-0.4684987333772226
3,15,5,-0.21786778770564974,0.3377534165080617,-0.7734889919193612
3,16,5,-0.08260945701128997,0.23743881841456077,-0.4026577324371407
3,17,5,-0.1478523281559928,0.11626959916245622,-0.41197425547444183
3,18,5,-0.07556914279698146,0.358079021057029,-0.509217306650992
3,19,5,-0.04450337596352483,0.48635553948427745,-0.5753622914113271
3,20,5,-0.18864144801938587,0.27640821333096255,-0.6536911093697343
3,21,4,-0.3738640172200238,-0.21091716691613005,-0.5368108675239176
3,22,3,-0.025904980442545522,0.13827509668453897,-0.19008505756963
3,23,2,-0.20909753209835968,0.4565788009033904,-0.8747738651001098
4,1,5,0.025904980442543746,0.48591391319379157,-0.4341039523087041
4,2,5,0.08336084662734322,0.2400656873817566,-0.07334399412707016
4,3,4,-0.35816425616547676,0.2191666049212191,-0.9354951172521726
4,4,5,0.022999553444973286,0.22942993682920393,-0.18343082993925736
4,5,4,-0.3524534476547738,0.4188386954245078,-1.1237455907340554
4,6,5,0.11030303073709513,0.527213404915537,-0.3066073434413467
4,7,5,0.17554590188179786,0.5688193314344359,-0.21772752767084014
4,8,5,0.05328754543108627,0.5970688775127436,-0.4904937866505711
4,9,5,0.10468590738906691,0.7591820716628844,-0.5498102568847506
4,10,5,-0.031368173082882755,1.0090421282064088,-1.0717784743721743
4,11,4,0.055588733984368754,0.6749661305440549,-0.5637886625753172
4,12,5,-0.168556570982062,0.8862733116044119,-1.223386453568536
4,13,5,-0.24640984497565588,0.544509638839426,-1.037329328790738
4,14,4,-0.033996368042552016,0.6658137908563945,-0.7338065269414985
4,15,5,-0.24111886256853277,0.7413903194495641,-1.2236280445866297
4,16,5,-0.15948606828106382,0.8185663222096698,-1.1375384587717976
4,17,5,-0.035903136096464894,1.0270175270878834,-1.098823799280813
4,18,5,-0.09434379150643035,0.7431719096994706,-0.9318594927123313
4,19,5,-0.11489072751728924,0.6896354600296764,-0.9194169150642548
4,20,5,-0.04383989804406441,0.8376165641817781,-0.9252963602699069
4,21,4,-0.29356559560135465,0.7048228067505417,-1.291953997953251
4,22,3,-0.13681067653932044,0.608081948019015,-0.8817033010976559
5,1,5,-0.12131545067780891,0.6030742788090877,-0.8457051801647055
5,2,5,-0.07979333132556665,0.5474439502441892,-0.7070306128953225
5,3,5,-0.050222579211592344,0.6770466674273781,-0.7774918258505628
5,4,5,-0.1408120139416843,0.5290256720592847,-0.8106496999426533
5,5,5,0.04928434812097737,0.9807671538798782,-0.8821984576379235
5,6,5,0.03050969941152859,0.7978943284968107,-0.7368749296737536
5,7,5,0.006102083123693536,0.7502518316772386,-0.7380476654298516
5,8,5,0.04740716973280823,0.5982723493451132,-0.5034580098794967
5,9,5,-0.015488691271478672,0.4135558369460804,-0.44453321948903773
5,10,5,-0.031917046047450826,0.43936877281732795,-0.5032028649122295
5,11,5,0.0671207657398113,0.6381561287037528,-0.5039145972241302
5,12,5,-0.052569589352008284,0.5030415233783594,-0.608180702082376
5,13,5,0.12766961660368226,0.7591596175552917,-0.5038203843479272
5,14,5,0.1778929120222138,0.88074097120492,-0.5249551471604924
5,15,5,0.12720050105837477,0.9662296292192586,-0.711828627102509
5,16,5,0.22811549123380603,1.218878990701981,-0.7626480082343688
5,17,4,-0.1545595205154321,0.3228208796818871,-0.6319399207127513
5,18,4,0.1620898755951038,1.1261947102606644,-0.8020149590704568
5,19,4,-0.14389583112599175,0.9235882806971356,-1.211379942949119
5,20,5,0.1290776794465439,0.8877704300586647,-0.6296150711655769
5,21,3,0.09863948226223473,0.7896214029717457,-0.5923424384472762
5,22,4,-0.14437672500354087,0.2745162150697672,-0.563269665076849
5,23,2,0.1267864517973959,0.2909151763831999,-0.037342272788408126
6,1,5,0.10560901045626314,0.8218676565667419,-0.6106496356542156
6,2,5,0.09259248046157065,0.6692976675573677,-0.48411270663422645
6,3,5,0.2093723914519624,0.982577758726762,-0.5638329758228372
6,4,5,0.15381678784025754,0.8404350852335326,-0.5328015095530175
6,5,5,0.0634917888854778,0.9426740585096292,-0.8156904807386736
6,6,5,0.08956897956123866,0.8803503988438299,-0.7012124397213526
6,7,5,0.04232785925698557,0.7976582752217323,-0.7130025567077611
6,8,5,0.15873004888752495,0.7936701065809255,-0.4762100088058756
6,9,5,0.0914587397081752,0.9772698254874159,-0.7943523460710655
6,10,5,-0.029856710969633826,0.8957081902487077,-0.9554216121879754
6,11,5,0.0332573565559906,0.9718722612064574,-0.9053575480944762
6,12,5,0.04648510091071312,0.8596493785728331,-0.7666791767514068
6,13,3,-0.2769343985924686,2.185960508054686,-2.739829305239623
6,14,3,0.550575490180982,1.3548973628010208,-0.2537463824390569
6,15,4,-0.12808544206520855,0.4853628976610662,-0.7415337817914833
6,16,5,0.06424780827901877,0.6670083037223657,-0.5385126871643282
6,17,5,0.03930435835665147,0.48515983619577246,-0.4065511194824695
6,18,5,0.019274169481556802,0.5078474962190749,-0.4692991572559613
6,19,5,0.09599370272175511,0.653247450765292,-0.4612600453217818
6,20,6,0.3185506974609092,1.5502980760706786,-0.9131966811488603
6,21,4,0.24015012552257164,1.4326613117206577,-0.9523610606755143
6,22,3,0.6510213648111044,1.8679257364006445,-0.5658830067784356
7,1,5,0.06311406752562332,0.9717285655716908,-0.8455004305204442
7,2,3,0.08919125820138407,0.22695503040016096,-0.04857251399739282
7,3,4,0.06702991145227222,0.46777452285387777,-0.33371469994933334
7,4,3,0.4402724594438868,1.7586653736639817,-0.8781204547762081
7,5,5,0.051020063924295256,0.7707828092988205,-0.66874268145023
7,6,5,0.10430818602921232,0.9666209137983124,-0.7580045417398877
7,7,5,0.07105025279939303,1.11913403250836,-0.977033526909574
7,8,5,0.14550230453280133,1.2276478824298862,-0.9366432733642837
7,9,5,0.42176828380426024,1.198644418461044,-0.3551078508525236
7,10,5,0.5147390622995163,1.2127332835769449,-0.18325515897791234
