month,day_idx,n_years,median,upper,lower
1,1,4,0.0,0.0,0.0
1,2,5,-0.0011746568092161347,0.00517844725486627,-0.007527760873298539
1,3,5,-0.0587114066215888,0.1384075911563616,-0.2558304043995392
1,4,5,-0.06251868937990701,0.16672845321691265,-0.2917658319767267
1,5,5,0.06378337875191553,0.0829266880709385,0.04464006943289256
1,6,4,-0.03630999316262534,0.1541592113916704,-0.2267791977169211
1,7,5,0.003946729406373417,0.21056502317116282,-0.202671564358416
1,8,5,-0.029628517273609933,-0.002807550856704921,-0.056449483690514946
1,9,5,-0.03103805656208458,0.1878880522193786,-0.24996416534354776
1,10,4,-0.10842771648548033,0.11277731676741118,-0.32963274973837187
1,11,3,0.06399658351572368,0.4160773979401756,-0.28808423090872826
1,12,4,0.06053124749986638,0.33286121879032093,-0.21179872379058817
1,13,4,-0.14371675640833337,0.21214589686492857,-0.4995794096815953
1,14,5,-0.09539258627841218,0.3259644330727717,-0.516749605629596
1,15,5,0.00798053907596763,0.44676044962714795,-0.4307993714752127
1,16,5,0.03740881259442197,0.43135164539794574,-0.3565340202091018
1,17,5,0.03067511977563231,0.3923208528792104,-0.3309706133279458
1,18,5,0.09971916182321494,0.23003238890443672,-0.03059406525800684
1,19,5,0.11342428791160963,0.4011838212335543,-0.17433524541033502
1,20,5,0.10698922685257306,0.9269748986926359,-0.7129964449874898
1,21,5,-0.038291250076493366,0.4960558336553694,-0.5726383338083562
1,22,3,0.10262478927480012,0.31287879090897097,-0.10762921235937073
2,1,5,-0.08170201851203251,0.4427986525010391,-0.6062026895251041
2,2,5,-0.06623637279780636,0.5011025118689676,-0.6335752574645803
2,3,5,-0.05642342010387469,0.6929663460058735,-0.8058131862136229
2,4,5,-0.029438207074882095,0.643665832319278,-0.7025422464690422
2,5,5,-0.09418149551911947,0.6060397332263198,-0.7944027242645587
2,6,5,-0.06783622228500819,0.5820277623307902,-0.7177002069008066
2,7,5,-0.07615576512191347,0.4877316843670093,-0.6400432146108362
2,8,5,-0.10175433342751239,0.551506161049995,-0.7550148279050197
2,9,5,-0.08575518754858136,0.7742425237860933,-0.945752898883256
2,10,5,-0.10826082201340759,0.7189745009830787,-0.9354961450098939
2,11,3,0.37084609735028495,0.8873152535311369,-0.14562305883056703
2,12,5,-0.0953546099752487,0.6392068360577288,-0.8299160560082262
2,13,4,-0.3856300143927586,0.3018318960200386,-1.073091924805556
2,14,4,-0.4016136501076454,0.3078876436223805,-1.1111149438376713
2,15,4,0.02630984842974199,0.5798093892344995,-0.5271896923750157
2,16,5,-0.15551155472168798,0.7820924520994367,-1.0931155615428128
2,17,5,-0.22057481306336513,0.804911788577972,-1.2460614147047022
2,18,5,-0.20105567280913383,0.49719493404627857,-0.8993062796645462
2,19,5,-0.2778517032293848,0.3368185044879739,-0.8925219109467435
2,20,5,-0.23028100062366463,0.31956699524776266,-0.7801289964950919
2,21,1,0.8570287662043421,0.8570287662043421,0.8570287662043421
3,1,5,-0.3209428272709399,0.28560393742886536,-0.9274895919707452
3,2,5,-0.3196629476811784,0.3754932556149052,-1.014819150977262
3,3,5,-0.18729664171574179,0.4984800531114494,-0.873073336542933
3,4,5,-0.23134734994616168,0.5392253508218366,-1.0019200507141601
3,5,5,-0.26953216039247896,0.5787964945171675,-1.1178608153021254
3,6,5,-0.40979127416374905,0.4419117041296573,-1.2614942524571555
3,7,5,-0.4066980148195207,0.29853241238847716,-1.1119284420275186
3,8,5,-0.3766198679497579,0.356836531966378,-1.1100762678658938
3,9,5,-0.42461730558655064,0.33009046298387246,-1.1793250741569739
