month,day_idx,n_years,median,upper,lower
1,1,4,0.0,0.0,0.0
1,2,5,0.0,0.060248243648467315,-0.060248243648467315
1,3,5,-0.010629995676885606,0.14633701009213806,-0.16759700144590928
1,4,5,-0.018807107374809062,0.04244344164462577,-0.08005765639424389
1,5,5,0.04664429185214669,0.10088317734951363,-0.007594593645220249
1,6,4,0.04621577090541634,0.0961918926060453,-0.0037603507952126136
1,7,5,0.07849478263093634,0.15805416780398046,-0.0010646025421077732
1,8,5,0.10799489907134074,0.18515618938049,0.03083360876219149
1,9,5,0.05242464097848243,0.22153769495045333,-0.11668841299348848
1,10,4,0.10392732344823946,0.19055077173573667,0.01730387516074225
1,11,3,0.16636431143274621,0.1890851395478813,0.14364348331761112
1,12,4,0.15448264234448827,0.22138201696049947,0.08758326772847708
1,13,4,-0.021933915646883795,0.17544704914358658,-0.21931488043735417
1,14,5,0.04665789847338875,0.4623370748437956,-0.3690212778970181
1,15,5,0.05836630293996725,0.47671907390863816,-0.35998646802870365
1,16,5,0.04823084035333303,0.4882255327269365,-0.3917638520202704
1,17,5,0.07374428295355284,0.5473465760256412,-0.3998580101185355
1,18,5,0.13088694963532943,0.16777492484748874,0.09399897442317012
1,19,5,0.21534071902552598,0.3454291027642684,0.08525233528678355
1,20,5,0.14661423527066897,0.2516475883907632,0.04158088215057476
1,21,5,0.05522068582559159,0.4353336111819311,-0.3248922395307479
1,22,3,0.2889352219068634,0.39040853740327175,0.18746190641045501
2,1,5,0.09838339491733705,0.3818790196609919,-0.1851122298263178
2,2,5,0.06500684279047242,0.4495176328615305,-0.3195039472805857
2,3,5,-0.09925719226274665,0.6649435741031989,-0.8634579586286922
2,4,5,-0.1502838108176746,0.5134363831985532,-0.8140040048339025
2,5,5,0.013281079701011334,0.6498767311707631,-0.6233145717687404
2,6,5,0.08213188420385364,0.7013546817410121,-0.5370909133333048
2,7,5,0.040716503157415596,0.6785279634741558,-0.5970949571593246
2,8,5,0.09157766228678399,0.6348283531253865,-0.45167302855181857
2,9,5,0.15126658519498615,0.6912757327457818,-0.3887425623558095
2,10,5,0.11201919387951798,0.7338326906688707,-0.5097943029098347
2,11,3,0.03843017920650571,1.0273689121397607,-0.9505085537267491
2,12,5,-0.018872902749714204,0.8451452635141959,-0.8828910690136244
2,13,4,-0.04282824108736688,0.44378753529035253,-0.5294440174650863
2,14,4,0.2277065524999718,0.7061317984872733,-0.25071869348732967
2,15,4,0.17261511632054777,0.546943631343245,-0.20171339870214938
