month,day_idx,n_years,median,upper,lower
1,1,4,0.0,0.0,0.0
1,2,5,0.0,0.04200674558260503,-0.04200674558260503
1,3,5,0.0681122155368461,0.20452257323251888,-0.06829814215882668
1,4,5,0.018890490934347026,0.12178762566472279,-0.08400664379602873
1,5,5,0.05142769034941819,0.08924884486754592,0.013606535831290456
1,6,4,0.0816314050700363,0.18578976735566152,-0.022526957215588922
1,7,5,0.062091522565702606,0.13893939429176622,-0.014756349160361004
1,8,5,0.07894731662188637,0.19968599265301062,-0.041791359409237894
1,9,5,0.0684553885723097,0.1610945498553662,-0.024183772710746787
1,10,4,0.10849654734087949,0.3024434700222609,-0.08545037534050196
1,11,3,0.11575501687875844,0.1734977717153227,0.058012262042194174
1,12,4,0.11808947168192596,0.30186472965309913,-0.0656857862892472
1,13,4,0.15330369788343634,0.31238274564726026,-0.005775349880387581
1,14,5,0.18689214229571538,0.2819030977383405,0.09188118685309027
1,15,5,0.23054359089628385,0.3769883834765386,0.08409879831602907
1,16,5,0.22724709530907206,0.4034042161806344,0.05108997443750973
1,17,5,0.17244403506338313,0.5174930808375154,-0.17260501071074918
1,18,5,0.22162030842498548,0.5923957342958353,-0.14915511744586424
1,19,5,0.2828514962808252,0.6463884734086036,-0.08068548084695332
1,20,5,0.2886611718818709,0.611955062981866,-0.03463271921812411
1,21,5,0.19687973226445732,0.48632750684100756,-0.09256804231209292
1,22,3,0.2906776107945319,0.5674455917851459,0.013909629803917967
2,1,5,0.2263203624816832,0.658667157403239,-0.20602643243987268
2,2,5,0.1591488146921064,0.49447108164584713,-0.17617345226163433
2,3,5,0.05692278836937292,0.6418172283511624,-0.5279716516124165
2,4,5,0.05072145819809615,0.5879005619537345,-0.48645764555754223
2,5,5,0.18506435456332826,0.621090309358036,-0.2509616002313795
2,6,5,0.21770356350875042,0.6770098222689698,-0.24160269525146888
2,7,5,0.2053660461186202,0.7972140312774967,-0.3864819390402563
2,8,5,0.2707749491282345,0.7152841496697713,-0.1737342514133023
2,9,5,0.21417847316274674,0.6754186614965151,-0.2470617151710216
2,10,5,0.2246884020344121,0.7733628860929341,-0.32398608202410994
2,11,3,0.5787753468429013,0.7406774398137075,0.4168732538720952
2,12,5,0.22331761103860248,0.7340585171061085,-0.2874232950289035
2,13,4,0.19274964947572715,0.5087524702815884,-0.12325317133013414
2,14,4,0.18744877302145452,0.45857980253904146,-0.08368225649613242
2,15,4,0.36242399047539614,0.513381929929088,0.2114660510217042
2,16,5,0.2583720895717584,0.6670993465549606,-0.1503551674114439
2,17,5,0.29936692803865195,0.8494730962140914,-0.2507392401367875
2,18,5,0.3450618205622431,0.8776427448051501,-0.18751910368066393
2,19,5,0.25269289908948245,0.878963758084396,-0.3735779599054311
2,20,5,0.21587577577636374,0.725421941838972,-0.29367039028624453
2,21,1,0.7392501172819459,0.7392501172819459,0.7392501172819459
3,1,5,0.21600646010905533,0.8765600248888591,-0.4445471046707484
3,2,5,0.11593453392259445,0.7462097073894434,-0.5143406395442545
3,3,5,0.1684184376867316,0.7854196801711365,-0.4485828047976733
3,4,5,0.1439390309776648,0.7541578272996595,-0.4662797653443299
3,5,5,0.047392195137207715,0.7483539899101155,-0.6535695996357
3,6,5,0.1375416743073502,0.8285951795309188,-0.5535118309162184
3,7,5,0.1568640302231421,0.8645266574360104,-0.5507985969897262
3,8,5,0.1810171245283233,0.8275619388387739,-0.46552768978212733
3,9,5,0.09680800529191824,0.6735594180754245,-0.47994340749158804
3,10,5,0.09158561233229767,0.8180490391303911,-0.6348778144657957
3,11,5,0.1346042650306153,0.7416640961724755,-0.47245556611124495
3,12,5,0.1539266209464072,0.9251652470099262,-0.6173120051171118
3,13,5,0.1329723045833442,0.9101003243651411,-0.6441557151984527
3,14,5,0.1411321068196998,0.9563062236006137,-0.6740420099612141
3,15,5,0.07467852600423952,1.005496890646197,-0.8561398386377179
3,16,5,0.11789280677375114,0.9513633782543057,-0.7155777647068035
3,17,5,0.13897780746950572,1.0745177738379126,-0.796562158898901
3,18,5,0.16789609878380862,0.9784436932828323,-0.6426514957152151
3,19,5,0.0492199828695945,0.9711373439140409,-0.8726973781748519
3,20,5,0.006201529385198579,0.82147117169242,-0.8090681129220229
3,21,4,-0.20677222474951362,0.07745949507196259,-0.49100394457098984
3,22,3,0.06593124191253696,1.012072910794965,-0.880210426969891
3,23,2,0.08954827809348609,1.1886301259036536,-1.0095335697166812
4,1,5,0.12187489385633199,1.1425346635083633,-0.8987848757956992
4,2,5,0.12415967832529617,1.0611743164063638,-0.8128549597557715
4,3,4,0.09090407754295166,1.2056971953893942,-1.0238890403034908
4,4,5,0.14805160317901556,1.239699827550217,-0.9435966211921858
4,5,4,-0.22165249687969235,0.5692308385769469,-1.0125358323363316
4,6,5,0.3239116769140644,1.2335551007499108,-0.585731746921782
4,7,5,0.3721523241441592,1.2362667867405017,-0.4919621384521832
4,8,5,0.41504029250978525,1.164512882965536,-0.3344322979459654
4,9,5,0.4572100946873727,1.2765550302100244,-0.3621348408352788
4,10,5,0.5137412284865147,1.077236681513925,-0.0497542245408954
4,11,4,0.596172783403602,0.8301970674822623,0.3621484993249417
4,12,5,0.5320191058103828,1.028882334464771,0.0351558771559945
4,13,5,0.5931198085474523,0.8239251016805889,0.36231451541431575
4,14,4,0.6253603194817171,0.6931097259718948,0.5576109129915394
4,15,5,0.5201240072042281,0.6770138098667474,0.36323420454170885
4,16,5,0.5856554502478499,0.7209134535591091,0.4503974469365908
4,17,5,0.5028600334406411,0.8114660018798843,0.19425406500139797
4,18,5,0.5250765223113868,1.041137165976386,0.009015878646387532
4,19,5,0.5560727525764053,1.0238766052778354,0.08826889987497533
4,20,5,0.6102167917324443,0.9505676894428611,0.26986589402202743
4,21,4,0.23447027850676788,1.1384007891156709,-0.6694602321021352
4,22,3,0.7760578175388184,0.91838819996125,0.6337274351163869
5,1,5,0.6353597934044763,1.0190917361118408,0.25162785069711197
5,2,5,0.6066248763534638,1.0037901656587929,0.20945958704813483
5,3,5,0.5727017273063317,1.1764407070878466,-0.031037252475183186
5,4,5,0.5617932254385154,1.446958045584541,-0.3233715947075101
5,5,5,0.6303045201296458,1.3181136360357533,-0.05750459577646172
5,6,5,0.6486629731884174,1.5678286387671276,-0.270502692390293
5,7,5,0.5973126911027883,1.6891694924743397,-0.4945441102687632
5,8,5,0.6239190506706704,1.5284023905806516,-0.28056428923931065
5,9,5,0.594652095744083,1.4747321569061644,-0.2854279654179984
5,10,5,0.5909272216438126,1.4278715634147199,-0.24601712012709454
5,11,5,0.6765997319308596,1.4539847581363268,-0.10078529427460736
5,12,5,0.675801370631875,1.354703268741746,-0.00310052747799594
5,13,5,0.7665291541937518,1.2877979771702408,0.24526033121726276
5,14,5,0.8873218480003721,1.430090639704591,0.3445530562961533
5,15,5,0.8676334017478695,1.4714646494458377,0.26380215404990126
5,16,5,0.8647066859561693,1.5555705082971678,0.17384286361517087
5,17,4,0.3689539842834552,1.339697797687536,-0.6017898291206254
5,18,4,1.0286248737281283,1.577294462049262,0.4799552854069946
5,19,4,0.5299946758767506,1.6164688312437028,-0.5564794794902015
5,20,5,1.2417187523153597,1.5972689114323182,0.8861685931984012
5,21,3,1.318885509856605,1.5498727071897251,1.087898312523485
5,22,4,0.6043454491130111,1.588846968998957,-0.3801560707729348
5,23,2,1.1955318777187582,1.2471774213421811,1.1438863340953354
6,1,5,1.2188372668477478,1.6868477291361001,0.7508268045593954
6,2,5,1.2092589611640772,1.9305561305151326,0.4879617918130216
6,3,5,1.1605692744371534,2.010616127454101,0.3105224214202059
6,4,5,1.187707874871025,1.8955062960192977,0.4799094537227524
6,5,5,1.1656245477119835,1.5647629916276857,0.7664861037962813
6,6,5,1.2100571194726473,1.6367158082698183,0.7833984306754762
6,7,5,1.227883331665429,1.6179986532397899,0.837768010091068
6,8,5,1.2899667203182958,1.7832934317941622,0.7966400088424294
6,9,5,1.3989624347969416,1.8350906132824865,0.9628342563113967
6,10,5,1.4609553013078065,1.8216386405465061,1.1002719620691068
6,11,5,1.4311559025248153,1.9654065519862227,0.8969052530634078
6,12,5,1.401889150588642,2.0800157916095343,0.7237625095677497
6,13,3,0.1833634016212905,2.362819283754359,-1.9960924805117783
6,14,3,1.719126700588214,1.9465601669193195,1.4916932342571085
6,15,4,0.726931755377911,1.8446919949630054,-0.3908284842071835
6,16,5,1.3140880828184651,2.2374987820636254,0.3906773835733047
6,17,5,1.2462417847242002,1.8125800751900352,0.6799034942583653
6,18,5,1.2281496550888378,1.7909778749966239,0.6653214351810516
6,19,5,1.352134982129739,1.904845484425144,0.7994244798343343
6,20,5,1.3156843994356056,1.7087734862093478,0.9225953126618632
6,21,4,0.8305014225773641,1.8335890642422403,-0.17258621908751204
6,22,3,1.37182383436307,2.081142562546904,0.6625051061792361
7,1,5,1.4077425821720422,1.7162611084785366,1.0992240558655477
7,2,3,1.4295320096431485,1.7274428981083423,1.1316211211779548
7,3,4,0.8652919479183436,1.8636666661956276,-0.13308277035894034
7,4,3,1.2829586908417425,1.620417834496891,0.945499547186594
7,5,5,1.286683564942013,1.9559877912788337,0.6173793386051922
7,6,5,1.3428229998694774,2.043758911552659,0.6418870881862958
7,7,5,1.3470801148357372,2.057110389893831,0.6370498397776433
7,8,5,1.4316881433908049,2.181472845446133,0.6819034413354765
7,9,5,1.3859914164697518,1.9398732870115147,0.8321095459279888
7,10,5,1.4818854282885159,1.980420184081258,0.9833506724957737
7,11,5,1.419609961054674,1.9955613820264242,0.8436585400829238
7,12,5,1.2769763789064728,2.0637823234051296,0.4901704344078158
7,13,5,1.1960967219448775,1.7123148477457562,0.6798785961439988
7,14,5,1.2111106783742027,1.6279329047331013,0.7942884520153043
7,15,5,1.3617132677866683,1.4383395403057317,1.285086995267605
7,16,5,1.394412188943647,1.5925259121812614,1.1962984657060325
7,17,5,1.3504145990336727,1.547753920585467,1.1530752774818784
7,18,5,1.2265162893737598,1.541457495176459,0.9115750835710605
7,19,5,1.1440042735370497,1.6936625827464256,0.5943459643276737
7,20,5,1.0203015919483307,1.8303830062280946,0.21022017766856682
7,21,5,0.8546251346810616,1.3931685795557214,0.31608168980640183
7,22,3,1.0405918227418716,1.101220347622701,0.9799632978610422
7,23,3,1.091651253319526,1.4670746656429334,0.7162278409961184
8,1,5,0.919673132820814,1.6940834180791033,0.14526284756252472
8,2,5,0.850705167951027,1.4252433677621053,0.2761669681399489
8,3,5,0.762641943960553,1.2528318366375264,0.2724520512835795
8,4,5,0.8340215405106605,1.4386979430840219,0.22934513793729894
8,5,5,0.7309942556451163,1.120749888167084,0.3412386231231486
8,6,5,0.9621604810692164,1.6201567627503861,0.30416419938804673
8,7,5,0.906318270309595,1.514675433928283,0.29796110669090703
8,8,5,0.8923660734788125,1.3762665582651148,0.4084655886925102
8,9,5,0.8349611504586001,1.316781827951583,0.353140472965617
8,10,5,0.8688461867168541,1.3049991905393359,0.43269318289437225
8,11,5,0.8463226681987298,1.4988822272375382,0.19376310915992134
8,12,5,0.7476578807223122,1.4544269599104656,0.04088880153415875
8,13,5,0.6816822442981794,1.44790411493458,-0.0845396263382211
8,14,5,0.7259318217693079,1.4505236546975908,0.0013399888410251526
8,15,5,0.7478573976844475,1.6355162421393286,-0.1398014467704337
8,16,5,0.8947578438907511,1.4820655745672182,0.30745011321428384
8,17,5,0.898345499508659,1.5998471012401887,0.1968438977771293
8,18,5,0.955550905566736,1.4430708710906799,0.46803094004279217
8,19,5,0.9637231933298073,1.4799548136217906,0.44749157303782383
8,20,5,1.0599962103942864,1.4750567620968587,0.6449356586917141
8,21,5,1.0771376372021275,1.620936380084939,0.5333388943193161
8,22,4,1.1585478995315033,1.4771563033853599,0.8399394956776467
8,23,2,0.029494317277517723,2.2014295128502837,-2.142440878295248
9,1,3,1.0275065763041367,1.7020245071731033,0.35298864543517006
9,2,4,0.69821917034288,1.156619172889571,0.23981916779618895
9,3,4,1.0212999237840368,1.418305727608518,0.6242941199595555
9,4,4,0.7076302517748063,1.4383744207475582,-0.02311391719794542
9,5,5,0.7917097575298291,1.2300083128575043,0.35341120220215383
9,6,5,0.8753011111439178,1.3889224669428248,0.36167975534501073
9,7,5,0.9110768615023244,1.4584286702801403,0.3637250527245085
9,8,5,1.0647797512181634,1.4100073315676038,0.7195521708687228
9,9,5,1.1054416730713843,1.4379671812040464,0.7729161649387222
9,10,5,1.1090293286892923,1.468898858998541,0.7491597983800434
9,11,5,1.115067268987373,1.2830941255416013,0.9470404124331447
9,12,5,1.1136912483063832,1.3033380293941372,0.9240444672186292
9,13,5,1.0392665196851159,1.2898651082160073,0.7886679311542244
9,14,5,0.9077136724776995,1.259858880963837,0.555568463991562
9,15,5,0.9188756732556941,1.2013355417588787,0.6364158047525095
9,16,5,1.0141517137929177,1.298393844994159,0.7299095825916763
9,17,5,1.0817222693472908,1.3794175862806206,0.784026952413961
9,18,5,1.0645203001578658,1.44323012126064,0.6858104790550915
9,19,5,1.0476383244103222,1.4405740390572577,0.6547026097633867
9,20,5,0.8297785757104522,1.3251662625015197,0.3343908889193848
9,21,5,0.8021633448773029,1.3665115575062512,0.2378151322483546
9,22,3,0.745664535951223,0.8875847531772425,0.6037443187252034
10,1,5,0.9157868139390584,1.3457705138233298,0.48580311405478693
10,2,5,0.9626576620298237,1.4110864553334697,0.5142288687261778
10,3,5,0.9465876390060686,1.3361718689456807,0.5570034090664564
10,4,5,1.0156065613968768,1.4856977764243697,0.5455153463693838
10,5,5,0.9503990744914164,1.4268892544152836,0.47390889456754914
10,6,5,1.0433171183328271,1.5352411504406207,0.5513930862250336
10,7,5,1.0344578257385855,1.5585385337029707,0.5103771177742003
10,8,5,0.8297707880851772,1.6097253667634541,0.04981620940690035
10,9,5,0.9782127451554428,1.566234904041173,0.3901905862697126
10,10,5,0.9138295393323466,1.4463712594576736,0.3812878192070195
10,11,5,0.9991243978319395,1.4719688014755992,0.52627999418828
10,12,5,1.0147822803145126,1.39350041404088,0.6360641465881451
10,13,5,1.009940650661771,1.2773898482746364,0.7424914530489055
10,14,5,1.0551635653300524,1.2152677277525434,0.8950594029075614
10,15,5,1.0353849061779035,1.134961717623145,0.9358080947326618
10,16,5,0.9663662981582175,1.1894257913088995,0.7433068050075355
10,17,5,1.0302342497120558,1.2241406731729758,0.8363278262511357
10,18,5,1.0201317481061856,1.1332514014652957,0.9070120947470756
10,19,5,0.9783159549856579,1.2901364401012654,0.6664954698700505
10,20,5,1.0763401776370074,1.2901068076940596,0.8625735475799552
10,21,5,1.0918879018814511,1.3673187772583248,0.8164570265045773
10,22,3,1.2252383424311026,1.4954820422835184,0.9549946425786867
10,23,2,1.2342631046766965,1.2587714858381551,1.209754723515238
11,1,5,1.1544747913663902,1.297241209986567,1.0117083727462135
11,2,5,1.2081948854129263,1.3386273695604074,1.0777624012654452
11,3,5,1.2704805226127842,1.4037057931973198,1.1372552520282486
11,4,5,1.3106291261607754,1.6002163299617926,1.0210419223597582
11,5,5,1.3356391691115173,1.7070514381100028,0.9642269001130317
11,6,5,1.350006424646609,1.65652433991227,1.043488509380948
11,7,5,1.3428229998694774,1.7151313163709654,0.9705146833679893
11,8,5,1.4256967859825935,1.5456322927752795,1.3057612791899076
11,9,5,1.3529414312006063,1.6917775285135663,1.0141053338876462
11,10,5,1.3624011469026085,1.7776396247152688,0.9471626690899482
11,11,5,1.2208463327657872,1.8049023257013936,0.6367903398301809
11,12,5,1.2481940548715476,1.8151738228768621,0.681214286866233
11,13,5,1.293601687547774,1.8228016461877297,0.7644017289078184
11,14,5,1.2653939197102562,1.9298942209015433,0.6008936185189692
11,15,5,1.3266256589933103,2.0597007774955793,0.5935505404910413
11,16,5,1.3011696700686632,1.8010578750419706,0.801281465095356
11,17,4,1.1327745669557228,1.6887148916166221,0.5768342422948234
11,18,4,1.4354901613875741,1.8385445132890696,1.0324358094860786
11,19,3,1.1916066150298044,1.8374813554834573,0.5457318745761515
11,20,4,1.35236691671941,1.7259071008979499,0.9788267325408699
11,21,4,1.4475827644392245,1.8875218111276948,1.0076437177507542
11,22,3,1.590794059932108,1.7770565207515534,1.4045315991126626
12,1,5,1.3570692307944663,1.7335980404623594,0.9805404211265731
12,2,5,1.366529208945578,1.6449092600607362,1.0881491578304199
12,3,5,1.4389407553941493,1.740864372835249,1.1370171379530496
