month,day_idx,n_years,median,upper,lower
1,1,4,0.0,0.0,0.0
1,2,5,0.0,0.055410450586421134,-0.055410450586421134
1,3,5,-0.04092268312695535,0.054630302220392946,-0.13647566847430365
1,4,5,-0.043792464253838204,-0.015676846902425212,-0.0719080816052512
1,5,5,-0.020023984472059997,0.1866698514369819,-0.2267178203811019
1,6,4,-0.01607547946845911,0.06421407269388993,-0.09636503163080815
1,7,5,-0.006629994842893505,0.07649733556807803,-0.08975732525386504
1,8,5,0.020124178585640196,0.11458407489625094,-0.07433571772497055
1,9,5,-0.054597259357236694,0.07340499311077797,-0.18259951182525136
1,10,4,-0.03937154819599481,0.0617960332068114,-0.14053912959880102
1,11,3,0.04077216525287908,0.044824316899837235,0.03672001360592092
1,12,4,0.03307915158062913,0.07927454741620915,-0.013116244254950893
1,13,4,-0.04476359421894155,0.13548176808401868,-0.22500895652190178
1,14,5,0.032821103467690294,0.24372909396535541,-0.17808688702997483
1,15,5,0.058296253495616956,0.25021977644665283,-0.13362726945541892
1,16,5,0.062246908690615,0.26025680571420534,-0.13576298833297534
1,17,5,0.09539523655499516,0.30066451661323146,-0.10987404350324115
1,18,5,-0.15763165692637582,0.24157368142971386,-0.5568369952824654
1,19,5,-0.15284868838157095,0.304386451735276,-0.6100838284984179
1,20,5,-0.17952788905329498,0.27936157981529786,-0.6384173579218878
1,21,5,-0.12239381715808129,0.20257382976239863,-0.4473614640785612
1,22,3,0.10624747328998374,0.1425081708703343,0.06998677570963319
2,1,5,-0.10686965333746512,0.2904384761840234,-0.5041777828589536
2,2,5,-0.07162143968512902,0.30011522463310997,-0.443358104003368
2,3,5,0.00015002453776646885,0.3260194952863205,-0.3257194462107876
2,4,5,-0.0046497307540169786,0.2861379337208706,-0.29543739522890455
2,5,5,-0.053322336874205845,0.33483951415466245,-0.44148418790307414
2,6,5,0.02294883356494093,0.23230854292449837,-0.18641087579461652
2,7,5,0.02294883356494093,0.22068300954364584,-0.17478534241376398
2,8,5,0.0327734381727538,0.184634377054256,-0.1190875007087484
2,9,5,0.02864862164812909,0.3294478519049451,-0.2721506086086869
2,10,5,0.0079495839737177,0.36165139896405973,-0.34575223101662433
2,11,3,0.1826729233737625,0.28018233356925326,0.08516351317827175
2,12,5,-0.025873682657821195,0.25080590167236927,-0.30255326698801166
2,13,4,-0.08717618173070635,0.1317321064512273,-0.30608446991264
2,14,4,-0.09208735522584865,0.16250846504462163,-0.34668317549631894
2,15,4,-0.0026702123220855856,0.18758560715129705,-0.19292603179546822
2,16,5,-0.1803659992214971,0.20487169286863433,-0.5656036913116285
2,17,5,-0.22078897229243588,0.2636497241888134,-0.7052276687736851
2,18,5,-0.14279280575695963,0.19407139582458,-0.47965700733849925
2,19,5,-0.2563371205851115,0.28578350595715196,-0.7984577471273749
2,20,5,-0.2441128099841957,0.323357554261977,-0.8115831742303684
2,21,1,0.29650092836332953,0.29650092836332953,0.29650092836332953
3,1,5,-0.3061223132700047,0.3556996042757863,-0.9679442308157957
3,2,5,-0.33373330340471585,0.11973126621724406,-0.7871978730266758
3,3,5,-0.30298479596863104,0.28494619732930604,-0.8909157892665681
3,4,5,-0.15784444955882015,0.4338279701883706,-0.7495168693060109
3,5,5,-0.18218520192674648,0.45335504201751786,-0.8177254458710108
3,6,5,-0.01987664839277503,0.4717056448817696,-0.5114589416673196
3,7,5,-0.05357151835490537,0.3757546044010785,-0.48289764111088923
3,8,5,-0.0643068417859205,0.342252612538572,-0.470866296110413
3,9,5,-0.12383071502703613,0.3803039576406486,-0.6279653876947209
3,10,5,-0.2706206522061746,0.498741676508348,-1.0399829809206973
3,11,5,-0.2412838142819862,0.26497174483904884,-0.7475393734030212
3,12,5,-0.2796555808517127,-0.0076454659953022475,-0.5516656957081232
3,13,5,-0.2730612518374713,0.06359428654463817,-0.6097167902195808
3,14,5,-0.29528059352276737,-0.08718849737911538,-0.5033726896664193
3,15,5,-0.3023848122527596,0.007264712735485179,-0.6120343372410044
3,16,5,-0.2669003493075399,-0.027680568762745494,-0.5061201298523343
3,17,5,-0.3117558035865613,0.007338406878090065,-0.6308500140512127
3,18,5,-0.3026001643408005,-0.1635426725125329,-0.4416576561690681
3,19,5,-0.28258544501248184,-0.03160998515588087,-0.5335609048690828
3,20,5,-0.24969256504948056,0.12417422398065353,-0.6235593540796147
3,21,4,-0.3316655776497736,-0.033929617051788374,-0.6294015382477589
3,22,3,-0.26437528279321776,-0.05331727889251947,-0.47543328669391605
3,23,2,0.010398350849571802,0.43990798921612045,-0.41911128751697685
4,1,5,-0.2980886151127198,-0.031332349613094224,-0.5648448806123454
4,2,5,-0.23353290789968573,0.08989651689844119,-0.5569623326978126
4,3,4,-0.0745305084987013,0.5153660922808976,-0.6644271092783001
4,4,5,-0.35278488302973887,0.08200209299403488,-0.7875718590535126
4,5,4,-0.31973513857145786,0.00927602288702617,-0.6487463000299418
4,6,5,0.0319941507976399,0.5023800071089978,-0.438391705513718
4,7,5,0.07748733421596854,0.47545704235173103,-0.32048237391979395
4,8,5,0.2130340637466841,0.3834725129972717,0.0425956144960965
4,9,5,0.23844185626498726,0.4950079855688367,-0.01812427303886216
4,10,5,0.22260410045267043,0.423553376219274,0.02165482468606683
4,11,4,0.27975788299852916,0.4844635587009122,0.07505220729614615
4,12,5,0.26566920135717664,0.6779116543251605,-0.14657325161080725
4,13,5,0.27188331562418244,0.8034718033006224,-0.2597051720522575
4,14,4,0.2536633439097051,0.48880993327272765,0.0185167545466825
4,15,5,0.16448078536088384,0.7874984027413373,-0.45853683201956963
4,16,5,0.19170355722579613,1.1004173112947462,-0.7170101968431538
4,17,5,0.22579062315179144,1.0401660072486134,-0.5885847609450306
4,18,5,0.2113155474372329,1.0213517213789003,-0.5987206265044346
4,19,5,0.2187963444411094,0.993256013967307,-0.5556633250850882
4,20,5,0.24605749683297562,0.7094009460817358,-0.21728595241578452
4,21,4,0.021499263733067375,0.7120613625868082,-0.6690628351206733
4,22,3,0.29619764337892285,0.9649432095589426,-0.37254792280109694
5,1,5,0.2170656063049623,0.9324569458532022,-0.49832573324327756
5,2,5,0.19834215686715573,0.8146644010326684,-0.4179800872983569
5,3,5,0.20124007231934116,0.854757525669576,-0.45227738103089365
5,4,5,0.1909960748825258,0.8362347324382828,-0.45424258267323125
5,5,5,0.25825589040778896,0.9062674817332197,-0.3897557009176418
5,6,5,0.25468388567990885,0.9090584925268451,-0.3996907211670274
5,7,5,0.21913338907895652,0.8153450754246333,-0.37707829726672026
5,8,5,0.24528237129284614,0.73020000638254,-0.2396352637968478
5,9,5,0.2499999678637833,0.6200501398299081,-0.1200502041023414
