month,day_idx,n_years,median,upper,lower
1,1,4,0.0,0.0,0.0
1,2,5,0.0,0.03911976563396258,-0.03911976563396258
1,3,5,0.02093982471923206,0.08977454537046192,-0.047894895931997805
1,4,5,0.06521741079393206,0.14715514486356396,-0.016720323275699833
1,5,5,-0.025006713014032567,0.11091321540053017,-0.1609266414285953
1,6,4,0.001417042287702952,0.10924441086728262,-0.10641032629187672
1,7,5,-0.11359414263901513,0.12146754181615954,-0.3486558270941898
1,8,5,-0.07182752496094469,0.19482970118372056,-0.33848475110560994
1,9,5,-0.10348494224778293,0.06582468615523146,-0.2727945706507973
1,10,4,-0.2907253930649782,-0.06524029627918984,-0.5162104898507666
1,11,3,-0.15270031623725355,0.17781643815470316,-0.48321707062921027
1,12,4,-0.07317253369869847,0.15189819192269782,-0.29824325932009477
1,13,4,-0.22751307273303117,0.21278467990001199,-0.6678108253660744
1,14,5,-0.18169728944425978,0.12135107722354133,-0.4847456561120609
1,15,5,-0.272412993147753,-0.10390529231099666,-0.4409206939845094
1,16,5,-0.2333068195495146,-0.11089384524150614,-0.35571979385752306
1,17,5,-0.24314973197669898,-0.04105900340241375,-0.4452404605509842
1,18,5,-0.06757138273069774,0.0663830391664581,-0.20152580462785358
1,19,5,-0.1231711730289261,0.15744602679778935,-0.40378837285564156
1,20,5,-0.11119998652323104,0.23009971599053103,-0.4524996890369931
1,21,5,-0.10082490409472533,0.15301837421690778,-0.35466818240635845
1,22,3,0.1186483369078577,0.22062610058015064,0.016670573235564756
2,1,5,0.07352263504805912,0.39021377501205284,-0.2431685049159346
2,2,5,0.14890628805377004,0.4664998214104667,-0.16868724530292661
2,3,5,0.24709149377755413,0.5757199472322057,-0.0815369596770974
2,4,5,0.2433687478210611,0.7016643705504639,-0.21492687490834173
2,5,5,0.2968875361604638,0.7800395214011837,-0.18626444908025608
2,6,5,0.2899705439236119,0.7700505106433616,-0.19010942279613785
2,7,5,0.32960888752317086,0.7068333297610587,-0.04761555471471707
2,8,5,0.3392278586080779,0.6402882409694907,0.038167476246665166
2,9,5,0.30665400899906214,0.6700217399614634,-0.056713721963339125
2,10,5,0.3527221914143239,0.7160588492828536,-0.010614466454205718
2,11,3,0.4346204723336001,0.8077501787491319,0.06149076591806829
2,12,5,0.44719329035515964,0.8564765522381261,0.03791002847219316
2,13,4,0.21359460054183488,0.5838396902921493,-0.15665048920847957
2,14,4,0.4855079275856617,0.671877332445485,0.2991385227258384
2,15,4,0.2355366464764071,0.8021623977501051,-0.331089104797291
2,16,5,0.47184722185733996,0.7989169785679486,0.14477746514673134
2,17,5,0.5276869911223551,0.8529039574989277,0.2024700247457824
2,18,5,0.45835288905109384,0.9315808614588641,-0.014875083356676422
2,19,5,0.6570493954354293,0.8432355378421643,0.4708632530286942
2,20,5,0.5746860375370375,0.8934228716917354,0.2559492033823396
2,21,1,0.6613689943780628,0.6613689943780628,0.6613689943780628
3,1,5,0.5709632915805446,0.9930494757021895,0.14887710745889965
3,2,5,0.6584460464551549,0.8008643301846556,0.5160277627256542
3,3,5,0.6975338139365465,0.9321583706399739,0.4629092572331191
3,4,5,0.7045135188292273,0.9460311037860536,0.46299593387240107
3,5,5,0.6528615724998208,1.064231111859628,0.24149203314001366
3,6,5,0.5458349338845147,1.2123178599718818,-0.1206479922028526
3,7,5,0.6244762558676029,1.050490934007987,0.19846157772721873
3,8,5,0.6398323166726902,0.9817594870922981,0.2979051462530824
3,9,5,0.6347136297376611,0.9639678946854882,0.305459364789834
3,10,5,0.7761751359196347,0.9187577148267583,0.6335925570125112
3,11,5,0.7359411933504264,1.0601356027654163,0.41174678393543657
3,12,5,0.7607985930078809,1.0595727562748412,0.4620244297409205
3,13,5,0.8084757782277482,1.213025413330301,0.40392614312519554
3,14,5,0.6703339989622282,1.3246742779113871,0.0159937200130692
3,15,5,0.7204560723791368,1.3589435729554782,0.08196857180279549
3,16,5,0.7591682530148387,1.3367948906393656,0.18154161539031188
3,17,5,0.582601531927055,1.3140966831424952,-0.14889361928838518
3,18,5,0.5815375978511861,1.4444564864932141,-0.28138129079084195
3,19,5,0.6193135494095086,1.4988586072725543,-0.26023150845353715
3,20,5,0.6876825782520266,1.509345979267426,-0.13398082276337286
3,21,4,0.27143413185300136,1.2256541529122935,-0.6827858892062908
3,22,3,-0.26204498203820425,-0.13812779130278308,-0.38596217277362543
3,23,2,0.5325607568279969,1.5966788318497889,-0.5315573181937951
4,1,5,0.7137536312687011,1.545867777579502,-0.11836051504209977
4,2,5,0.685022540098969,1.5050918794092158,-0.1350467992112777
4,3,4,0.6520555700648943,1.186665981401326,0.11744515872846273
4,4,5,0.200053298185487,0.5732826246678401,-0.17317602829686607
4,5,4,0.3019893288271098,1.1147904971737481,-0.5108118395195284
4,6,5,-0.06463018962312961,0.6134647140219406,-0.7427250932681998
4,7,5,0.010640964465779112,0.6254858552008545,-0.6042039262692963
4,8,5,-0.0011753388624764494,0.563545561330743,-0.5658962390556959
4,9,5,0.018213718024462366,0.46155308359010105,-0.4251256475411763
4,10,5,-0.009044860388589537,0.15488865044502026,-0.17297837122219933
4,11,4,-0.07036870414919771,0.039050846794054156,-0.17978825509244958
4,12,5,-0.16392525526190505,0.248220932058706,-0.5760714425825161
4,13,5,-0.06874253086048965,0.3051532037254204,-0.44263826544639967
4,14,4,0.07981304117759619,0.787582888199784,-0.6279568058445915
4,15,5,0.0017625600332789038,0.4019302170514532,-0.3984050969848954
4,16,5,0.09988228680957811,0.4755637802620596,-0.27579920664290336
4,17,5,0.1480604219206525,0.5201009381402353,-0.22398009429893034
4,18,5,0.02474042504998486,0.4754045692491494,-0.4259237191491797
4,19,5,0.17611051924732102,1.4615020651967523,-1.10928102670211
4,20,5,-0.008150456380166426,0.971986397745666,-0.9882873105059988
4,21,4,0.2217879760376667,0.5697856798331138,-0.12620972775778044
4,22,3,0.11491409780858552,0.567443270702152,-0.33761507508498095
5,1,5,0.07742436127140395,0.8302962255419404,-0.6754475029991325
5,2,5,0.04034189883622197,0.9695920317324256,-0.8889082340599817
5,3,5,0.16177611303193185,1.0477760222872454,-0.7242237962233817
5,4,5,0.11858143010414712,1.1105550427003337,-0.8733921824920393
5,5,5,0.11124676551302393,1.159592941942484,-0.937099410916436
5,6,5,0.025671947861453437,1.0718548989868113,-1.0205110032639042
5,7,5,0.023634333766411775,1.1517468564657887,-1.1044781889329651
5,8,5,0.03789701063918094,1.032925851870678,-0.9571318305923161
5,9,5,0.0594943521030733,1.0589268120115807,-0.939938107805434
5,10,5,-0.05320563418244417,0.6778910439799827,-0.784302312344871
5,11,5,0.05959005049120192,0.9765009687316629,-0.8573208677492591
5,12,5,0.12184095098900949,1.1749914265600454,-0.9313095245820264
