month,day_idx,n_years,median,upper,lower
1,1,4,0.0,0.0,0.0
1,2,5,0.041484833454728975,0.10371208363682244,-0.020742416727364488
1,3,5,0.04181700618024964,0.12193422362287243,-0.03830021126237315
1,4,5,0.04637678274960155,0.1143662210565316,-0.021612655557328497
1,5,5,0.06666692097981775,0.12059644819473275,0.012737393764902738
1,6,4,0.07753365468127277,0.18846007235572937,-0.03339276299318383
1,7,5,0.11333338419596362,0.20861698020619124,0.018049788185735993
1,8,5,0.22052407111495353,0.3328530098001505,0.10819513242975659
1,9,5,0.17248886928789675,0.22574254032181207,0.11923519825398143
1,10,4,0.2595251236210802,0.38210286255254966,0.13694738468961076
1,11,3,0.19333267211914307,0.32327403903509644,0.0633913052031897
1,12,4,0.33458399564317187,0.4603903209907573,0.20877767029558644
1,13,4,0.2756887326976175,0.3579638141779905,0.19341365121724455
1,14,5,0.33175397006547036,0.3774201269907327,0.28608781314020804
1,15,5,0.43127961871100395,0.5060994941468882,0.35645974327511976
1,16,5,0.42898551686124353,0.5255070126875423,0.3324640210349447
1,17,5,0.37440807775836915,0.5084493609294164,0.2403667945873219
1,18,5,0.35071084906406713,0.4095817339611885,0.29183996416694574
1,19,5,0.37991262010986826,0.4454336232316097,0.31439161698812684
1,20,5,0.4017467648992874,0.5087148392912804,0.29477869050729444
1,21,5,0.34751262191836674,0.46161505357387644,0.23341019026285703
1,22,3,0.3072468767846843,0.32025041712153957,0.2942433364478291
2,1,5,0.3826087341116462,0.5986946411228914,0.166522827100401
2,2,5,0.3466669718424479,0.4362420674505045,0.2570918762343913
2,3,5,0.31884134889951454,0.46057825743500497,0.17710444036402412
2,4,5,0.27246346044019387,0.6037680408980672,-0.05884112001767944
2,5,5,0.2956524046698541,0.6545751829499197,-0.06327037361021148
2,6,5,0.4868994714811812,0.7781713514555334,0.19562759150682896
2,7,5,0.5349342568565645,0.9242137976210025,0.14565471609212644
2,8,5,0.3942032062264722,0.5627236371065004,0.225682775346444
2,9,5,0.4695650635534301,0.8235159110851396,0.11561421602172062
2,10,5,0.4115949143987174,0.7374337247029842,0.08575610409445067
2,11,3,0.5502184497253293,0.8848906225494484,0.21554627690121025
2,12,5,0.5349342568565645,0.9925331004535503,0.07733541325957877
2,13,4,0.43559905845640273,0.6932841885317176,0.17791392838108788
2,14,4,0.6092337973244109,0.7486441046699136,0.4698234899789081
2,15,4,0.38676360155224476,0.7353142705819977,0.03821293252249175
2,16,5,0.4057976783413024,0.7763587441019844,0.0352366125806205
2,17,5,0.3662582712516742,0.8268710932559954,-0.09435455075264698
2,18,5,0.36914198458334146,0.9289660192261321,-0.19068205005944916
2,19,5,0.3677002654336422,0.8150579309952874,-0.0796574001280031
2,20,5,0.416726692459193,0.9805010275374462,-0.14704764261906011
2,21,1,0.846666971842448,0.846666971842448,0.846666971842448
3,1,5,0.5580390969370485,1.3225086625925155,-0.20643046871841852
3,2,5,0.6128335006904688,1.4973003353816814,-0.27163333400074374
3,3,5,0.6661861852941899,1.459303641400847,-0.12693127081246713
3,4,5,0.7555876243180235,1.6970255761770123,-0.1858503275409652
3,5,5,0.9718818010323066,2.045718380380084,-0.10195477831547073
3,6,5,0.8594090051615311,2.2528694448081414,-0.5340514344850793
3,7,5,0.912761414732985,1.4759336103669765,0.34958921909899365
3,8,5,0.9533335367838542,1.2918920880984088,0.6147749854692998
3,9,5,1.1564529308401115,1.3278870035016135,0.9850188581786095
3,10,5,1.074235842413021,1.3328810106782518,0.8155906741477901
3,11,5,0.9344975656317426,1.492750301656785,0.37624482960670036
3,12,5,0.8973800608769056,1.8013099695615473,-0.006549847807736042
3,13,5,1.161572005119024,1.669213997440488,0.6539300127975598
3,14,5,1.1867339835646222,1.4866329319237437,0.8868350352055007
3,15,5,1.2472963640459118,1.5510241433890501,0.9435685847027735
3,16,5,1.0007211346071188,1.6186348762986833,0.3828073929155542
3,17,5,1.0915645678129198,1.848322384558445,0.3348067510673943
3,18,5,1.059841520906441,1.7659308811368088,0.35375216067607307
3,19,5,1.1391492756887702,1.7885036292502274,0.4897949221273131
3,20,5,1.2641919442421177,1.5779031123515976,0.9504807761326377
3,21,4,0.8669168189371115,1.556265014422455,0.17756862345176794
3,22,3,1.3237204054965757,1.3818078786047137,1.2656329323884377
3,23,2,0.48815696691540517,1.547406037658274,-0.5710921038274637
4,1,5,1.1855896060325515,1.777204128868486,0.5939750831966168
4,2,5,1.3013098654486295,1.9293449909817397,0.6732747399155192
