Date,Open,High,Low,Close,Volume
2025-10-28,10900,10900,10390,10520,4206424
2025-10-29,10650,10725,10200,10565,2732517
2025-10-30,11340,12440,10550,10700,3288853
2025-10-31,10495,10797,10395,10660,1338834
2025-11-03,10775,11020,10610,10705,1662648
2025-11-04,10705,10705,10270,10315,1628666
2025-11-05,10200,10200,9445,9680,1559438
2025-11-06,9910,10000,9420,9430,1241419
2025-11-07,9145,9765,8980,9445,898134
2025-11-10,9565,9685,9375,9635,1171405
2025-11-11,9775,9865,9360,9425,817812
2025-11-12,9470,9650,9415,9485,542852
2025-11-13,9465,9760,9295,9745,640084
2025-11-14,9530,9905,9490,9750,1190739
2025-11-17,9890,9895,9630,9850,637343
2025-11-18,9760,10005,9597,9675,811158
2025-11-19,9695,9695,9150,9415,693240
2025-11-20,9540,9755,9490,9660,500171
2025-11-21,9400,9435,9230,9285,655404
2025-11-24,9375,9375,9005,9280,579095
2025-11-25,9450,9520,9050,9115,835916
2025-11-26,9180,9310,9040,9275,679289
2025-11-27,9305,9375,9140,9155,783673
2025-11-28,9190,9210,8840,8915,1078671
2025-12-01,8915,8950,8605,8725,666008
2025-12-02,8750,8925,8750,8865,610091
2025-12-03,8940,9040,8915,9015,652787
2025-12-04,9040,9055,8840,8905,557645
2025-12-05,8905,9115,8855,9100,723126
2025-12-08,9210,9300,9025,9295,715383
2025-12-09,9285,9720,9265,9650,1125091
2025-12-10,9575,9675,9475,9515,623256
2025-12-11,9580,9620,9330,9475,590186
2025-12-12,9495,9585,9440,9585,503986
2025-12-15,9380,9455,9350,9365,424728
2025-12-16,9300,9330,8980,9035,669980
2025-12-17,9080,9080,8822,8925,734533
2025-12-18,8770,8775,8630,8640,542978
2025-12-19,8720,9030,8705,9030,576918
2025-12-22,9195,9200,9000,9010,669891
2025-12-23,9280,9510,9135,9450,1165139
2025-12-24,9660,9672,9160,9215,912501
2025-12-26,9255,9255,8940,9000,822698
2025-12-29,8940,9080,8940,9060,496603
2025-12-30,9020,9020,8900,8930,539349
2026-01-02,8930,8930,8755,8850,872296
2026-01-05,8760,9010,8750,8940,885392
2026-01-06,9005,9285,8935,9265,963040
2026-01-07,9280,9610,9220,9390,1217994
2026-01-08,9445,9900,9445,9780,1339925
2026-01-09,9835,10320,9770,10320,1361889
2026-01-12,10320,10650,10185,10605,1869590
2026-01-13,10605,10895,10565,10895,1474155
2026-01-14,10820,10820,10345,10435,1773160
2026-01-15,10520,10850,10475,10775,1449437
2026-01-16,10900,10900,10505,10695,1192433
2026-01-19,10850,11010,10750,11005,1063738
2026-01-20,10880,10990,10650,10875,1107644
2026-01-21,10520,10665,10470,10635,1149399
2026-01-22,10735,10735,10320,10385,1404717
2026-01-23,10445,10865,10445,10585,849084
2026-01-26,10585,10625,10365,10440,1141328
2026-01-27,10615,10640,10220,10465,1213656
2026-01-28,10500,10635,10340,10500,1100409
2026-01-29,10465,10465,10170,10435,979948
2026-01-30,10435,10490,10195,10235,1064729
2026-02-02,10135,10315,9660,9780,1311916
2026-02-03,10095,10250,9895,10250,814132
2026-02-04,10380,10470,10255,10440,1009576
2026-02-05,10300,10470,9920,9960,938066
2026-02-06,9605,9700,9300,9655,884073
2026-02-09,9975,9975,9580,9725,708295
2026-02-10,9860,9930,9555,9645,843309
2026-02-11,9660,9740,9550,9675,443038
2026-02-12,9725,9810,9640,9740,612192
2026-02-13,9675,9820,9565,9715,567448
2026-02-19,10020,10330,10015,10255,1169363
2026-02-20,10350,10795,10240,10770,2051806
2026-02-23,10800,10895,10565,10815,1645338
2026-02-24,10685,10685,10390,10615,1141911
2026-02-25,10675,10745,10530,10670,970114
2026-02-26,10670,10670,10430,10525,1062766
2026-02-27,10635,10775,10540,10600,1266550
2026-03-03,10665,11120,10235,10260,2774927
2026-03-04,9870,9870,8605,8705,3029587
2026-03-05,9525,9765,9405,9665,1457869
2026-03-06,9405,9785,9330,9725,1489431
2026-03-09,9360,10100,9175,9835,2565311
2026-03-10,9950,10085,9580,9810,1181464
2026-03-11,10025,10560,10025,10170,2573506
2026-03-12,10085,10630,10085,10485,1774042
2026-03-13,10420,10470,10250,10360,1379030
2026-03-16,10300,10420,10035,10115,975525
2026-03-17,10165,10300,10095,10190,1663444
2026-03-18,10250,10355,10110,10270,1400159
2026-03-19,10095,10150,9980,10010,1134971
2026-03-20,10020,10175,9865,9940,1863238
2026-03-23,9605,9610,9080,9100,2147627
2026-03-24,9445,9490,8990,9300,2829166
2026-03-25,9460,9475,9220,9405,2593098
2026-03-26,9585,9690,9300,9320,2832046
2026-03-27,9050,9150,8775,9090,1982140
