Date,Open,High,Low,Close,Volume
2014-03-03,15205,15423,15205,15428,12616
2014-03-04,15274,15299,15141,15149,1709
2014-03-05,15154,15209,15022,15124,1436
2014-03-06,15032,15136,15032,15139,3554
2014-03-07,15269,15269,15131,15202,130
2014-03-10,15194,15194,15037,15124,1375
2014-03-11,15117,15281,15117,15285,3218
2014-03-12,15066,15066,14629,14633,2065
2014-03-13,14574,14750,14525,14745,359
2014-03-14,14692,14702,14624,14628,112
2014-03-17,14642,14642,14521,14578,849
2014-03-18,14589,14792,14589,14794,1679
2014-03-19,14785,14785,14618,14696,366
2014-03-20,14488,14488,14431,14475,228
2014-03-21,14468,14498,14416,14423,409
2014-03-24,14464,14464,14095,14207,1168
2014-03-25,14118,14118,13970,14075,4709
2014-03-26,14139,14554,14139,14558,1435
2014-03-27,14473,14473,14269,14399,378
2014-03-28,14361,14421,14323,14428,32
2014-03-31,14420,14420,14155,14226,356
2014-04-01,14323,14421,14269,14428,54777
2014-04-02,14465,14567,14465,14543,768
2014-04-03,14544,14981,14544,14676,2064
2014-04-04,14785,14804,14717,14755,989
2014-04-07,14612,14882,14612,14888,1826
2014-04-08,14752,14833,14688,14765,11639
2014-04-09,14780,14795,14752,14755,1548
2014-04-10,14849,14930,14849,14868,510
2014-04-11,14652,14932,14652,14936,423
2014-04-14,14913,15065,14913,15035,653
2014-04-15,15073,15092,14962,14971,301
2014-04-16,14935,14990,14907,14927,1545
2014-04-17,15050,15050,14987,14990,633
2014-04-18,15032,15206,15032,15207,971
2014-04-21,15249,15249,15141,15222,342
2014-04-22,15144,15144,14922,14946,938
2014-04-23,14960,14960,14781,14833,746
2014-04-24,14720,14745,14608,14716,611
2014-04-25,14823,14823,14668,14716,96
2014-04-28,14736,14815,14736,14818,849
2014-04-29,14854,14921,14835,14907,131
2014-04-30,14963,15031,14923,14971,8324
2014-05-02,14966,14981,14933,14936,34977
2014-05-07,14917,14917,14683,14740,24008
2014-05-08,14677,14677,14476,14628,596
2014-05-09,14603,14668,14603,14671,336
2014-05-12,14668,14725,14658,14671,191
2014-05-13,14683,14752,14683,14755,1243
2014-05-14,14747,14777,14683,14780,191
2014-05-15,14840,14883,14791,14888,249
2014-05-16,14991,14991,14835,14868,63
2014-05-19,14862,14862,14653,14686,3754
2014-05-20,14585,14590,14535,14593,118
2014-05-21,14536,14634,14536,14638,70
2014-05-22,14627,14627,14506,14608,1045
2014-05-23,14609,14653,14609,14653,131
2014-05-26,14599,14716,14599,14623,203
2014-05-27,14539,14544,14431,14548,1074
2014-05-28,14531,14607,14476,14598,1699
2014-05-29,14616,14616,14470,14543,378
2014-05-30,14341,14698,14341,14701,223
2014-06-02,14606,14606,14381,14495,31643
2014-06-03,14302,14302,14115,14176,3707
2014-06-05,14070,14085,13646,13709,2315
2014-06-09,13581,13821,13581,13827,1610
2014-06-10,13851,13975,13841,13980,728
2014-06-11,13973,13973,13836,13936,1559
2014-06-12,13979,14046,13969,14054,520
2014-06-13,14046,14115,14041,14118,524
2014-06-16,14105,14105,14026,14113,176
2014-06-17,14070,14070,13995,14015,70
2014-06-18,14004,14011,13999,14005,400
2014-06-19,14104,14104,13951,13955,334
2014-06-20,13949,13949,13797,13857,628
2014-06-23,13779,13845,13686,13779,655
2014-06-24,13705,13836,13586,13842,2307
2014-06-25,13821,13851,13763,13857,91
2014-06-26,13881,13939,13881,13921,63
2014-06-27,13960,14095,13950,14103,279
2014-06-30,14130,14265,14130,14270,1201
2014-07-01,14218,14218,14095,14128,651
2014-07-02,14175,14240,14110,14245,2417
2014-07-03,13983,14035,13946,13970,2554
2014-07-04,13950,14046,13880,14054,6760
2014-07-07,14035,14045,13990,14005,156
2014-07-08,14109,14109,13807,13842,815
2014-07-09,13829,13834,13700,13783,1133
2014-07-10,13740,13807,13695,13812,426
2014-07-11,13752,13752,13616,13620,710
2014-07-14,13671,13729,13666,13714,297
2014-07-15,13726,13754,13691,13759,233
2014-07-16,13664,13669,13543,13660,1743
2014-07-17,13674,13674,13567,13620,2053
2014-07-18,13543,13590,13528,13566,1425
2014-07-21,13582,13696,13464,13699,6739
2014-07-22,13684,13684,13611,13615,510
2014-07-23,13764,13772,13736,13769,948
2014-07-24,13820,13825,13716,13719,1149
2014-07-25,13716,13731,13656,13734,5027
2014-07-28,13734,13734,13606,13611,438
2014-07-29,13649,13649,13478,13526,1351
2014-07-30,13604,13604,13459,13566,10816
2014-07-31,13560,13560,13148,13183,3216
2014-08-01,13178,13236,13153,13243,10680
2014-08-04,13207,13327,13157,13286,1346
2014-08-05,13276,13649,13208,13486,8436
2014-08-06,13480,13480,13280,13306,515
2014-08-07,13274,13274,13010,13026,2101
2014-08-08,13004,13009,12850,12922,1909
2014-08-11,12960,13047,12950,13006,12716
2014-08-12,13067,13067,12879,12917,3304
2014-08-13,12913,13005,12849,13011,7033
2014-08-14,13653,13653,13049,13168,1103
2014-08-18,13148,13220,13034,13168,903
2014-08-19,13191,13191,13063,13080,771
2014-08-20,13032,13066,12908,12951,311
2014-08-21,12912,12945,12800,12804,1035
2014-08-22,12798,12798,12751,12764,320
2014-08-25,12804,13059,12804,13065,947
2014-08-26,13073,13208,13073,13213,1265
2014-08-27,13232,13284,13163,13238,486
2014-08-28,13256,13269,13208,13262,21978
2014-08-29,13279,13279,13128,13262,133
2014-09-01,13230,13230,13093,13129,1133
2014-09-02,13063,13225,13063,13183,998
2014-09-03,13264,13303,13232,13238,2384
2014-09-04,13250,13331,13250,13301,193
2014-09-05,13403,13458,13373,13462,11576
2014-09-11,13454,13560,13454,13526,2202
2014-09-12,13597,13681,13557,13685,10383
2014-09-15,13753,13819,13715,13817,8649
2014-09-16,13802,13944,13802,13901,2754
2014-09-17,13944,13949,13846,13941,8197
2014-09-18,13997,13997,13866,13872,3474
2014-09-19,13881,14008,13881,14015,1278
2014-09-22,14045,14045,13846,13852,527
2014-09-23,13866,13997,13831,13970,1115
2014-09-24,13993,14336,13968,14343,3701
2014-09-25,14351,14434,14351,14363,711
2014-09-26,14283,14389,14264,14304,12052
2014-09-29,14302,14425,14165,14191,5507
2014-09-30,14244,14480,14244,14485,8422
2014-10-01,14483,14537,14313,14319,25690
2014-10-02,14214,14411,14214,14417,1421
2014-10-06,14490,14537,14391,14520,1434
2014-10-07,14312,14312,14130,14138,990
2014-10-08,14110,14160,14095,14166,614
2014-10-10,14099,14159,13951,13990,631
2014-10-13,13865,13910,13626,13714,735
2014-10-14,13710,13901,13710,13906,33
2014-10-15,13970,14004,13831,14010,1141
2014-10-16,13900,14195,13900,14196,3537
2014-10-17,14244,14330,14199,14299,3088
2014-10-20,14349,14359,14229,14294,7514
2014-10-21,14277,14430,14270,14275,1449
2014-10-22,14392,14597,14352,14573,1649
2014-10-23,14535,14765,14535,14701,459
2014-10-24,14736,14736,14570,14573,464
2014-10-27,14596,14606,14490,14524,11460
2014-10-28,14518,14557,14465,14470,210
2014-10-29,14528,14557,14341,14451,6909
2014-10-30,14399,14419,14179,14333,816
2014-10-31,14306,14306,14239,14299,423
2014-11-03,14144,14346,14144,14353,18333
2014-11-04,14335,14335,14205,14250,365
2014-11-05,14308,14488,14308,14373,5495
2014-11-06,14360,14360,14021,14034,1820
