Date,Open,High,Low,Close,Volume
2023-04-25,10130.0,10150.0,10025.0,10100.0,152655
2023-04-26,10070.0,10075.0,9935.0,9970.0,209678
2023-04-27,9900.0,9950.0,9830.0,9870.0,205701
2023-04-28,10110.0,10110.0,9865.0,9970.0,152464
2023-05-02,10000.0,10000.0,9850.0,9865.0,124264
2023-05-03,9880.0,9920.0,9850.0,9910.0,173834
2023-05-04,9925.0,10070.0,9925.0,9990.0,127850
2023-05-08,9900.0,9945.0,9810.0,9925.0,207283
2023-05-09,10015.0,10015.0,9910.0,9945.0,203514
2023-05-10,9890.0,9890.0,9815.0,9830.0,201355
2023-05-11,9855.0,9860.0,9680.0,9745.0,215852
2023-05-12,9810.0,9955.0,9810.0,9955.0,233935
2023-05-15,9955.0,9990.0,9900.0,9925.0,219636
2023-05-16,9925.0,9955.0,9910.0,9915.0,198383
2023-05-17,9915.0,9950.0,9870.0,9870.0,211534
2023-05-19,9810.0,9815.0,9730.0,9785.0,199296
2023-05-22,9730.0,9765.0,9635.0,9655.0,163255
2023-05-23,9685.0,9725.0,9635.0,9655.0,218021
2023-05-25,9135.0,9195.0,9080.0,9195.0,203829
2023-05-26,9195.0,9270.0,9195.0,9210.0,235375
2023-05-30,9340.0,9375.0,9300.0,9330.0,91891
2023-05-31,9325.0,9330.0,9260.0,9270.0,27600
2023-06-01,9070.0,9095.0,9000.0,9050.0,47872
2023-06-02,9020.0,9030.0,8950.0,9005.0,66325
2023-06-05,9050.0,9190.0,9050.0,9185.0,60102
2023-06-07,9030.0,9030.0,8930.0,9000.0,52355
2023-06-08,8995.0,9025.0,8930.0,8960.0,85451
2023-06-09,9000.0,9030.0,8950.0,8955.0,61520
2023-06-12,8955.0,8985.0,8920.0,8945.0,43749
2023-06-13,9085.0,9085.0,8980.0,9000.0,51509
2023-06-14,9020.0,9125.0,9020.0,9125.0,142641
2023-06-15,9180.0,9195.0,9080.0,9150.0,79835
2023-06-16,9165.0,9170.0,9100.0,9115.0,23412
2023-06-19,9315.0,9425.0,9315.0,9390.0,108522
2023-06-20,9435.0,9445.0,9200.0,9200.0,77408
2023-06-21,9245.0,9310.0,9215.0,9215.0,35973
2023-06-22,9200.0,9200.0,9010.0,9180.0,127183
2023-06-23,9280.0,9310.0,9180.0,9295.0,23599
2023-06-26,9340.0,9340.0,9180.0,9270.0,22938
2023-06-27,9270.0,9315.0,9245.0,9255.0,17834
2023-06-28,9330.0,9380.0,9305.0,9375.0,26173
2023-06-29,9440.0,9460.0,9410.0,9460.0,22861
2023-06-30,9490.0,9550.0,9490.0,9520.0,24244
2023-07-07,9100.0,9115.0,9075.0,9095.0,45885
2023-07-10,9130.0,9165.0,9025.0,9110.0,86362
