Date,코스피,코스피200롱150숏선물,삼성전자,SK하이닉스,현대차,KB금융,우리금융지주,하나금융지주
1995-05-02,906.04,-1,-1,-1,-1,-1,-1,-1
1995-05-03,920.73,-1,-1,-1,-1,-1,-1,-1
1995-05-04,922.05,-1,-1,-1,-1,-1,-1,-1
1995-05-05,-1.0,-1,-1,-1,-1,-1,-1,-1
1995-05-06,918.46,-1,-1,-1,-1,-1,-1,-1
1995-05-07,-1.0,-1,-1,-1,-1,-1,-1,-1
1995-05-08,910.39,-1,-1,-1,-1,-1,-1,-1
1995-05-09,903.01,-1,-1,-1,-1,-1,-1,-1
1995-05-10,891.87,-1,-1,-1,-1,-1,-1,-1
1995-05-11,884.79,-1,-1,-1,-1,-1,-1,-1
1995-05-12,886.11,-1,-1,-1,-1,-1,-1,-1
1995-05-13,890.11,-1,-1,-1,-1,-1,-1,-1
1995-05-14,-1.0,-1,-1,-1,-1,-1,-1,-1
1995-05-15,887.11,-1,-1,-1,-1,-1,-1,-1
1995-05-16,885.33,-1,-1,-1,-1,-1,-1,-1
1995-05-17,886.2,-1,-1,-1,-1,-1,-1,-1
1995-05-18,880.4,-1,-1,-1,-1,-1,-1,-1
1995-05-19,876.01,-1,-1,-1,-1,-1,-1,-1
1995-05-20,875.68,-1,-1,-1,-1,-1,-1,-1
1995-05-21,-1.0,-1,-1,-1,-1,-1,-1,-1
1995-05-22,864.13,-1,-1,-1,-1,-1,-1,-1
1995-05-23,856.89,-1,-1,-1,-1,-1,-1,-1
1995-05-24,848.63,-1,-1,-1,-1,-1,-1,-1
1995-05-25,862.18,-1,-1,-1,-1,-1,-1,-1
1995-05-26,850.76,-1,-1,-1,-1,-1,-1,-1
1995-05-27,847.09,-1,-1,-1,-1,-1,-1,-1
1995-05-28,-1.0,-1,-1,-1,-1,-1,-1,-1
1995-05-29,887.5,-1,-1,-1,-1,-1,-1,-1
1995-05-30,881.8,-1,-1,-1,-1,-1,-1,-1
1995-05-31,882.5,-1,-1,-1,-1,-1,-1,-1
1995-06-01,891.43,-1,-1,-1,-1,-1,-1,-1
1995-06-02,894.24,-1,-1,-1,-1,-1,-1,-1
1995-06-03,890.08,-1,-1,-1,-1,-1,-1,-1
1995-06-04,-1.0,-1,-1,-1,-1,-1,-1,-1
1995-06-05,899.04,-1,-1,-1,-1,-1,-1,-1
1995-06-06,-1.0,-1,-1,-1,-1,-1,-1,-1
1995-06-07,899.36,-1,-1,-1,-1,-1,-1,-1
1995-06-08,890.68,-1,-1,-1,-1,-1,-1,-1
1995-06-09,886.83,-1,-1,-1,-1,-1,-1,-1
1995-06-10,886.31,-1,-1,-1,-1,-1,-1,-1
1995-06-11,-1.0,-1,-1,-1,-1,-1,-1,-1
1995-06-12,884.4,-1,-1,-1,-1,-1,-1,-1
1995-06-13,887.32,-1,-1,-1,-1,-1,-1,-1
1995-06-14,886.56,-1,-1,-1,-1,-1,-1,-1
1995-06-15,880.91,-1,-1,-1,-1,-1,-1,-1
1995-06-16,879.24,-1,-1,-1,-1,-1,-1,-1
