Date,Close
1995-05-02,906.04
1995-05-03,920.73
1995-05-04,922.05
1995-05-05,-1.0
1995-05-06,918.46
1995-05-07,-1.0
1995-05-08,910.39
1995-05-09,903.01
1995-05-10,891.87
1995-05-11,884.79
1995-05-12,886.11
1995-05-13,890.11
1995-05-14,-1.0
1995-05-15,887.11
1995-05-16,885.33
1995-05-17,886.2
1995-05-18,880.4
1995-05-19,876.01
1995-05-20,875.68
1995-05-21,-1.0
1995-05-22,864.13
1995-05-23,856.89
1995-05-24,848.63
1995-05-25,862.18
1995-05-26,850.76
1995-05-27,847.09
1995-05-28,-1.0
1995-05-29,887.5
1995-05-30,881.8
1995-05-31,882.5
1995-06-01,891.43
1995-06-02,894.24
1995-06-03,890.08
1995-06-04,-1.0
1995-06-05,899.04
1995-06-06,-1.0
1995-06-07,899.36
1995-06-08,890.68
1995-06-09,886.83
1995-06-10,886.31
1995-06-11,-1.0
1995-06-12,884.4
1995-06-13,887.32
1995-06-14,886.56
1995-06-15,880.91
1995-06-16,879.24
1995-06-17,880.67
1995-06-18,-1.0
1995-06-19,886.31
1995-06-20,884.35
1995-06-21,878.82
1995-06-22,871.18
1995-06-23,871.96
1995-06-24,872.46
1995-06-25,-1.0
1995-06-26,868.77
1995-06-27,-1.0
1995-06-28,872.68
1995-06-29,883.9
1995-06-30,894.41
1995-07-01,909.59
1995-07-02,-1.0
1995-07-03,914.1
1995-07-04,907.68
1995-07-05,904.98
1995-07-06,914.95
1995-07-07,942.39
1995-07-08,946.98
1995-07-09,-1.0
1995-07-10,961.84
1995-07-11,959.99
1995-07-12,962.22
1995-07-13,977.29
1995-07-14,972.02
1995-07-15,966.48
1995-07-16,-1.0
1995-07-17,-1.0
1995-07-18,961.01
1995-07-19,950.11
1995-07-20,961.41
1995-07-21,964.56
1995-07-22,963.25
1995-07-23,-1.0
1995-07-24,965.36
1995-07-25,953.53
1995-07-26,945.99
1995-07-27,940.75
1995-07-28,932.82
1995-07-29,928.64
1995-07-30,-1.0
1995-07-31,933.57
1995-08-01,944.6
1995-08-02,935.7
1995-08-03,922.95
1995-08-04,917.47
1995-08-05,914.16
1995-08-06,-1.0
1995-08-07,907.84
1995-08-08,901.87
1995-08-09,924.41
1995-08-10,916.01
1995-08-11,914.23
1995-08-12,910.03
1995-08-13,-1.0
1995-08-14,908.69
1995-08-15,-1.0
1995-08-16,904.44
1995-08-17,902.82
1995-08-18,906.9
1995-08-19,911.88
1995-08-20,-1.0
1995-08-21,913.31
1995-08-22,917.79
1995-08-23,925.81
1995-08-24,927.82
1995-08-25,921.1
1995-08-26,921.69
1995-08-27,-1.0
1995-08-28,922.44
1995-08-29,916.46
1995-08-30,914.71
1995-08-31,914.06
1995-09-01,911.36
1995-09-02,918.82
1995-09-03,-1.0
1995-09-04,922.49
1995-09-05,928.96
1995-09-06,944.52
1995-09-07,953.81
1995-09-08,-1.0
1995-09-09,-1.0
1995-09-10,-1.0
1995-09-11,950.98
1995-09-12,952.28
1995-09-13,968.32
1995-09-14,965.72
1995-09-15,985.64
1995-09-16,995.57
1995-09-17,-1.0
1995-09-18,1000.21
1995-09-19,992.57
1995-09-20,1009.47
1995-09-21,1012.29
1995-09-22,997.73
1995-09-23,991.33
1995-09-24,-1.0
1995-09-25,985.2
1995-09-26,983.82
1995-09-27,980.78
1995-09-28,985.88
1995-09-29,987.1
1995-09-30,982.65
1995-10-01,-1.0
1995-10-02,975.79
1995-10-03,-1.0
1995-10-04,982.89
1995-10-05,989.05
1995-10-06,1002.07
1995-10-07,1003.4
1995-10-08,-1.0
1995-10-09,1008.29
1995-10-10,1004.16
1995-10-11,1011.0
1995-10-12,1016.66
1995-10-13,1014.3
1995-10-14,1016.77
1995-10-15,-1.0
1995-10-16,1007.48
1995-10-17,1005.78
1995-10-18,1006.7
1995-10-19,1000.22
1995-10-20,994.89
1995-10-21,999.5
1995-10-22,-1.0
1995-10-23,976.39
1995-10-24,992.76
1995-10-25,997.88
1995-10-26,1001.15
1995-10-27,1001.37
1995-10-28,992.05
1995-10-29,-1.0
1995-10-30,982.87
1995-10-31,990.26
1995-11-01,997.52
1995-11-02,994.68
1995-11-03,989.74
1995-11-04,989.97
1995-11-05,-1.0
1995-11-06,992.77
1995-11-07,987.72
1995-11-08,980.84
1995-11-09,970.91
1995-11-10,965.95
1995-11-11,976.25
1995-11-12,-1.0
1995-11-13,954.04
1995-11-14,948.34
1995-11-15,937.04
1995-11-16,933.95
1995-11-17,952.37
1995-11-18,946.35
1995-11-19,-1.0
1995-11-20,931.64
1995-11-21,917.97
1995-11-22,921.03
1995-11-23,932.58
1995-11-24,944.85
1995-11-25,942.5
1995-11-26,-1.0
1995-11-27,949.23
1995-11-28,952.89
1995-11-29,948.31
1995-11-30,930.92
1995-12-01,939.0
1995-12-02,931.23
1995-12-03,-1.0
1995-12-04,934.95
1995-12-05,946.98
1995-12-06,954.61
1995-12-07,960.57
1995-12-08,958.62
1995-12-09,962.87
1995-12-10,-1.0
1995-12-11,947.75
1995-12-12,943.22
1995-12-13,929.46
1995-12-14,908.67
1995-12-15,899.55
1995-12-16,884.39
1995-12-17,-1.0
1995-12-18,867.18
1995-12-19,890.79
1995-12-20,892.04
1995-12-21,899.86
1995-12-22,894.67
1995-12-23,893.11
1995-12-24,-1.0
1995-12-25,-1.0
1995-12-26,876.37
1995-12-27,882.94
1995-12-28,-1.0
1995-12-29,-1.0
1995-12-30,-1.0
1995-12-31,-1.0
1996-01-01,-1.0
1996-01-02,-1.0
1996-01-03,888.85
1996-01-04,859.97
1996-01-05,856.62
1996-01-06,858.36
1996-01-07,-1.0
1996-01-08,866.81
1996-01-09,881.99
1996-01-10,885.77
1996-01-11,883.96
1996-01-12,878.64
1996-01-13,874.46
1996-01-14,-1.0
1996-01-15,865.46
1996-01-16,868.27
1996-01-17,857.06
1996-01-18,849.14
1996-01-19,848.07
1996-01-20,842.72
1996-01-21,-1.0
1996-01-22,842.8
1996-01-23,850.83
1996-01-24,865.55
1996-01-25,868.17
1996-01-26,867.38
1996-01-27,864.77
1996-01-28,-1.0
1996-01-29,873.15
1996-01-30,875.45
1996-01-31,878.82
1996-02-01,885.13
1996-02-02,881.48
1996-02-03,884.63
1996-02-04,-1.0
1996-02-05,890.68
1996-02-06,881.21
1996-02-07,883.77
1996-02-08,889.01
1996-02-09,881.88
1996-02-10,875.21
1996-02-11,-1.0
1996-02-12,865.12
1996-02-13,858.18
1996-02-14,869.98
1996-02-15,869.35
1996-02-16,878.03
1996-02-17,889.34
1996-02-18,-1.0
