Date,Open,High,Low,Close,Volume
2000-06-05,48.75,50.25,48.15625,49.34375,296800
2000-06-06,49.25,50.125,47.3125,47.3125,445600
2000-06-07,47.875,48.5,46.59375,48.09375,431000
2000-06-08,49.40625,49.4375,47.90625,48.3125,390400
2000-06-09,49.125,49.5,48.53125,49.3125,195000
2000-06-12,49.625,49.625,47.3125,47.40625,112400
2000-06-13,47.5,49.40625,46.65625,49.40625,389000
2000-06-14,49.40625,49.4375,47.28125,47.28125,195000
2000-06-15,47.375,48.34375,46.625,47.6875,217800
2000-06-16,47.75,48.46875,47.28125,48.0,173800
2000-06-19,48.1875,51.25,47.8125,51.25,436400
2000-06-20,51.75,52.875,51.5,52.0,497000
2000-06-21,51.3125,52.59375,51.25,52.21875,371600
2000-06-22,51.75,51.75,49.5,49.625,782800
2000-06-23,49.6875,50.09375,48.625,48.75,685800
2000-06-26,49.1875,49.6875,48.1875,48.75,308000
2000-06-27,49.125,49.21875,47.1875,47.1875,472200
2000-06-28,47.3125,48.5625,47.3125,47.4375,457000
2000-06-29,46.875,47.1875,45.625,46.34375,563600
2000-06-30,46.5,47.40625,46.15625,47.0,916000
2000-07-03,46.9375,48.125,46.875,48.0625,105200
2000-07-05,45.25,45.78125,44.0625,44.3125,2724400
2000-07-06,44.96875,46.375,44.0625,46.125,2786800
2000-07-07,47.125,48.375,46.90625,47.625,359800
2000-07-10,47.75,48.34375,47.25,47.5625,187200
2000-07-11,47.5,48.5625,46.28125,46.8125,446400
2000-07-12,47.9375,48.59375,47.21875,47.96875,229200
2000-07-13,49.0,49.96875,48.71875,49.1875,288200
2000-07-14,50.125,50.6875,49.375,50.6875,272800
2000-07-17,50.6875,51.5625,50.0,51.46875,331000
2000-07-18,50.5,50.65625,49.0,49.21875,434800
2000-07-19,49.15625,49.15625,46.875,47.46875,745000
2000-07-20,47.71875,48.65625,46.34375,46.71875,544400
2000-07-21,46.03125,46.25,44.375,44.8125,1251400
2000-07-24,44.5,46.375,44.25,44.625,2472800
2000-07-25,46.3125,46.46875,45.15625,46.40625,548600
2000-07-26,44.625,45.0625,43.28125,44.375,1001600
2000-07-27,42.6875,42.6875,41.0,41.34375,1052800
2000-07-28,41.9375,42.5,40.125,40.96875,2704800
2000-07-31,41.40625,42.6875,40.46875,42.3125,429600
2000-08-01,42.1875,42.1875,40.6875,40.90625,1313600
2000-08-02,40.90625,42.25,40.1875,40.5,604000
2000-08-03,37.625,40.4375,37.625,40.4375,2842000
2000-08-04,41.4375,41.4375,38.75,39.34375,1529600
2000-08-07,39.25,40.8125,38.84375,40.5,550800
2000-08-08,40.625,41.0625,40.25,40.53125,412600
2000-08-09,42.125,42.5625,41.5625,41.71875,719800
2000-08-10,41.5625,41.96875,40.5625,40.71875,1133200
2000-08-11,40.6875,41.53125,39.40625,41.34375,632200
2000-08-14,42.1875,44.0,41.5,43.875,1006000
2000-08-15,44.25,45.75,44.25,45.3125,1997200
2000-08-16,46.25,47.0,46.03125,46.625,1496800
2000-08-17,46.5,47.875,46.15625,47.53125,745200
2000-08-18,48.75,49.40625,48.1875,48.71875,1050600
2000-08-21,49.09375,49.375,47.125,47.5,1581200
2000-08-22,48.0,48.6875,47.59375,47.96875,936600
2000-08-23,47.5,49.875,47.125,49.875,889400
2000-08-24,49.5625,49.96875,49.03125,49.625,2990800
2000-08-25,49.5,49.9375,48.59375,49.0,602600
2000-08-28,48.875,49.78125,48.71875,49.25,424400
2000-08-29,49.0625,49.28125,48.625,48.875,1217200
2000-08-30,48.84375,48.84375,47.875,48.40625,500200
2000-08-31,48.6875,49.8125,48.3125,49.34375,1105800
2000-09-01,50.1875,50.34375,48.625,48.9375,1638600
2000-09-05,48.3125,48.5,47.34375,47.5625,708800
2000-09-06,46.375,46.4375,44.53125,44.53125,952800
2000-09-07,45.125,46.375,44.8125,46.0,685000
2000-09-08,45.75,45.75,43.8125,43.8125,649400
2000-09-11,43.5,44.71875,42.625,43.125,681200
2000-09-12,43.625,44.21875,42.0,42.09375,853800
2000-09-13,41.1875,42.46875,41.1875,42.4375,1732800
2000-09-14,43.5,43.75,42.3125,42.40625,473200
2000-09-15,41.75,42.4375,40.9375,41.375,632200
2000-09-18,41.75,42.6875,40.25,40.5,300000
2000-09-19,41.25,43.5625,40.59375,43.53125,1573600
2000-09-20,43.375,44.28125,42.1875,43.875,1064800
2000-09-21,43.46875,43.59375,41.96875,42.125,598600
2000-09-22,37.5625,39.1875,37.53125,39.0625,2000600
2000-09-25,40.125,40.125,36.84999847412109,37.005001068115234,599200
2000-09-26,37.150001525878906,37.875,36.22499847412109,36.625,665800
2000-09-27,37.59999847412109,37.72499847412109,35.779998779296875,36.25,1632600
2000-09-28,36.625,37.59999847412109,36.275001525878906,37.375,1122200
2000-09-29,36.900001525878906,36.900001525878906,35.400001525878906,35.54999923706055,711600
2000-10-02,36.244998931884766,36.34999847412109,34.505001068115234,34.75,714000
2000-10-03,35.25,35.869998931884766,33.935001373291016,34.224998474121094,1486000
2000-10-04,34.42499923706055,36.09999847412109,34.125,36.0,1545200
2000-10-05,35.25,36.0,34.625,35.099998474121094,1233000
2000-10-06,35.125,35.619998931884766,33.125,33.849998474121094,1237400
2000-10-09,33.599998474121094,33.875,31.64999961853028,33.25,1370000
2000-10-10,31.799999237060547,32.0,29.655000686645508,30.170000076293945,2466400
2000-10-11,28.875,31.350000381469727,28.875,29.975000381469727,3080800
2000-10-12,31.375,31.5,29.1200008392334,29.299999237060547,2130400
2000-10-13,29.44499969482422,32.474998474121094,29.375,32.375,1336000
2000-10-16,32.095001220703125,32.095001220703125,30.25,30.52499961853028,1334000
2000-10-17,30.25,30.299999237060547,28.0049991607666,28.864999771118164,2259400
2000-10-18,27.52499961853028,30.25,26.875,28.299999237060547,2096800
2000-10-19,32.0,32.994998931884766,30.55500030517578,32.875,2875600
2000-10-20,32.494998931884766,34.25,32.10499954223633,33.375,3007600
2000-10-23,33.900001525878906,35.17499923706055,33.275001525878906,34.150001525878906,985000
2000-10-24,33.625,33.625,31.5049991607666,31.875,1131800
2000-10-25,29.75,30.75,29.0049991607666,29.395000457763672,1765400
2000-10-26,29.39999961853028,31.0,28.655000686645508,30.924999237060547,1894800
2000-10-27,31.9950008392334,31.9950008392334,30.0,30.850000381469727,1690800
2000-10-30,30.875,31.75,30.1299991607666,31.065000534057617,1611400
2000-10-31,31.9950008392334,33.494998931884766,31.950000762939453,32.875,1395800
